Age,Avg,Pnt,Rider,Rnk,Team,stage,year
22,,,Riccio Bernardo,77,Tinkoff Credit Systems,2,2008
32,,,Ongarato Alberto,78,Milram,2,2008
23,,,Jur\u010do Matej,79,Milram,2,2008
34,,,Grabsch Ralf,80,Milram,2,2008
27,,,Saeidi Tanha Abbas,81,,2,2008
32,,,Mizbani Ghader,82,,2,2008
27,,,Zargari Amir,83,,2,2008
27,,,Geslin Anthony,84,Bouygues Telecom,2,2008
30,,,Laurent Christophe,85,Team Garmin - Chipotle,2,2008
21,,,Gaudin Damien,86,Bouygues Telecom,2,2008
24,,,Beppu Fumiyuki,87,Skil - Shimano,2,2008
22,,,Tolleson Taylor,88,BMC Racing Team,2,2008
38,,,Sayers Mike,89,BMC Racing Team,2,2008
23,,,Duijn Huub,90,Team Garmin - Chipotle,2,2008
24,,,Maaskant Martijn,91,Team Garmin - Chipotle,2,2008
23,,,Longo Roberto,92,Lampre,2,2008
24,,,Lemoine Cyril,93,Cr\xe9dit Agricole,2,2008
25,,,De Weert Kevin,94,Cofidis,2,2008
22,,,Wyss Danilo,95,BMC Racing Team,2,2008
35,,,H\xf8j Frank,96,Cofidis,2,2008
23,,,Bandiera Marco,97,Lampre,2,2008
26,,,Bates Gene Michael,98,Drapac - Porsche Development Program,2,2008
25,,,Valentin Tristan,99,Cofidis,2,2008
33,,,Verbrugghe Rik,100,Cofidis,2,2008
31,,,Righi Daniele,101,Lampre,2,2008
24,,,Vanheule Bart,102,Chocolade Jacques / Topsport Vlaanderen,2,2008
28,,,Bertogliati Rubens,103,Scott - American Beef,2,2008
33,,,Dean Julian,104,Team Garmin - Chipotle,2,2008
31,,,Millar David,105,Team Garmin - Chipotle,2,2008
27,,,Nuyens Nick,106,Cofidis,2,2008
35,,,Trenti Guido,107,Liquigas,2,2008
28,,,Kuchynski Aliaksandr,108,Liquigas,2,2008
20,,,Nateghi Hossein,109,,2,2008
31,,,Jahanbanian Hossein,110,,2,2008
27,,,Stewart Jackson,111,BMC Racing Team,2,2008
29,,,McDonald Peter,112,Drapac - Porsche Development Program,2,2008
24,,,Bono Matteo,113,Lampre,2,2008
25,,,Patour Kilian,114,Team Garmin - Chipotle,2,2008
25,,,Simon Jean-Paul,115,Josan Mercedes Benz Aalst CT,2,2008
22,,,Khatuntsev Alexander,116,Tinkoff Credit Systems,2,2008
26,,,Sohrabi Mehdi,117,,2,2008
22,,,Gottfried Alexander,118,Tinkoff Credit Systems,2,2008
25,,,Eskov Nikita,119,Tinkoff Credit Systems,2,2008
28,,,Scheirlinckx Staf,120,Cofidis,2,2008
37,,,Eeckhout Niko,121,Chocolade Jacques / Topsport Vlaanderen,2,2008
22,,,Hannachi Abdelbaset,122,Doha Team,2,2008
30,,,Esmaeili Tareq,123,Doha Team,2,2008
18,,,Morton Angus,124,Drapac - Porsche Development Program,2,2008
21,,,Docker Mitchell,125,Drapac - Porsche Development Program,2,2008
24,,,Abduljanan Khalil,126,Doha Team,2,2008
23,,,Seyed Rezaei Khormizi Seyed Mostafa,127,,2,2008
25,,,Van Hecke Preben,128,Chocolade Jacques / Topsport Vlaanderen,2,2008
19,,,Afif Hamad,129,Doha Team,2,2008
19,,,Said Moosa,130,Doha Team,2,2008
25,,,Minard S\xe9bastien,131,Cofidis,2,2008
27,,20.0,Boonen Tom,1,Quickstep - Innergetic,3,2008
26,,12.0,Napolitano Danilo,2,Lampre,3,2008
34,,7.0,de Jongh Steven,3,Quickstep - Innergetic,3,2008
22,,5.0,Van Avermaet Greg,4,Silence - Lotto,3,2008
23,,4.0,Sutton Chris,5,Team Garmin - Chipotle,3,2008
