Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
22,133,47.0,+50:43,,14.0,Hamilton Lucas,13,Mitchelton-Scott,46:38 46:38,\u25b21,7,2018
24,25,48.0,+50:43,,12.0,Moscon Gianni,14,Team Sky,",, 46:38",\u25bc2,7,2018
25,96,51.0,+52:28,,13.0,Roson Jaime,15,Movistar Team,48:23 48:23,\u25bc2,7,2018
25,15,55.0,+57:29,,15.0,Petilli Simone,16,UAE-Team Emirates,53:24 53:24,\u25bc1,7,2018
23,136,69.0,+1:11:41,,18.0,Power Robert,17,Mitchelton-Scott,1:07:36 1:07:36,\u25b21,7,2018
23,93,73.0,+1:13:02,,17.0,Carretero H\xe9ctor,18,Movistar Team,1:08:57 1:08:57,\u25bc1,7,2018
24,112,77.0,+1:16:09,,22.0,Armirail Bruno,19,Groupama - FDJ,1:12:04 1:12:04,\u25b23,7,2018
22,105,79.0,+1:17:27,,20.0,Knox James,20,Quick-Step Floors,1:13:22 1:13:22,-,7,2018
21,185,82.0,+1:19:24,,19.0,Powless Neilson,21,Team LottoNL-Jumbo,1:15:19 1:15:19,\u25bc2,7,2018
25,167,87.0,+1:26:06,,24.0,Smith Dion,22,Wanty - Groupe Gobert,1:22:01 1:22:01,\u25b22,7,2018
23,123,90.0,+1:28:25,,23.0,Fabbro Matteo,23,Team Katusha - Alpecin,1:24:20 1:24:20,-,7,2018
22,94,97.0,+1:35:38,,26.0,Castrillo Jaime,24,Movistar Team,1:31:33 1:31:33,\u25b22,7,2018
24,57,99.0,+1:39:10,,30.0,Pibernik Luka,25,Bahrain Merida Pro Cycling Team,1:35:05 1:35:05,\u25b25,7,2018
24,43,105.0,+1:45:27,,34.0,Bohli Tom,26,BMC Racing Team,1:41:22 1:41:22,\u25b28,7,2018
22,116,109.0,+1:50:09,,32.0,Thomas Benjamin,27,Groupama - FDJ,1:46:04 1:46:04,\u25b25,7,2018
24,87,110.0,+1:50:39,,31.0,Turgis Anthony,28,"Cofidis, Solutions Cr\xe9dits",1:46:34 1:46:34,\u25b23,7,2018
23,192,112.0,+2:11:18,,35.0,Bauhaus Phil,29,Team Sunweb,2:07:13 2:07:13,\u25b26,7,2018
