Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,146,145.0,+1:05:27,,24.0,Krivtsov Yuriy,24,AG2R Prévoyance,1:05:27 1:05:27,12,2004,-
23,165,153.0,+1:11:01,,25.0,Eisel Bernhard,25,Fdjeux.com,1:11:01 1:11:01,12,2004,-
24,94,158.0,+1:18:19,,26.0,Edaleine Christophe,26,"Cofidis, le Crédit par Téléphone",1:18:19 1:18:19,12,2004,-
25,58,166.0,+1:47:30,,27.0,Joly Sébastien,27,Crédit Agricole,1:47:30 1:47:30,12,2004,-
25,129,1.0,+0:00,,1.0,Voeckler Thomas,1,Brioches La Boulangère,58:00:27 58:00:27,13,2004,-
25,162,10.0,+8:29,,2.0,Casar Sandy,2,Fdjeux.com,8:29 8:29,13,2004,-
23,75,21.0,+14:05,,5.0,Karpets Vladimir,3,Illes Balears - Banesto,14:05 14:05,13,2004,▲2
24,196,22.0,+14:22,,3.0,Scarponi Michele,4,Domina Vacanze,14:22 14:22,13,2004,▼1
24,126,24.0,+14:48,,4.0,Pineau Jérôme,5,Brioches La Boulangère,14:48 14:48,13,2004,▼1
25,121,25.0,+15:09,,6.0,Chavanel Sylvain,6,Brioches La Boulangère,15:09 15:09,13,2004,-
24,108,26.0,+18:08,,7.0,Rogers Michael,7,Quickstep - Davitamon,18:08 18:08,13,2004,-
25,32,28.0,+20:31,,8.0,Camaño Iker,8,Euskaltel - Euskadi,20:31 20:31,13,2004,-
24,142,56.0,+49:15,,9.0,Astarloza Mikel,9,AG2R Prévoyance,49:15 49:15,13,2004,-
25,7,73.0,+1:07:15,,14.0,Noval Benjamin,10,US Postal Service,1:07:15 1:07:15,13,2004,▲4
24,84,78.0,+1:12:38,,12.0,Lang Sebastian,11,Gerolsteiner,1:12:38 1:12:38,13,2004,▲1
23,113,86.0,+1:15:41,,15.0,Davis Allan Howard,12,Liberty Seguros,1:15:41 1:15:41,13,2004,▲3
25,148,87.0,+1:15:53,,20.0,Portal Nicolas,13,AG2R Prévoyance,1:15:53 1:15:53,13,2004,▲7
