Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,\u25bc\u25b2,stage,year
28,155,93.0,+1:48:07,,96.0,Durasek Kristijan,93,Lampre - Merida,1:48:07 1:48:07,+0:00,,,\u25b23,14,2016
23,26,94.0,+1:49:25,,93.0,Lutsenko Alexey,94,Astana Pro Team,1:49:25 1:49:25,+2:38,,,\u25bc1,14,2016
29,97,95.0,+1:50:08,,98.0,Schar Michael,95,BMC Racing Team,1:50:08 1:50:08,+0:00,,,\u25b23,14,2016
24,83,96.0,+1:50:33,,95.0,Craddock Lawson,96,Cannondale-Drapac Pro Cycling Team,1:50:33 1:50:33,+2:38,,,\u25bc1,14,2016
31,133,97.0,+1:51:03,,99.0,B\xe1rta Jan,97,Bora - Argon 18,1:51:03 1:51:03,+0:00,,,\u25b22,14,2016
27,57,98.0,+1:51:18,,100.0,Vanmarcke Sep,98,Team LottoNL-Jumbo,1:51:18 1:51:18,+0:00,,,\u25b22,14,2016
31,219,99.0,+1:51:43,,101.0,Vachon Florian,99,Fortuneo - Vital Concept,1:51:43 1:51:43,+0:00,,,\u25b22,14,2016
33,93,100.0,+1:52:22,,97.0,Burghardt Marcus,100,BMC Racing Team,1:52:22 1:52:22,+2:38,,,\u25bc3,14,2016
27,54,101.0,+1:52:52,,102.0,Lindeman Bert-Jan,101,Team LottoNL-Jumbo,1:52:52 1:52:52,+0:00,,,\u25b21,14,2016
37,179,102.0,+1:53:22,,103.0,Voeckler Thomas,102,Direct Energie,1:53:22 1:53:22,+0:00,,,\u25b21,14,2016
29,103,103.0,+1:54:20,,104.0,Boasson Hagen Edvald,103,Team Dimension Data,1:54:20 1:54:20,+0:00,,,\u25b21,14,2016
35,166,104.0,+1:55:09,,105.0,Hansen Adam,104,Lotto Soudal,1:55:09 1:55:09,+0:26,,,\u25b21,14,2016
29,217,105.0,+1:55:13,,106.0,Perichon Pierre-Luc,105,Fortuneo - Vital Concept,1:55:13 1:55:13,+0:00,,,\u25b21,14,2016
22,158,106.0,+1:55:21,,107.0,Pibernik Luka,106,Lampre - Merida,1:55:21 1:55:21,+0:00,,,\u25b21,14,2016
30,139,107.0,+1:55:45,,108.0,Voss Paul,107,Bora - Argon 18,1:55:45 1:55:45,+0:00,,,\u25b21,14,2016
24,171,108.0,+1:57:47,,110.0,Coquard Bryan,108,Direct Energie,1:57:47 1:57:47,+0:00,,,\u25b22,14,2016
27,19,109.0,+1:58:50,,111.0,Oliveira Nelson,109,Movistar Team,1:58:50 1:58:50,+0:00,,,\u25b22,14,2016
28,194,110.0,+1:58:52,,109.0,Edet Nicolas,110,"Cofidis, Solutions Cr\xe9dits",1:58:52 1:58:52,+2:35,,,\u25bc1,14,2016
32,55,111.0,+2:00:10,,112.0,Martens Paul,111,Team LottoNL-Jumbo,2:00:10 2:00:10,+0:00,,,\u25b21,14,2016
24,173,112.0,+2:00:48,,113.0,Duchesne Antoine,112,Direct Energie,2:00:48 2:00:48,+0:26,,,\u25b21,14,2016
24,67,113.0,+2:01:13,,116.0,Stuyven Jasper,113,Trek - Segafredo,2:01:13 2:01:13,+0:00,,,\u25b23,14,2016
27,106,114.0,+2:01:59,,118.0,Janse van Rensburg Reinardt,114,Team Dimension Data,2:01:59 2:01:59,+0:00,,,\u25b24,14,2016
33,183,115.0,+2:02:01,,117.0,Keisse Iljo,115,Etixx - Quick Step,2:02:01 2:02:01,+0:32,,,\u25b22,14,2016
24,89,116.0,+2:03:07,,114.0,van Baarle Dylan,116,Cannondale-Drapac Pro Cycling Team,2:03:07 2:03:07,+2:38,,,\u25bc2,14,2016
25,102,117.0,+2:03:48,,115.0,Berhane Natnael,117,Team Dimension Data,2:03:48 2:03:48,+2:38,,,\u25bc2,14,2016
36,63,118.0,+2:04:52,,121.0,Irizar Markel,118,Trek - Segafredo,2:04:52 2:04:52,+0:00,,,\u25b23,14,2016
34,161,119.0,+2:04:54,,122.0,Greipel Andr\xe9,119,Lotto Soudal,2:04:54 2:04:54,+0:00,,,\u25b23,14,2016
28,84,120.0,+2:06:05,,119.0,Howes Alex,120,Cannondale-Drapac Pro Cycling Team,2:06:05 2:06:05,+2:38,,,\u25bc1,14,2016
25,207,121.0,+2:06:27,,123.0,Matthews Michael,121,ORICA-BikeExchange,2:06:27 2:06:27,+0:00,,,\u25b22,14,2016
35,62,122.0,+2:06:28,,120.0,Cancellara Fabian,122,Trek - Segafredo,2:06:28 2:06:28,+2:38,,,\u25bc2,14,2016
28,87,123.0,+2:07:01,,125.0,Navardauskas Ramunas,123,Cannondale-Drapac Pro Cycling Team,2:07:01 2:07:01,+0:00,,,\u25b22,14,2016
30,76,124.0,+2:07:57,,127.0,Hollenstein Reto,124,IAM Cycling,2:07:57 2:07:57,+0:00,,,\u25b23,14,2016
35,44,125.0,+2:08:50,,128.0,Dumoulin Samuel,125,AG2R La Mondiale,2:08:50 2:08:50,+0:00,,,\u25b23,14,2016
38,204,126.0,+2:08:53,,129.0,Hayman Mathew,126,ORICA-BikeExchange,2:08:53 2:08:53,+0:00,,,\u25b23,14,2016
35,104,127.0,+2:09:09,,124.0,Cummings Stephen,127,Team Dimension Data,2:09:09 2:09:09,+2:38,,,\u25bc3,14,2016
