Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
5,,-,108,Sagan Peter,23,Cannondale Pro Cycling Team,15,2013,3
6,6.0,-,166,Pinot Thibaut,23,FDJ.fr,15,2013,3
7,13.0,\u25b26,8,Visconti Giovanni,30,Movistar Team,13,2013,3
8,11.0,\u25b23,64,Martin Daniel,26,Garmin Sharp,13,2013,3
9,,-,1,Costa Rui,26,Movistar Team,12,2013,3
10,5.0,\u25bc5,45,Terpstra Niki,29,Omega Pharma - Quick-Step,12,2013,3
11,7.0,\u25bc4,194,Haussler Heinrich,29,IAM Cycling,10,2013,3
12,8.0,\u25bc4,67,Rasmussen Alex,29,Garmin Sharp,9,2013,3
13,9.0,\u25bc4,191,Tschopp Johann,30,IAM Cycling,8,2013,3
14,10.0,\u25bc4,157,Verdugo Gorka,34,Euskaltel - Euskadi,8,2013,3
15,12.0,\u25bc3,195,Hollenstein Reto,27,IAM Cycling,7,2013,3
16,15.0,\u25bc1,105,Koch Michel,21,Cannondale Pro Cycling Team,6,2013,3
17,17.0,-,48,Velits Peter,28,Omega Pharma - Quick-Step,5,2013,3
18,16.0,\u25bc2,96,Scarponi Michele,33,Lampre - Merida,5,2013,3
19,,-,56,Kangert Tanel,26,Astana Pro Team,4,2013,3
20,,-,81,Peraud Jean-Christophe,36,AG2R La Mondiale,3,2013,3
21,18.0,\u25bc3,87,Pozzovivo Domenico,30,AG2R La Mondiale,3,2013,3
22,19.0,\u25bc3,127,Tosatto Matteo,39,Team Saxo - Tinkoff,3,2013,3
23,,-,78,van Garderen Tejay,24,BMC Racing Team,2,2013,3
24,20.0,\u25bc4,91,Ulissi Diego,23,Lampre - Merida,2,2013,3
25,,-,21,Spilak Simon,26,Team Katusha,1,2013,3
26,21.0,\u25bc5,107,Moser Moreno,22,Cannondale Pro Cycling Team,1,2013,3
1,,-,161,D\xe9mare Arnaud,21,FDJ.fr,25,2013,4
2,5.0,\u25b23,108,Sagan Peter,23,Cannondale Pro Cycling Team,24,2013,4
3,1.0,\u25bc2,114,Mollema Bauke,26,Blanco Pro Cycling Team,23,2013,4
4,2.0,\u25bc2,73,Frank Mathias,26,BMC Racing Team,22,2013,4
5,11.0,\u25b26,194,Haussler Heinrich,29,IAM Cycling,20,2013,4
6,,-,134,Goss Matthew,26,Orica GreenEDGE,20,2013,4
7,3.0,\u25bc4,121,Kreuziger Roman,27,Team Saxo - Tinkoff,16,2013,4
8,,-,63,Farrar Tyler,29,Garmin Sharp,16,2013,4
9,4.0,\u25bc5,137,Meyer Cameron,25,Orica GreenEDGE,15,2013,4
10,6.0,\u25bc4,166,Pinot Thibaut,23,FDJ.fr,15,2013,4
11,7.0,\u25bc4,8,Visconti Giovanni,30,Movistar Team,13,2013,4
12,8.0,\u25bc4,64,Martin Daniel,26,Garmin Sharp,13,2013,4
13,,-,181,Degenkolb John,24,Team Argos - Shimano,13,2013,4
14,9.0,\u25bc5,1,Costa Rui,26,Movistar Team,12,2013,4
15,10.0,\u25bc5,45,Terpstra Niki,29,Omega Pharma - Quick-Step,12,2013,4
16,,-,25,Kristoff Alexander,25,Team Katusha,11,2013,4
17,12.0,\u25bc5,67,Rasmussen Alex,29,Garmin Sharp,9,2013,4
18,13.0,\u25bc5,191,Tschopp Johann,30,IAM Cycling,8,2013,4
19,14.0,\u25bc5,157,Verdugo Gorka,34,Euskaltel - Euskadi,8,2013,4
20,,-,142,Debusschere Jens,23,Lotto Belisol Team,8,2013,4
