Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
27,,156,30.0,+1:14,,Vanspeybrouck Pieter,22,Topsport Vlaanderen - Baloise,",, 0:48",,2,2014
25,,133,34.0,+2:16,,Jarc Bla\u017e,23,Team NetApp \u2013 Endura,",, 0:48",,2,2014
25,,151,17.0,+1:14,,van Staeyen Michael,24,Topsport Vlaanderen - Baloise,",, 0:48",,2,2014
24,,86,18.0,+1:14,,Selig R\xfcdiger,25,Team Katusha,",, 0:48",,2,2014
31,,21,19.0,+1:14,,Greipel Andr\xe9,26,Lotto Belisol,",, 0:48",,2,2014
27,,36,14.0,+1:03,,Schar Michael,27,BMC Racing Team,",, 0:48",,2,2014
28,,53,24.0,+1:14,,Delage Micka\xebl,28,FDJ.fr,",, 0:48",,2,2014
31,,3,21.0,+1:14,,Keisse Iljo,29,Omega Pharma - Quick-Step,",, 0:48",,2,2014
30,,48,36.0,+2:44,,Wagner Robert,30,Belkin-Pro Cycling Team,",, 0:48",,2,2014
35,,112,22.0,+1:14,,Hayman Mathew,31,Orica GreenEDGE,",, 0:48",,2,2014
29,,97,23.0,+1:14,,Marangoni Alan,32,Cannondale,",, 0:48",,2,2014
30,,166,85.0,+11:26,,Maaskant Martijn,33,UnitedHealthcare Pro Cycling Team,",, 0:48",,2,2014
28,,47,37.0,+2:44,,van Emden Jos,34,Belkin-Pro Cycling Team,",, 0:48",,2,2014
30,,134,84.0,+11:26,,Schillinger Andreas,35,Team NetApp \u2013 Endura,",, 0:48",,2,2014
31,,31,28.0,+1:14,,Gilbert Philippe,36,BMC Racing Team,",, 0:48",,2,2014
24,,158,25.0,+1:14,,Wallays Jelle,37,Topsport Vlaanderen - Baloise,",, 0:48",,2,2014
28,,34,29.0,+1:14,,Kohler Martin,38,BMC Racing Team,",, 0:48",,2,2014
31,,147,32.0,+1:51,,Mondory Lloyd,39,AG2R La Mondiale,",, 0:48",,2,2014
36,,46,51.0,+5:47,,Tjallingii Maarten,40,Belkin-Pro Cycling Team,",, 0:48",,2,2014
25,,114,48.0,+3:31,,Keukeleire Jens,41,Orica GreenEDGE,",, 0:48",,2,2014
22,,45,20.0,+1:14,,Markus Barry,42,Belkin-Pro Cycling Team,",, 0:48",,2,2014
21,,18,86.0,+11:26,,Stuyven Jasper,43,Trek Factory Racing,",, 0:48",,2,2014
24,,85,83.0,+11:26,,Kuznetsov Viacheslav,44,Team Katusha,",, 0:48",,2,2014
27,,115,15.0,+1:13,,Kruopis Aidis,45,Orica GreenEDGE,",, 0:48",,2,2014
26,,74,31.0,+1:14,,Guarnieri Jacopo,46,Astana Pro Team,",, 0:48",,2,2014
33,,5,26.0,+1:14,,Steegmans Gert,47,Omega Pharma - Quick-Step,",, 0:48",,2,2014
33,,121,87.0,+11:26,,Bennati Daniele,48,Tinkoff - Saxo,",, 0:48",,2,2014
22,,35,93.0,+13:06,,Lander Sebastian,49,BMC Racing Team,2:28 2:28,,2,2014
33,,96,95.0,+13:06,,Longo Borghini Paolo,50,Cannondale,",, 2:28",,2,2014
23,,33,44.0,+2:54,,Dillier Silvan,51,BMC Racing Team,",, 2:28",,2,2014
25,,135,134.0,+19:41,,Schorn Daniel,52,Team NetApp \u2013 Endura,",, 2:28",,2,2014
24,,88,90.0,+13:06,,Tsatevich Alexey,53,Team Katusha,",, 2:28",,2,2014
27,,104,47.0,+3:31,,Goddaert Kristof,54,IAM Cycling,",, 2:28",,2,2014
25,,127,49.0,+3:56,,Kump Marko,55,Tinkoff - Saxo,",, 2:28",,2,2014
31,,155,91.0,+13:06,,Van Hecke Preben,56,Topsport Vlaanderen - Baloise,",, 2:28",,2,2014
35,,103,38.0,+2:48,,Elmiger Martin,57,IAM Cycling,",, 2:28",,2,2014
26,,132,45.0,+2:54,,Dempster Zakkari,58,Team NetApp \u2013 Endura,",, 2:28",,2,2014
34,,165,92.0,+13:06,,Jones Chris,59,UnitedHealthcare Pro Cycling Team,",, 2:28",,2,2014
27,,83,94.0,+13:06,,Isaychev Vladimir,60,Team Katusha,",, 2:28",,2,2014
22,,157,43.0,+2:54,,Waeytens Zico,61,Topsport Vlaanderen - Baloise,",, 2:28",,2,2014
27,,138,96.0,+13:06,,Voss Paul,62,Team NetApp \u2013 Endura,",, 2:28",,2,2014
