Rank,Rider,Team,Points,stage_nr
4,Geschke Simon,Team Sunweb,13,4
5,Gallopin Tony,,11,4
6,De Marchi Alessandro,BMC Racing Team,10,4
7,Calmejane Lilian,Direct Energie,9,4
8,Benoot Tiesj,,8,4
9,Lammertink Maurits,Team Katusha - Alpecin,7,4
10,Martin Tony,Team Katusha - Alpecin,6,4
11,Roche Nicolas,BMC Racing Team,5,4
12,Sicard Romain,Direct Energie,4,4
13,Mollema Bauke,Trek - Segafredo,3,4
14,Ulissi Diego,UAE Team Emirates,2,4
15,Pauwels Serge,Team Dimension Data,1,4
1,Matthews Michael,Team Sunweb,20,4
2,Greipel AndrÃ©,,17,4
3,Colbrelli Sonny,Bahrain Merida Pro Cycling Team,15,4
4,Sinkeldam Ramon,Team Sunweb,13,4
5,Howson Damien,ORICA-Scott,11,4
6,Chaves Johan Esteban,ORICA-Scott,10,4
7,Albasini Michael,ORICA-Scott,9,4
8,Keukeleire Jens,ORICA-Scott,8,4
9,Yates Simon,ORICA-Scott,7,4
10,Timmer Albert,Team Sunweb,6,4
11,Cummings Stephen,Team Dimension Data,5,4
12,Knees Christian,Team Sky,4,4
13,Kwiatkowski Michal,Team Sky,3,4
14,Thwaites Scott,Team Dimension Data,2,4
15,De Marchi Alessandro,BMC Racing Team,1,4
1,Matthews Michael,Team Sunweb,20,4
2,De Gendt Thomas,,17,4
3,Atapuma John Darwin,UAE Team Emirates,15,4
4,Swift Ben,UAE Team Emirates,13,4
5,Navarro Daniel,"Cofidis, Solutions Crédits",11,4
6,Gogl Michael,Trek - Segafredo,10,4
7,Pauwels Serge,Team Dimension Data,9,4
8,Mollema Bauke,Trek - Segafredo,8,4
9,Minnaard Marco,Wanty - Groupe Gobert,7,4
10,van Baarle Dylan,Cannondale-Drapac Pro Cycling Team,6,4
11,Timmer Albert,Team Sunweb,5,4
12,Edet Nicolas,"Cofidis, Solutions Crédits",4,4
13,Chavanel Sylvain,Direct Energie,3,4
14,Feillu Brice,Fortuneo - Oscaro,2,4
15,Gautier Cyril,AG2R La Mondiale,1,4
1,Colbrelli Sonny,Bahrain Merida Pro Cycling Team,20,4
2,De Gendt Thomas,,17,4
3,Smith Dion,Wanty - Groupe Gobert,15,4
4,Gallopin Tony,,13,4
5,Calmejane Lilian,Direct Energie,11,4
6,Gesbert Elie,Fortuneo - Oscaro,10,4
7,Roelandts Jurgen,,9,4
8,Edet Nicolas,"Cofidis, Solutions Crédits",8,4
9,Stybar Zdenek,Quick-Step Floors,7,4
10,Herrada Jesús,,6,4
11,Marcato Marco,UAE Team Emirates,5,4
12,Chavanel Sylvain,Direct Energie,4,4
13,Sicard Romain,Direct Energie,3,4
14,Swift Ben,UAE Team Emirates,2,4
15,Bakelants Jan,AG2R La Mondiale,1,4
1,De Gendt Thomas,,20,4
2,Gesbert Elie,Fortuneo - Oscaro,17,4
3,Bakelants Jan,AG2R La Mondiale,15,4
4,Calmejane Lilian,Direct Energie,13,4
5,Gallopin Tony,,11,4
6,Boasson Hagen Edvald,Team Dimension Data,10,4
7,Bennati Daniele,,9,4
8,Keukeleire Jens,ORICA-Scott,8,4
9,Mollema Bauke,Trek - Segafredo,7,4
10,Simon Julien,"Cofidis, Solutions CrÃ©dits",6,4
11,Chavanel Sylvain,Direct Energie,5,4
12,Sicard Romain,Direct Energie,4,4
13,Swift Ben,UAE Team Emirates,3,4
14,Molard Rudy,FDJ,2,4
15,Arndt Nikias,Team Sunweb,1,4
1,Bodnar Maciej,BORA - hansgrohe,20,4
2,Kwiatkowski Michal,Team Sky,17,4
3,Froome Christopher,Team Sky,15,4
4,Martin Tony,Team Katusha - Alpecin,13,4
5,Impey Daryl,ORICA-Scott,11,4
6,Contador Alberto,Trek - Segafredo,10,4
7,Arndt Nikias,Team Sunweb,9,4
8,Uran Rigoberto,Cannondale-Drapac Pro Cycling Team,8,4
9,Küng Stefan,BMC Racing Team,7,4
10,Chavanel Sylvain,Direct Energie,6,4
11,Bauer Jack,Quick-Step Floors,5,4
12,Sütterlin Jasha,,4,4
13,Politt Nils,Team Katusha - Alpecin,3,4
14,Roglic Primoz,Team LottoNL-Jumbo,2,4
15,Landa Mikel,Team Sky,1,4
