Rider,year,stages_cycled
Latasa lasa David,2001,21
Laverde Luis Felipe,2002,21
Laverde Luis Felipe,2003,21
Laverde Luis Felipe,2004,21
Laverde Luis Felipe,2005,21
Laverde Luis Felipe,2006,20
Laverde Luis Felipe,2007,20
Laverde Luis Felipe,2008,20
Le Bon Johan,2013,20
Le Bon Johan,2014,20
Le Floch Guillaume,2009,20
Le Floch Guillaume,2010,20
Le Gac Olivier,2016,21
Le M\xe9vel Christophe,2005,21
Le M\xe9vel Christophe,2011,19
Leaper Thomas,2000,9
Leaper Tom,2000,3
Leaper Tom,2001,9
Leblanc Luc,1998,23
Ledanois Yvon,2000,5
Lefevre David,1998,23
Lefevre Laurent,2005,21
Lefevre Laurent,2006,20
Leipheimer Levi,2008,20
Leipheimer Levi,2009,20
Lelarge Noan,2001,11
Lelekin Sergue\xef,2003,14
Leon Mane Francisco,2001,21
Leon Mane Francisco,2002,21
Leoni Endrio,1998,18
Leoni Endrio,1999,13
Leoni Endrio,2001,18
Leporatti Simone,1998,18
Leukemans Bjorn,2005,21
Levarlet Guillaume,2008,20
Lewis Craig,2010,20
Lewis Craig,2011,17
Lhuillier Regis,2003,18
Ligthart Pim,2013,20
Ligthart Pim,2016,21
Lindeman Bert-Jan,2015,20
Livingston Kevin,2001,21
Ljungblad Jonas,2009,20
Ljungqvist Marcus,2004,21
Lloyd Daniel,2009,20
Lloyd Daniel,2010,20
Lloyd Matthew,2007,20
Lloyd Matthew,2008,20
Lloyd Matthew,2010,20
Lobato Juan Jos\xe9,2015,17
Lobato Ruben,2004,21
Lobato Ruben,2005,21
Lobato Ruben,2006,20
Locatelli Stefano,2013,20
Loda Nicola,1998,23
Loda Nicola,2004,21
Loddo Alberto,2004,18
Loddo Alberto,2006,15
Loddo Alberto,2008,5
Loddo Alberto,2010,10
Lodewyck Klaas,2011,19
Lodewyck Klaas,2013,7
Lombardi Giovanni,2001,21
Lombardi Giovanni,2002,21
Lombardi Giovanni,2003,21
Lombardi Giovanni,2004,21
Lombardi Giovanni,2005,21
Lombardi Giovanni,2006,20
Longo Borghini Paolo,2009,20
Longo Borghini Paolo,2012,1
Longo Borghini Paolo,2013,20
Longo Borghini Paolo,2014,20
Loosli David,2008,20
Loosli David,2010,16
Lopez David,2005,8
Lopez David,2006,20
Lopez David,2009,18
Lopez David,2016,21
Lopez De Munain Alberto,2005,3
Lopez Joaquin,2001,21
Lorenzetto Mirco,2005,21
Lorenzetto Mirco,2006,19
Lorenzetto Mirco,2007,20
Lorenzetto Mirco,2008,12
Losada Alberto,2007,20
Losada Alberto,2010,20
Losada Alberto,2011,19
Losada Alberto,2012,1
Losada Alberto,2014,20
Losada Alberto,2017,21
Lotz Marc,2002,21
Loubet Julien,2007,6
Loubet Julien,2009,7
Louder Jeff,2010,10
Ludewig Jorg,2006,20
Ludvigsson Tobias,2013,20
Ludvigsson Tobias,2014,11
Ludvigsson Tobias,2015,20
Ludvigsson Tobias,2016,21
Ludvigsson Tobias,2017,21
Luengo Anton,2006,20
Luengo Anton,2007,20
Lund Anders,2008,20
Lund Anders,2009,20
Lund Anders,2010,20
Lund Anders,2012,1
Lunghi Denis,2001,21
Lunghi Denis,2002,21
Lunghi Denis,2003,21
Lunke Sindre Skj\xf8stad,2017,21
Luttenberger Peter,1999,22
Luttenberger Peter,2001,21
Luttenberger Peter,2005,21
MAINGUENAUD Fr\xe9d\xe9ric,2001,20
M\xf8rk\xf8v Michael,2010,20
M\xf8rk\xf8v Michael,2011,19
M\xfchlberger Gregor,2017,21
M\xfcller Martin,2007,20
M\xfcller Martin,2009,20
Machado Tiago,2011,19
Machado Tiago,2013,20
Madsen Jimmi,2002,21
Maes Nikolas,2012,1
Maestri Mirco,2016,21
Maestri Mirco,2017,21
Magnani Marco,1998,23
Magnani Marco,1999,22
Magnani Marco,2001,21
Magnusson Glenn,1998,17
Majka Rafa\u0142,2013,20
Majka Rafa\u0142,2014,20
Majka Rafa\u0142,2016,21
Malacarne Davide,2009,16
Malacarne Davide,2011,19
Malacarne Davide,2014,20
Malacarne Davide,2015,20
Malacarne Davide,2016,21
Malaguti Alessandro,2015,20
Malori Adriano,2012,1
Malori Adriano,2014,20
Mamykin Matvey,2017,21
Mancebo Francisco,2000,22
Mandri Ren\xe9,2008,4
Mandri Ren\xe9,2010,10
Mangel Laurent,2007,20
Mangel Laurent,2008,20
Manzano Jesus Maria,2001,7
Manzano Jesus Maria,2002,6
Manzoni Mario,2000,22
Manzoni Mario,2001,21
Manzoni Mario,2002,21
Manzoni Mario,2003,21
Manzoni Mario,2004,21
Mar\xedn Ruber Alveiro,2000,22
Mar\xedn Ruber Alveiro,2002,21
Mar\xedn Ruber Alveiro,2003,21
Mar\xedn Ruber Alveiro,2004,21
Marangoni Alan,2010,20
Marangoni Alan,2011,19
Marangoni Alan,2013,20
Marangoni Alan,2014,20
Marangoni Alan,2015,20
Marcato Marco,2013,20
Marcato Marco,2017,21
Marczynski Tomasz,2017,21
Mareczko Jakub,2016,5
Mareczko Jakub,2017,14
Marentes Wilson Alexander,2013,20
Marichal Thierry,2002,21
Marichal Thierry,2003,14
Marichal Thierry,2005,21
Marichal Thierry,2006,6
Marin Valencia Ruben,2001,21
Marini Mirko,2001,21
Marini Mirko,2003,13
Markov Alexei,2007,8
Martens Paul,2008,20
Martens Paul,2013,20
Martias Rony,2005,21
Martin Daniel,2010,20
Martin Perdiguero Miguel Angel,1998,18
Martin Perdiguero Miguel Angel,1999,22
Martin Perdiguero Miguel Angel,2000,22
Martin Tony,2008,20
Martinelli Davide,2017,21
Martinello Silvio,1998,18
Martinello Silvio,2000,22
Martinez Daniel Felipe,2016,21
Martinez Daniel Felipe,2017,17
Martinez Egoi,2013,20
Martinez Fredy,2000,18
Martinez Serafin,2009,20
Marycz Jaroslaw,2015,11
Marzano Marco,2007,20
Marzano Marco,2009,20
Marzano Marco,2010,20
Marzano Marco,2011,13
Marzoli Ruggero,2002,15
Marzoli Ruggero,2004,21
Marzoli Ruggero,2009,20
Marzoli Ruggero,2011,19
Masciarelli Andrea,2009,20
Masciarelli Andrea,2010,7
Masciarelli Francesco,2009,20
Masciarelli Francesco,2010,7
Masciarelli Francesco,2011,15
Masciarelli Simone,2004,21
Masciarelli Simone,2007,10
Mason Oscar,1998,14
Mason Oscar,1999,22
Mason Oscar,2002,21
Mason Oscar,2003,11
Mason Oscar,2004,21
Massi Rodolfo,2003,21
Mateos perez Rafael,2001,8
Matthews Michael,2014,10
Matthews Michael,2015,13
Matveyev Sergiy,2002,25
Matveyev Sergiy,2006,20
Matysiak Bart\u0142omiej,2015,20
Mayo Iban,2007,20
Mayoz Echeverria Iban,2006,20
Mayoz Echeverria Iban,2009,13
Mayoz Echeverria Iban,2010,20
Mazur Piotr,2006,17
Mazzanti Luca,1998,23
Mazzanti Luca,2002,21
Mazzanti Luca,2003,14
Mazzanti Luca,2004,21
Mazzanti Luca,2005,21
Mazzanti Luca,2006,20
Mazzanti Luca,2007,20
Mazzanti Luca,2008,20
Mazzanti Luca,2009,20
Mazzanti Luca,2010,20
Mazzanti Luca,2011,19
Mazzanti Luca,2012,1
Mazzoleni Eddy,2000,22
Mazzoleni Eddy,2002,21
Mazzoleni Eddy,2003,21
Mazzoleni Eddy,2004,21
Mazzoleni Eddy,2007,20
Mazzoleni Renzo,2001,21
Mazzoleni Renzo,2002,21
Mazzoleni Renzo,2004,21
McCarthy Jay,2014,20
McCarthy Jay,2016,21
McCartney Jason,2005,21
McCartney Jason,2006,20
McCartney Jason,2008,20
McCartney Jason,2009,20
McEwen Robbie,2000,14
McEwen Robbie,2002,12
McEwen Robbie,2003,14
McEwen Robbie,2004,17
McEwen Robbie,2005,14
McEwen Robbie,2006,12
McEwen Robbie,2007,10
McEwen Robbie,2008,12
McEwen Robbie,2010,14
McEwen Robbie,2011,7
McGee Bradley,2000,22
McGee Bradley,2004,21
McGee Bradley,2006,10
McGee Bradley,2008,1
McKenzie David,2000,22
McLeod Ian,2007,2
McRae William Chann,1999,22
McRae William Chann,2000,22
Mccarty Jonathan Patrick,2006,20
Mccarty Jonathan Patrick,2008,12
Mederel Maxime,2014,6
Meersman Gianni,2015,3
Meier Armin,1998,23
Meier Christian,2012,1
Meier Christian,2013,20
Menchov Denis,2008,20
Menchov Denis,2009,20
Menchov Denis,2011,19
Mendes Jos\xe9,2017,21
Merckx Axel,2000,22
Merckx Axel,2006,14
Merckx Axel,2007,20
Merlo Michele,2010,5
Mervar Bostjan,2004,21
Mesa Mesa Hector Orlando,2002,21
Mesa Mesa Hector Orlando,2003,21
Mestre Ricardo,2013,20
Metlushenko Yuri,2002,17
Meyer Cameron,2009,12
Meyer Cameron,2010,20
Meyer Cameron,2011,19
Meyer Cameron,2014,7
Meza Miguel Angel,2002,21
Mezgec Luka,2013,20
Mezgec Luka,2014,20
Mezgec Luka,2015,20
Mezgec Luka,2016,17
Mezgec Luka,2017,21
Miceli Nicola,1998,21
Miceli Nicola,1999,22
Miceli Nicola,2001,5
Michaelsen Lars,2002,21
Mihaylov Nikolay,2015,20
Miholjevic Vladimir,2002,21
Miholjevic Vladimir,2003,21
Miholjevic Vladimir,2004,21
Miholjevic Vladimir,2005,21
Miholjevic Vladimir,2006,13
Miholjevic Vladimir,2007,20
Miholjevic Vladimir,2008,20
Miholjevic Vladimir,2009,20
Miholjevic Vladimir,2010,20
Miholjevic Vladimir,2011,19
Milesi Marco,2000,22
Milesi Marco,2005,21
Millar David,2008,20
Millar David,2009,13
Millar David,2010,12
Millar David,2011,20
Millar David,2013,14
Minali Nicola,1998,7
Minali Nicola,1999,22
Minguez Miguel,2011,19
Minguez Miguel,2012,1
Minguez Miguel,2013,20
Miorin Devis,2001,21
Missaglia Gabriele,1998,23
Missaglia Gabriele,1999,22
Missaglia Gabriele,2000,22
Missaglia Gabriele,2001,21
Missaglia Gabriele,2002,21
Missaglia Gabriele,2006,20
Missaglia Gabriele,2008,20
Mizurov Andrey,2002,21
Mizurov Andrey,2007,20
Mizurov Andrey,2008,19
Modolo Sacha,2010,7
Modolo Sacha,2011,11
Modolo Sacha,2012,1
Modolo Sacha,2013,20
Modolo Sacha,2015,20
Modolo Sacha,2016,21
Modolo Sacha,2017,17
Moerenhout Koos,2000,14
Moerenhout Koos,2003,21
Moerenhout Koos,2007,20
Mohoric Matej,2016,21
Mohoric Matej,2017,21
Moinard Ama\xebl,2006,20
Moinard Ama\xebl,2007,20
Moinard Ama\xebl,2015,20
Molard Rudy,2017,21
Moletta Andrea,2005,21
Moletta Andrea,2006,20
Moletta Andrea,2008,9
Molinari Maurizio,1998,12
Mollema Bauke,2010,20
Mollema Bauke,2017,21
Moller Claus Michael,1998,23
Moncouti\xe9 David,2010,20
Mondini Gianpaolo,2000,22
Mondini Gianpaolo,2001,21
Mondini Gianpaolo,2003,18
Mondory Lloyd,2007,20
Monfort Maxime,2006,20
Monfort Maxime,2014,20
Monfort Maxime,2015,20
Monfort Maxime,2016,21
Monfort Maxime,2017,21
Monier Damien,2008,20
Monier Damien,2010,20
Monnerais Cyrille,2005,21
Monnerais Cyrille,2006,20
Monnerais Cyrille,2007,6
Monsalve Yonathan,2014,20
Monsalve Yonathan,2015,20
Monta\xf1a Ra\xfal,2000,22
Montaguti Matteo,2009,20
Montaguti Matteo,2011,19
Montaguti Matteo,2012,1
Montaguti Matteo,2014,20
Montaguti Matteo,2015,20
Montaguti Matteo,2016,21
Montaguti Matteo,2017,21
Montgomery Sven,2004,15
Montgomery Sven,2005,21
Moos Alexandre,2002,21
Moos Alexandre,2004,21
Morabito Steve,2007,20
Morabito Steve,2008,6
Morabito Steve,2009,20
Morabito Steve,2013,20
Morabito Steve,2014,20
Morabito Steve,2017,21
Moreni Cristian,2000,12
Moreni Cristian,2002,21
Moreni Cristian,2003,12
Moreni Cristian,2004,21
Moreni Cristian,2005,21
Moreni Cristian,2006,6
Moreno Daniel,2010,20
Moreno Daniel,2011,19
Moreno Daniel,2012,1
Moreno Daniel,2014,20
Moreno Javier,2016,7
Moreno Javier,2017,4
Mori Manuele,2004,21
Mori Manuele,2005,21
Mori Manuele,2006,20
Mori Manuele,2007,13
Mori Manuele,2009,20
Mori Manuele,2014,20
Mori Manuele,2015,20
Mori Manuele,2016,21
Mori Massimiliano,2001,21
Moser Moreno,2014,20
Moser Moreno,2016,21
Mourey Francis,2004,21
Mourey Francis,2007,20
Mourey Francis,2012,1
Mourey Francis,2013,20
Mourey Francis,2014,20
Mourey Francis,2015,20
Mouris Jens,2013,20
Muller Dirk,1999,12
Munoz Hernan Dario,2002,21
Munoz Hernan Dario,2003,21
Muraglia Giuseppe,2003,18
Muraglia Giuseppe,2004,21
Muravyev Dmitriy,2005,21
Muravyev Dmitriy,2007,20
Murn Uros,2001,21
Murn Uros,2002,21
Murn Uros,2004,21
Murn Uros,2005,21
Murphy John,2010,7
Naibo Carl,2006,20
Naibo Carl,2007,20
Napolitano Danilo,2007,10
Napolitano Danilo,2011,9
Nardello Daniele,2002,21
Nardello Daniele,2005,12
Nardello Daniele,2008,20
Nauduzs Andris,2000,8
Nauduzs Andris,2003,10
Nauduzs Andris,2004,21
Navardauskas Ramunas,2012,1
Navardauskas Ramunas,2013,20
Navardauskas Ramunas,2016,21
Navarro Daniel,2006,20
Navarro Daniel,2009,20
Navarro Daniel,2011,19
Navas David,1999,22
Navas David,2001,21
Navas David,2005,14
Nazon Damien,2001,9
Nibali Vincenzo,2007,20
Nibali Vincenzo,2008,20
Nibali Vincenzo,2010,21
Nibali Vincenzo,2011,19
Nibali Vincenzo,2013,20
Nibali Vincenzo,2016,21
Nibali Vincenzo,2017,21
Niemiec Przemyslaw,2011,19
Niemiec Przemyslaw,2012,1
Niemiec Przemyslaw,2013,20
Niemiec Przemyslaw,2014,20
Niemiec Przemyslaw,2015,20
Niemiec Przemyslaw,2016,14
Niermann Grischa,2002,21
Niermann Grischa,2005,21
Niermann Grischa,2006,20
Niermann Grischa,2012,1
Nieve Mikel,2011,19
Nieve Mikel,2012,1
Nieve Mikel,2015,20
Nieve Mikel,2016,21
Nizzolo Giacomo,2012,1
Nizzolo Giacomo,2013,20
Nizzolo Giacomo,2014,20
Nizzolo Giacomo,2015,20
Nizzolo Giacomo,2016,21
Nizzolo Giacomo,2017,11
Nocentini Rinaldo,2000,22
Nocentini Rinaldo,2001,21
Nocentini Rinaldo,2003,21
Nocentini Rinaldo,2004,21
Nocentini Rinaldo,2007,20
Nocentini Rinaldo,2008,20
Nocentini Rinaldo,2011,19
Nocentini Rinaldo,2015,20
Nodera Hidenori,2001,13
Nodera Hidenori,2002,21
Noe Andrea,1998,23
Noe Andrea,1999,22
Noe Andrea,2000,22
Noe Andrea,2001,21
Noe Andrea,2002,21
Noe Andrea,2003,21
Noe Andrea,2004,21
Noe Andrea,2005,21
Noe Andrea,2006,21
Noe Andrea,2007,20
Noe Andrea,2008,20
Noe Andrea,2011,12
Nordhaug Lars Petter,2011,19
Nozal Isidro,2001,21
Nuyens Nick,2005,14
Nuyens Nick,2008,3
O'Grady Stuart,2005,14
O'Grady Stuart,2008,2
O'Neill Nathan,2001,7
Ochoa Carlos Jos\xe9,2008,20
Ochoa Carlos Jos\xe9,2009,20
Ochoa Carlos Jos\xe9,2010,20
Ochoa Carlos Jos\xe9,2011,19
Odriozola Jon,2001,21
Olano Abraham,2001,21
Oliveira Nelson,2012,1
Oliveira Nelson,2013,20
Olson Aaron,2006,20
Olson Aaron,2007,20
Ongarato Alberto,2000,22
Ongarato Alberto,2001,21
Ongarato Alberto,2003,18
Ongarato Alberto,2004,21
Ongarato Alberto,2005,21
Ongarato Alberto,2006,20
Ongarato Alberto,2007,8
Ongarato Alberto,2008,20
Ongarato Alberto,2011,19
Ongarato Rodolfo,1999,22
Ordowski Volker,2005,15
Ordowski Volker,2006,18
Ordowski Volker,2008,9
Oroz Juan Jos\xe9,2011,13
Oroz Juan Jos\xe9,2012,1
Ortenzi Gian Mario,2002,21
Osa Aitor,1999,12
Osa Unai,2000,2
Osa Unai,2001,21
Osa Unai,2005,21
Osa Unai,2006,20
Ospina Dalivier,2013,12
Oss Daniel,2013,20
Oss Daniel,2014,20
Oss Daniel,2016,21
Otero Gustavo Miguel,2001,7
Otero Gustavo Miguel,2002,21
Otxoa Javier,1998,18
Otxoa Ricardo,2000,22
Ovechkin Artem,2016,21
Owsian Lukasz,2015,20
Owsian Lukasz,2017,21
Oyarzun Carlos,2011,19
P\xf6stlberger Lukas,2017,21
Padrnos Pavel,1998,23
Padrnos Pavel,1999,22
Padrnos Pavel,2000,22
Padrnos Pavel,2001,21
Padrnos Pavel,2005,21
Padrnos Pavel,2006,20
Padrnos Pavel,2007,20
Pagani Angelo,2012,1
Pagliarini Luciano Andr\xe9,2004,18
Pagliarini Luciano Andr\xe9,2008,12
Pagoto Andrea,2007,20
Palumbo Giuseppe,1998,18
Palumbo Giuseppe,1999,12
Palumbo Giuseppe,2000,22
Palumbo Giuseppe,2003,18
Palumbo Giuseppe,2007,20
Palumbo Giuseppe,2009,20
Panetta Stefano,1999,22
Pantani Marco,1998,23
Pantani Marco,1999,20
Pantani Marco,2000,22
Pantani Marco,2001,19
Pantani Marco,2002,17
Pantani Marco,2003,21
Pantano Jarlinson,2013,20
Pantano Jarlinson,2014,20
Paolini Luca,2013,20
Paolini Luca,2014,20
Paolini Luca,2015,20
Pardilla Sergio,2011,19
Pardilla Sergio,2012,1
Parra Ivan Ramiro,2000,11
Parra Ivan Ramiro,2005,21
Parra Ivan Ramiro,2006,20
Parra Ivan Ramiro,2007,20
Pasamontes Luis,2008,20
Pasamontes Luis,2011,19
Patanchon Fabien,2007,20
Pate Danny,2008,20
Pate Danny,2009,20
Pate Danny,2013,20
Paterski Maciej,2015,20
Paterski Maciej,2017,21
Patuelli Andrea,1998,23
Paulinho S\xe9rgio,2015,20
Pauriol R\xe9mi,2006,20
Pauwels Serge,2009,20
Pauwels Serge,2012,1
Pauwels Serge,2013,20
Pauwels Serge,2014,20
Pe\xf1a Miguel \xc1ngel,1999,22
Pe\xf1a Miguel \xc1ngel,2001,9
Pe\xf1a Victor Hugo,1999,22
Pe\xf1a Victor Hugo,2000,22
Pe\xf1a Victor Hugo,2006,20
Pedersen Mads,2017,21
Pedersen Martin,2010,10
Pefetto Filippo,2002,6
Pellicioli Oscar,1999,22
Pellicioli Oscar,2000,22
Pellizotti Franco,2002,21
Pellizotti Franco,2003,21
Pellizotti Franco,2004,21
Pellizotti Franco,2006,21
Pellizotti Franco,2007,20
Pellizotti Franco,2008,20
Pellizotti Franco,2009,20
Pellizotti Franco,2013,20
Pellizotti Franco,2014,20
Pellizotti Franco,2015,20
Pellizotti Franco,2017,21
Pelucchi Matteo,2015,9
Pelucchi Matteo,2016,6
Pelucchi Matteo,2017,10
Pena Aketza,2007,15
Pepoli Cristian,2001,21
Peraud Jean-Christophe,2016,3
Pereiro Oscar,2002,21
Perez Aitor,2007,20
Perez Alan,2008,20
Perez Cuapio Julio Alberto,2000,8
Perez Cuapio Julio Alberto,2001,21
Perez Cuapio Julio Alberto,2002,21
Perez Cuapio Julio Alberto,2003,18
Perez Cuapio Julio Alberto,2004,21
Perez Cuapio Julio Alberto,2005,21
Perez Cuapio Julio Alberto,2006,20
Perez Cuapio Julio Alberto,2007,20
Perez Cuapio Julio Alberto,2008,20
Perez Francisco,2006,21
Perez Francisco,2008,20
Perez Francisco,2009,2
Perez Marlon Alirio,2004,21
Perez Marlon Alirio,2005,7
Perez Marlon Alirio,2008,20
Perez Santiago,2002,9
Perget Mathieu,2007,20
Perget Mathieu,2008,20
Perget Mathieu,2009,20
Perget Mathieu,2012,1
Peron Andrea,1999,22
Peron Andrea,2000,22
Peron Andrea,2001,21
Peron Andrea,2002,21
Peron Andrea,2005,21
Perque Franck,2000,2
Petacchi Alessandro,1998,18
Petacchi Alessandro,1999,22
Petacchi Alessandro,2000,22
Petacchi Alessandro,2002,21
Petacchi Alessandro,2003,18
Petacchi Alessandro,2004,21
Petacchi Alessandro,2005,21
Petacchi Alessandro,2006,4
Petacchi Alessandro,2007,20
Petacchi Alessandro,2009,20
Petacchi Alessandro,2010,7
Petacchi Alessandro,2011,12
Petacchi Alessandro,2014,15
Petacchi Alessandro,2015,19
Petersen J\xf8rgen Bo,2003,18
Peterson Tom,2011,19
Petilli Simone,2016,21
Petilli Simone,2017,21
Petito Roberto,1999,22
Petito Roberto,2001,21
Petrov Evgeni,2005,21
Petrov Evgeni,2006,20
Petrov Evgeni,2007,20
Petrov Evgeni,2008,20
Petrov Evgeni,2009,20
Petrov Evgeni,2010,20
Petrov Evgeni,2011,19
Petrov Evgeni,2012,1
Petrov Evgeni,2013,20
Petrov Evgeni,2014,20
Petrov Evgeni,2016,21
Pfannberger Christian,2008,14
Phinney Taylor,2012,1
Phinney Taylor,2013,16
Pibernik Luka,2017,21
Piccoli Mariano,1998,23
Piccoli Mariano,1999,22
Piccoli Mariano,2000,22
Piccoli Mariano,2001,21
Piccoli Mariano,2002,21
Piccoli Mariano,2003,3
Piccoli Mariano,2004,21
Pichon Laurent,2013,20
Pichon Laurent,2014,20
Pichon Mickael,2001,10
Pichot Alexandre,2007,20
Pidgornyy Ruslan,2009,7
Piepoli Leonardo,1998,23
Piepoli Leonardo,1999,12
Piepoli Leonardo,2000,22
Piepoli Leonardo,2001,7
Piepoli Leonardo,2006,20
Piepoli Leonardo,2007,20
Piepoli Leonardo,2008,14
Pierdomenico Germano,1998,17
Pieri Dario,1999,22
Pieri Dario,2000,18
Pieri Dario,2003,18
Pietropolli Daniele,2003,21
Pietropolli Daniele,2004,21
Pietropolli Daniele,2008,20
Pietropolli Daniele,2009,20
Pietropolli Daniele,2012,1
Pietropolli Daniele,2013,20
Pineau C\xe9dric,2015,20
Pineau J\xe9rome,2010,20
Pineau J\xe9rome,2011,19
Pineau J\xe9rome,2013,20
Pineau J\xe9rome,2015,17
Pinot Thibaut,2017,21
Pinotti Marco,2005,21
Pinotti Marco,2006,20
Pinotti Marco,2007,20
Pinotti Marco,2008,20
Pinotti Marco,2009,20
Pinotti Marco,2010,20
Pinotti Marco,2011,17
Pinotti Marco,2012,1
Pirazzi Stefano,2010,20
Pirazzi Stefano,2011,19
Pirazzi Stefano,2012,1
Pirazzi Stefano,2013,20
Pirazzi Stefano,2014,20
Pirazzi Stefano,2015,20
Pirazzi Stefano,2016,21
Pirazzi Stefano,2017,1
Pires Bruno,2011,3
Pires Bruno,2013,20
Plaza Rub\xe9n,2016,21
Plaza Rub\xe9n,2017,21
Podenzana Massimo,1998,23
Podenzana Massimo,1999,20
Podgornik Dean,2004,21
Poels Wout,2014,20
Poilvet Benoit,2006,20
Poitschke Enrico,2008,4
Polanc Jan,2014,20
Polanc Jan,2015,20
Polanc Jan,2017,21
Poljanski Pawel,2014,20
Poljanski Pawel,2016,21
Pollack Olaf,2004,21
Pollack Olaf,2005,15
Pollack Olaf,2006,21
Ponzi Simone,2012,1
Ponzi Simone,2014,20
Ponzi Simone,2017,21
Popovych Yaroslav,2002,21
Popovych Yaroslav,2003,21
Popovych Yaroslav,2004,21
Popovych Yaroslav,2007,11
Popovych Yaroslav,2009,20
Popovych Yaroslav,2011,19
Popovych Yaroslav,2013,20
Porsev Alexander,2015,20
Porsev Alexander,2016,21
Porte Richie,2010,20
Porte Richie,2011,19
Porte Richie,2015,15
Pospyeyev Kyrylo,2004,21
Possoni Morris,2008,20
Possoni Morris,2009,20
Possoni Morris,2010,12
Possoni Morris,2011,19
Power Ciaran,2000,22
Pozzato Filippo,2005,21
Pozzato Filippo,2009,12
Pozzato Filippo,2010,20
Pozzato Filippo,2013,20
Pozzato Filippo,2016,21
Pozzato Filippo,2017,21
Pozzi Alessandro,2000,3
Pozzi Oscar,1999,22
Pozzi Oscar,2000,19
Pozzi Oscar,2003,21
Pozzi Oscar,2004,21
Pozzovivo Domenico,2005,20
Pozzovivo Domenico,2007,20
Pozzovivo Domenico,2008,20
Pozzovivo Domenico,2010,12
Pozzovivo Domenico,2011,13
Pozzovivo Domenico,2012,1
Pozzovivo Domenico,2013,20
Pozzovivo Domenico,2014,20
Pozzovivo Domenico,2015,2
Pozzovivo Domenico,2016,21
Pozzovivo Domenico,2017,21
Pradera Mikel,2006,20
Preidler Georg,2014,20
Preidler Georg,2016,21
Preidler Georg,2017,21
Priamo Matteo,2008,11
Profeti Federico,1998,23
Proni Alessandro,2013,20
Pronk Matthe,2000,22
Przydzial Piotr,2003,6
Puccio Salvatore,2013,20
Puccio Salvatore,2014,20
Puccio Salvatore,2015,20
Puccio Salvatore,2017,21
Pugaci Igor,2002,21
Pugaci Igor,2004,21
Puttini Felice,1998,23
Puttini Felice,1999,22
Quaranta Ivan,1999,12
Quaranta Ivan,2000,14
Quaranta Ivan,2001,21
Quaranta Ivan,2002,13
Quaranta Ivan,2004,11
Quaranta Ivan,2005,8
Quemeneur Perrig,2014,20
Quintana Dayer,2015,20
Quintana Nairo,2014,20
Quintana Nairo,2017,21
Quintero Carlos,2013,10
Quintero Carlos,2014,20
Quinziato Manuel,2003,21
Quinziato Manuel,2009,20
Quinziato Manuel,2014,20
Quinziato Manuel,2016,21
Quinziato Manuel,2017,21
R\xe9za K\xe9vin,2015,20
Rabon Frantisek,2006,20
Rabon Frantisek,2007,20
Rabon Frantisek,2008,20
Rabon Frantisek,2010,20
Rabon Frantisek,2011,13
Rabottini Matteo,2011,19
Rabottini Matteo,2012,1
Rabottini Matteo,2013,20
Rabottini Matteo,2014,20
Rabunal Rios Gonzalo,2009,20
Radaelli Mauro,1998,18
Radaelli Mauro,1999,22
Radaelli Mauro,2002,21
Rafael Cardenas F\xe9lix,2000,19
Rafael Cardenas F\xe9lix,2008,20
Rafael Cardenas F\xe9lix,2009,20
Raimondi Giancarlo,1998,18
Ramirez Javier,2005,21
Ramirez Javier,2006,20
Rasch Gabriel,2010,19
Rasch Gabriel,2012,1
Rasmussen Alex,2011,19
Rasmussen Alex,2012,1
Rasmussen Michael,2002,21
Rasmussen Michael,2005,16
Rasmussen Michael,2006,11
Rasmussen Michael,2007,20
Rast Gregory,2005,21
Rast Gregory,2006,20
Rastelli Ellis,1998,18
Rastelli Ellis,2001,21
Rastelli Ellis,2002,21
Rastelli Ellis,2004,21
Ratto Daniele,2014,20
Ravaioli Ivan,2003,14
Ravard Anthony,2010,12
Ravasi Edward,2017,21
Rebellin Davide,1998,23
Rebellin Davide,1999,22
Rebellin Davide,2000,22
Rebellin Davide,2001,15
Rebellin Davide,2002,13
Rebellin Davide,2004,9
Rebellin Davide,2006,10
Rebellin Davide,2007,9
Rebellin Davide,2008,12
Recinella Graziano,2000,14
Reda Francesco,2009,20
Reda Francesco,2010,16
Reda Francesco,2011,19
Reichenbach Sebastien,2015,15
Reichenbach Sebastien,2017,21
Renier Franck,2005,21
Renier Franck,2007,20
Renshaw Mark,2005,21
Renshaw Mark,2009,12
Renshaw Mark,2011,11
Reynes Vicente,2005,15
Reynes Vicente,2010,20
Reynes Vicente,2013,20
Riblon Christophe,2007,20
Ricci Davide,2011,19
Ricco Riccardo,2007,20
Ricco Riccardo,2008,20
Richard Pascal,1998,6
Richard Pascal,1999,22
Richard Pascal,2000,1
Richeze Ariel Maximiliano,2006,20
Richeze Ariel Maximiliano,2007,20
Richeze Ariel Maximiliano,2015,20
Richeze Ariel Maximiliano,2017,21
Riebenbauer Werner,2003,18
Riera Jordi,2003,21
Righi Daniele,2002,21
Righi Daniele,2004,21
Righi Daniele,2010,20
Righi Daniele,2011,19
Righi Daniele,2012,1
Rigotto Elia,2006,20
Rizzi Antonio,2002,13
Roberts Luke,2010,20
Roberts Luke,2012,1
Robin Jean-Cyril,2001,15
Roche Nicolas,2007,20
Roche Nicolas,2014,20
