Rider,year,stages_cycled
Corti Marco,2010,20
Cortinovis Alessandro,2001,21
Cortinovis Alessandro,2006,20
Cortinovis Alessandro,2007,20
Costa Rui,2017,21
Courteille Arnaud,2014,15
Courteille Arnaud,2015,20
Courteille Arnaud,2016,21
Crosbie Nicolas,2007,20
Cruz Antonio,2005,21
Cuenca Jos\xe9,2001,5
Cuesta \xcd\xf1igo,1999,22
Cuesta \xcd\xf1igo,2006,20
Cuesta \xcd\xf1igo,2010,20
Cummings Stephen,2007,20
Cummings Stephen,2008,20
Cummings Stephen,2010,20
Cummings Stephen,2013,20
Cunego Damiano,2003,21
Cunego Damiano,2004,21
Cunego Damiano,2005,21
Cunego Damiano,2006,21
Cunego Damiano,2007,20
Cunego Damiano,2009,20
Cunego Damiano,2010,20
Cunego Damiano,2012,1
Cunego Damiano,2014,20
Cunego Damiano,2015,17
Cunego Damiano,2016,21
Cusin Remi,2010,20
D Hollander Glenn,2001,9
D' Amore Crescenzo,2003,14
D' Amore Crescenzo,2004,21
D\xe9mare Arnaud,2016,14
Da Cruz Carlos,2003,21
Da Cruz Carlos,2005,21
Da Cruz Carlos,2006,20
Da Dalto Mauro,2009,20
Dall'Antonia Tiziano,2008,20
Dall'Antonia Tiziano,2010,20
Dall'Antonia Tiziano,2011,19
Dall'Antonia Tiziano,2013,20
Dall'Antonia Tiziano,2015,4
Damuseau Thomas,2013,20
Danielson Thomas,2005,10
Danielson Thomas,2006,20
Danielson Thomas,2009,20
Danielson Thomas,2013,20
Danielson Thomas,2015,14
Davis Allan,2009,20
Davis Scott,2003,18
Davis Scott,2004,21
Davis Scott,2006,20
De Angeli Luca,2003,21
De Clercq Bart,2011,19
De Clercq Bart,2012,1
De Clercq Bart,2017,15
De Clercq Hans,2001,21
De Gendt Thomas,2012,1
De Gendt Thomas,2014,20
De La Parte V\xedctor,2017,21
De Los Angeles Juan Jos\xe9,2000,22
De Los Angeles Juan Jos\xe9,2001,4
De Los Angeles Juan Jos\xe9,2002,21
De Marchi Alessandro,2011,19
De Marchi Alessandro,2012,1
De Marchi Alessandro,2016,21
De Negri Pier Paolo,2012,1
De Negri Pier Paolo,2015,20
De Paoli Daniele,1998,23
De Paoli Daniele,1999,22
De Paoli Daniele,2000,22
De Paoli Daniele,2001,21
De Paoli Daniele,2002,21
De Pasquale Maurizio,1998,23
De Pasquale Maurizio,2000,22
De Plus Laurens,2017,21
De Weert Kevin,2008,4
Dean Julian,2005,7
Dean Julian,2007,20
Dean Julian,2008,17
Dean Julian,2009,20
Dean Julian,2010,18
Degano Enrico,2000,14
Degano Enrico,2001,12
Degano Enrico,2002,21
Degenkolb John,2013,10
Dehaes Kenny,2013,20
Dehaes Kenny,2014,18
Deignan Philip,2008,20
Deignan Philip,2009,20
Deignan Philip,2011,19
Deignan Philip,2014,20
Deignan Philip,2016,19
Deignan Philip,2017,21
Dekker Erik,2000,22
Dekker Thomas,2005,21
Dekker Thomas,2013,20
Dekker Thomas,2014,15
Del Nero Jes\xfas,2009,5
Delage Micka\xebl,2006,20
Delage Micka\xebl,2012,1
Delage Micka\xebl,2016,21
Dellavedova Marco,1998,23
Dellavedova Marco,1999,22
Dellavedova Marco,2000,22
Denifl Stefan,2012,1
Denifl Stefan,2016,21
Dennis Rohan,2017,4
Derame Pascal,2001,20
Derepas David,2003,18
Derepas David,2004,21
Derganc Martin,2002,21
Derganc Martin,2004,21
Desbiens Laurent,2001,21
Dessel Cyril,2011,19
Detilloux Christophe,2002,21
Detilloux Christophe,2004,17
Detilloux Christophe,2005,4
Devenyns Dries,2008,20
Devenyns Dries,2009,20
Devenyns Dries,2017,21
Di Biase Moreno,2000,22
Di Biase Moreno,2001,21
Di Biase Moreno,2002,21
Di Biase Moreno,2003,18
Di Biase Moreno,2005,18
Di Grande Giuseppe,1999,22
Di Grande Giuseppe,2001,20
Di Grande Giuseppe,2004,21
Di Luca Danilo,1999,12
Di Luca Danilo,2000,17
Di Luca Danilo,2001,21
Di Luca Danilo,2005,21
Di Luca Danilo,2006,21
Di Luca Danilo,2007,20
Di Luca Danilo,2008,20
Di Luca Danilo,2009,20
Di Luca Danilo,2011,19
Di Luca Danilo,2013,19
Di Renzo Marco Antonio,1998,23
Didier Laurent,2010,20
Didier Laurent,2011,19
Didier Laurent,2016,21
Didier Laurent,2017,11
Diego Ramirez Juan,2002,17
Dierckxsens Ludo,2000,14
Dietziker Andreas,2012,1
Dillier Silvan,2015,20
Dillier Silvan,2016,3
Dillier Silvan,2017,21
Dion Renaud,2006,20
Dion Renaud,2009,20
Docker Mitchell,2014,14
Dockx Bart,2009,20
Dockx Gert,2011,19
Dockx Gert,2013,20
Dockx Gert,2014,20
Dombrowski Joe,2016,21
Dombrowski Joe,2017,21
Dominguez Juan Carlos,1998,23
Dominguez Juan Carlos,2000,8
Dominguez Juan Carlos,2002,21
Dominguez Juan Carlos,2004,9
Domont Axel,2014,20
Domont Axel,2015,20
Domont Axel,2016,21
Donati Alessandro,2009,20
Donati Alessandro,2010,20
Donati Massimo,1999,22
