Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
25,84,48.0,+ 51:34:17,,6.0,Gustov Volodymyr,6,Fassa Bortolo,15:47 15:47,,-,13,2002
23,129,56.0,+ 51:45:33,,7.0,Trampusch Gerhard,7,Mapei - Quickstep,27:03 27:03,,-,13,2002
25,47,59.0,+ 51:46:05,,10.0,Millar David,8,Cofidis,27:35 27:35,,\u25b22,13,2002
22,117,61.0,+ 51:47:39,,8.0,Pineau J\xe9rome,9,Bonjour,29:09 29:09,,\u25bc1,13,2002
23,114,68.0,+ 51:52:01,,9.0,Chavanel Sylvain,10,Bonjour,33:31 33:31,,\u25bc1,13,2002
24,131,86.0,+ 52:01:34,,11.0,Menchov Denis,11,Ibanesto.com,43:04 43:04,,-,13,2002
25,125,97.0,+ 52:08:09,,12.0,Hunter Robert,12,Mapei - Quickstep,49:39 49:39,,-,13,2002
23,92,103.0,+ 52:13:58,,13.0,Casar Sandy,13,La Fran\xe7aise des Jeux,55:28 55:28,,-,13,2002
22,206,111.0,+ 52:16:55,,15.0,Edaleine Christophe,14,Jean Delatour,58:25 58:25,,\u25b21,13,2002
23,185,112.0,+ 52:17:08,,14.0,Flickinger Andy,15,AG2R Pr\xe9voyance,58:38 58:38,,\u25bc1,13,2002
24,39,115.0,+ 52:18:10,,17.0,Zaballa Constantino,16,Kelme - Costa Blanca,59:40 59:40,,\u25b21,13,2002
24,167,120.0,+ 52:20:40,,16.0,Mayo Iban,17,Euskaltel - Euskadi,1:02:10 1:02:10,,\u25bc1,13,2002
25,105,122.0,+ 52:22:32,,18.0,Engels Addy,18,Rabobank ProTeam,1:04:02 1:04:02,,-,13,2002
23,94,123.0,+ 52:22:50,,19.0,Cooke Baden,19,La Fran\xe7aise des Jeux,1:04:20 1:04:20,,-,13,2002
23,153,129.0,+ 52:26:30,,20.0,Bertogliati Rubens,20,Lampre - Daikin,1:08:00 1:08:00,,-,13,2002
24,154,145.0,+ 52:33:56,,21.0,Cortinovis Alessandro,21,Lampre - Daikin,1:15:26 1:15:26,,-,13,2002
25,162,146.0,+ 52:34:23,,22.0,Arrizabalaga Gorka,22,Euskaltel - Euskadi,1:15:53 1:15:53,,-,13,2002
24,93,154.0,+ 52:39:25,,23.0,Casper Jimmy,23,La Fran\xe7aise des Jeux,1:20:55 1:20:55,,-,13,2002
24,64,163.0,+ 52:51:55,,24.0,Hushovd Thor,24,Cr\xe9dit Agricole,1:33:25 1:33:25,,-,13,2002
24,81,11.0,+ 57:05:35,,1.0,Basso Ivan,1,Fassa Bortolo,57:05:35 57:05:35,88.0,-,14,2002
24,91,21.0,+ 57:11:40,,3.0,Vogondy Nicolas,2,La Fran\xe7aise des Jeux,6:05 6:05,50.0,\u25b21,14,2002
25,169,23.0,+ 57:13:24,,4.0,Zubeldia Haimar,3,Euskaltel - Euskadi,7:49 7:49,33.0,\u25b21,14,2002
25,144,42.0,+ 57:23:10,,5.0,Brandt Christophe,4,Lotto - Adecco,17:35 17:35,24.0,\u25b21,14,2002
