Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
25,47,5.0,+9:12,,,Millar David,1,Cofidis,9:13 9:13,,,0,2002
23,153,19.0,+9:24,,,Bertogliati Rubens,2,Lampre - Daikin,0:12 0:12,,,0,2002
24,81,27.0,+9:27,,,Basso Ivan,3,Fassa Bortolo,0:15 0:15,,,0,2002
23,94,28.0,+9:27,,,Cooke Baden,4,La Fran\xe7aise des Jeux,",, 0:15",,,0,2002
23,92,33.0,+9:29,,,Casar Sandy,5,La Fran\xe7aise des Jeux,0:16 0:16,,,0,2002
24,167,39.0,+9:31,,,Mayo Iban,6,Euskaltel - Euskadi,0:19 0:19,,,0,2002
25,169,52.0,+9:35,,,Zubeldia Haimar,7,Euskaltel - Euskadi,0:23 0:23,,,0,2002
24,168,53.0,+9:35,,,S\xe1nchez Samuel,8,Euskaltel - Euskadi,",, 0:23",,,0,2002
25,125,58.0,+9:36,,,Hunter Robert,9,Mapei - Quickstep,",, 0:23",,,0,2002
24,154,59.0,+9:36,,,Cortinovis Alessandro,10,Lampre - Daikin,",, 0:23",,,0,2002
24,91,60.0,+9:36,,,Vogondy Nicolas,11,La Fran\xe7aise des Jeux,0:24 0:24,,,0,2002
25,84,67.0,+9:38,,,Gustov Volodymyr,12,Fassa Bortolo,0:26 0:26,,,0,2002
24,39,75.0,+9:41,,,Zaballa Constantino,13,Kelme - Costa Blanca,0:28 0:28,,,0,2002
24,26,83.0,+9:43,,,Nozal Isidro,14,O.N.C.E. - Eroski,0:31 0:31,,,0,2002
25,144,84.0,+9:43,,,Brandt Christophe,15,Lotto - Adecco,",, 0:31",,,0,2002
25,162,92.0,+9:45,,,Arrizabalaga Gorka,16,Euskaltel - Euskadi,0:32 0:32,,,0,2002
22,117,100.0,+9:46,,,Pineau J\xe9rome,17,Bonjour,0:34 0:34,,,0,2002
24,36,107.0,+9:48,,,Perez Santiago,18,Kelme - Costa Blanca,0:36 0:36,,,0,2002
24,131,108.0,+9:48,,,Menchov Denis,19,Ibanesto.com,",, 0:36",,,0,2002
24,64,124.0,+9:53,,,Hushovd Thor,20,Cr\xe9dit Agricole,0:40 0:40,,,0,2002
22,206,126.0,+9:53,,,Edaleine Christophe,21,Jean Delatour,0:41 0:41,,,0,2002
24,93,130.0,+9:55,,,Casper Jimmy,22,La Fran\xe7aise des Jeux,0:43 0:43,,,0,2002
23,129,143.0,+9:59,,,Trampusch Gerhard,23,Mapei - Quickstep,0:47 0:47,,,0,2002
23,185,149.0,+10:01,,,Flickinger Andy,24,AG2R Pr\xe9voyance,0:49 0:49,,,0,2002
23,114,157.0,+10:03,,,Chavanel Sylvain,25,Bonjour,0:51 0:51,,,0,2002
25,105,172.0,+10:14,,,Engels Addy,26,Rabobank ProTeam,1:01 1:01,,,0,2002
24,156,185.0,+10:31,,,Pagliarini Luciano Andr\xe9,27,Lampre - Daikin,1:18 1:18,,,0,2002
24,165,187.0,+10:35,,,Gonzalez Gorka,28,Euskaltel - Euskadi,1:23 1:23,,,0,2002
23,153,1.0,+0:00,,2.0,Bertogliati Rubens,1,Lampre - Daikin,4:58:21 4:58:21,,\u25b21,1,2002
25,47,6.0,+0:08,,1.0,Millar David,2,Cofidis,0:08 0:08,,\u25bc1,1,2002
24,81,27.0,+0:23,,3.0,Basso Ivan,3,Fassa Bortolo,0:23 0:23,,-,1,2002
23,94,28.0,+0:23,,4.0,Cooke Baden,4,La Fran\xe7aise des Jeux,",, 0:23",,-,1,2002
23,92,33.0,+0:24,,5.0,Casar Sandy,5,La Fran\xe7aise des Jeux,0:24 0:24,,-,1,2002
25,169,45.0,+0:31,,7.0,Zubeldia Haimar,6,Euskaltel - Euskadi,0:31 0:31,,\u25b21,1,2002
24,154,50.0,+0:31,,10.0,Cortinovis Alessandro,7,Lampre - Daikin,",, 0:31",,\u25b23,1,2002
24,91,51.0,+0:32,,11.0,Vogondy Nicolas,8,La Fran\xe7aise des Jeux,0:32 0:32,,\u25b23,1,2002
25,84,56.0,+0:34,,12.0,Gustov Volodymyr,9,Fassa Bortolo,0:34 0:34,,\u25b23,1,2002
24,26,63.0,+0:39,,14.0,Nozal Isidro,10,O.N.C.E. - Eroski,0:39 0:39,,\u25b24,1,2002
25,144,64.0,+0:39,,15.0,Brandt Christophe,11,Lotto - Adecco,",, 0:39",,\u25b24,1,2002
22,117,77.0,+0:42,,17.0,Pineau J\xe9rome,12,Bonjour,0:42 0:42,,\u25b25,1,2002
24,36,82.0,+0:44,,18.0,Perez Santiago,13,Kelme - Costa Blanca,0:44 0:44,,\u25b25,1,2002
24,131,83.0,+0:44,,19.0,Menchov Denis,14,Ibanesto.com,",, 0:44",,\u25b25,1,2002
23,129,101.0,+0:55,,23.0,Trampusch Gerhard,15,Mapei - Quickstep,0:55 0:55,,\u25b28,1,2002
23,185,104.0,+0:57,,24.0,Flickinger Andy,16,AG2R Pr\xe9voyance,0:57 0:57,,\u25b28,1,2002
25,105,118.0,+1:09,,26.0,Engels Addy,17,Rabobank ProTeam,1:09 1:09,,\u25b29,1,2002
22,206,122.0,+1:16,,21.0,Edaleine Christophe,18,Jean Delatour,1:16 1:16,,\u25b23,1,2002
24,39,136.0,+3:56,,13.0,Zaballa Constantino,19,Kelme - Costa Blanca,3:56 3:56,,\u25bc6,1,2002
23,114,141.0,+4:19,,25.0,Chavanel Sylvain,20,Bonjour,4:19 4:19,,\u25b25,1,2002
24,93,145.0,+4:30,,22.0,Casper Jimmy,21,La Fran\xe7aise des Jeux,4:30 4:30,,\u25b21,1,2002
24,167,148.0,+4:40,,6.0,Mayo Iban,22,Euskaltel - Euskadi,4:40 4:40,,\u25bc16,1,2002
24,168,152.0,+4:44,,8.0,S\xe1nchez Samuel,23,Euskaltel - Euskadi,4:44 4:44,,\u25bc15,1,2002
25,125,153.0,+4:44,,9.0,Hunter Robert,24,Mapei - Quickstep,",, 4:44",,\u25bc15,1,2002
25,162,158.0,+4:53,,16.0,Arrizabalaga Gorka,25,Euskaltel - Euskadi,4:53 4:53,,\u25bc9,1,2002
24,64,182.0,+12:14,,20.0,Hushovd Thor,26,Cr\xe9dit Agricole,12:14 12:14,,\u25bc6,1,2002
24,165,187.0,+12:57,,28.0,Gonzalez Gorka,27,Euskaltel - Euskadi,12:57 12:57,,\u25b21,1,2002
24,156,189.0,+17:07,,27.0,Pagliarini Luciano Andr\xe9,28,Lampre - Daikin,17:15 17:15,,\u25bc1,1,2002
23,153,1.0,+0:00,,1.0,Bertogliati Rubens,1,Lampre - Daikin,9:18:12 9:18:12,,-,2,2002
25,47,7.0,+0:08,,2.0,Millar David,2,Cofidis,0:08 0:08,,-,2,2002
24,81,29.0,+0:23,,3.0,Basso Ivan,3,Fassa Bortolo,0:23 0:23,,-,2,2002
23,94,30.0,+0:23,,4.0,Cooke Baden,4,La Fran\xe7aise des Jeux,",, 0:23",,-,2,2002
23,92,35.0,+0:24,,5.0,Casar Sandy,5,La Fran\xe7aise des Jeux,0:24 0:24,,-,2,2002
25,169,46.0,+0:31,,6.0,Zubeldia Haimar,6,Euskaltel - Euskadi,0:31 0:31,,-,2,2002
24,154,50.0,+0:31,,7.0,Cortinovis Alessandro,7,Lampre - Daikin,",, 0:31",,-,2,2002
24,91,51.0,+0:32,,8.0,Vogondy Nicolas,8,La Fran\xe7aise des Jeux,0:32 0:32,,-,2,2002
25,84,56.0,+0:34,,9.0,Gustov Volodymyr,9,Fassa Bortolo,0:34 0:34,,-,2,2002
24,26,63.0,+0:39,,10.0,Nozal Isidro,10,O.N.C.E. - Eroski,0:39 0:39,,-,2,2002
25,144,64.0,+0:39,,11.0,Brandt Christophe,11,Lotto - Adecco,",, 0:39",,-,2,2002
22,117,77.0,+0:42,,12.0,Pineau J\xe9rome,12,Bonjour,0:42 0:42,,-,2,2002
24,36,82.0,+0:44,,13.0,Perez Santiago,13,Kelme - Costa Blanca,0:44 0:44,,-,2,2002
24,131,83.0,+0:44,,14.0,Menchov Denis,14,Ibanesto.com,",, 0:44",,-,2,2002
23,129,101.0,+0:55,,15.0,Trampusch Gerhard,15,Mapei - Quickstep,0:55 0:55,,-,2,2002
23,185,104.0,+0:57,,16.0,Flickinger Andy,16,AG2R Pr\xe9voyance,0:57 0:57,,-,2,2002
25,105,118.0,+1:09,,17.0,Engels Addy,17,Rabobank ProTeam,1:09 1:09,,-,2,2002
22,206,122.0,+1:16,,18.0,Edaleine Christophe,18,Jean Delatour,1:16 1:16,,-,2,2002
24,39,136.0,+3:56,,19.0,Zaballa Constantino,19,Kelme - Costa Blanca,3:56 3:56,,-,2,2002
23,114,138.0,+4:03,,20.0,Chavanel Sylvain,20,Bonjour,4:03 4:03,,-,2,2002
24,93,145.0,+4:30,,21.0,Casper Jimmy,21,La Fran\xe7aise des Jeux,4:30 4:30,,-,2,2002
24,167,148.0,+4:40,,22.0,Mayo Iban,22,Euskaltel - Euskadi,4:40 4:40,,-,2,2002
25,125,151.0,+4:44,,24.0,Hunter Robert,23,Mapei - Quickstep,4:44 4:44,,\u25b21,2,2002
25,162,155.0,+4:53,,25.0,Arrizabalaga Gorka,24,Euskaltel - Euskadi,4:53 4:53,,\u25b21,2,2002
24,168,179.0,+13:00,,23.0,S\xe1nchez Samuel,25,Euskaltel - Euskadi,13:00 13:00,,\u25bc2,2,2002
24,165,182.0,+15:35,,27.0,Gonzalez Gorka,26,Euskaltel - Euskadi,15:35 15:35,,\u25b21,2,2002
24,156,185.0,+17:15,,28.0,Pagliarini Luciano Andr\xe9,27,Lampre - Daikin,17:15 17:15,,\u25b21,2,2002
24,64,189.0,+31:30,,26.0,Hushovd Thor,28,Cr\xe9dit Agricole,31:30 31:30,,\u25bc2,2,2002
23,153,3.0,+0:14,,1.0,Bertogliati Rubens,1,Lampre - Daikin,13:31:49 13:31:49,,-,3,2002
25,47,8.0,+0:22,,2.0,Millar David,2,Cofidis,0:08 0:08,,-,3,2002
23,94,13.0,+0:29,,4.0,Cooke Baden,3,La Fran\xe7aise des Jeux,0:15 0:15,,\u25b21,3,2002
24,81,30.0,+0:37,,3.0,Basso Ivan,4,Fassa Bortolo,0:23 0:23,,\u25bc1,3,2002
23,92,35.0,+0:38,,5.0,Casar Sandy,5,La Fran\xe7aise des Jeux,0:24 0:24,,-,3,2002
25,169,47.0,+0:45,,6.0,Zubeldia Haimar,6,Euskaltel - Euskadi,0:31 0:31,,-,3,2002
24,154,51.0,+0:45,,7.0,Cortinovis Alessandro,7,Lampre - Daikin,",, 0:31",,-,3,2002
24,91,52.0,+0:46,,8.0,Vogondy Nicolas,8,La Fran\xe7aise des Jeux,0:32 0:32,,-,3,2002
25,84,57.0,+0:48,,9.0,Gustov Volodymyr,9,Fassa Bortolo,0:34 0:34,,-,3,2002
24,26,64.0,+0:53,,10.0,Nozal Isidro,10,O.N.C.E. - Eroski,0:39 0:39,,-,3,2002
25,144,65.0,+0:53,,11.0,Brandt Christophe,11,Lotto - Adecco,",, 0:39",,-,3,2002
22,117,77.0,+0:56,,12.0,Pineau J\xe9rome,12,Bonjour,0:42 0:42,,-,3,2002
24,36,82.0,+0:58,,13.0,Perez Santiago,13,Kelme - Costa Blanca,0:44 0:44,,-,3,2002
24,131,83.0,+0:58,,14.0,Menchov Denis,14,Ibanesto.com,",, 0:44",,-,3,2002
23,129,101.0,+1:09,,15.0,Trampusch Gerhard,15,Mapei - Quickstep,0:55 0:55,,-,3,2002
23,185,104.0,+1:11,,16.0,Flickinger Andy,16,AG2R Pr\xe9voyance,0:57 0:57,,-,3,2002
25,105,118.0,+1:23,,17.0,Engels Addy,17,Rabobank ProTeam,1:09 1:09,,-,3,2002
22,206,122.0,+1:30,,18.0,Edaleine Christophe,18,Jean Delatour,1:16 1:16,,-,3,2002
24,39,136.0,+4:10,,19.0,Zaballa Constantino,19,Kelme - Costa Blanca,3:56 3:56,,-,3,2002
23,114,138.0,+4:17,,20.0,Chavanel Sylvain,20,Bonjour,4:03 4:03,,-,3,2002
24,93,145.0,+4:44,,21.0,Casper Jimmy,21,La Fran\xe7aise des Jeux,4:30 4:30,,-,3,2002
24,167,148.0,+4:54,,22.0,Mayo Iban,22,Euskaltel - Euskadi,4:40 4:40,,-,3,2002
25,125,151.0,+4:58,,23.0,Hunter Robert,23,Mapei - Quickstep,4:44 4:44,,-,3,2002
25,162,155.0,+5:07,,24.0,Arrizabalaga Gorka,24,Euskaltel - Euskadi,4:53 4:53,,-,3,2002
24,168,178.0,+13:14,,25.0,S\xe1nchez Samuel,25,Euskaltel - Euskadi,13:00 13:00,,-,3,2002
24,165,181.0,+15:49,,26.0,Gonzalez Gorka,26,Euskaltel - Euskadi,15:35 15:35,,-,3,2002
24,156,184.0,+17:29,,27.0,Pagliarini Luciano Andr\xe9,27,Lampre - Daikin,17:15 17:15,,-,3,2002
24,64,189.0,+31:44,,28.0,Hushovd Thor,28,Cr\xe9dit Agricole,31:30 31:30,,-,3,2002
33,98,,,29.0,1.0,Mengin Christophe,1,La Fran\xe7aise des Jeux,,,-,4,2002
27,183,,,26.0,2.0,Berges Stephane,2,AG2R Pr\xe9voyance,,,-,4,2002
37,155,,,15.0,3.0,Dierckxsens Ludo,3,Lampre - Daikin,,,-,4,2002
28,201,,,9.0,4.0,Halgand Patrice,4,Jean Delatour,,,-,4,2002
23,114,,,6.0,5.0,Chavanel Sylvain,5,Bonjour,,,-,4,2002
28,118,,,5.0,6.0,Renier Franck,6,Bonjour,,,-,4,2002
26,208,,,5.0,7.0,Lefevre Laurent,7,Jean Delatour,,,-,4,2002
25,72,,,3.0,8.0,Bruylandts Dave,8,Domo - Farm Frites,,,-,4,2002
35,95,,,3.0,9.0,Durand Jacky,9,La Fran\xe7aise des Jeux,,,-,4,2002
24,81,,,1.0,12.0,Basso Ivan,10,Fassa Bortolo,,,\u25b22,4,2002
32,71,,,1.0,10.0,Virenque Richard,11,Domo - Farm Frites,,,\u25bc1,4,2002
27,141,,,1.0,11.0,Verbrugghe Rik,12,Lotto - Adecco,,,\u25bc1,4,2002
23,185,,,1.0,13.0,Flickinger Andy,13,AG2R Pr\xe9voyance,,,-,4,2002
24,64,,,1.0,14.0,Hushovd Thor,14,Cr\xe9dit Agricole,,,-,4,2002
24,26,7.0,+0:27,,1.0,Nozal Isidro,1,O.N.C.E. - Eroski,19:06:23 19:06:23,,-,5,2002
25,47,23.0,+1:40,,2.0,Millar David,2,Cofidis,1:13 1:13,,-,5,2002
24,81,24.0,+1:41,,3.0,Basso Ivan,3,Fassa Bortolo,1:14 1:14,,-,5,2002
25,84,25.0,+1:52,,4.0,Gustov Volodymyr,4,Fassa Bortolo,1:25 1:25,,-,5,2002
23,153,32.0,+2:10,,5.0,Bertogliati Rubens,5,Lampre - Daikin,1:43 1:43,,-,5,2002
24,131,44.0,+2:28,,6.0,Menchov Denis,6,Ibanesto.com,2:01 2:01,,-,5,2002
24,36,57.0,+2:51,,7.0,Perez Santiago,7,Kelme - Costa Blanca,2:24 2:24,,-,5,2002
23,94,68.0,+3:31,,8.0,Cooke Baden,8,La Fran\xe7aise des Jeux,3:04 3:04,,-,5,2002
22,117,75.0,+3:43,,9.0,Pineau J\xe9rome,9,Bonjour,3:16 3:16,,-,5,2002
23,92,79.0,+3:46,,10.0,Casar Sandy,10,La Fran\xe7aise des Jeux,3:19 3:19,,-,5,2002
24,91,81.0,+3:54,,11.0,Vogondy Nicolas,11,La Fran\xe7aise des Jeux,3:27 3:27,,-,5,2002
25,144,84.0,+3:59,,12.0,Brandt Christophe,12,Lotto - Adecco,3:32 3:32,,-,5,2002
22,206,98.0,+4:20,,15.0,Edaleine Christophe,13,Jean Delatour,3:53 3:53,,\u25b22,5,2002
23,129,105.0,+4:30,,13.0,Trampusch Gerhard,14,Mapei - Quickstep,4:03 4:03,,\u25bc1,5,2002
25,169,107.0,+4:41,,14.0,Zubeldia Haimar,15,Euskaltel - Euskadi,4:14 4:14,,\u25bc1,5,2002
23,185,116.0,+5:09,,16.0,Flickinger Andy,16,AG2R Pr\xe9voyance,4:42 4:42,,-,5,2002
24,39,120.0,+6:03,,17.0,Zaballa Constantino,17,Kelme - Costa Blanca,5:36 5:36,,-,5,2002
23,114,130.0,+7:04,,18.0,Chavanel Sylvain,18,Bonjour,6:37 6:37,,-,5,2002
25,125,143.0,+8:19,,21.0,Hunter Robert,19,Mapei - Quickstep,7:52 7:52,,\u25b22,5,2002
24,93,145.0,+8:37,,22.0,Casper Jimmy,20,La Fran\xe7aise des Jeux,8:10 8:10,,\u25b22,5,2002
24,167,147.0,+8:50,,23.0,Mayo Iban,21,Euskaltel - Euskadi,8:23 8:23,,\u25b22,5,2002
24,154,163.0,+14:38,,19.0,Cortinovis Alessandro,22,Lampre - Daikin,14:11 14:11,,\u25bc3,5,2002
25,105,166.0,+15:16,,20.0,Engels Addy,23,Rabobank ProTeam,14:49 14:49,,\u25bc3,5,2002
25,162,169.0,+16:22,,24.0,Arrizabalaga Gorka,24,Euskaltel - Euskadi,15:55 15:55,,-,5,2002
24,168,172.0,+17:10,,25.0,S\xe1nchez Samuel,25,Euskaltel - Euskadi,16:43 16:43,,-,5,2002
24,156,184.0,+24:03,,27.0,Pagliarini Luciano Andr\xe9,26,Lampre - Daikin,23:36 23:36,,\u25b21,5,2002
24,165,186.0,+29:26,,26.0,Gonzalez Gorka,27,Euskaltel - Euskadi,28:59 28:59,,\u25bc1,5,2002
24,64,187.0,+33:46,,28.0,Hushovd Thor,28,Cr\xe9dit Agricole,33:19 33:19,,-,5,2002
24,26,7.0,+0:27,,1.0,Nozal Isidro,1,O.N.C.E. - Eroski,23:29:30 23:29:30,,-,6,2002
25,47,23.0,+1:40,,2.0,Millar David,2,Cofidis,1:13 1:13,,-,6,2002
24,81,24.0,+1:41,,3.0,Basso Ivan,3,Fassa Bortolo,1:14 1:14,,-,6,2002
25,84,25.0,+1:52,,4.0,Gustov Volodymyr,4,Fassa Bortolo,1:25 1:25,,-,6,2002
23,153,33.0,+2:10,,5.0,Bertogliati Rubens,5,Lampre - Daikin,1:43 1:43,,-,6,2002
24,131,44.0,+2:28,,6.0,Menchov Denis,6,Ibanesto.com,2:01 2:01,,-,6,2002
24,36,57.0,+2:51,,7.0,Perez Santiago,7,Kelme - Costa Blanca,2:24 2:24,,-,6,2002
23,94,68.0,+3:31,,8.0,Cooke Baden,8,La Fran\xe7aise des Jeux,3:04 3:04,,-,6,2002
22,117,75.0,+3:43,,9.0,Pineau J\xe9rome,9,Bonjour,3:16 3:16,,-,6,2002
23,92,78.0,+3:46,,10.0,Casar Sandy,10,La Fran\xe7aise des Jeux,3:19 3:19,,-,6,2002
24,91,80.0,+3:54,,11.0,Vogondy Nicolas,11,La Fran\xe7aise des Jeux,3:27 3:27,,-,6,2002
25,144,83.0,+3:59,,12.0,Brandt Christophe,12,Lotto - Adecco,3:32 3:32,,-,6,2002
22,206,97.0,+4:20,,13.0,Edaleine Christophe,13,Jean Delatour,3:53 3:53,,-,6,2002
23,129,104.0,+4:30,,14.0,Trampusch Gerhard,14,Mapei - Quickstep,4:03 4:03,,-,6,2002
25,169,105.0,+4:41,,15.0,Zubeldia Haimar,15,Euskaltel - Euskadi,4:14 4:14,,-,6,2002
24,39,116.0,+6:03,,17.0,Zaballa Constantino,16,Kelme - Costa Blanca,5:36 5:36,,\u25b21,6,2002
23,114,126.0,+7:04,,18.0,Chavanel Sylvain,17,Bonjour,6:37 6:37,,\u25b21,6,2002
25,125,139.0,+8:19,,19.0,Hunter Robert,18,Mapei - Quickstep,7:52 7:52,,\u25b21,6,2002
24,93,141.0,+8:37,,20.0,Casper Jimmy,19,La Fran\xe7aise des Jeux,8:10 8:10,,\u25b21,6,2002
24,167,143.0,+8:50,,21.0,Mayo Iban,20,Euskaltel - Euskadi,8:23 8:23,,\u25b21,6,2002
24,154,159.0,+14:38,,22.0,Cortinovis Alessandro,21,Lampre - Daikin,14:11 14:11,,\u25b21,6,2002
25,105,162.0,+15:16,,23.0,Engels Addy,22,Rabobank ProTeam,14:49 14:49,,\u25b21,6,2002
25,162,165.0,+16:22,,24.0,Arrizabalaga Gorka,23,Euskaltel - Euskadi,15:55 15:55,,\u25b21,6,2002
24,168,168.0,+17:10,,25.0,S\xe1nchez Samuel,24,Euskaltel - Euskadi,16:43 16:43,,\u25b21,6,2002
23,185,169.0,+17:12,,16.0,Flickinger Andy,25,AG2R Pr\xe9voyance,16:45 16:45,,\u25bc9,6,2002
24,156,182.0,+24:03,,26.0,Pagliarini Luciano Andr\xe9,26,Lampre - Daikin,23:36 23:36,,-,6,2002
24,165,184.0,+29:26,,27.0,Gonzalez Gorka,27,Euskaltel - Euskadi,28:59 28:59,,-,6,2002
24,64,185.0,+33:46,,28.0,Hushovd Thor,28,Cr\xe9dit Agricole,33:19 33:19,,-,6,2002
24,26,5.0,+0:27,,1.0,Nozal Isidro,1,O.N.C.E. - Eroski,27:40:26 27:40:26,38.0,-,7,2002
25,47,20.0,+1:40,,2.0,Millar David,2,Cofidis,1:13 1:13,32.0,-,7,2002
24,81,21.0,+1:41,,3.0,Basso Ivan,3,Fassa Bortolo,1:14 1:14,24.0,-,7,2002
24,131,39.0,+2:28,,6.0,Menchov Denis,4,Ibanesto.com,2:01 2:01,21.0,\u25b22,7,2002
24,36,50.0,+2:51,,7.0,Perez Santiago,5,Kelme - Costa Blanca,2:24 2:24,19.0,\u25b22,7,2002
23,94,62.0,+3:31,,8.0,Cooke Baden,6,La Fran\xe7aise des Jeux,3:04 3:04,16.0,\u25b22,7,2002
25,84,63.0,+3:32,,4.0,Gustov Volodymyr,7,Fassa Bortolo,3:05 3:05,16.0,\u25bc3,7,2002
23,92,69.0,+3:46,,10.0,Casar Sandy,8,La Fran\xe7aise des Jeux,3:19 3:19,15.0,\u25b22,7,2002
24,91,71.0,+3:54,,11.0,Vogondy Nicolas,9,La Fran\xe7aise des Jeux,3:27 3:27,14.0,\u25b22,7,2002
23,129,84.0,+4:30,,14.0,Trampusch Gerhard,10,Mapei - Quickstep,4:03 4:03,12.0,\u25b24,7,2002
25,169,87.0,+4:41,,15.0,Zubeldia Haimar,11,Euskaltel - Euskadi,4:14 4:14,11.0,\u25b24,7,2002
25,144,89.0,+4:50,,12.0,Brandt Christophe,12,Lotto - Adecco,4:23 4:23,9.0,-,7,2002
22,206,94.0,+5:11,,13.0,Edaleine Christophe,13,Jean Delatour,4:44 4:44,9.0,-,7,2002
23,153,102.0,+5:56,,5.0,Bertogliati Rubens,14,Lampre - Daikin,5:29 5:29,9.0,\u25bc9,7,2002
24,39,106.0,+6:30,,16.0,Zaballa Constantino,15,Kelme - Costa Blanca,6:03 6:03,7.0,\u25b21,7,2002
22,117,111.0,+6:54,,9.0,Pineau J\xe9rome,16,Bonjour,6:27 6:27,7.0,\u25bc7,7,2002
23,114,123.0,+8:30,,17.0,Chavanel Sylvain,17,Bonjour,8:03 8:03,6.0,-,7,2002
25,125,125.0,+8:56,,18.0,Hunter Robert,18,Mapei - Quickstep,8:29 8:29,6.0,-,7,2002
24,167,130.0,+9:49,,20.0,Mayo Iban,19,Euskaltel - Euskadi,9:22 9:22,4.0,\u25b21,7,2002
24,93,145.0,+12:23,,19.0,Casper Jimmy,20,La Fran\xe7aise des Jeux,11:56 11:56,4.0,\u25bc1,7,2002
24,154,155.0,+15:37,,21.0,Cortinovis Alessandro,21,Lampre - Daikin,15:10 15:10,3.0,-,7,2002
24,168,159.0,+17:10,,24.0,S\xe1nchez Samuel,22,Euskaltel - Euskadi,16:43 16:43,3.0,\u25b22,7,2002
25,162,162.0,+18:02,,23.0,Arrizabalaga Gorka,23,Euskaltel - Euskadi,17:35 17:35,3.0,-,7,2002
23,185,164.0,+18:52,,25.0,Flickinger Andy,24,AG2R Pr\xe9voyance,18:25 18:25,3.0,\u25b21,7,2002
25,105,166.0,+19:02,,22.0,Engels Addy,25,Rabobank ProTeam,18:35 18:35,2.0,\u25bc3,7,2002
24,156,182.0,+28:23,,26.0,Pagliarini Luciano Andr\xe9,26,Lampre - Daikin,27:56 27:56,2.0,-,7,2002
24,165,183.0,+30:07,,27.0,Gonzalez Gorka,27,Euskaltel - Euskadi,29:40 29:40,2.0,-,7,2002
24,64,184.0,+33:46,,28.0,Hushovd Thor,28,Cr\xe9dit Agricole,33:19 33:19,1.0,-,7,2002
24,26,5.0,+0:27,,1.0,Nozal Isidro,1,O.N.C.E. - Eroski,32:19:13 32:19:13,,-,8,2002
25,47,20.0,+1:40,,2.0,Millar David,2,Cofidis,1:13 1:13,,-,8,2002
24,81,21.0,+1:41,,3.0,Basso Ivan,3,Fassa Bortolo,1:14 1:14,,-,8,2002
24,131,39.0,+2:28,,4.0,Menchov Denis,4,Ibanesto.com,2:01 2:01,,-,8,2002
24,36,51.0,+2:51,,5.0,Perez Santiago,5,Kelme - Costa Blanca,2:24 2:24,,-,8,2002
23,94,64.0,+3:31,,6.0,Cooke Baden,6,La Fran\xe7aise des Jeux,3:04 3:04,,-,8,2002
25,84,65.0,+3:32,,7.0,Gustov Volodymyr,7,Fassa Bortolo,3:05 3:05,,-,8,2002
23,92,67.0,+3:40,,8.0,Casar Sandy,8,La Fran\xe7aise des Jeux,3:13 3:13,,-,8,2002
24,91,74.0,+4:02,,9.0,Vogondy Nicolas,9,La Fran\xe7aise des Jeux,3:35 3:35,,-,8,2002
23,129,85.0,+4:30,,10.0,Trampusch Gerhard,10,Mapei - Quickstep,4:03 4:03,,-,8,2002
25,169,87.0,+4:41,,11.0,Zubeldia Haimar,11,Euskaltel - Euskadi,4:14 4:14,,-,8,2002
25,144,89.0,+4:50,,12.0,Brandt Christophe,12,Lotto - Adecco,4:23 4:23,,-,8,2002
22,206,95.0,+5:11,,13.0,Edaleine Christophe,13,Jean Delatour,4:44 4:44,,-,8,2002
23,153,102.0,+5:56,,14.0,Bertogliati Rubens,14,Lampre - Daikin,5:29 5:29,,-,8,2002
24,39,104.0,+6:30,,15.0,Zaballa Constantino,15,Kelme - Costa Blanca,6:03 6:03,,-,8,2002
22,117,108.0,+6:54,,16.0,Pineau J\xe9rome,16,Bonjour,6:27 6:27,,-,8,2002
23,114,121.0,+8:30,,17.0,Chavanel Sylvain,17,Bonjour,8:03 8:03,,-,8,2002
25,125,123.0,+8:56,,18.0,Hunter Robert,18,Mapei - Quickstep,8:29 8:29,,-,8,2002
24,167,127.0,+9:49,,19.0,Mayo Iban,19,Euskaltel - Euskadi,9:22 9:22,,-,8,2002
24,93,150.0,+14:48,,20.0,Casper Jimmy,20,La Fran\xe7aise des Jeux,14:21 14:21,,-,8,2002
24,154,153.0,+15:37,,21.0,Cortinovis Alessandro,21,Lampre - Daikin,15:10 15:10,,-,8,2002
24,168,157.0,+17:10,,22.0,S\xe1nchez Samuel,22,Euskaltel - Euskadi,16:43 16:43,,-,8,2002
25,162,160.0,+18:02,,23.0,Arrizabalaga Gorka,23,Euskaltel - Euskadi,17:35 17:35,,-,8,2002
25,105,163.0,+19:02,,25.0,Engels Addy,24,Rabobank ProTeam,18:35 18:35,,\u25b21,8,2002
23,185,167.0,+21:20,,24.0,Flickinger Andy,25,AG2R Pr\xe9voyance,20:53 20:53,,\u25bc1,8,2002
24,156,179.0,+30:51,,26.0,Pagliarini Luciano Andr\xe9,26,Lampre - Daikin,30:24 30:24,,-,8,2002
24,165,180.0,+31:18,,27.0,Gonzalez Gorka,27,Euskaltel - Euskadi,30:51 30:51,,-,8,2002
24,64,182.0,+33:46,,28.0,Hushovd Thor,28,Cr\xe9dit Agricole,33:19 33:19,,-,8,2002
25,47,7.0,+2:11,,2.0,Millar David,1,Cofidis,33:23:34 33:23:34,,\u25b21,9,2002
