Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,year,stage
50,Williams Robert,23,Drapac - Porsche Cycling,,,+0:00,",, 2:25",2009,3
51,Lewis Joe,20,Drapac - Porsche Cycling,,,+0:00,",, 2:25",2009,3
52,Rosseler Sebastien,27,Quickstep - Innergetic,,,+0:00,",, 2:25",2009,3
53,Cruz Antonio,37,BMC Racing Team,,,+0:00,",, 2:25",2009,3
54,Friedman Michael,26,Team Garmin - Slipstream,,,+0:00,",, 2:25",2009,3
55,Duijn Huub,24,Team Garmin - Slipstream,,,+0:00,",, 2:25",2009,3
56,Lang Sebastian,29,Silence - Lotto,,,+0:00,",, 2:25",2009,3
57,Posthuma Joost,27,Rabobank ProTeam,,,+0:00,",, 2:25",2009,3
58,Pollock Rhys,28,Drapac - Porsche Cycling,,,+0:00,",, 2:25",2009,3
59,Gajek Artur,23,Milram,,,+0:00,",, 2:25",2009,3
60,Roels Dominik,22,Milram,,,+0:00,",, 2:25",2009,3
61,Schr\xf6der Bjorn,28,Milram,,,+0:00,",, 2:25",2009,3
62,Fothen Thomas,25,Milram,,,+0:00,",, 2:25",2009,3
63,Henderson Gregory,32,Team Columbia - HTC,,,+0:00,",, 2:25",2009,3
64,Docker Mitchell,22,Skil - Shimano,,,+0:00,",, 2:25",2009,3
65,Poulhies St\xe9phane,23,AG2R La Mondiale,,,+0:00,",, 2:25",2009,3
66,Hoste Leif,31,Silence - Lotto,,,+0:00,",, 2:25",2009,3
67,Hasanin Omar,30,,,,+0:00,6:31 6:31,2009,3
68,Stewart Jackson,28,BMC Racing Team,,,+0:00,7:36 7:36,2009,3
69,Swift Ben,21,Team Katusha,,,+0:00,",, 7:36",2009,3
70,Serov Alexander,26,Team Katusha,,,+0:00,",, 7:36",2009,3
71,Kadri Blel,22,AG2R La Mondiale,,,+0:00,",, 7:36",2009,3
72,Pineau C\xe9dric,23,AG2R La Mondiale,,,+0:00,",, 7:36",2009,3
73,Markov Alexei,29,Team Katusha,,,+0:00,",, 7:36",2009,3
74,Bookwalter Brent,24,BMC Racing Team,,,+0:00,",, 7:36",2009,3
75,Damiens Mickael,22,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 7:36",2009,3
76,Bodnar Maciej,23,Liquigas,,,+0:00,",, 7:36",2009,3
77,Ignatyev Mikhail,23,Team Katusha,,,+0:00,",, 7:36",2009,3
78,Oss Daniel,22,Liquigas,,,+0:00,",, 7:36",2009,3
79,Neyens Maarten,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 7:36",2009,3
80,Shaw Stuart,31,Drapac - Porsche Cycling,,,+0:00,",, 7:36",2009,3
81,Frischkorn William,27,Team Garmin - Slipstream,,,+0:00,",, 7:36",2009,3
82,Neirynck Stijn,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 7:36",2009,3
83,Van Impe Kevin,27,Quickstep - Innergetic,,,+0:00,",, 7:36",2009,3
84,Sabatini Fabio,23,Liquigas,,,+0:00,",, 7:36",2009,3
85,Hulsmans Kevin,30,Quickstep - Innergetic,,,+0:00,",, 7:36",2009,3
86,Mori Massimiliano,35,Lampre - NGC,,,+0:00,",, 7:36",2009,3
87,Okazaki Kazuya,36,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 7:36",2009,3
88,Deroo David,23,Skil - Shimano,,,+0:00,",, 7:36",2009,3
89,Lemoine Cyril,25,Skil - Shimano,,,+0:00,",, 7:36",2009,3
90,Belhani Farid,24,,,,+0:00,",, 7:36",2009,3
91,Ben Hassine Aymen,28,,,,+0:00,10:37 10:37,2009,3
92,Chicchi Francesco,28,Liquigas,,,+0:00,",, 10:37",2009,3
93,Burghardt Marcus,25,Team Columbia - HTC,,,+0:00,12:14 12:14,2009,3
94,Wynants Maarten,26,Quickstep - Innergetic,,,+0:00,",, 12:14",2009,3
95,Vansummeren Johan,27,Silence - Lotto,,,+0:00,",, 12:14",2009,3
96,Smukulis Gatis,21,AG2R La Mondiale,,,+0:00,",, 12:14",2009,3
97,Da Ros Gianni,22,Liquigas,,,+0:00,",, 12:14",2009,3
98,Hannachi Abdelbaset,24,,,,+0:00,",, 12:14",2009,3
