Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,,84,55.0,+1:06,,Didier Laurent,22,Trek Factory Racing,",, 0:14",,2,2014
27,,66,60.0,+1:08,,Schar Michael,23,BMC Racing Team,",, 0:14",,2,2014
34,,41,13.0,+0:32,,Wiggins Bradley,24,Team Sky,",, 0:14",,2,2014
37,,61,46.0,+0:56,,Evans Cadel,25,BMC Racing Team,",, 0:14",,2,2014
22,,123,28.0,+0:43,,Craddock Lawson,26,Team Giant - Shimano,",, 0:14",,2,2014
29,,13,1.0,+0:00,,Martin Tony,27,Omega Pharma - Quick-Step,",, 0:14",,2,2014
24,,32,34.0,+0:46,,Chernetski Sergei,28,Team Katusha,",, 0:14",,2,2014
28,,21,29.0,+0:43,,Capecchi Eros,29,Movistar Team,",, 0:14",,2,2014
30,,155,48.0,+0:59,,Roy J\xe9r\xe9my,30,FDJ.fr,",, 0:14",,2,2014
33,,145,80.0,+1:54,,Iglinskiy Maxim,31,Astana Pro Team,",, 0:14",,2,2014
33,,196,58.0,+1:08,,Rutkiewicz Marek,32,CCC Polsat Polkowice,",, 0:14",,2,2014
23,,127,16.0,+0:36,,Preidler Georg,33,Team Giant - Shimano,",, 0:14",,2,2014
31,,177,78.0,+1:46,,Pichot Alexandre,34,Team Europcar,",, 0:14",,2,2014
33,,57,21.0,+0:39,,Riblon Christophe,35,AG2R La Mondiale,",, 0:14",,2,2014
27,,94,37.0,+0:53,,Clarke Simon,36,Orica GreenEDGE,",, 0:14",,2,2014
27,,181,15.0,+0:34,,Frank Mathias,37,IAM Cycling,",, 0:14",,2,2014
28,,152,61.0,+1:10,,Jeannesson Arnold,38,FDJ.fr,",, 0:14",,2,2014
27,,1,25.0,+0:42,,Costa Rui,39,Lampre - Merida,",, 0:14",,2,2014
29,,26,38.0,+0:53,,Moreno Javier,40,Movistar Team,",, 0:14",,2,2014
27,,104,49.0,+1:00,,Kruijswijk Steven,41,Belkin-Pro Cycling Team,",, 0:14",,2,2014
28,,71,14.0,+0:33,,Kreuziger Roman,42,Tinkoff - Saxo,",, 0:14",,2,2014
28,,112,17.0,+0:38,,Acevedo Janier Alexis,43,Garmin Sharp,",, 0:14",,2,2014
33,,106,31.0,+0:44,,ten Dam Laurens,44,Belkin-Pro Cycling Team,",, 0:14",,2,2014
31,,102,50.0,+1:00,,Clement Stef,45,Belkin-Pro Cycling Team,",, 0:14",,2,2014
33,,78,39.0,+0:54,,Zaugg Oliver,46,Tinkoff - Saxo,",, 0:14",,2,2014
28,,213,47.0,+0:58,,Degand Thomas,47,Wanty - Groupe Gobert,",, 0:14",,2,2014
27,,73,20.0,+0:39,,Boaro Manuele,48,Tinkoff - Saxo,",, 0:14",,2,2014
29,,214,67.0,+1:19,,de Greef Francis,49,Wanty - Groupe Gobert,",, 0:14",,2,2014
31,,65,53.0,+1:04,,Morabito Steve,50,BMC Racing Team,",, 0:14",,2,2014
23,,3,9.0,+0:29,,Cattaneo Mattia,51,Lampre - Merida,",, 0:14",,2,2014
30,,205,11.0,+0:31,,Pardilla Sergio,52,MTN - Qhubeka,",, 0:14",,2,2014
24,,151,23.0,+0:40,,Pinot Thibaut,53,FDJ.fr,",, 0:14",,2,2014
21,,133,12.0,+0:32,,Formolo Davide,54,Cannondale,",, 0:14",,2,2014
25,,7,57.0,+1:07,,Oliveira Nelson,55,Lampre - Merida,",, 0:14",,2,2014
24,,194,79.0,+1:48,,Owsian Lukasz,56,CCC Polsat Polkowice,",, 0:14",,2,2014
29,,138,81.0,+2:02,,Salerno Cristiano,57,Cannondale,",, 0:14",,2,2014
29,,197,74.0,+1:30,,Samoilau Branislau,58,CCC Polsat Polkowice,",, 0:14",,2,2014
29,,143,51.0,+1:01,,Gavazzi Francesco,59,Astana Pro Team,",, 0:14",,2,2014
29,,82,32.0,+0:45,,Busche Matthew,60,Trek Factory Racing,",, 0:14",,2,2014
30,,184,76.0,+1:31,,Haussler Heinrich,61,IAM Cycling,",, 0:14",,2,2014
28,,185,33.0,+0:45,,Hollenstein Reto,62,IAM Cycling,",, 0:14",,2,2014
26,,183,59.0,+1:08,,Fumeaux Jonathan,63,IAM Cycling,",, 0:14",,2,2014
