Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
4,21.0,\u25b217,71,Spilak Simon,30,Team Katusha - Alpecin,16,2017,7
5,22.0,\u25b217,141,Izagirre Ion,28,Bahrain Merida Pro Cycling Team,14,2017,7
6,4.0,\u25bc2,101,Albasini Michael,36,ORICA-Scott,14,2017,7
7,5.0,\u25bc2,186,Warbasse Larry,26,Aqua Blue Sport,13,2017,7
8,6.0,\u25bc2,28,Pozzovivo Domenico,34,AG2R La Mondiale,12,2017,7
9,7.0,\u25bc2,212,Asselman Jesper,27,Roompot - Nederlandse Loterij,12,2017,7
10,8.0,\u25bc2,53,Dougall Nick,24,Team Dimension Data,12,2017,7
11,9.0,\u25bc2,215,Reinders Elmar,25,Roompot - Nederlandse Loterij,12,2017,7
12,10.0,\u25bc2,47,Bevin Patrick,26,Cannondale-Drapac Pro Cycling Team,12,2017,7
13,11.0,\u25bc2,111,Gilbert Philippe,34,Quick-Step Floors,10,2017,7
14,12.0,\u25bc2,13,Dennis Rohan,27,BMC Racing Team,10,2017,7
15,30.0,\u25b215,81,Wellens Tim,26,Lotto Soudal,10,2017,7
16,13.0,\u25bc3,16,K\xfcng Stefan,23,BMC Racing Team,10,2017,7
17,15.0,\u25bc2,171,Costa Rui,30,UAE Team Emirates,9,2017,7
18,16.0,\u25bc2,118,Trentin Matteo,27,Quick-Step Floors,9,2017,7
19,20.0,\u25b21,161,Kruijswijk Steven,30,Team LottoNL-Jumbo,8,2017,7
20,17.0,\u25bc3,48,Woods Michael,30,Cannondale-Drapac Pro Cycling Team,7,2017,7
21,19.0,\u25bc2,162,Boom Lars,31,Team LottoNL-Jumbo,6,2017,7
22,23.0,\u25b21,143,Cink Ondrej,26,Bahrain Merida Pro Cycling Team,6,2017,7
23,,-,41,Dombrowski Joe,26,Cannondale-Drapac Pro Cycling Team,6,2017,7
24,24.0,-,67,Roux Anthony,30,FDJ,6,2017,7
25,25.0,-,153,Degenkolb John,28,Trek - Segafredo,6,2017,7
26,26.0,-,181,Hansen Lasse Norman,25,Aqua Blue Sport,6,2017,7
27,27.0,-,21,Frank Mathias,30,AG2R La Mondiale,4,2017,7
28,28.0,-,218,van der Lijke Nick,25,Roompot - Nederlandse Loterij,4,2017,7
29,29.0,-,57,King Benjamin,28,Team Dimension Data,4,2017,7
30,31.0,\u25b21,22,Bakelants Jan,31,AG2R La Mondiale,3,2017,7
31,32.0,\u25b21,88,Wallays Jelle,28,Lotto Soudal,3,2017,7
32,33.0,\u25b21,142,Bonifazio Niccolo,23,Bahrain Merida Pro Cycling Team,2,2017,7
1,1.0,-,31,Sagan Peter,27,BORA - hansgrohe,37,2017,8
2,2.0,-,12,Caruso Damiano,29,BMC Racing Team,19,2017,8
3,3.0,-,135,Matthews Michael,26,Team Sunweb,18,2017,8
4,4.0,-,71,Spilak Simon,30,Team Katusha - Alpecin,16,2017,8
5,18.0,\u25b213,118,Trentin Matteo,27,Quick-Step Floors,15,2017,8
6,5.0,\u25bc1,141,Izagirre Ion,28,Bahrain Merida Pro Cycling Team,14,2017,8
7,6.0,\u25bc1,101,Albasini Michael,36,ORICA-Scott,14,2017,8
8,7.0,\u25bc1,186,Warbasse Larry,26,Aqua Blue Sport,13,2017,8
9,16.0,\u25b27,16,K\xfcng Stefan,23,BMC Racing Team,13,2017,8
10,8.0,\u25bc2,28,Pozzovivo Domenico,34,AG2R La Mondiale,12,2017,8
11,9.0,\u25bc2,212,Asselman Jesper,27,Roompot - Nederlandse Loterij,12,2017,8
12,10.0,\u25bc2,53,Dougall Nick,24,Team Dimension Data,12,2017,8
13,11.0,\u25bc2,215,Reinders Elmar,25,Roompot - Nederlandse Loterij,12,2017,8
14,31.0,\u25b217,88,Wallays Jelle,28,Lotto Soudal,12,2017,8
15,12.0,\u25bc3,47,Bevin Patrick,26,Cannondale-Drapac Pro Cycling Team,12,2017,8
16,13.0,\u25bc3,111,Gilbert Philippe,34,Quick-Step Floors,10,2017,8
17,14.0,\u25bc3,13,Dennis Rohan,27,BMC Racing Team,10,2017,8
18,28.0,\u25b210,218,van der Lijke Nick,25,Roompot - Nederlandse Loterij,10,2017,8
19,15.0,\u25bc4,81,Wellens Tim,26,Lotto Soudal,10,2017,8
20,17.0,\u25bc3,171,Costa Rui,30,UAE Team Emirates,9,2017,8
21,19.0,\u25bc2,161,Kruijswijk Steven,30,Team LottoNL-Jumbo,8,2017,8
22,,-,177,Modolo Sacha,29,UAE Team Emirates,8,2017,8
23,20.0,\u25bc3,48,Woods Michael,30,Cannondale-Drapac Pro Cycling Team,7,2017,8
24,26.0,\u25b22,181,Hansen Lasse Norman,25,Aqua Blue Sport,7,2017,8
25,,-,18,Schar Michael,30,BMC Racing Team,6,2017,8
26,21.0,\u25bc5,162,Boom Lars,31,Team LottoNL-Jumbo,6,2017,8
27,22.0,\u25bc5,143,Cink Ondrej,26,Bahrain Merida Pro Cycling Team,6,2017,8
28,23.0,\u25bc5,41,Dombrowski Joe,26,Cannondale-Drapac Pro Cycling Team,6,2017,8
29,24.0,\u25bc5,67,Roux Anthony,30,FDJ,6,2017,8
30,25.0,\u25bc5,153,Degenkolb John,28,Trek - Segafredo,6,2017,8
31,27.0,\u25bc4,21,Frank Mathias,30,AG2R La Mondiale,4,2017,8
32,,-,55,Venter Jaco,30,Team Dimension Data,4,2017,8
33,29.0,\u25bc4,57,King Benjamin,28,Team Dimension Data,4,2017,8
34,32.0,\u25bc2,142,Bonifazio Niccolo,23,Bahrain Merida Pro Cycling Team,4,2017,8
35,,-,104,Cort Nielsen Magnus,24,ORICA-Scott,4,2017,8
36,30.0,\u25bc6,22,Bakelants Jan,31,AG2R La Mondiale,3,2017,8
37,,-,33,Bodnar Maciej,32,BORA - hansgrohe,1,2017,8
1,1.0,-,31,Sagan Peter,27,BORA - hansgrohe,37,2017,9
2,2.0,-,12,Caruso Damiano,29,BMC Racing Team,25,2017,9
3,9.0,\u25b26,16,K\xfcng Stefan,23,BMC Racing Team,21,2017,9
4,17.0,\u25b213,13,Dennis Rohan,27,BMC Racing Team,20,2017,9
5,4.0,\u25bc1,71,Spilak Simon,30,Team Katusha - Alpecin,18,2017,9
6,3.0,\u25bc3,135,Matthews Michael,26,Team Sunweb,18,2017,9
7,6.0,\u25bc1,141,Izagirre Ion,28,Bahrain Merida Pro Cycling Team,18,2017,9
8,5.0,\u25bc3,118,Trentin Matteo,27,Quick-Step Floors,15,2017,9
9,7.0,\u25bc2,101,Albasini Michael,36,ORICA-Scott,14,2017,9
10,8.0,\u25bc2,186,Warbasse Larry,26,Aqua Blue Sport,13,2017,9
11,10.0,\u25bc1,28,Pozzovivo Domenico,34,AG2R La Mondiale,12,2017,9
12,11.0,\u25bc1,212,Asselman Jesper,27,Roompot - Nederlandse Loterij,12,2017,9
13,12.0,\u25bc1,53,Dougall Nick,24,Team Dimension Data,12,2017,9
14,13.0,\u25bc1,215,Reinders Elmar,25,Roompot - Nederlandse Loterij,12,2017,9
15,14.0,\u25bc1,88,Wallays Jelle,28,Lotto Soudal,12,2017,9
16,15.0,\u25bc1,47,Bevin Patrick,26,Cannondale-Drapac Pro Cycling Team,12,2017,9
17,16.0,\u25bc1,111,Gilbert Philippe,34,Quick-Step Floors,10,2017,9
18,18.0,-,218,van der Lijke Nick,25,Roompot - Nederlandse Loterij,10,2017,9
19,19.0,-,81,Wellens Tim,26,Lotto Soudal,10,2017,9
20,20.0,-,171,Costa Rui,30,UAE Team Emirates,9,2017,9
21,21.0,-,161,Kruijswijk Steven,30,Team LottoNL-Jumbo,8,2017,9
22,22.0,-,177,Modolo Sacha,29,UAE Team Emirates,8,2017,9
23,23.0,-,48,Woods Michael,30,Cannondale-Drapac Pro Cycling Team,7,2017,9
24,24.0,-,181,Hansen Lasse Norman,25,Aqua Blue Sport,7,2017,9
25,25.0,-,18,Schar Michael,30,BMC Racing Team,6,2017,9
26,26.0,-,162,Boom Lars,31,Team LottoNL-Jumbo,6,2017,9
27,27.0,-,143,Cink Ondrej,26,Bahrain Merida Pro Cycling Team,6,2017,9
28,28.0,-,41,Dombrowski Joe,26,Cannondale-Drapac Pro Cycling Team,6,2017,9
29,29.0,-,67,Roux Anthony,30,FDJ,6,2017,9
30,30.0,-,153,Degenkolb John,28,Trek - Segafredo,6,2017,9
31,31.0,-,21,Frank Mathias,30,AG2R La Mondiale,4,2017,9
32,32.0,-,55,Venter Jaco,30,Team Dimension Data,4,2017,9
33,33.0,-,57,King Benjamin,28,Team Dimension Data,4,2017,9
34,34.0,-,142,Bonifazio Niccolo,23,Bahrain Merida Pro Cycling Team,4,2017,9
35,35.0,-,104,Cort Nielsen Magnus,24,ORICA-Scott,4,2017,9
36,36.0,-,22,Bakelants Jan,31,AG2R La Mondiale,3,2017,9
37,37.0,-,33,Bodnar Maciej,32,BORA - hansgrohe,1,2017,9
