Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
101,101,-,67,Righi Daniele,36,Lampre - ISD,,20,101,+3:28:23,3:28:23 3:28:23,+0:00,2012,20
102,102,-,167,Bulgac Brian,24,Lotto Belisol Team,,20,102,+3:28:42,3:28:42 3:28:42,+0:00,2012,20
103,103,-,146,Ballan Alessandro,32,BMC Racing Team,,20,103,+3:29:12,3:29:12 3:29:12,+0:00,2012,20
104,104,-,97,Tosatto Matteo,38,Team Saxo Bank - Tinkoff Bank,,20,104,+3:30:38,3:30:38 3:30:38,+0:00,2012,20
105,105,-,122,Salerno Cristiano,27,Liquigas - Cannondale,,20,105,+3:30:41,3:30:41 3:30:41,+0:00,2012,20
106,106,-,51,Maes Nikolas,26,Omega Pharma - Quick-Step,,20,106,+3:37:42,3:37:42 3:37:42,+0:00,2012,20
107,107,-,12,Benedetti Cesare,24,Team Netapp,,20,107,+3:38:44,3:38:44 3:38:44,+0:00,2012,20
108,108,-,121,Longo Borghini Paolo,31,Liquigas - Cannondale,,20,108,+3:41:36,3:41:36 3:41:36,+0:00,2012,20
109,109,-,13,Dietziker Andreas,29,Team Netapp,,20,109,+3:41:49,3:41:49 3:41:49,+0:00,2012,20
110,110,-,111,B\xe9rard Julien,24,AG2R La Mondiale,,20,110,+3:42:04,3:42:04 3:42:04,+0:00,2012,20
111,111,-,16,Br\xe4ndle Matthias,22,Team Netapp,,20,111,+3:46:44,3:46:44 3:46:44,+0:00,2012,20
112,112,-,93,Lund Anders,27,Team Saxo Bank - Tinkoff Bank,,20,112,+3:47:04,3:47:04 3:47:04,+0:00,2012,20
113,113,-,131,Gatto Oscar,27,Farnese Vini-Neri-Sottoli,,20,113,+3:47:47,3:47:47 3:47:47,+0:00,2012,20
114,114,-,213,Bauer Jack,27,Team Garmin - Barracuda,,20,114,+3:50:27,3:50:27 3:50:27,+0:00,2012,20
115,115,-,98,Roberts Luke,35,Team Saxo Bank - Tinkoff Bank,,20,115,+3:59:26,3:59:26 3:59:26,+0:00,2012,20
116,116,-,135,Mazzanti Luca,38,Farnese Vini-Neri-Sottoli,,20,116,+3:59:51,3:59:51 3:59:51,+0:00,2012,20
