Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,stage,year,▼▲
28.0,162.0,40,+8:38,,,Arrieta José Luis,40,Banesto,",, 8:38",+8:38,0,1999,
25.0,53.0,41,+8:38,,,Etxebarria David,41,O.N.C.E. - Deutsche Bank,",, 8:38",+8:38,0,1999,
23.0,165.0,42,+8:38,,,Mancebo Francisco,42,Banesto,",, 8:38",+8:38,0,1999,
26.0,52.0,43,+8:39,,,Diaz Rafael,43,O.N.C.E. - Deutsche Bank,8:39 8:39,+8:39,0,1999,
28.0,16.0,44,+8:39,,,Fincato Marco,44,Mercatone Uno - Bianchi,",, 8:39",+8:39,0,1999,
26.0,88.0,45,+8:39,,,Verheyen Geert,45,Lotto - Mobistar,",, 8:39",+8:39,0,1999,
32.0,182.0,46,+8:39,,,Andreu Frankie,46,US Postal Service,",, 8:39",+8:39,0,1999,
27.0,143.0,47,+8:39,,,Hernandez Jaime Javier,47,Festina - Lotus,",, 8:39",+8:39,0,1999,
30.0,157.0,48,+8:40,,,Michaelsen Lars,48,La Française des Jeux,8:40 8:40,+8:40,0,1999,
26.0,164.0,49,+8:40,,,Garcia José Vicente,49,Banesto,",, 8:40",+8:40,0,1999,
32.0,22.0,50,+8:40,,,Bolts Udo,50,Team Telekom,",, 8:40",+8:40,0,1999,
26.0,38.0,51,+8:40,,,Nardello Daniele,51,Mapei - Quickstep,",, 8:40",+8:40,0,1999,
25.0,56.0,52,+8:40,,,Pérez Luis,52,O.N.C.E. - Deutsche Bank,",, 8:40",+8:40,0,1999,
28.0,167.0,53,+8:40,,,Odriozola Jon,53,Banesto,",, 8:40",+8:40,0,1999,
30.0,156.0,54,+8:41,,,Mengin Christophe,54,La Française des Jeux,8:41 8:41,+8:41,0,1999,
30.0,145.0,55,+8:41,,,Jeker Fabian,55,Festina - Lotus,",, 8:41",+8:41,0,1999,
28.0,104.0,56,+8:41,,,Padrnos Pavel,56,Lampre - Daikin - Colnago,",, 8:41",+8:41,0,1999,
28.0,141.0,57,+8:41,,,Belli Wladimir,57,Festina - Lotus,",, 8:41",+8:41,0,1999,
27.0,139.0,58,+8:42,,,Voigt Jens,58,Credit agricole,8:42 8:42,+8:42,0,1999,
29.0,96.0,59,+8:42,,,Kirsipuu Jaan,59,Casino - AG2R,",, 8:42",+8:42,0,1999,
29.0,76.0,60,+8:43,,,Meier Armin,60,Saeco - Cannondale,8:43 8:43,+8:43,0,1999,
27.0,62.0,61,+8:43,,,Brasi Rossano,61,Polti,",, 8:43",+8:43,0,1999,
27.0,93.0,62,+8:43,,,Bessy Frédéric,62,Casino - AG2R,",, 8:43",+8:43,0,1999,
31.0,6.0,63,+8:43,,,Lelli Massimiliano,63,Cofidis,",, 8:43",+8:43,0,1999,
24.0,73.0,64,+8:43,,,Commesso Salvatore,64,Saeco - Cannondale,",, 8:43",+8:43,0,1999,
26.0,37.0,65,+8:43,,,Merckx Axel,65,Mapei - Quickstep,",, 8:43",+8:43,0,1999,
26.0,59.0,66,+8:44,,,Serrano Marcos Antonio,66,O.N.C.E. - Deutsche Bank,8:44 8:44,+8:44,0,1999,
24.0,127.0,67,+8:44,,,Horrillo Pedro,67,Vitalicio Seguros - Grupo Generali,",, 8:44",+8:44,0,1999,
27.0,173.0,68,+8:44,,,Colombo Gabriele,68,Cantina Tollo - Alexia Alluminio,",, 8:44",+8:44,0,1999,
31.0,8.0,69,+8:45,,,Meier Roland,69,Cofidis,8:45 8:45,+8:45,0,1999,
31.0,94.0,70,+8:46,,,Chanteur Pascal,70,Casino - AG2R,8:46 8:46,+8:46,0,1999,
25.0,152.0,71,+8:46,,,Bassons Christophe,71,La Française des Jeux,",, 8:46",+8:46,0,1999,
25.0,158.0,72,+8:46,,,Morin Anthony,72,La Française des Jeux,",, 8:46",+8:46,0,1999,
28.0,21.0,73,+8:46,,,Zabel Erik,73,Team Telekom,",, 8:46",+8:46,0,1999,
26.0,58.0,74,+8:46,,,Rebollo José Luis,74,O.N.C.E. - Deutsche Bank,",, 8:46",+8:46,0,1999,
26.0,101.0,75,+8:46,,,Serpellini Marco,75,Lampre - Daikin - Colnago,",, 8:46",+8:46,0,1999,
28.0,168.0,76,+8:46,,,Peña Miguel Ángel,76,Banesto,",, 8:46",+8:46,0,1999,
28.0,163.0,77,+8:46,,,Beltrán Manuel,77,Banesto,",, 8:46",+8:46,0,1999,
32.0,123.0,78,+8:47,,,Buenahora Hernan,78,Vitalicio Seguros - Grupo Generali,8:47 8:47,+8:47,0,1999,
26.0,85.0,79,+8:47,,,Marichal Thierry,79,Lotto - Mobistar,",, 8:47",+8:47,0,1999,
29.0,24.0,80,+8:47,,,Guerini Giuseppe,80,Team Telekom,",, 8:47",+8:47,0,1999,
33.0,187.0,81,+8:48,,,Meinert-Nielsen Peter,81,US Postal Service,8:48 8:48,+8:48,0,1999,
28.0,28.0,82,+8:48,,,Totschnig Georg,82,Team Telekom,",, 8:48",+8:48,0,1999,
27.0,122.0,83,+8:48,,,Aggiano Elio,83,Vitalicio Seguros - Grupo Generali,",, 8:48",+8:48,0,1999,
34.0,72.0,84,+8:48,,,Calcaterra Giuseppe,84,Saeco - Cannondale,",, 8:48",+8:48,0,1999,
26.0,186.0,85,+8:49,,,Livingston Kevin,85,US Postal Service,8:49 8:49,+8:49,0,1999,
28.0,49.0,86,+8:49,,,Zberg Beat,86,Rabobank ProTeam,",, 8:49",+8:49,0,1999,
29.0,151.0,87,+8:49,,,Robin Jean-Cyril,87,La Française des Jeux,",, 8:49",+8:49,0,1999,
27.0,86.0,88,+8:49,,,van de Wouwer Kurt,88,Lotto - Mobistar,",, 8:49",+8:49,0,1999,
33.0,33.0,89,+8:49,,,Faresin Gianni,89,Mapei - Quickstep,",, 8:49",+8:49,0,1999,
30.0,61.0,90,+8:49,,,Gotti Ivan,90,Polti,",, 8:49",+8:49,0,1999,
32.0,147.0,91,+8:49,,,Madouas Laurent,91,Festina - Lotus,",, 8:49",+8:49,0,1999,
25.0,68.0,92,+8:49,,,Sacchi Fabio,92,Polti,",, 8:49",+8:49,0,1999,
36.0,192.0,93,+8:50,,,Bourguignon Thierry,93,BigMat - Auber 93,8:50 8:50,+8:50,0,1999,
22.0,26.0,94,+8:50,,,Jaksche Jörg,94,Team Telekom,",, 8:50",+8:50,0,1999,
27.0,47.0,95,+8:50,,,van Bon Léon,95,Rabobank ProTeam,",, 8:50",+8:50,0,1999,
35.0,23.0,96,+8:50,,,Elli Alberto,96,Team Telekom,",, 8:50",+8:50,0,1999,
32.0,71.0,97,+8:50,,,Cipollini Mario,97,Saeco - Cannondale,",, 8:50",+8:50,0,1999,
27.0,198.0,98,+8:50,,,Sivakov Alexei,98,BigMat - Auber 93,",, 8:50",+8:50,0,1999,
27.0,39.0,99,+8:51,,,Steels Tom,99,Mapei - Quickstep,8:51 8:51,+8:51,0,1999,
29.0,17.0,100,+8:51,,,Forconi Riccardo,100,Mercatone Uno - Bianchi,",, 8:51",+8:51,0,1999,
26.0,179.0,101,+8:51,,,Mondini Gianpaolo,101,Cantina Tollo - Alexia Alluminio,",, 8:51",+8:51,0,1999,
28.0,34.0,102,+8:51,,,Fernandez Gines Manuel,102,Mapei - Quickstep,",, 8:51",+8:51,0,1999,
25.0,11.0,103,+8:52,,,Garzelli Stefano,103,Mercatone Uno - Bianchi,8:52 8:52,+8:52,0,1999,
34.0,14.0,104,+8:52,,,Conti Roberto,104,Mercatone Uno - Bianchi,",, 8:52",+8:52,0,1999,
28.0,54.0,105,+8:52,,,Garcia Marcelino,105,O.N.C.E. - Deutsche Bank,",, 8:52",+8:52,0,1999,
28.0,183.0,106,+8:53,,,Derame Pascal,106,US Postal Service,8:53 8:53,+8:53,0,1999,
31.0,111.0,107,+8:53,,,Escartin Fernando,107,Kelme - Costa Blanca,",, 8:53",+8:53,0,1999,
23.0,106.0,108,+8:53,,,Pinotti Marco,108,Lampre - Daikin - Colnago,",, 8:53",+8:53,0,1999,
29.0,69.0,109,+8:53,,,Virenque Richard,109,Polti,",, 8:53",+8:53,0,1999,
27.0,118.0,110,+8:53,,,Pascual Rodríguez Javier,110,Kelme - Costa Blanca,",, 8:53",+8:53,0,1999,
26.0,89.0,111,+8:54,,,Wuyts Peter,111,Lotto - Mobistar,8:54 8:54,+8:54,0,1999,
26.0,92.0,112,+8:55,,,Barthe Stéphane,112,Casino - AG2R,8:55 8:55,+8:55,0,1999,
28.0,117.0,113,+8:55,,,Pascual Javier,113,Kelme - Costa Blanca,",, 8:55",+8:55,0,1999,
29.0,3.0,114,+8:55,,,Desbiens Laurent,114,Cofidis,",, 8:55",+8:55,0,1999,
27.0,46.0,115,+8:55,,,McEwen Robbie,115,Rabobank ProTeam,",, 8:55",+8:55,0,1999,
30.0,108.0,116,+8:56,,,Svorada Ján,116,Lampre - Daikin - Colnago,8:56 8:56,+8:56,0,1999,
24.0,175.0,117,+8:56,,,Giunti Massimo,117,Cantina Tollo - Alexia Alluminio,",, 8:56",+8:56,0,1999,
30.0,43.0,118,+8:56,,,den Bakker Maarten,118,Rabobank ProTeam,",, 8:56",+8:56,0,1999,
36.0,66.0,119,+8:56,,,Martinello Silvio,119,Polti,",, 8:56",+8:56,0,1999,
24.0,176.0,120,+8:57,,,Ljungqvist Marcus,120,Cantina Tollo - Alexia Alluminio,8:57 8:57,+8:57,0,1999,
21.0,153.0,121,+8:57,,,Casper Jimmy,121,La Française des Jeux,",, 8:57",+8:57,0,1999,
26.0,79.0,122,+8:57,,,Secchiari Francesco,122,Saeco - Cannondale,",, 8:57",+8:57,0,1999,
31.0,193.0,123,+8:57,,,Capelle Christophe,123,BigMat - Auber 93,",, 8:57",+8:57,0,1999,
30.0,195.0,124,+8:57,,,Gouvenou Thierry,124,BigMat - Auber 93,",, 8:57",+8:57,0,1999,
30.0,36.0,125,+8:57,,,Leysen Bart,125,Mapei - Quickstep,",, 8:57",+8:57,0,1999,
29.0,112.0,126,+8:57,,,Castelblanco José Joaquin,126,Kelme - Costa Blanca,",, 8:57",+8:57,0,1999,
29.0,171.0,127,+8:58,,,Hamburger Bo,127,Cantina Tollo - Alexia Alluminio,8:58 8:58,+8:58,0,1999,
27.0,154.0,128,+8:58,,,Guesdon Frédéric,128,La Française des Jeux,",, 8:58",+8:58,0,1999,
23.0,125.0,129,+8:58,,,García Francisco Tomas,129,Vitalicio Seguros - Grupo Generali,",, 8:58",+8:58,0,1999,
28.0,124.0,130,+8:58,,,Cerezo Francisco,130,Vitalicio Seguros - Grupo Generali,",, 8:58",+8:58,0,1999,
25.0,135.0,131,+8:58,,,Langella Anthony,131,Credit agricole,",, 8:58",+8:58,0,1999,
25.0,113.0,132,+8:58,,,Contreras Carlos Alberto,132,Kelme - Costa Blanca,",, 8:58",+8:58,0,1999,
34.0,78.0,133,+8:58,,,Scirea Mario,133,Saeco - Cannondale,",, 8:58",+8:58,0,1999,
25.0,166.0,134,+8:58,,,Navas David,134,Banesto,",, 8:58",+8:58,0,1999,
27.0,95.0,135,+8:59,,,Gougot Fabrice,135,Casino - AG2R,8:59 8:59,+8:59,0,1999,
23.0,102.0,136,+8:59,,,Belohvoščiks Raivis,136,Lampre - Daikin - Colnago,",, 8:59",+8:59,0,1999,
31.0,32.0,137,+9:00,,,Bramati Davide,137,Mapei - Quickstep,9:00 9:00,+9:00,0,1999,
25.0,9.0,138,+9:00,,,Rinero Christophe,138,Cofidis,",, 9:00",+9:00,0,1999,
23.0,199.0,139,+9:02,,,Sweet Jay,139,BigMat - Auber 93,9:02 9:02,+9:02,0,1999,
27.0,64.0,140,+9:02,,,Crepaldi Mirco,140,Polti,",, 9:02",+9:02,0,1999,
23.0,2.0,141,+9:02,,,De Wolf Steve,141,Cofidis,",, 9:02",+9:02,0,1999,
31.0,63.0,142,+9:03,,,Cattai Stefano,142,Polti,9:03 9:03,+9:03,0,1999,
28.0,75.0,143,+9:03,,,Fagnini Gian Matteo,143,Saeco - Cannondale,",, 9:03",+9:03,0,1999,
25.0,83.0,144,+9:03,,,Demarbaix Sebastien,144,Lotto - Mobistar,",, 9:03",+9:03,0,1999,
25.0,159.0,145,+9:04,,,Nazon Damien,145,La Française des Jeux,9:04 9:04,+9:04,0,1999,
27.0,41.0,146,+9:04,,,Boogerd Michael,146,Rabobank ProTeam,",, 9:04",+9:04,0,1999,
29.0,5.0,147,+9:04,,,Lamour Claude,147,Cofidis,",, 9:04",+9:04,0,1999,
32.0,172.0,148,+9:05,,,Baronti Alessandro,148,Cantina Tollo - Alexia Alluminio,9:05 9:05,+9:05,0,1999,
25.0,45.0,149,+9:05,,,Lotz Marc,149,Rabobank ProTeam,",, 9:05",+9:05,0,1999,
26.0,19.0,150,+9:06,,,Napolitano Massimiliano,150,Mercatone Uno - Bianchi,9:06 9:06,+9:06,0,1999,
28.0,137.0,151,+9:06,,,Vasseur Cédric,151,Credit agricole,",, 9:06",+9:06,0,1999,
30.0,25.0,152,+9:06,,,Hundertmarck Kai,152,Team Telekom,",, 9:06",+9:06,0,1999,
29.0,119.0,153,+9:06,,,Vidal José Angel,153,Kelme - Costa Blanca,",, 9:06",+9:06,0,1999,
24.0,82.0,154,+9:06,,,De Waele Fabian,154,Lotto - Mobistar,",, 9:06",+9:06,0,1999,
29.0,65.0,155,+9:06,,,Goubert Stéphane,155,Polti,",, 9:06",+9:06,0,1999,
29.0,12.0,156,+9:07,,,Artunghi Marco,156,Mercatone Uno - Bianchi,9:07 9:07,+9:07,0,1999,
24.0,194.0,157,+9:07,,,Da Cruz Carlos,157,BigMat - Auber 93,",, 9:07",+9:07,0,1999,
28.0,105.0,158,+9:08,,,Piccoli Mariano,158,Lampre - Daikin - Colnago,9:08 9:08,+9:08,0,1999,
30.0,35.0,159,+9:08,,,Lanfranchi Paolo,159,Mapei - Quickstep,",, 9:08",+9:08,0,1999,
27.0,27.0,160,+9:09,,,Schaffrath Jan,160,Team Telekom,9:09 9:09,+9:09,0,1999,
28.0,197.0,161,+9:09,,,Rault Dominique,161,BigMat - Auber 93,",, 9:09",+9:09,0,1999,
33.0,18.0,162,+9:10,,,Konishev Dimitri,162,Mercatone Uno - Bianchi,9:10 9:10,+9:10,0,1999,
27.0,196.0,163,+9:10,,,Lebreton Lylian,163,BigMat - Auber 93,",, 9:10",+9:10,0,1999,
30.0,4.0,164,+9:10,,,Farazijn Peter,164,Cofidis,",, 9:10",+9:10,0,1999,
33.0,107.0,165,+9:12,,,Spruch Zbigniew,165,Lampre - Daikin - Colnago,9:12 9:12,+9:12,0,1999,
31.0,128.0,166,+9:17,,,Indurain Prudencio,166,Vitalicio Seguros - Grupo Generali,9:17 9:17,+9:17,0,1999,
25.0,134.0,167,+9:17,,,Hinault Sébastien,167,Credit agricole,",, 9:17",+9:17,0,1999,
28.0,191.0,168,+9:17,,,Auger Ludovic,168,BigMat - Auber 93,",, 9:17",+9:17,0,1999,
31.0,15.0,169,+9:17,,,Coppolillo Michele,169,Mercatone Uno - Bianchi,",, 9:17",+9:17,0,1999,
34.0,67.0,170,+9:18,,,Pellicioli Oscar,170,Polti,9:18 9:18,+9:18,0,1999,
31.0,109.0,171,+9:18,,,Verstrepen Johan,171,Lampre - Daikin - Colnago,",, 9:18",+9:18,0,1999,
28.0,144.0,172,+9:19,,,Huser Rolf,172,Festina - Lotus,9:19 9:19,+9:19,0,1999,
24.0,116.0,173,+9:20,,,Otxoa Javier,173,Kelme - Costa Blanca,9:20 9:20,+9:20,0,1999,
30.0,13.0,174,+9:21,,,Barbero Sergio,174,Mercatone Uno - Bianchi,9:21 9:21,+9:21,0,1999,
25.0,177.0,175,+9:21,,,Mazzanti Luca,175,Cantina Tollo - Alexia Alluminio,",, 9:21",+9:21,0,1999,
23.0,174.0,176,+9:24,,,Di Biase Moreno,176,Cantina Tollo - Alexia Alluminio,9:24 9:24,+9:24,0,1999,
26.0,114.0,177,+9:28,,,De Los Angeles Juan José,177,Kelme - Costa Blanca,9:28 9:28,+9:28,0,1999,
23.0,7.0,178,+9:29,,,Loder Thierry,178,Cofidis,9:29 9:29,+9:29,0,1999,
25.0,115.0,179,+9:32,,,Gomez Jose Javier,179,Kelme - Costa Blanca,9:32 9:32,+9:32,0,1999,
29.0,178.0,180,+9:39,,,Minali Nicola,180,Cantina Tollo - Alexia Alluminio,9:39 9:39,+9:39,0,1999,
27.0,181.0,1*,+5:04:20,,1*,Armstrong Lance,1*,US Postal Service,8:02 8:02,+0:00,1,1999,-
30.0,161.0,2,+5:04:27,,2,Zülle Alex,2,Banesto,8:09 8:09,+0:00,1,1999,-
29.0,51.0,3,+5:04:31,,3,Olano Abraham,3,O.N.C.E. - Deutsche Bank,8:13 8:13,+0:00,1,1999,-
28.0,148.0,4,+5:04:35,,4,Moreau Christophe,4,Festina - Lotus,8:17 8:17,+0:00,1,1999,-
30.0,133.0,5,+5:04:36,,5,Boardman Chris,5,Credit agricole,8:18 8:18,+0:00,1,1999,-
29.0,96.0,6,+5:04:36,,59,Kirsipuu Jaan,6,Casino - AG2R,",, 8:18",-0:24,1,1999,▲53
24.0,87.0,7,+5:04:38,,6,Verbrugghe Rik,7,Lotto - Mobistar,8:20 8:20,+0:00,1,1999,▼1
25.0,136.0,8,+5:04:40,,16,O'Grady Stuart,8,Credit agricole,8:22 8:22,-0:06,1,1999,▲8
25.0,91.0,9,+5:04:41,,7,Vinokourov Alexandre,9,Casino - AG2R,8:23 8:23,+0:00,1,1999,▼2
25.0,55.0,10,+5:04:41,,8,González Santos,10,O.N.C.E. - Deutsche Bank,",, 8:23",+0:00,1,1999,▼2
31.0,142.0,11,+5:04:41,,9,Brochard Laurent,11,Festina - Lotus,",, 8:23",+0:00,1,1999,▼2
26.0,185.0,12,+5:04:42,,15,Hincapie George,12,US Postal Service,8:24 8:24,-0:04,1,1999,▲3
30.0,97.0,13,+5:04:43,,10,Maignan Gilles,13,Casino - AG2R,8:25 8:25,+0:00,1,1999,▼3
27.0,57.0,14,+5:04:43,,11,Peron Andrea,14,O.N.C.E. - Deutsche Bank,",, 8:25",+0:00,1,1999,▼3
23.0,188.0,15,+5:04:43,,14,Vande Velde Christian,15,US Postal Service,",, 8:25",-0:02,1,1999,▼1
30.0,74.0,16,+5:04:43,,12,Dufaux Laurent,16,Saeco - Cannondale,",, 8:25",+0:00,1,1999,▼4
28.0,29.0,17,+5:04:44,,13,Wesemann Steffen,17,Team Telekom,8:26 8:26,+0:00,1,1999,▼4
26.0,121.0,18,+5:04:46,,17,Casero Ángel Luis,18,Vitalicio Seguros - Grupo Generali,8:28 8:28,+0:00,1,1999,▼1
28.0,184.0,19,+5:04:47,,18,Hamilton Tyler,19,US Postal Service,8:29 8:29,+0:00,1,1999,▼1
26.0,189.0,20,+5:04:47,,19,Vaughters Jonathan,20,US Postal Service,",, 8:29",+0:00,1,1999,▼1
30.0,31.0,21,+5:04:48,,20,Tonkov Pavel,21,Mapei - Quickstep,8:30 8:30,+0:00,1,1999,▼1
30.0,131.0,22,+5:04:48,,21,Simon François,22,Credit agricole,",, 8:30",+0:00,1,1999,▼1
27.0,1.0,23,+5:04:48,,22,Julich Bobby,23,Cofidis,",, 8:30",+0:00,1,1999,▼1
29.0,126.0,24,+5:04:49,,23,González de Galdeano Álvaro,24,Vitalicio Seguros - Grupo Generali,8:31 8:31,+0:00,1,1999,▼1
28.0,169.0,25,+5:04:49,,24,Solaun Cesar,25,Banesto,",, 8:31",+0:00,1,1999,▼1
28.0,42.0,26,+5:04:49,,25,Dekker Erik,26,Rabobank ProTeam,",, 8:31",+0:00,1,1999,▼1
26.0,77.0,27,+5:04:51,,26,Savoldelli Paolo,27,Saeco - Cannondale,8:33 8:33,+0:00,1,1999,▼1
30.0,44.0,28,+5:04:52,,27,Jonker Patrick,28,Rabobank ProTeam,8:34 8:34,+0:00,1,1999,▼1
34.0,103.0,29,+5:04:52,,28,Dierckxsens Ludo,29,Lampre - Daikin - Colnago,",, 8:34",+0:00,1,1999,▼1
25.0,99.0,30,+5:04:52,,29,Salmon Benoît,30,Casino - AG2R,",, 8:34",+0:00,1,1999,▼1
24.0,132.0,31,+5:04:53,,30,Bäckstedt Magnus,31,Credit agricole,8:35 8:35,+0:00,1,1999,▼1
26.0,129.0,32,+5:04:53,,31,Salmeron Gines,32,Vitalicio Seguros - Grupo Generali,",, 8:35",+0:00,1,1999,▼1
26.0,98.0,33,+5:04:53,,32,Oriol Christophe,33,Casino - AG2R,",, 8:35",+0:00,1,1999,▼1
28.0,21.0,34,+5:04:54,,73,Zabel Erik,34,Team Telekom,8:36 8:36,-0:10,1,1999,▲39
28.0,155.0,35,+5:04:55,,33,Heulot Stephane,35,La Française des Jeux,8:37 8:37,+0:00,1,1999,▼2
28.0,149.0,36,+5:04:55,,34,Rous Didier,36,Festina - Lotus,",, 8:37",+0:00,1,1999,▼2
24.0,81.0,37,+5:04:55,,35,Aerts Mario,37,Lotto - Mobistar,",, 8:37",+0:00,1,1999,▼2
30.0,48.0,38,+5:04:55,,36,Wauters Marc,38,Rabobank ProTeam,",, 8:37",+0:00,1,1999,▼2
23.0,146.0,39,+5:04:56,,37,Lefèvre Laurent,39,Festina - Lotus,8:38 8:38,+0:00,1,1999,▼2
25.0,138.0,40,+5:04:56,,38,Vogels Henk,40,Credit agricole,",, 8:38",+0:00,1,1999,▼2
32.0,84.0,41,+5:04:56,,39,Durand Jacky,41,Lotto - Mobistar,",, 8:38",+0:00,1,1999,▼2
28.0,162.0,42,+5:04:56,,40,Arrieta José Luis,42,Banesto,",, 8:38",+0:00,1,1999,▼2
25.0,53.0,43,+5:04:56,,41,Etxebarria David,43,O.N.C.E. - Deutsche Bank,",, 8:38",+0:00,1,1999,▼2
23.0,165.0,44,+5:04:56,,42,Mancebo Francisco,44,Banesto,",, 8:38",+0:00,1,1999,▼2
27.0,39.0,45,+5:04:57,,99,Steels Tom,45,Mapei - Quickstep,8:39 8:39,-0:12,1,1999,▲54
26.0,52.0,46,+5:04:57,,43,Diaz Rafael,46,O.N.C.E. - Deutsche Bank,",, 8:39",+0:00,1,1999,▼3
28.0,16.0,47,+5:04:57,,44,Fincato Marco,47,Mercatone Uno - Bianchi,",, 8:39",+0:00,1,1999,▼3
26.0,88.0,48,+5:04:57,,45,Verheyen Geert,48,Lotto - Mobistar,",, 8:39",+0:00,1,1999,▼3
32.0,182.0,49,+5:04:57,,46,Andreu Frankie,49,US Postal Service,",, 8:39",+0:00,1,1999,▼3
27.0,143.0,50,+5:04:57,,47,Hernandez Jaime Javier,50,Festina - Lotus,",, 8:39",+0:00,1,1999,▼3
30.0,157.0,51,+5:04:58,,48,Michaelsen Lars,51,La Française des Jeux,8:40 8:40,+0:00,1,1999,▼3
26.0,164.0,52,+5:04:58,,49,Garcia José Vicente,52,Banesto,",, 8:40",+0:00,1,1999,▼3
32.0,22.0,53,+5:04:58,,50,Bolts Udo,53,Team Telekom,",, 8:40",+0:00,1,1999,▼3
26.0,38.0,54,+5:04:58,,51,Nardello Daniele,54,Mapei - Quickstep,",, 8:40",+0:00,1,1999,▼3
25.0,56.0,55,+5:04:58,,52,Pérez Luis,55,O.N.C.E. - Deutsche Bank,",, 8:40",+0:00,1,1999,▼3
