BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ - 31:08:08,10.0,8,Movistar Team,1:02:51 1:02:51,\u25b22,8,2014
,,+ - 31:08:08,11.0,9,Garmin Sharp,1:16:15 1:16:15,\u25b22,8,2014
,,+ - 31:08:08,8.0,10,IAM Cycling,1:21:10 1:21:10,\u25bc2,8,2014
,,+ - 31:08:08,9.0,11,Omega Pharma - Quick-Step,1:23:36 1:23:36,\u25bc2,8,2014
,,+ - 31:08:08,14.0,12,Team NetApp \u2013 Endura,1:25:13 1:25:13,\u25b22,8,2014
,,+ - 31:08:08,12.0,13,Tinkoff - Saxo,1:38:49 1:38:49,\u25bc1,8,2014
,,+ - 31:08:08,15.0,14,Belkin-Pro Cycling Team,1:41:14 1:41:14,\u25b21,8,2014
,,+ - 31:08:08,13.0,15,Lampre - Merida,1:44:05 1:44:05,\u25bc2,8,2014
,,+ - 31:08:08,16.0,16,Orica GreenEDGE,1:51:48 1:51:48,-,8,2014
,,+ - 31:08:08,17.0,17,Team Europcar,1:54:11 1:54:11,-,8,2014
,,+ - 31:08:08,18.0,18,Cannondale,1:59:19 1:59:19,-,8,2014
,,+ - 31:08:08,19.0,19,Trek Factory Racing,2:38:54 2:38:54,-,8,2014
,,+ - 31:08:08,20.0,20,FDJ.fr,2:46:01 2:46:01,-,8,2014
,,+ - 31:08:08,21.0,21,Team Giant - Shimano,3:27:09 3:27:09,-,8,2014
