Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,stage,year,▼▲
25.0,95.0,35.0,+0:44,9.0,Kohl Bernhard,9.0,Gerolsteiner,0:19 0:19,,1,2007,-
25.0,165.0,40.0,+0:46,10.0,Gilbert Philippe,10.0,Française des Jeux,0:21 0:21,,1,2007,-
21.0,215.0,42.0,+0:47,11.0,Thomas Geraint,11.0,Barloworld,0:22 0:22,,1,2007,-
24.0,122.0,43.0,+0:47,12.0,Clement Stef,12.0,Bouygues Telecom,",, 0:22",,1,2007,-
23.0,168.0,48.0,+0:48,13.0,Löfkvist Thomas,13.0,Française des Jeux,0:23 0:23,,1,2007,-
24.0,96.0,59.0,+0:50,14.0,Krauß Sven,14.0,Gerolsteiner,0:25 0:25,,1,2007,-
23.0,197.0,96.0,+0:57,16.0,Navarro Daniel,15.0,Astana,0:32 0:32,,1,2007,▲1
25.0,128.0,97.0,+0:58,17.0,Tschopp Johann,16.0,Bouygues Telecom,0:33 0:33,,1,2007,▲1
23.0,94.0,105.0,+1:00,18.0,Haussler Heinrich,17.0,Gerolsteiner,0:35 0:35,,1,2007,▲1
24.0,72.0,115.0,+1:02,19.0,Antón Igor,18.0,Euskaltel - Euskadi,0:37 0:37,,1,2007,▲1
24.0,219.0,119.0,+1:03,20.0,Soler Juan Mauricio,19.0,Barloworld,0:38 0:38,,1,2007,▲1
24.0,22.0,124.0,+1:04,21.0,Burghardt Marcus,20.0,T-Mobile Team,0:39 0:39,,1,2007,▲1
22.0,167.0,129.0,+1:05,22.0,Ladagnous Matthieu,21.0,Française des Jeux,0:40 0:40,,1,2007,▲1
25.0,189.0,130.0,+1:05,23.0,Sieberg Marcel,22.0,Milram,",, 0:40",,1,2007,▲1
24.0,78.0,143.0,+1:08,24.0,Txurruka Amets,23.0,Euskaltel - Euskadi,0:43 0:43,,1,2007,▲1
25.0,209.0,145.0,+1:10,25.0,Ventoso Francisco José,24.0,Saunier Duval,0:45 0:45,,1,2007,▲1
21.0,163.0,153.0,+1:13,26.0,Delage Mickaël,25.0,Française des Jeux,0:48 0:48,,1,2007,▲1
21.0,164.0,155.0,+1:13,27.0,Di Grégorio Rémy,26.0,Française des Jeux,",, 0:48",,1,2007,▲1
23.0,134.0,156.0,+1:14,28.0,Feillu Romain,27.0,Agritubel,0:49 0:49,,1,2007,▲1
25.0,74.0,161.0,+1:16,29.0,Azanza Jorge,28.0,Euskaltel - Euskadi,0:51 0:51,,1,2007,▲1
24.0,85.0,168.0,+1:19,31.0,Corioni Claudio,29.0,Lampre-Fondital,0:54 0:54,,1,2007,▲2
24.0,218.0,177.0,+1:27,32.0,Siutsou Kanstantsin,30.0,Barloworld,1:02 1:02,,1,2007,▲2
22.0,23.0,184.0,+3:37,15.0,Cavendish Mark,31.0,T-Mobile Team,3:12 3:12,,1,2007,▼16
25.0,113.0,6.0,+0:25,1.0,Gusev Vladimir,1.0,Discovery Channel,8:36:38 8:36:38,,2,2007,-
22.0,54.0,11.0,+0:31,2.0,Dekker Thomas,2.0,Rabobank ProTeam,0:06 0:06,,2,2007,-
25.0,169.0,13.0,+0:32,3.0,Vaugrenard Benoît,3.0,Française des Jeux,0:07 0:07,,2,2007,-
23.0,184.0,15.0,+0:33,4.0,Grivko Andrey,4.0,Milram,0:08 0:08,,2,2007,-
24.0,112.0,18.0,+0:35,5.0,Contador Alberto,5.0,Discovery Channel,0:10 0:10,,2,2007,-
25.0,102.0,21.0,+0:36,6.0,Bonnet William,6.0,Crédit Agricole,0:11 0:11,,2,2007,-
24.0,25.0,26.0,+0:38,7.0,Gerdemann Linus,7.0,T-Mobile Team,0:13 0:13,,2,2007,-
25.0,119.0,31.0,+0:42,8.0,Vaitkus Tomas,8.0,Discovery Channel,0:17 0:17,,2,2007,-
25.0,95.0,36.0,+0:44,9.0,Kohl Bernhard,9.0,Gerolsteiner,0:19 0:19,,2,2007,-
25.0,165.0,42.0,+0:46,10.0,Gilbert Philippe,10.0,Française des Jeux,0:21 0:21,,2,2007,-
21.0,215.0,44.0,+0:47,11.0,Thomas Geraint,11.0,Barloworld,0:22 0:22,,2,2007,-
24.0,122.0,45.0,+0:47,12.0,Clement Stef,12.0,Bouygues Telecom,",, 0:22",,2,2007,-
23.0,168.0,50.0,+0:48,13.0,Löfkvist Thomas,13.0,Française des Jeux,0:23 0:23,,2,2007,-
24.0,96.0,60.0,+0:50,14.0,Krauß Sven,14.0,Gerolsteiner,0:25 0:25,,2,2007,-
25.0,189.0,89.0,+0:55,22.0,Sieberg Marcel,15.0,Milram,0:30 0:30,,2,2007,▲7
23.0,197.0,98.0,+0:57,15.0,Navarro Daniel,16.0,Astana,0:32 0:32,,2,2007,▼1
25.0,128.0,99.0,+0:58,16.0,Tschopp Johann,17.0,Bouygues Telecom,0:33 0:33,,2,2007,▼1
23.0,94.0,107.0,+1:00,17.0,Haussler Heinrich,18.0,Gerolsteiner,0:35 0:35,,2,2007,▼1
24.0,72.0,117.0,+1:02,18.0,Antón Igor,19.0,Euskaltel - Euskadi,0:37 0:37,,2,2007,▼1
24.0,219.0,121.0,+1:03,19.0,Soler Juan Mauricio,20.0,Barloworld,0:38 0:38,,2,2007,▼1
24.0,22.0,126.0,+1:04,20.0,Burghardt Marcus,21.0,T-Mobile Team,0:39 0:39,,2,2007,▼1
22.0,167.0,130.0,+1:05,21.0,Ladagnous Matthieu,22.0,Française des Jeux,0:40 0:40,,2,2007,▼1
24.0,78.0,143.0,+1:08,23.0,Txurruka Amets,23.0,Euskaltel - Euskadi,0:43 0:43,,2,2007,-
25.0,209.0,145.0,+1:10,24.0,Ventoso Francisco José,24.0,Saunier Duval,0:45 0:45,,2,2007,-
21.0,163.0,153.0,+1:13,25.0,Delage Mickaël,25.0,Française des Jeux,0:48 0:48,,2,2007,-
21.0,164.0,155.0,+1:13,26.0,Di Grégorio Rémy,26.0,Française des Jeux,",, 0:48",,2,2007,-
23.0,134.0,156.0,+1:14,27.0,Feillu Romain,27.0,Agritubel,0:49 0:49,,2,2007,-
25.0,74.0,161.0,+1:16,28.0,Azanza Jorge,28.0,Euskaltel - Euskadi,0:51 0:51,,2,2007,-
24.0,85.0,168.0,+1:19,29.0,Corioni Claudio,29.0,Lampre-Fondital,0:54 0:54,,2,2007,-
24.0,218.0,177.0,+1:27,30.0,Siutsou Kanstantsin,30.0,Barloworld,1:02 1:02,,2,2007,-
22.0,23.0,184.0,+3:37,31.0,Cavendish Mark,31.0,T-Mobile Team,3:12 3:12,,2,2007,-
25.0,113.0,6.0,+0:45,1.0,Gusev Vladimir,1.0,Discovery Channel,15:12:53 15:12:53,,3,2007,-
22.0,54.0,12.0,+0:51,2.0,Dekker Thomas,2.0,Rabobank ProTeam,0:06 0:06,,3,2007,-
25.0,169.0,14.0,+0:52,3.0,Vaugrenard Benoît,3.0,Française des Jeux,0:07 0:07,,3,2007,-
23.0,184.0,16.0,+0:53,4.0,Grivko Andrey,4.0,Milram,0:08 0:08,,3,2007,-
24.0,112.0,18.0,+0:55,5.0,Contador Alberto,5.0,Discovery Channel,0:10 0:10,,3,2007,-
25.0,102.0,21.0,+0:56,6.0,Bonnet William,6.0,Crédit Agricole,0:11 0:11,,3,2007,-
24.0,25.0,28.0,+0:58,7.0,Gerdemann Linus,7.0,T-Mobile Team,0:13 0:13,,3,2007,-
25.0,95.0,36.0,+1:04,9.0,Kohl Bernhard,8.0,Gerolsteiner,0:19 0:19,,3,2007,▲1
25.0,165.0,42.0,+1:06,10.0,Gilbert Philippe,9.0,Française des Jeux,0:21 0:21,,3,2007,▲1
21.0,215.0,44.0,+1:07,11.0,Thomas Geraint,10.0,Barloworld,0:22 0:22,,3,2007,▲1
24.0,122.0,45.0,+1:07,12.0,Clement Stef,11.0,Bouygues Telecom,",, 0:22",,3,2007,▲1
23.0,168.0,50.0,+1:08,13.0,Löfkvist Thomas,12.0,Française des Jeux,0:23 0:23,,3,2007,▲1
24.0,96.0,58.0,+1:10,14.0,Krauß Sven,13.0,Gerolsteiner,0:25 0:25,,3,2007,▲1
22.0,167.0,63.0,+1:11,22.0,Ladagnous Matthieu,14.0,Française des Jeux,0:26 0:26,,3,2007,▲8
25.0,189.0,86.0,+1:15,15.0,Sieberg Marcel,15.0,Milram,0:30 0:30,,3,2007,-
23.0,197.0,94.0,+1:17,16.0,Navarro Daniel,16.0,Astana,0:32 0:32,,3,2007,-
25.0,128.0,95.0,+1:18,17.0,Tschopp Johann,17.0,Bouygues Telecom,0:33 0:33,,3,2007,-
23.0,94.0,102.0,+1:20,18.0,Haussler Heinrich,18.0,Gerolsteiner,0:35 0:35,,3,2007,-
24.0,219.0,114.0,+1:23,20.0,Soler Juan Mauricio,19.0,Barloworld,0:38 0:38,,3,2007,▲1
24.0,22.0,119.0,+1:24,21.0,Burghardt Marcus,20.0,T-Mobile Team,0:39 0:39,,3,2007,▲1
24.0,78.0,134.0,+1:28,23.0,Txurruka Amets,21.0,Euskaltel - Euskadi,0:43 0:43,,3,2007,▲2
25.0,209.0,136.0,+1:30,24.0,Ventoso Francisco José,22.0,Saunier Duval,0:45 0:45,,3,2007,▲2
23.0,134.0,141.0,+1:32,27.0,Feillu Romain,23.0,Agritubel,0:47 0:47,,3,2007,▲4
21.0,163.0,144.0,+1:33,25.0,Delage Mickaël,24.0,Française des Jeux,0:48 0:48,,3,2007,▲1
21.0,164.0,146.0,+1:33,26.0,Di Grégorio Rémy,25.0,Française des Jeux,",, 0:48",,3,2007,▲1
25.0,74.0,151.0,+1:36,28.0,Azanza Jorge,26.0,Euskaltel - Euskadi,0:51 0:51,,3,2007,▲2
24.0,85.0,157.0,+1:39,29.0,Corioni Claudio,27.0,Lampre-Fondital,0:54 0:54,,3,2007,▲2
24.0,218.0,165.0,+1:47,30.0,Siutsou Kanstantsin,28.0,Barloworld,1:02 1:02,,3,2007,▲2
24.0,72.0,170.0,+2:05,19.0,Antón Igor,29.0,Euskaltel - Euskadi,1:20 1:20,,3,2007,▼10
22.0,23.0,181.0,+3:57,31.0,Cavendish Mark,30.0,T-Mobile Team,3:12 3:12,,3,2007,▲1
25.0,113.0,8.0,+0:45,1.0,Gusev Vladimir,1.0,Discovery Channel,19:50:40 19:50:40,,4,2007,-
22.0,54.0,13.0,+0:51,2.0,Dekker Thomas,2.0,Rabobank ProTeam,0:06 0:06,,4,2007,-
25.0,169.0,15.0,+0:52,3.0,Vaugrenard Benoît,3.0,Française des Jeux,0:07 0:07,,4,2007,-
23.0,184.0,17.0,+0:53,4.0,Grivko Andrey,4.0,Milram,0:08 0:08,,4,2007,-
24.0,112.0,19.0,+0:55,5.0,Contador Alberto,5.0,Discovery Channel,0:10 0:10,,4,2007,-
25.0,102.0,22.0,+0:56,6.0,Bonnet William,6.0,Crédit Agricole,0:11 0:11,,4,2007,-
24.0,25.0,28.0,+0:58,7.0,Gerdemann Linus,7.0,T-Mobile Team,0:13 0:13,,4,2007,-
25.0,95.0,38.0,+1:04,8.0,Kohl Bernhard,8.0,Gerolsteiner,0:19 0:19,,4,2007,-
25.0,165.0,44.0,+1:06,9.0,Gilbert Philippe,9.0,Française des Jeux,0:21 0:21,,4,2007,-
21.0,215.0,46.0,+1:07,10.0,Thomas Geraint,10.0,Barloworld,0:22 0:22,,4,2007,-
24.0,122.0,47.0,+1:07,11.0,Clement Stef,11.0,Bouygues Telecom,",, 0:22",,4,2007,-
23.0,168.0,53.0,+1:08,12.0,Löfkvist Thomas,12.0,Française des Jeux,0:23 0:23,,4,2007,-
24.0,96.0,60.0,+1:10,13.0,Krauß Sven,13.0,Gerolsteiner,0:25 0:25,,4,2007,-
22.0,167.0,64.0,+1:11,14.0,Ladagnous Matthieu,14.0,Française des Jeux,0:26 0:26,,4,2007,-
25.0,189.0,84.0,+1:15,15.0,Sieberg Marcel,15.0,Milram,0:30 0:30,,4,2007,-
23.0,197.0,92.0,+1:17,16.0,Navarro Daniel,16.0,Astana,0:32 0:32,,4,2007,-
25.0,128.0,93.0,+1:18,17.0,Tschopp Johann,17.0,Bouygues Telecom,0:33 0:33,,4,2007,-
23.0,94.0,99.0,+1:20,18.0,Haussler Heinrich,18.0,Gerolsteiner,0:35 0:35,,4,2007,-
24.0,219.0,111.0,+1:23,19.0,Soler Juan Mauricio,19.0,Barloworld,0:38 0:38,,4,2007,-
24.0,22.0,115.0,+1:24,20.0,Burghardt Marcus,20.0,T-Mobile Team,0:39 0:39,,4,2007,-
24.0,78.0,130.0,+1:28,21.0,Txurruka Amets,21.0,Euskaltel - Euskadi,0:43 0:43,,4,2007,-
25.0,209.0,132.0,+1:30,22.0,Ventoso Francisco José,22.0,Saunier Duval,0:45 0:45,,4,2007,-
23.0,134.0,137.0,+1:32,23.0,Feillu Romain,23.0,Agritubel,0:47 0:47,,4,2007,-
21.0,163.0,140.0,+1:33,24.0,Delage Mickaël,24.0,Française des Jeux,0:48 0:48,,4,2007,-
25.0,74.0,146.0,+1:36,26.0,Azanza Jorge,25.0,Euskaltel - Euskadi,0:51 0:51,,4,2007,▲1
24.0,85.0,151.0,+1:39,27.0,Corioni Claudio,26.0,Lampre-Fondital,0:54 0:54,,4,2007,▲1
24.0,218.0,159.0,+1:47,28.0,Siutsou Kanstantsin,27.0,Barloworld,1:02 1:02,,4,2007,▲1
24.0,72.0,162.0,+2:05,29.0,Antón Igor,28.0,Euskaltel - Euskadi,1:20 1:20,,4,2007,▲1
22.0,23.0,172.0,+3:57,30.0,Cavendish Mark,29.0,T-Mobile Team,3:12 3:12,,4,2007,▲1
21.0,164.0,185.0,+9:31,25.0,Di Grégorio Rémy,30.0,Française des Jeux,8:46 8:46,,4,2007,▼5
25.0,113.0,6.0,+0:45,1.0,Gusev Vladimir,1.0,Discovery Channel,24:29:42 24:29:42,,5,2007,-
22.0,54.0,9.0,+0:51,2.0,Dekker Thomas,2.0,Rabobank ProTeam,0:06 0:06,,5,2007,-
25.0,169.0,10.0,+0:52,3.0,Vaugrenard Benoît,3.0,Française des Jeux,0:07 0:07,,5,2007,-
24.0,112.0,12.0,+0:55,5.0,Contador Alberto,4.0,Discovery Channel,0:10 0:10,,5,2007,▲1
24.0,25.0,20.0,+0:58,7.0,Gerdemann Linus,5.0,T-Mobile Team,0:13 0:13,,5,2007,▲2
25.0,95.0,25.0,+1:04,8.0,Kohl Bernhard,6.0,Gerolsteiner,0:19 0:19,,5,2007,▲2
23.0,168.0,32.0,+1:08,12.0,Löfkvist Thomas,7.0,Française des Jeux,0:23 0:23,,5,2007,▲5
24.0,219.0,57.0,+1:23,19.0,Soler Juan Mauricio,8.0,Barloworld,0:38 0:38,,5,2007,▲11
24.0,218.0,73.0,+1:47,27.0,Siutsou Kanstantsin,9.0,Barloworld,1:02 1:02,,5,2007,▲18
23.0,184.0,81.0,+2:13,4.0,Grivko Andrey,10.0,Milram,1:28 1:28,,5,2007,▼6
25.0,128.0,82.0,+2:25,17.0,Tschopp Johann,11.0,Bouygues Telecom,1:40 1:40,,5,2007,▲6
24.0,72.0,87.0,+2:33,28.0,Antón Igor,12.0,Euskaltel - Euskadi,1:48 1:48,,5,2007,▲16
24.0,78.0,94.0,+2:48,21.0,Txurruka Amets,13.0,Euskaltel - Euskadi,2:03 2:03,,5,2007,▲8
25.0,74.0,98.0,+2:56,25.0,Azanza Jorge,14.0,Euskaltel - Euskadi,2:11 2:11,,5,2007,▲11
25.0,165.0,101.0,+5:21,9.0,Gilbert Philippe,15.0,Française des Jeux,4:36 4:36,,5,2007,▼6
24.0,122.0,103.0,+5:36,11.0,Clement Stef,16.0,Bouygues Telecom,4:51 4:51,,5,2007,▼5
21.0,163.0,109.0,+6:02,24.0,Delage Mickaël,17.0,Française des Jeux,5:17 5:17,,5,2007,▲7
22.0,167.0,112.0,+6:08,14.0,Ladagnous Matthieu,18.0,Française des Jeux,5:23 5:23,,5,2007,▼4
23.0,94.0,114.0,+6:17,18.0,Haussler Heinrich,19.0,Gerolsteiner,5:32 5:32,,5,2007,▼1
24.0,22.0,115.0,+6:21,20.0,Burghardt Marcus,20.0,T-Mobile Team,5:36 5:36,,5,2007,-
24.0,85.0,120.0,+6:36,26.0,Corioni Claudio,21.0,Lampre-Fondital,5:51 5:51,,5,2007,▲5
25.0,102.0,122.0,+7:48,6.0,Bonnet William,22.0,Crédit Agricole,7:03 7:03,,5,2007,▼16
25.0,209.0,128.0,+8:15,22.0,Ventoso Francisco José,23.0,Saunier Duval,7:30 7:30,,5,2007,▼1
25.0,189.0,130.0,+8:19,15.0,Sieberg Marcel,24.0,Milram,7:34 7:34,,5,2007,▼9
23.0,197.0,148.0,+10:53,16.0,Navarro Daniel,25.0,Astana,10:08 10:08,,5,2007,▼9
21.0,215.0,153.0,+12:22,10.0,Thomas Geraint,26.0,Barloworld,11:37 11:37,,5,2007,▼16
24.0,96.0,155.0,+12:25,13.0,Krauß Sven,27.0,Gerolsteiner,11:40 11:40,,5,2007,▼14
23.0,134.0,173.0,+15:38,23.0,Feillu Romain,28.0,Agritubel,14:53 14:53,,5,2007,▼5
22.0,23.0,181.0,+22:29,29.0,Cavendish Mark,29.0,T-Mobile Team,21:44 21:44,,5,2007,-
25.0,113.0,7.0,+0:45,1.0,Gusev Vladimir,1.0,Discovery Channel,25:50:40 25:50:40,,6,2007,-
22.0,54.0,11.0,+0:51,2.0,Dekker Thomas,2.0,Rabobank ProTeam,0:06 0:06,,6,2007,-
25.0,169.0,12.0,+0:52,3.0,Vaugrenard Benoît,3.0,Française des Jeux,0:07 0:07,,6,2007,-
24.0,112.0,14.0,+0:55,4.0,Contador Alberto,4.0,Discovery Channel,0:10 0:10,,6,2007,-
24.0,25.0,20.0,+0:58,5.0,Gerdemann Linus,5.0,T-Mobile Team,0:13 0:13,,6,2007,-
25.0,95.0,25.0,+1:04,6.0,Kohl Bernhard,6.0,Gerolsteiner,0:19 0:19,,6,2007,-
23.0,168.0,32.0,+1:08,7.0,Löfkvist Thomas,7.0,Française des Jeux,0:23 0:23,,6,2007,-
24.0,219.0,57.0,+1:23,8.0,Soler Juan Mauricio,8.0,Barloworld,0:38 0:38,,6,2007,-
24.0,218.0,74.0,+1:47,9.0,Siutsou Kanstantsin,9.0,Barloworld,1:02 1:02,,6,2007,-
23.0,184.0,81.0,+2:13,10.0,Grivko Andrey,10.0,Milram,1:28 1:28,,6,2007,-
25.0,128.0,82.0,+2:25,11.0,Tschopp Johann,11.0,Bouygues Telecom,1:40 1:40,,6,2007,-
24.0,72.0,87.0,+2:33,12.0,Antón Igor,12.0,Euskaltel - Euskadi,1:48 1:48,,6,2007,-
24.0,78.0,94.0,+2:48,13.0,Txurruka Amets,13.0,Euskaltel - Euskadi,2:03 2:03,,6,2007,-
25.0,74.0,98.0,+2:56,14.0,Azanza Jorge,14.0,Euskaltel - Euskadi,2:11 2:11,,6,2007,-
25.0,165.0,101.0,+5:21,15.0,Gilbert Philippe,15.0,Française des Jeux,4:36 4:36,,6,2007,-
24.0,122.0,103.0,+5:36,16.0,Clement Stef,16.0,Bouygues Telecom,4:51 4:51,,6,2007,-
21.0,163.0,108.0,+6:02,17.0,Delage Mickaël,17.0,Française des Jeux,5:17 5:17,,6,2007,-
22.0,167.0,111.0,+6:08,18.0,Ladagnous Matthieu,18.0,Française des Jeux,5:23 5:23,,6,2007,-
23.0,94.0,113.0,+6:17,19.0,Haussler Heinrich,19.0,Gerolsteiner,5:32 5:32,,6,2007,-
24.0,85.0,118.0,+6:36,21.0,Corioni Claudio,20.0,Lampre-Fondital,5:51 5:51,,6,2007,▲1
25.0,102.0,120.0,+7:48,22.0,Bonnet William,21.0,Crédit Agricole,7:03 7:03,,6,2007,▲1
25.0,209.0,126.0,+8:15,23.0,Ventoso Francisco José,22.0,Saunier Duval,7:30 7:30,,6,2007,▲1
25.0,189.0,128.0,+8:19,24.0,Sieberg Marcel,23.0,Milram,7:34 7:34,,6,2007,▲1
24.0,22.0,129.0,+8:21,20.0,Burghardt Marcus,24.0,T-Mobile Team,7:36 7:36,,6,2007,▼4
23.0,197.0,148.0,+10:53,25.0,Navarro Daniel,25.0,Astana,10:08 10:08,,6,2007,-
21.0,215.0,153.0,+12:22,26.0,Thomas Geraint,26.0,Barloworld,11:37 11:37,,6,2007,-
24.0,96.0,155.0,+12:25,27.0,Krauß Sven,27.0,Gerolsteiner,11:40 11:40,,6,2007,-
23.0,134.0,172.0,+15:38,28.0,Feillu Romain,28.0,Agritubel,14:53 14:53,,6,2007,-
22.0,23.0,181.0,+22:29,29.0,Cavendish Mark,29.0,T-Mobile Team,21:44 21:44,,6,2007,-
24.0,25.0,1.0,+0:00,5.0,Gerdemann Linus,1.0,T-Mobile Team,34:43:40 34:43:40,,7,2007,▲4
24.0,219.0,5.0,+3:05,8.0,Soler Juan Mauricio,2.0,Barloworld,3:05 3:05,,7,2007,▲6
25.0,113.0,7.0,+3:51,1.0,Gusev Vladimir,3.0,Discovery Channel,3:51 3:51,,7,2007,▼2
22.0,54.0,10.0,+3:57,2.0,Dekker Thomas,4.0,Rabobank ProTeam,3:57 3:57,,7,2007,▼2
24.0,112.0,11.0,+4:01,4.0,Contador Alberto,5.0,Discovery Channel,4:01 4:01,,7,2007,▼1
25.0,95.0,35.0,+4:31,6.0,Kohl Bernhard,6.0,Gerolsteiner,4:31 4:31,,7,2007,-
24.0,218.0,41.0,+4:53,9.0,Siutsou Kanstantsin,7.0,Barloworld,4:53 4:53,,7,2007,▲2
24.0,78.0,61.0,+9:20,13.0,Txurruka Amets,8.0,Euskaltel - Euskadi,9:20 9:20,,7,2007,▲5
23.0,168.0,64.0,+10:50,7.0,Löfkvist Thomas,9.0,Française des Jeux,10:50 10:50,,7,2007,▼2
24.0,72.0,65.0,+12:15,12.0,Antón Igor,10.0,Euskaltel - Euskadi,12:15 12:15,,7,2007,▲2
25.0,169.0,67.0,+12:21,3.0,Vaugrenard Benoît,11.0,Française des Jeux,12:21 12:21,,7,2007,▼8
23.0,184.0,80.0,+14:48,10.0,Grivko Andrey,12.0,Milram,14:48 14:48,,7,2007,▼2
24.0,122.0,86.0,+18:11,16.0,Clement Stef,13.0,Bouygues Telecom,18:11 18:11,,7,2007,▲3
25.0,165.0,87.0,+18:11,15.0,Gilbert Philippe,14.0,Française des Jeux,",, 18:11",,7,2007,▲1
25.0,74.0,97.0,+21:06,14.0,Azanza Jorge,15.0,Euskaltel - Euskadi,21:06 21:06,,7,2007,▼1
25.0,128.0,109.0,+23:03,11.0,Tschopp Johann,16.0,Bouygues Telecom,23:03 23:03,,7,2007,▼5
21.0,163.0,117.0,+25:15,17.0,Delage Mickaël,17.0,Française des Jeux,25:15 25:15,,7,2007,-
22.0,167.0,118.0,+25:21,18.0,Ladagnous Matthieu,18.0,Française des Jeux,25:21 25:21,,7,2007,-
23.0,94.0,122.0,+26:55,19.0,Haussler Heinrich,19.0,Gerolsteiner,26:55 26:55,,7,2007,-
25.0,102.0,124.0,+27:01,21.0,Bonnet William,20.0,Crédit Agricole,27:01 27:01,,7,2007,▲1
24.0,85.0,137.0,+28:51,20.0,Corioni Claudio,21.0,Lampre-Fondital,28:51 28:51,,7,2007,▼1
