Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,206,97,+8:17,35.0,Smith Dion,29,Wanty - Groupe Gobert,7:10 7:10,\u25b26,2,2017
23,128,98,+8:17,34.0,Zabel Rick,30,Team Katusha - Alpecin,",, 7:10",\u25b24,2,2017
24,52,102,+8:17,33.0,Arcas Jorge,31,Movistar Team,",, 7:10",\u25b22,2,2017
21,174,107,+8:17,32.0,O'Connor Ben,32,Team Dimension Data,",, 7:10",-,2,2017
23,34,113,+8:17,36.0,Frankiny Kilian,33,BMC Racing Team,",, 7:10",\u25b23,2,2017
22,137,115,+8:17,37.0,Hofstede Lennard,34,Team Sunweb,",, 7:10",\u25b23,2,2017
24,26,120,+11:04,20.0,Vakoc Petr,35,Quick-Step Floors,9:57 9:57,\u25bc15,2,2017
25,161,125,+13:18,39.0,Coquard Bryan,36,Direct Energie,12:11 12:11,\u25b23,2,2017
23,86,126,+13:18,40.0,Tolhoek Antwan,37,Team LottoNL-Jumbo,",, 12:11",\u25b23,2,2017
25,74,128,+13:18,42.0,Kozhatayev Bakhtiyar,38,Astana Pro Team,",, 12:11",\u25b24,2,2017
23,117,138,+14:18,41.0,Le Gac Olivier,39,FDJ,13:11 13:11,\u25b22,2,2017
24,147,140,+14:42,27.0,Nibali Antonio,40,Bahrain Merida Pro Cycling Team,13:35 13:35,\u25bc13,2,2017
20,105,144,+15:40,30.0,Shaw James,41,Lotto Soudal,14:33 14:33,\u25bc11,2,2017
22,132,149,+16:11,45.0,Bauhaus Phil,42,Team Sunweb,15:04 15:04,\u25b23,2,2017
23,192,150,+16:11,46.0,Ackermann Pascal,43,BORA - hansgrohe,",, 15:04",\u25b23,2,2017
23,83,157,+17:02,38.0,Bouwman Koen,44,Team LottoNL-Jumbo,15:55 15:55,\u25bc6,2,2017
23,188,159,+17:11,44.0,Zurlo Federico,45,UAE Team Emirates,16:04 16:04,\u25bc1,2,2017
23,85,164,+22:03,43.0,Jansen Amund Grondahl,46,Team LottoNL-Jumbo,20:56 20:56,\u25bc3,2,2017
23,16,4,+1:07,1.0,Latour Pierre,1,AG2R La Mondiale,12:38:11 12:38:11,-,3,2017
24,193,5,+1:07,2.0,Buchmann Emanuel,2,BORA - hansgrohe,",, ,,",-,3,2017
23,201,10,+1:09,5.0,Martin Guillaume,3,Wanty - Groupe Gobert,0:02 0:02,\u25b22,3,2017
23,103,13,+1:09,4.0,Benoot Tiesj,4,Lotto Soudal,",, 0:02",-,3,2017
21,138,16,+1:09,6.0,Oomen Sam,5,Team Sunweb,",, 0:02",\u25b21,3,2017
25,181,22,+1:09,7.0,Meintjes Louis,6,UAE Team Emirates,",, 0:02",\u25b21,3,2017
23,152,23,+1:09,3.0,Bettiol Alberto,7,Cannondale-Drapac Pro Cycling Team,",, 0:02",\u25bc4,3,2017
24,68,37,+1:09,9.0,Yates Simon,8,ORICA-Scott,",, 0:02",\u25b21,3,2017
22,24,42,+1:09,11.0,Mas Enric,9,Quick-Step Floors,",, 0:02",\u25b22,3,2017
20,114,46,+1:09,10.0,Gaudu David,10,FDJ,",, 0:02",-,3,2017
24,58,52,+2:19,12.0,S\xfctterlin Jasha,11,Movistar Team,1:12 1:12,\u25b21,3,2017
24,53,54,+2:19,15.0,Carapaz Richard,12,Movistar Team,",, 1:12",\u25b23,3,2017
24,156,59,+2:19,13.0,Formolo Davide,13,Cannondale-Drapac Pro Cycling Team,",, 1:12",-,3,2017
25,154,63,+2:19,14.0,Canty Brendan,14,Cannondale-Drapac Pro Cycling Team,",, 1:12",-,3,2017
23,194,70,+3:03,19.0,Herklotz Silvio,15,BORA - hansgrohe,1:56 1:56,\u25b24,3,2017
23,44,73,+4:47,20.0,Gogl Michael,16,Trek - Segafredo,3:40 3:40,\u25b24,3,2017
25,122,74,+4:47,16.0,Bystr\xf8m Sven Erik,17,Team Katusha - Alpecin,",, 3:40",\u25bc1,3,2017
23,63,75,+5:34,22.0,Haig Jack,18,ORICA-Scott,4:27 4:27,\u25b24,3,2017
23,118,77,+5:35,17.0,Maison J\xe9r\xe9my,19,FDJ,4:28 4:28,\u25bc2,3,2017
25,217,78,+5:46,24.0,Pacher Quentin,20,Delko Marseille Provence KTM,4:39 4:39,\u25b24,3,2017
25,158,82,+6:31,23.0,van Baarle Dylan,21,Cannondale-Drapac Pro Cycling Team,5:24 5:24,\u25b22,3,2017
23,127,83,+6:34,25.0,Politt Nils,22,Team Katusha - Alpecin,5:27 5:27,\u25b23,3,2017
22,88,84,+6:44,26.0,Vermeulen Alexey,23,Team LottoNL-Jumbo,5:37 5:37,\u25b23,3,2017
24,64,90,+7:37,27.0,Howson Damien,24,ORICA-Scott,6:30 6:30,\u25b23,3,2017
25,78,91,+7:40,28.0,Valgren Michael,25,Astana Pro Team,6:33 6:33,\u25b23,3,2017
24,75,94,+8:02,21.0,Lutsenko Alexey,26,Astana Pro Team,6:55 6:55,\u25bc5,3,2017
24,206,95,+8:17,29.0,Smith Dion,27,Wanty - Groupe Gobert,7:10 7:10,\u25b22,3,2017
23,128,100,+8:17,30.0,Zabel Rick,28,Team Katusha - Alpecin,",, 7:10",\u25b22,3,2017
24,52,101,+8:17,31.0,Arcas Jorge,29,Movistar Team,",, 7:10",\u25b22,3,2017
21,174,105,+8:17,32.0,O'Connor Ben,30,Team Dimension Data,",, 7:10",\u25b22,3,2017
22,137,107,+8:17,34.0,Hofstede Lennard,31,Team Sunweb,",, 7:10",\u25b23,3,2017
23,34,110,+8:17,33.0,Frankiny Kilian,32,BMC Racing Team,",, 7:10",\u25b21,3,2017
23,97,114,+9:12,18.0,Turgis Anthony,33,"Cofidis, Solutions Cr\xe9dits",8:05 8:05,\u25bc15,3,2017
25,161,122,+13:18,36.0,Coquard Bryan,34,Direct Energie,12:11 12:11,\u25b22,3,2017
23,86,123,+13:18,37.0,Tolhoek Antwan,35,Team LottoNL-Jumbo,",, 12:11",\u25b22,3,2017
23,117,128,+14:18,39.0,Le Gac Olivier,36,FDJ,13:11 13:11,\u25b23,3,2017
25,74,135,+15:32,38.0,Kozhatayev Bakhtiyar,37,Astana Pro Team,14:25 14:25,\u25b21,3,2017
22,132,141,+16:11,42.0,Bauhaus Phil,38,Team Sunweb,15:04 15:04,\u25b24,3,2017
23,192,142,+16:11,43.0,Ackermann Pascal,39,BORA - hansgrohe,",, 15:04",\u25b24,3,2017
23,83,147,+16:41,44.0,Bouwman Koen,40,Team LottoNL-Jumbo,15:34 15:34,\u25b24,3,2017
24,26,153,+17:57,35.0,Vakoc Petr,41,Quick-Step Floors,16:50 16:50,\u25bc6,3,2017
24,147,157,+21:35,40.0,Nibali Antonio,42,Bahrain Merida Pro Cycling Team,20:28 20:28,\u25bc2,3,2017
