Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,24,51.0,+2:38,,15.0,D\xe9mare Arnaud,9,FDJ,2:32 2:32,\u25b26,2,2015
22,173,68.0,+2:51,,20.0,Laporte Christophe,10,"Cofidis, Solutions Cr\xe9dits",2:45 2:45,\u25b210,2,2015
24,12,78.0,+3:00,,22.0,Bardet Romain,11,AG2R La Mondiale,2:54 2:54,\u25b211,2,2015
24,193,85.0,+3:14,,26.0,Bennett Sam,12,Bora - Argon 18,3:08 3:08,\u25b214,2,2015
24,132,95.0,+5:32,,3.0,Kelderman Wilco,13,Team LottoNL-Jumbo,5:26 5:26,\u25bc10,2,2015
22,147,97.0,+5:40,,4.0,Jungels Bob,14,Trek Factory Racing,5:34 5:34,\u25bc10,2,2015
23,169,98.0,+5:40,,5.0,van Baarle Dylan,15,Team Cannondale - Garmin,",, 5:34",\u25bc10,2,2015
24,79,106.0,+5:48,,17.0,Wellens Tim,16,Lotto Soudal,5:42 5:42,\u25b21,2,2015
24,103,107.0,+5:48,,8.0,Durbridge Luke,17,Orica GreenEDGE,",, 5:42",\u25bc9,2,2015
22,109,108.0,+5:48,,9.0,Yates Simon,18,Orica GreenEDGE,",, 5:42",\u25bc9,2,2015
24,105,114.0,+6:00,,10.0,Matthews Michael,19,Orica GreenEDGE,5:54 5:54,\u25bc9,2,2015
22,194,127.0,+6:14,,14.0,Buchmann Emanuel,20,Bora - Argon 18,6:08 6:08,\u25bc6,2,2015
22,108,137.0,+6:20,,16.0,Yates Adam,21,Orica GreenEDGE,6:14 6:14,\u25bc5,2,2015
25,37,139.0,+6:21,,30.0,Rowe Luke,22,Team Sky,6:15 6:15,\u25b28,2,2015
23,217,140.0,+6:23,,18.0,Meintjes Louis,23,MTN - Qhubeka,6:17 6:17,\u25bc5,2,2015
21,176,144.0,+6:26,,19.0,S\xe9n\xe9chal Florian,24,"Cofidis, Solutions Cr\xe9dits",6:20 6:20,\u25bc5,2,2015
24,94,159.0,+6:37,,23.0,Haller Marco,25,Team Katusha,6:31 6:31,\u25bc2,2,2015
24,201,165.0,+6:42,,24.0,Sep\xfalveda Eduardo,26,Bretagne - S\xe9ch\xe9 Environnement,6:36 6:36,\u25bc2,2,2015
25,179,172.0,+6:50,,25.0,Vanbilsen Kenneth,27,"Cofidis, Solutions Cr\xe9dits",6:44 6:44,\u25bc2,2,2015
23,49,173.0,+6:51,,27.0,Valgren Michael,28,Tinkoff - Saxo,6:45 6:45,\u25bc1,2,2015
21,216,176.0,+6:53,,28.0,Kudus Merhawi,29,MTN - Qhubeka,6:47 6:47,\u25bc1,2,2015
23,122,177.0,+6:53,,29.0,Coquard Bryan,30,Team Europcar,",, 6:47",\u25bc1,2,2015
24,128,181.0,+6:59,,31.0,Tulik Angelo,31,Team Europcar,6:53 6:53,-,2,2015
