Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
24,85,134,+1:06,36.0,Foliforov Alexander,32,Gazprom-RusVelo,0:58 0:58,,\u25b24,2,2016
23,23,141,+1:09,37.0,Simion Paolo,33,Bardiani - CSF,1:01 1:01,,\u25b24,2,2016
24,28,142,+1:09,38.0,Maestri Mirco,34,Bardiani - CSF,",, 1:01",,\u25b24,2,2016
21,26,146,+1:11,39.0,Ciccone Giulio,35,Bardiani - CSF,1:03 1:03,,\u25b24,2,2016
25,103,147,+1:12,40.0,Koshevoy Ilia,36,Lampre - Merida,1:04 1:04,,\u25b24,2,2016
22,82,158,+1:18,42.0,Rybalkin Aleksey,37,Gazprom-RusVelo,1:10 1:10,,\u25b25,2,2016
21,216,159,+1:20,43.0,Rodr\xedguez Cristian,38,Wilier - Southeast,1:12 1:12,,\u25b25,2,2016
22,54,160,+1:21,44.0,Kudus Merhawi,39,Team Dimension Data,1:13 1:13,,\u25b25,2,2016
24,135,162,+1:24,45.0,Stacchiotti Riccardo,40,Nippo - Vini Fantini,1:16 1:16,,\u25b25,2,2016
24,138,169,+1:30,46.0,Yamamoto Genki,41,Nippo - Vini Fantini,1:22 1:22,,\u25b25,2,2016
21,143,172,+1:31,47.0,Ewan Caleb,42,Orica GreenEDGE,1:23 1:23,,\u25b25,2,2016
23,137,176,+1:36,48.0,Grosu Eduard Michael,43,Nippo - Vini Fantini,1:28 1:28,,\u25b25,2,2016
22,217,180,+1:48,49.0,Mareczko Jakub,44,Wilier - Southeast,1:40 1:40,,\u25b25,2,2016
23,128,182,+1:54,14.0,S\xfctterlin Jasha,45,Movistar Team,1:46 1:46,,\u25bc31,2,2016
24,132,184,+1:59,29.0,Berlato Giacomo,46,Nippo - Vini Fantini,1:51 1:51,,\u25bc17,2,2016
24,136,189,+2:15,33.0,Filosi Iuri,47,Nippo - Vini Fantini,2:07 2:07,,\u25bc14,2,2016
22,22,193,+2:31,41.0,Andreetta Simone,48,Bardiani - CSF,2:23 2:23,,\u25bc7,2,2016
22,77,194,+2:34,27.0,Le Gac Olivier,49,FDJ,2:26 2:26,,\u25bc22,2,2016
25,156,4,+0:17,1.0,Ludvigsson Tobias,1,Team Giant - Alpecin,9:13:27 9:13:27,,-,3,2016
23,64,6,+0:22,2.0,Jungels Bob,2,Etixx - Quick Step,0:05 0:05,,-,3,2016
24,69,12,+0:29,4.0,Wisniowski Lukasz,3,Etixx - Quick Step,0:12 0:12,,\u25b21,3,2016
24,173,17,+0:34,6.0,Hofland Moreno,4,Team LottoNL-Jumbo,0:17 0:17,,\u25b22,3,2016
22,35,23,+0:39,8.0,K\xfcng Stefan,5,BMC Racing Team,0:22 0:22,,\u25b23,3,2016
24,113,25,+0:40,9.0,de Bie Sean,6,Lotto Soudal,0:23 0:23,,\u25b23,3,2016
24,71,32,+0:43,10.0,D\xe9mare Arnaud,7,FDJ,0:26 0:26,,\u25b23,3,2016
22,48,46,+0:50,13.0,Bettiol Alberto,8,Cannondale Pro Cycling Team,0:33 0:33,,\u25b25,3,2016
22,39,48,+0:51,14.0,Zabel Rick,9,BMC Racing Team,0:34 0:34,,\u25b25,3,2016
24,214,57,+0:56,16.0,Bertazzo Liam,10,Wilier - Southeast,0:39 0:39,,\u25b26,3,2016
23,101,58,+0:56,17.0,Conti Valerio,11,Lampre - Merida,",, 0:39",,\u25b26,3,2016
20,218,59,+0:56,18.0,Martinez Daniel Felipe,12,Wilier - Southeast,",, 0:39",,\u25b26,3,2016
23,45,60,+0:59,20.0,Formolo Davide,13,Cannondale Pro Cycling Team,0:42 0:42,,\u25b27,3,2016
22,184,64,+0:59,22.0,Henao Sebasti\xe1n,14,Team Sky,",, 0:42",,\u25b28,3,2016
23,68,70,+1:08,27.0,Verona Carlos,15,Etixx - Quick Step,0:51 0:51,,\u25b212,3,2016
21,105,72,+1:10,28.0,Mohoric Matej,16,Lampre - Merida,0:53 0:53,,\u25b212,3,2016
24,87,74,+1:13,30.0,Savitskiy Ivan,17,Gazprom-RusVelo,0:56 0:56,,\u25b213,3,2016
23,109,75,+1:13,31.0,Petilli Simone,18,Lampre - Merida,",, 0:56",,\u25b213,3,2016
23,23,80,+1:18,33.0,Simion Paolo,19,Bardiani - CSF,1:01 1:01,,\u25b214,3,2016
22,54,88,+1:30,39.0,Kudus Merhawi,20,Team Dimension Data,1:13 1:13,,\u25b219,3,2016
24,28,90,+1:32,34.0,Maestri Mirco,21,Bardiani - CSF,1:15 1:15,,\u25b213,3,2016
21,143,94,+1:40,42.0,Ewan Caleb,22,Orica GreenEDGE,1:23 1:23,,\u25b220,3,2016
25,58,99,+1:52,24.0,Van Zyl Johann,23,Team Dimension Data,1:35 1:35,,\u25b21,3,2016
24,144,102,+2:06,5.0,Hepburn Michael,24,Orica GreenEDGE,1:49 1:49,,\u25bc19,3,2016
23,195,105,+2:26,11.0,McCarthy Jay,25,Tinkoff,2:09 2:09,,\u25bc14,3,2016
24,31,106,+2:27,12.0,Senni Manuel,26,BMC Racing Team,2:10 2:10,,\u25bc14,3,2016
25,182,110,+2:39,23.0,Boswell Ian,27,Team Sky,2:22 2:22,,\u25bc4,3,2016
25,103,116,+2:58,36.0,Koshevoy Ilia,28,Lampre - Merida,2:41 2:41,,\u25b28,3,2016
22,212,129,+5:08,15.0,Amezqueta Julen,29,Wilier - Southeast,4:51 4:51,,\u25bc14,3,2016
24,152,133,+5:53,19.0,Arndt Nikias,30,Team Giant - Alpecin,5:36 5:36,,\u25bc11,3,2016
24,132,136,+6:20,46.0,Berlato Giacomo,31,Nippo - Vini Fantini,6:03 6:03,,\u25b215,3,2016
23,145,137,+6:31,3.0,Howson Damien,32,Orica GreenEDGE,6:14 6:14,,\u25bc29,3,2016
24,111,139,+6:40,7.0,Wellens Tim,33,Lotto Soudal,6:23 6:23,,\u25bc26,3,2016
22,77,150,+6:59,49.0,Le Gac Olivier,34,FDJ,6:42 6:42,,\u25b215,3,2016
22,78,153,+7:06,25.0,Sarreau Marc,35,FDJ,6:49 6:49,,\u25bc10,3,2016
24,49,156,+7:10,26.0,Brown Nathan,36,Cannondale Pro Cycling Team,6:53 6:53,,\u25bc10,3,2016
24,16,157,+7:13,29.0,Kozhatayev Bakhtiyar,37,Astana Pro Team,6:56 6:56,,\u25bc8,3,2016
21,26,159,+7:23,35.0,Ciccone Giulio,38,Bardiani - CSF,7:06 7:06,,\u25bc3,3,2016
22,217,166,+8:00,44.0,Mareczko Jakub,39,Wilier - Southeast,7:43 7:43,,\u25b25,3,2016
24,44,177,+8:38,21.0,Dombrowski Joe,40,Cannondale Pro Cycling Team,8:21 8:21,,\u25bc19,3,2016
22,22,180,+8:43,48.0,Andreetta Simone,41,Bardiani - CSF,8:26 8:26,,\u25b27,3,2016
24,85,184,+8:54,32.0,Foliforov Alexander,42,Gazprom-RusVelo,8:37 8:37,,\u25bc10,3,2016
22,82,186,+9:06,37.0,Rybalkin Aleksey,43,Gazprom-RusVelo,8:49 8:49,,\u25bc6,3,2016
21,216,187,+9:08,38.0,Rodr\xedguez Cristian,44,Wilier - Southeast,8:51 8:51,,\u25bc6,3,2016
24,135,188,+9:12,40.0,Stacchiotti Riccardo,45,Nippo - Vini Fantini,8:55 8:55,,\u25bc5,3,2016
24,138,189,+9:18,41.0,Yamamoto Genki,46,Nippo - Vini Fantini,9:01 9:01,,\u25bc5,3,2016
23,137,190,+9:24,43.0,Grosu Eduard Michael,47,Nippo - Vini Fantini,9:07 9:07,,\u25bc4,3,2016
24,136,192,+10:03,47.0,Filosi Iuri,48,Nippo - Vini Fantini,9:46 9:46,,\u25bc1,3,2016
23,128,196,+15:35,45.0,S\xfctterlin Jasha,49,Movistar Team,15:18 15:18,,\u25bc4,3,2016
23,64,2,+0:20,2.0,Jungels Bob,1,Etixx - Quick Step,14:00:29 14:00:29,,\u25b21,4,2016
23,45,22,+0:57,13.0,Formolo Davide,2,Cannondale Pro Cycling Team,0:37 0:37,,\u25b211,4,2016
22,184,32,+1:34,14.0,Henao Sebasti\xe1n,3,Team Sky,1:14 1:14,,\u25b211,4,2016
22,35,36,+1:42,5.0,K\xfcng Stefan,4,BMC Racing Team,1:22 1:22,,\u25b21,4,2016
23,68,37,+1:43,15.0,Verona Carlos,5,Etixx - Quick Step,1:23 1:23,,\u25b210,4,2016
23,101,45,+1:59,11.0,Conti Valerio,6,Lampre - Merida,1:39 1:39,,\u25b25,4,2016
22,54,49,+2:33,20.0,Kudus Merhawi,7,Team Dimension Data,2:13 2:13,,\u25b213,4,2016
23,195,53,+3:00,25.0,McCarthy Jay,8,Tinkoff,2:40 2:40,,\u25b217,4,2016
25,182,54,+3:14,27.0,Boswell Ian,9,Team Sky,2:54 2:54,,\u25b218,4,2016
25,156,55,+3:16,1.0,Ludvigsson Tobias,10,Team Giant - Alpecin,2:56 2:56,,\u25bc9,4,2016
24,113,57,+3:28,6.0,de Bie Sean,11,Lotto Soudal,3:08 3:08,,\u25bc5,4,2016
24,71,59,+3:31,7.0,D\xe9mare Arnaud,12,FDJ,3:11 3:11,,\u25bc5,4,2016
23,109,63,+4:01,18.0,Petilli Simone,13,Lampre - Merida,3:41 3:41,,\u25b25,4,2016
24,28,73,+5:36,21.0,Maestri Mirco,14,Bardiani - CSF,5:16 5:16,,\u25b27,4,2016
22,48,78,+6:42,8.0,Bettiol Alberto,15,Cannondale Pro Cycling Team,6:22 6:22,,\u25bc7,4,2016
24,87,86,+7:05,17.0,Savitskiy Ivan,16,Gazprom-RusVelo,6:45 6:45,,\u25b21,4,2016
24,152,92,+7:30,30.0,Arndt Nikias,17,Team Giant - Alpecin,7:10 7:10,,\u25b213,4,2016
20,218,93,+7:35,12.0,Martinez Daniel Felipe,18,Wilier - Southeast,7:15 7:15,,\u25bc6,4,2016
24,49,97,+8:13,36.0,Brown Nathan,19,Cannondale Pro Cycling Team,7:53 7:53,,\u25b217,4,2016
24,173,98,+8:36,4.0,Hofland Moreno,20,Team LottoNL-Jumbo,8:16 8:16,,\u25bc16,4,2016
22,39,101,+8:53,9.0,Zabel Rick,21,BMC Racing Team,8:33 8:33,,\u25bc12,4,2016
24,214,104,+8:58,10.0,Bertazzo Liam,22,Wilier - Southeast,8:38 8:38,,\u25bc12,4,2016
