Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
11,8.0,\u25bc3,6,Pibernik Luka,21,Lampre - Merida,6.0,2015,3
12,9.0,\u25bc3,27,Br\xe4ndle Matthias,25,IAM Cycling,6.0,2015,3
13,,-,172,Samoilau Branislau,30,CCC Sprandi Polkowice,4.0,2015,3
14,,-,23,Denifl Stefan,27,IAM Cycling,4.0,2015,3
15,12.0,\u25bc3,52,Thomas Geraint,29,Team Sky,2.0,2015,3
16,13.0,\u25bc3,136,Morabito Steve,32,FDJ,2.0,2015,3
17,14.0,\u25bc3,37,Van Avermaet Greg,30,BMC Racing Team,1.0,2015,3
1,2.0,\u25b21,41,Sagan Peter,25,Tinkoff - Saxo,25.0,2015,4
2,3.0,\u25b21,85,Dumoulin Tom,24,Team Giant - Alpecin,19.0,2015,4
3,1.0,\u25bc2,77,Moreno Daniel,33,Team Katusha,16.0,2015,4
4,4.0,-,186,Marcato Marco,31,Wanty - Groupe Gobert,12.0,2015,4
5,5.0,-,7,Durasek Kristijan,27,Lampre - Merida,10.0,2015,4
6,,-,107,Matthews Michael,24,Orica GreenEDGE,10.0,2015,4
7,6.0,\u25bc1,131,Pinot Thibaut,25,FDJ,10.0,2015,4
8,7.0,\u25bc1,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,10.0,2015,4
9,8.0,\u25bc1,11,Cancellara Fabian,34,Trek Factory Racing,8.0,2015,4
10,9.0,\u25bc1,108,Meyer Cameron,27,Orica GreenEDGE,7.0,2015,4
11,17.0,\u25b26,37,Van Avermaet Greg,30,BMC Racing Team,7.0,2015,4
12,,-,158,Lutsenko Alexey,22,Astana Pro Team,6.0,2015,4
13,,-,96,Howes Alex,27,Team Cannondale - Garmin,6.0,2015,4
14,10.0,\u25bc4,128,Roelandts Jurgen,29,Lotto Soudal,6.0,2015,4
15,11.0,\u25bc4,6,Pibernik Luka,21,Lampre - Merida,6.0,2015,4
16,12.0,\u25bc4,27,Br\xe4ndle Matthias,25,IAM Cycling,6.0,2015,4
17,13.0,\u25bc4,172,Samoilau Branislau,30,CCC Sprandi Polkowice,4.0,2015,4
18,,-,81,Degenkolb John,26,Team Giant - Alpecin,4.0,2015,4
19,14.0,\u25bc5,23,Denifl Stefan,27,IAM Cycling,4.0,2015,4
20,15.0,\u25bc5,52,Thomas Geraint,29,Team Sky,3.0,2015,4
21,,-,44,Breschel Matti,30,Tinkoff - Saxo,3.0,2015,4
22,,-,13,Devolder Stijn,35,Trek Factory Racing,3.0,2015,4
23,16.0,\u25bc7,136,Morabito Steve,32,FDJ,2.0,2015,4
24,,-,18,Stuyven Jasper,23,Trek Factory Racing,2.0,2015,4
25,,-,83,Barguil Warren,23,Team Giant - Alpecin,1.0,2015,4
26,,-,125,De Gendt Thomas,28,Lotto Soudal,,2015,4
1,1.0,-,41,Sagan Peter,25,Tinkoff - Saxo,25.0,2015,5
2,7.0,\u25b25,131,Pinot Thibaut,25,FDJ,20.0,2015,5
3,2.0,\u25bc1,85,Dumoulin Tom,24,Team Giant - Alpecin,18.0,2015,5
4,3.0,\u25bc1,77,Moreno Daniel,33,Team Katusha,16.0,2015,5
5,4.0,\u25bc1,186,Marcato Marco,31,Wanty - Groupe Gobert,12.0,2015,5
6,16.0,\u25b210,27,Br\xe4ndle Matthias,25,IAM Cycling,12.0,2015,5
7,5.0,\u25bc2,7,Durasek Kristijan,27,Lampre - Merida,10.0,2015,5
8,8.0,-,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,10.0,2015,5
9,,-,161,Pozzovivo Domenico,32,AG2R La Mondiale,8.0,2015,5
10,9.0,\u25bc1,11,Cancellara Fabian,34,Trek Factory Racing,8.0,2015,5
11,26.0,\u25b215,125,De Gendt Thomas,28,Lotto Soudal,7.0,2015,5
12,10.0,\u25bc2,108,Meyer Cameron,27,Orica GreenEDGE,7.0,2015,5
13,11.0,\u25bc2,37,Van Avermaet Greg,30,BMC Racing Team,7.0,2015,5
14,19.0,\u25b25,23,Denifl Stefan,27,IAM Cycling,7.0,2015,5
15,12.0,\u25bc3,158,Lutsenko Alexey,22,Astana Pro Team,6.0,2015,5
16,13.0,\u25bc3,96,Howes Alex,27,Team Cannondale - Garmin,6.0,2015,5
17,14.0,\u25bc3,128,Roelandts Jurgen,29,Lotto Soudal,6.0,2015,5
18,,-,78,Spilak Simon,28,Team Katusha,6.0,2015,5
19,15.0,\u25bc4,6,Pibernik Luka,21,Lampre - Merida,6.0,2015,5
20,20.0,-,52,Thomas Geraint,29,Team Sky,5.0,2015,5
21,,-,156,Lopez Miguel Angel,21,Astana Pro Team,4.0,2015,5
22,17.0,\u25bc5,172,Samoilau Branislau,30,CCC Sprandi Polkowice,4.0,2015,5
23,18.0,\u25bc5,81,Degenkolb John,26,Team Giant - Alpecin,4.0,2015,5
24,,-,95,King Benjamin,26,Team Cannondale - Garmin,3.0,2015,5
25,21.0,\u25bc4,44,Breschel Matti,30,Tinkoff - Saxo,3.0,2015,5
26,22.0,\u25bc4,13,Devolder Stijn,35,Trek Factory Racing,3.0,2015,5
27,23.0,\u25bc4,136,Morabito Steve,32,FDJ,2.0,2015,5
28,24.0,\u25bc4,18,Stuyven Jasper,23,Trek Factory Racing,2.0,2015,5
29,25.0,\u25bc4,83,Barguil Warren,23,Team Giant - Alpecin,1.0,2015,5
30,,-,174,Schumacher Stefan,33,CCC Sprandi Polkowice,1.0,2015,5
31,,-,16,Rast Gregory,35,Trek Factory Racing,1.0,2015,5
1,1.0,-,41,Sagan Peter,25,Tinkoff - Saxo,35.0,2015,6
2,2.0,-,131,Pinot Thibaut,25,FDJ,20.0,2015,6
3,3.0,-,85,Dumoulin Tom,24,Team Giant - Alpecin,18.0,2015,6
4,4.0,-,77,Moreno Daniel,33,Team Katusha,16.0,2015,6
5,17.0,\u25b212,128,Roelandts Jurgen,29,Lotto Soudal,14.0,2015,6
6,5.0,\u25bc1,186,Marcato Marco,31,Wanty - Groupe Gobert,12.0,2015,6
7,,-,183,Baugnies Jerome,28,Wanty - Groupe Gobert,12.0,2015,6
8,6.0,\u25bc2,27,Br\xe4ndle Matthias,25,IAM Cycling,12.0,2015,6
9,7.0,\u25bc2,7,Durasek Kristijan,27,Lampre - Merida,10.0,2015,6
10,8.0,\u25bc2,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,10.0,2015,6
11,9.0,\u25bc2,161,Pozzovivo Domenico,32,AG2R La Mondiale,8.0,2015,6
12,10.0,\u25bc2,11,Cancellara Fabian,34,Trek Factory Racing,8.0,2015,6
13,11.0,\u25bc2,125,De Gendt Thomas,28,Lotto Soudal,7.0,2015,6
14,12.0,\u25bc2,108,Meyer Cameron,27,Orica GreenEDGE,7.0,2015,6
15,13.0,\u25bc2,37,Van Avermaet Greg,30,BMC Racing Team,7.0,2015,6
16,14.0,\u25bc2,23,Denifl Stefan,27,IAM Cycling,7.0,2015,6
17,15.0,\u25bc2,158,Lutsenko Alexey,22,Astana Pro Team,6.0,2015,6
18,16.0,\u25bc2,96,Howes Alex,27,Team Cannondale - Garmin,6.0,2015,6
19,18.0,\u25bc1,78,Spilak Simon,28,Team Katusha,6.0,2015,6
20,19.0,\u25bc1,6,Pibernik Luka,21,Lampre - Merida,6.0,2015,6
21,,-,168,Domont Axel,24,AG2R La Mondiale,6.0,2015,6
22,,-,71,Kristoff Alexander,27,Team Katusha,6.0,2015,6
23,20.0,\u25bc3,52,Thomas Geraint,29,Team Sky,5.0,2015,6
24,21.0,\u25bc3,156,Lopez Miguel Angel,21,Astana Pro Team,4.0,2015,6
25,22.0,\u25bc3,172,Samoilau Branislau,30,CCC Sprandi Polkowice,4.0,2015,6
26,23.0,\u25bc3,81,Degenkolb John,26,Team Giant - Alpecin,4.0,2015,6
27,,-,34,Drucker Jean-Pierre,28,BMC Racing Team,4.0,2015,6
28,24.0,\u25bc4,95,King Benjamin,26,Team Cannondale - Garmin,3.0,2015,6
29,25.0,\u25bc4,44,Breschel Matti,30,Tinkoff - Saxo,3.0,2015,6
30,26.0,\u25bc4,13,Devolder Stijn,35,Trek Factory Racing,3.0,2015,6
31,27.0,\u25bc4,136,Morabito Steve,32,FDJ,2.0,2015,6
32,28.0,\u25bc4,18,Stuyven Jasper,23,Trek Factory Racing,2.0,2015,6
33,,-,97,Mohoric Matej,20,Team Cannondale - Garmin,2.0,2015,6
34,,-,42,Bennati Daniele,34,Tinkoff - Saxo,2.0,2015,6
35,29.0,\u25bc6,83,Barguil Warren,23,Team Giant - Alpecin,1.0,2015,6
36,30.0,\u25bc6,174,Schumacher Stefan,33,CCC Sprandi Polkowice,1.0,2015,6
37,31.0,\u25bc6,16,Rast Gregory,35,Trek Factory Racing,1.0,2015,6
1,1.0,-,41,Sagan Peter,25,Tinkoff - Saxo,43.0,2015,7
2,2.0,-,131,Pinot Thibaut,25,FDJ,20.0,2015,7
3,3.0,-,85,Dumoulin Tom,24,Team Giant - Alpecin,18.0,2015,7
4,22.0,\u25b218,71,Kristoff Alexander,27,Team Katusha,16.0,2015,7
5,4.0,\u25bc1,77,Moreno Daniel,33,Team Katusha,16.0,2015,7
6,5.0,\u25bc1,128,Roelandts Jurgen,29,Lotto Soudal,14.0,2015,7
7,6.0,\u25bc1,186,Marcato Marco,31,Wanty - Groupe Gobert,12.0,2015,7
8,7.0,\u25bc1,183,Baugnies Jerome,28,Wanty - Groupe Gobert,12.0,2015,7
9,21.0,\u25b212,168,Domont Axel,24,AG2R La Mondiale,12.0,2015,7
10,8.0,\u25bc2,27,Br\xe4ndle Matthias,25,IAM Cycling,12.0,2015,7
11,15.0,\u25b24,37,Van Avermaet Greg,30,BMC Racing Team,11.0,2015,7
12,9.0,\u25bc3,7,Durasek Kristijan,27,Lampre - Merida,10.0,2015,7
13,10.0,\u25bc3,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,10.0,2015,7
14,11.0,\u25bc3,161,Pozzovivo Domenico,32,AG2R La Mondiale,8.0,2015,7
15,12.0,\u25bc3,11,Cancellara Fabian,34,Trek Factory Racing,8.0,2015,7
16,,-,104,Impey Daryl,30,Orica GreenEDGE,7.0,2015,7
17,14.0,\u25bc3,108,Meyer Cameron,27,Orica GreenEDGE,7.0,2015,7
18,13.0,\u25bc5,125,De Gendt Thomas,28,Lotto Soudal,7.0,2015,7
19,16.0,\u25bc3,23,Denifl Stefan,27,IAM Cycling,7.0,2015,7
20,17.0,\u25bc3,158,Lutsenko Alexey,22,Astana Pro Team,6.0,2015,7
21,18.0,\u25bc3,96,Howes Alex,27,Team Cannondale - Garmin,6.0,2015,7
22,19.0,\u25bc3,78,Spilak Simon,28,Team Katusha,6.0,2015,7
23,20.0,\u25bc3,6,Pibernik Luka,21,Lampre - Merida,6.0,2015,7
24,,-,141,Kwiatkowski Michal,25,Etixx - Quick Step,6.0,2015,7
25,,-,1,Cimolai Davide,25,Lampre - Merida,6.0,2015,7
26,23.0,\u25bc3,52,Thomas Geraint,29,Team Sky,5.0,2015,7
27,24.0,\u25bc3,156,Lopez Miguel Angel,21,Astana Pro Team,4.0,2015,7
28,25.0,\u25bc3,172,Samoilau Branislau,30,CCC Sprandi Polkowice,4.0,2015,7
29,26.0,\u25bc3,81,Degenkolb John,26,Team Giant - Alpecin,4.0,2015,7
30,27.0,\u25bc3,34,Drucker Jean-Pierre,28,BMC Racing Team,4.0,2015,7
31,28.0,\u25bc3,95,King Benjamin,26,Team Cannondale - Garmin,3.0,2015,7
32,29.0,\u25bc3,44,Breschel Matti,30,Tinkoff - Saxo,3.0,2015,7
33,30.0,\u25bc3,13,Devolder Stijn,35,Trek Factory Racing,3.0,2015,7
34,31.0,\u25bc3,136,Morabito Steve,32,FDJ,2.0,2015,7
35,33.0,\u25bc2,97,Mohoric Matej,20,Team Cannondale - Garmin,2.0,2015,7
36,34.0,\u25bc2,42,Bennati Daniele,34,Tinkoff - Saxo,2.0,2015,7
37,32.0,\u25bc5,18,Stuyven Jasper,23,Trek Factory Racing,2.0,2015,7
38,,-,134,D\xe9mare Arnaud,23,FDJ,2.0,2015,7
39,35.0,\u25bc4,83,Barguil Warren,23,Team Giant - Alpecin,1.0,2015,7
40,,-,31,Dillier Silvan,24,BMC Racing Team,1.0,2015,7
41,36.0,\u25bc5,174,Schumacher Stefan,33,CCC Sprandi Polkowice,1.0,2015,7
42,37.0,\u25bc5,16,Rast Gregory,35,Trek Factory Racing,1.0,2015,7
1,1.0,-,41,Sagan Peter,25,Tinkoff - Saxo,43.0,2015,8
2,20.0,\u25b218,158,Lutsenko Alexey,22,Astana Pro Team,23.0,2015,8
3,2.0,\u25bc1,131,Pinot Thibaut,25,FDJ,20.0,2015,8
4,6.0,\u25b22,128,Roelandts Jurgen,29,Lotto Soudal,20.0,2015,8
5,3.0,\u25bc2,85,Dumoulin Tom,24,Team Giant - Alpecin,18.0,2015,8
6,,-,163,Bakelants Jan,29,AG2R La Mondiale,17.0,2015,8
7,4.0,\u25bc3,71,Kristoff Alexander,27,Team Katusha,16.0,2015,8
8,5.0,\u25bc3,77,Moreno Daniel,33,Team Katusha,16.0,2015,8
9,7.0,\u25bc2,186,Marcato Marco,31,Wanty - Groupe Gobert,12.0,2015,8
10,9.0,\u25bc1,168,Domont Axel,24,AG2R La Mondiale,12.0,2015,8
11,10.0,\u25bc1,27,Br\xe4ndle Matthias,25,IAM Cycling,12.0,2015,8
12,11.0,\u25bc1,37,Van Avermaet Greg,30,BMC Racing Team,11.0,2015,8
13,12.0,\u25bc1,7,Durasek Kristijan,27,Lampre - Merida,10.0,2015,8
14,13.0,\u25bc1,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,10.0,2015,8
15,17.0,\u25b22,108,Meyer Cameron,27,Orica GreenEDGE,8.0,2015,8
16,14.0,\u25bc2,161,Pozzovivo Domenico,32,AG2R La Mondiale,8.0,2015,8
17,15.0,\u25bc2,11,Cancellara Fabian,34,Trek Factory Racing,8.0,2015,8
18,16.0,\u25bc2,104,Impey Daryl,30,Orica GreenEDGE,7.0,2015,8
19,18.0,\u25bc1,125,De Gendt Thomas,28,Lotto Soudal,7.0,2015,8
20,39.0,\u25b219,83,Barguil Warren,23,Team Giant - Alpecin,7.0,2015,8
21,19.0,\u25bc2,23,Denifl Stefan,27,IAM Cycling,7.0,2015,8
22,,-,73,Haller Marco,24,Team Katusha,7.0,2015,8
23,,-,165,Turgot S\xe9bastien,31,AG2R La Mondiale,6.0,2015,8
24,21.0,\u25bc3,96,Howes Alex,27,Team Cannondale - Garmin,6.0,2015,8
25,22.0,\u25bc3,78,Spilak Simon,28,Team Katusha,6.0,2015,8
26,23.0,\u25bc3,6,Pibernik Luka,21,Lampre - Merida,6.0,2015,8
27,24.0,\u25bc3,141,Kwiatkowski Michal,25,Etixx - Quick Step,6.0,2015,8
28,25.0,\u25bc3,1,Cimolai Davide,25,Lampre - Merida,6.0,2015,8
29,26.0,\u25bc3,52,Thomas Geraint,29,Team Sky,5.0,2015,8
30,27.0,\u25bc3,156,Lopez Miguel Angel,21,Astana Pro Team,4.0,2015,8
31,28.0,\u25bc3,172,Samoilau Branislau,30,CCC Sprandi Polkowice,4.0,2015,8
32,36.0,\u25b24,42,Bennati Daniele,34,Tinkoff - Saxo,4.0,2015,8
33,29.0,\u25bc4,81,Degenkolb John,26,Team Giant - Alpecin,4.0,2015,8
34,30.0,\u25bc4,34,Drucker Jean-Pierre,28,BMC Racing Team,4.0,2015,8
35,,-,38,Wyss Danilo,29,BMC Racing Team,3.0,2015,8
36,31.0,\u25bc5,95,King Benjamin,26,Team Cannondale - Garmin,3.0,2015,8
37,,-,75,Kuznetsov Viacheslav,25,Team Katusha,3.0,2015,8
38,33.0,\u25bc5,13,Devolder Stijn,35,Trek Factory Racing,3.0,2015,8
39,32.0,\u25bc7,44,Breschel Matti,30,Tinkoff - Saxo,3.0,2015,8
40,34.0,\u25bc6,136,Morabito Steve,32,FDJ,2.0,2015,8
41,35.0,\u25bc6,97,Mohoric Matej,20,Team Cannondale - Garmin,2.0,2015,8
42,,-,25,Fumeaux Jonathan,27,IAM Cycling,1.0,2015,8
43,40.0,\u25bc3,31,Dillier Silvan,24,BMC Racing Team,1.0,2015,8
44,,-,147,Trentin Matteo,25,Etixx - Quick Step,1.0,2015,8
45,41.0,\u25bc4,174,Schumacher Stefan,33,CCC Sprandi Polkowice,1.0,2015,8
46,42.0,\u25bc4,16,Rast Gregory,35,Trek Factory Racing,1.0,2015,8
47,,-,154,Agnoli Valerio,30,Astana Pro Team,5.0,2015,8
