Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
2,2,-,126,Mas Enric,23,Quick-Step Floors,4,+0:33,0:01 0:01,2018,6
3,3,-,103,Lambrecht Bjorg,21,Lotto Soudal,15,+1:25,0:53 0:53,2018,6
4,5,\u25b21,143,Carthy Hugh,23,Team EF Education First-Drapac p/b Cannondale,16,+1:29,0:57 0:57,2018,6
5,4,\u25bc1,163,Sivakov Pavel,20,Team Sky,18,+1:36,1:04 1:04,2018,6
6,8,\u25b22,134,Kudus Merhawi,24,Team Dimension Data,25,+3:10,2:38 2:38,2018,6
7,9,\u25b22,7,Cras Steff,22,Team Katusha - Alpecin,26,+3:15,2:43 2:43,2018,6
8,6,\u25bc2,66,Padun Mark,21,Bahrain Merida Pro Cycling Team,32,+5:25,4:53 4:53,2018,6
9,10,\u25b21,44,Peters Nans,24,AG2R La Mondiale,37,+7:09,6:37 6:37,2018,6
10,7,\u25bc3,74,M\xfchlberger Gregor,24,BORA - hansgrohe,41,+9:28,8:56 8:56,2018,6
11,11,-,35,Andersen S\xf8ren Kragh,23,Team Sunweb,54,+18:28,17:56 17:56,2018,6
12,16,\u25b24,183,Dunbar Edward,21,Aqua Blue Sport,75,+33:03,32:31 32:31,2018,6
13,13,-,194,Ourselin Paul,24,Direct Energie,89,+42:25,41:53 41:53,2018,6
14,14,-,122,Gaviria Fernando,23,Quick-Step Floors,91,+43:51,43:19 43:19,2018,6
15,15,-,192,Boudat Thomas,24,Direct Energie,115,+55:27,54:55 54:55,2018,6
16,18,\u25b22,193,Grellier Fabien,23,Direct Energie,117,+57:16,56:44 56:44,2018,6
17,21,\u25b24,207,Zaccanti Filippo,22,Nippo - Vini Fantini - Europa Ovini,120,+1:02:13,1:01:41 1:01:41,2018,6
18,17,\u25bc1,176,Troia Oliviero,23,UAE-Team Emirates,125,+1:05:54,1:05:22 1:05:22,2018,6
19,19,-,166,Halvorsen Kristoffer,22,Team Sky,128,+1:07:33,1:07:01 1:07:01,2018,6
20,20,-,186,Pearson Daniel,24,Aqua Blue Sport,133,+1:09:54,1:09:22 1:09:22,2018,6
