Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year,▼▲
29,187,141,+0:00,,,Meier Christian,141,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
33,32,142,+0:00,,,Bennati Daniele,142,Tinkoff - Saxo,",, ,,",+0:00,,1,2014,
29,219,143,+0:00,,,Vachon Florian,143,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
25,218,144,+0:00,,,Jarrier Benoît,144,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
31,63,145,+0:00,,,Clement Stef,145,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2014,
27,145,146,+0:00,,,Oss Daniel,146,BMC Racing Team,",, ,,",+0:00,,1,2014,
30,194,147,+0:00,,,Haussler Heinrich,147,IAM Cycling,",, ,,",+0:00,,1,2014,
30,208,148,+0:00,,,Schillinger Andreas,148,Team NetApp – Endura,",, ,,",+0:00,,1,2014,
30,157,149,+0:00,,,Quéméneur Perrig,149,Team Europcar,",, ,,",+0:00,,1,2014,
28,199,150,+0:00,,,Wyss Marcel,150,IAM Cycling,",, ,,",+0:00,,1,2014,
33,89,151,+0:00,,,Riblon Christophe,151,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
28,83,152,+0:00,,,Cherel Mickaël,152,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
32,87,153,+0:00,,,Minard Sébastien,153,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
36,185,154,+0:00,,,Hayman Mathew,154,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
32,33,155,+0:00,,,Hernández Jesús,155,Tinkoff - Saxo,",, ,,",+0:00,,1,2014,
40,39,156,+0:00,,,Tosatto Matteo,156,Tinkoff - Saxo,",, ,,",+0:00,,1,2014,
28,65,157,+0:00,,,Leezer Tom,157,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2014,
31,174,158,+0:00,,,Lemoine Cyril,158,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2014,
35,21,159,+0:00,,,Rodríguez Joaquim,159,Team Katusha,",, ,,",+0:00,,1,2014,
30,57,160,+0:00,,,Marino Jean-Marc,160,Cannondale,",, ,,",+0:00,,1,2014,
30,73,161,+0:00,,,Gołaś Michał,161,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2014,
29,96,162,+0:00,,,Langeveld Sebastian,162,Garmin Sharp,",, ,,",+0:00,,1,2014,
37,188,163,+0:00,,,Tuft Svein,163,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
23,184,164,+0:00,,,Durbridge Luke,164,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
25,186,165,+0:00,,,Keukeleire Jens,165,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
34,181,166,+0:00,,,Gerrans Simon,166,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
28,178,167,+0:00,,,Simon Julien,167,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2014,
24,74,168,+0:00,,,Kwiatkowski Michał,168,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2014,
26,158,169,+0:00,,,Reza Kévin,169,Team Europcar,",, ,,",+0:00,,1,2014,
24,79,170,+0:00,,,Trentin Matteo,170,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2014,
33,99,171,+0:00,,,Vansummeren Johan,171,Garmin Sharp,",, ,,",+0:00,,1,2014,
29,71,172,+0:00,,,Cavendish Mark,172,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2014,
25,91,173,+0:00,,,Talansky Andrew,173,Garmin Sharp,",, ,,",+0:00,,1,2014,
28,62,174,+0:20,,,Boom Lars,174,Belkin-Pro Cycling Team,0:20 0:20,+0:20,,1,2014,
34,132,175,+1:28,,,Bak Lars Ytting,175,Lotto Belisol,1:28 1:28,+1:28,,1,2014,
35,6,176,+1:30,,,Pate Danny,176,Team Sky,1:30 1:30,+1:30,,1,2014,
27,27,177,+1:30,,,Smukulis Gatis,177,Team Katusha,",, 1:30",+1:30,,1,2014,
24,34,178,+1:30,,,Majka Rafał,178,Tinkoff - Saxo,",, 1:30",+1:30,,1,2014,
26,204,179,+1:30,,,Dempster Zak,179,Team NetApp – Endura,",, 1:30",+1:30,,1,2014,
29,108,180,+1:50,,,Timmer Albert,180,Team Giant - Shimano,1:50 1:50,+1:50,,1,2014,
29,109,181,+1:50,,,Veelers Tom,181,Team Giant - Shimano,",, 1:50",+1:50,,1,2014,
31,143,182,+1:54,,,Burghardt Marcus,182,BMC Racing Team,1:54 1:54,+1:54,,1,2014,
25,59,183,+2:05,,,Viviani Elia,183,Cannondale,2:05 2:05,+2:05,,1,2014,
28,53,184,+2:05,,,De Marchi Alessandro,184,Cannondale,",, 2:05",+2:05,,1,2014,
29,35,185,+2:15,,,Mørkøv Michael,185,Tinkoff - Saxo,2:15 2:15,+2:15,,1,2014,
30,78,186,+2:22,,,Terpstra Niki,186,Omega Pharma - Quick-Step,2:22 2:22,+2:22,,1,2014,
23,177,187,+2:25,,,Petit Adrien,187,"Cofidis, Solutions Crédits",2:25 2:25,+2:25,,1,2014,
33,136,188,+2:29,,,Hansen Adam,188,Lotto Belisol,2:29 2:29,+2:29,,1,2014,
37,137,189,+2:29,,,Henderson Gregory,189,Lotto Belisol,",, 2:29",+2:29,,1,2014,
31,54,190,+2:29,,,King Edward,190,Cannondale,",, 2:29",+2:29,,1,2014,
28,196,191,+2:39,,,Kluge Roger,191,IAM Cycling,2:39 2:39,+2:39,,1,2014,
25,203,192,+3:11,,,de la Cruz David,192,Team NetApp – Endura,3:11 3:11,+3:11,,1,2014,
26,107,193,+3:37,,,Ji Cheng,193,Team Giant - Shimano,3:37 3:37,+3:37,,1,2014,
28,22,194,+3:47,,,Isaychev Vladimir,194,Team Katusha,3:47 3:47,+3:47,,1,2014,
24,112,195,+8:52,,,Cimolai Davide,195,Lampre - Merida,8:52 8:52,+8:52,,1,2014,
27,115,196,+8:52,,,Modolo Sacha,196,Lampre - Merida,",, 8:52",+8:52,,1,2014,
31,117,197,+14:09,,,Richeze Maximiliano,197,Lampre - Merida,14:09 14:09,+14:09,,1,2014,
40,76,198,+14:09,,,Petacchi Alessandro,198,Omega Pharma - Quick-Step,",, 14:09",+14:09,,1,2014,
29,41,1,+0:00,,34.0,Nibali Vincenzo,1,Astana Pro Team,9:52:43 9:52:43,+0:00,,2,2014,▲33
24,51,2,+0:02,,2.0,Sagan Peter,2,Cannondale,0:02 0:02,+0:02,,2,2014,-
29,148,3,+0:02,,13.0,Van Avermaet Greg,3,BMC Racing Team,",, 0:02",+0:02,,2,2014,▲10
33,182,4,+0:02,,10.0,Albasini Michael,4,Orica GreenEDGE,",, 0:02",+0:02,,2,2014,▲6
29,1,5,+0:02,,6.0,Froome Chris,5,Team Sky,",, 0:02",+0:02,,2,2014,▲1
27,61,6,+0:02,,21.0,Mollema Bauke,6,Belkin-Pro Cycling Team,",, 0:02",+0:02,,2,2014,▲15
31,131,7,+0:02,,20.0,Van den Broeck Jurgen,7,Lotto Belisol,",, 0:02",+0:02,,2,2014,▲13
31,31,8,+0:02,,22.0,Contador Alberto,8,Tinkoff - Saxo,",, 0:02",+0:02,,2,2014,▲14
25,141,9,+0:02,,32.0,van Garderen Tejay,9,BMC Racing Team,",, 0:02",+0:02,,2,2014,▲23
29,42,10,+0:02,,29.0,Fuglsang Jakob,10,Astana Pro Team,",, 0:02",+0:02,,2,2014,▲19
34,11,11,+0:02,,24.0,Valverde Alejandro,11,Movistar Team,",, 0:02",+0:02,,2,2014,▲13
28,206,12,+0:02,,23.0,Machado Tiago,12,Team NetApp – Endura,",, 0:02",+0:02,,2,2014,▲11
27,111,13,+0:02,,31.0,Costa Rui,13,Lampre - Merida,",, 0:02",+0:02,,2,2014,▲18
23,82,14,+0:02,,36.0,Bardet Romain,14,AG2R La Mondiale,",, 0:02",+0:02,,2,2014,▲22
37,169,15,+0:02,,33.0,Zubeldia Haimar,15,Trek Factory Racing,",, 0:02",+0:02,,2,2014,▲18
29,7,16,+0:02,,28.0,Porte Richie,16,Team Sky,",, 0:02",+0:02,,2,2014,▲12
37,81,17,+0:02,,35.0,Peraud Jean-Christophe,17,AG2R La Mondiale,",, 0:02",+0:02,,2,2014,▲18
30,5,18,+0:02,,47.0,Nieve Mikel,18,Team Sky,",, 0:02",+0:02,,2,2014,▲29
26,134,19,+0:02,,113.0,Gallopin Tony,19,Lotto Belisol,",, 0:02",+0:02,,2,2014,▲94
24,74,20,+0:02,,168.0,Kwiatkowski Michał,20,Omega Pharma - Quick-Step,",, 0:02",+0:02,,2,2014,▲148
25,91,21,+0:02,,173.0,Talansky Andrew,21,Garmin Sharp,",, 0:02",+0:02,,2,2014,▲152
28,8,22,+0:16,,17.0,Thomas Geraint,22,Team Sky,0:16 0:16,+0:16,,2,2014,▼5
26,201,23,+0:16,,26.0,König Leopold,23,Team NetApp – Endura,",, 0:16",+0:16,,2,2014,▲3
24,127,24,+0:16,,41.0,Pinot Thibaut,24,FDJ.fr,",, 0:16",+0:16,,2,2014,▲17
27,46,25,+0:16,,38.0,Kangert Tanel,25,Astana Pro Team,",, 0:16",+0:16,,2,2014,▲13
30,37,26,+0:16,,46.0,Roche Nicolas,26,Tinkoff - Saxo,",, 0:16",+0:16,,2,2014,▲20
27,191,27,+0:16,,54.0,Frank Mathias,27,IAM Cycling,",, 0:16",+0:16,,2,2014,▲27
27,151,28,+0:16,,57.0,Rolland Pierre,28,Team Europcar,",, 0:16",+0:16,,2,2014,▲29
34,161,29,+0:16,,59.0,Schleck Fränk,29,Trek Factory Racing,",, 0:16",+0:16,,2,2014,▲30
42,114,30,+0:16,,64.0,Horner Chris,30,Lampre - Merida,",, 0:16",+0:16,,2,2014,▲34
33,67,31,+0:16,,58.0,ten Dam Laurens,31,Belkin-Pro Cycling Team,",, 0:16",+0:16,,2,2014,▲27
26,142,32,+0:16,,67.0,Atapuma Darwin,32,BMC Racing Team,",, 0:16",+0:16,,2,2014,▲35
30,29,33,+0:16,,78.0,Trofimov Yuri,33,Team Katusha,",, 0:16",+0:16,,2,2014,▲45
23,106,34,+0:16,,85.0,Dumoulin Tom,34,Team Giant - Shimano,",, 0:16",+0:16,,2,2014,▲51
25,198,35,+0:16,,77.0,Reichenbach Sébastien,35,IAM Cycling,",, 0:16",+0:16,,2,2014,▲42
33,163,36,+0:35,,11.0,Cancellara Fabian,36,Trek Factory Racing,0:35 0:35,+0:35,,2,2014,▼25
27,23,37,+0:35,,7.0,Kristoff Alexander,37,Team Katusha,",, 0:35",+0:35,,2,2014,▼30
35,193,38,+0:35,,14.0,Elmiger Martin,38,IAM Cycling,",, 0:35",+0:35,,2,2014,▼24
28,209,39,+0:35,,12.0,Voss Paul,39,Team NetApp – Endura,",, 0:35",+0:35,,2,2014,▼27
25,129,40,+0:35,,42.0,Vichot Arthur,40,FDJ.fr,",, 0:35",+0:35,,2,2014,▲2
29,149,41,+0:35,,45.0,Velits Peter,41,BMC Racing Team,",, 0:35",+0:35,,2,2014,▲4
26,154,42,+0:35,,65.0,Gautier Cyril,42,Team Europcar,",, 0:35",+0:35,,2,2014,▲23
34,47,43,+0:35,,66.0,Scarponi Michele,43,Astana Pro Team,",, 0:35",+0:35,,2,2014,▲23
26,26,44,+0:35,,71.0,Silin Egor,44,Team Katusha,",, 0:35",+0:35,,2,2014,▲27
24,176,45,+0:35,,86.0,Molard Rudy,45,"Cofidis, Solutions Crédits",",, 0:35",+0:35,,2,2014,▲41
30,171,46,+0:35,,89.0,Navarro Daniel,46,"Cofidis, Solutions Crédits",",, 0:35",+0:35,,2,2014,▲43
28,72,47,+0:35,,111.0,Bakelants Jan,47,Omega Pharma - Quick-Step,",, 0:35",+0:35,,2,2014,▲64
30,56,48,+0:35,,121.0,Marcato Marco,48,Cannondale,",, 0:35",+0:35,,2,2014,▲73
28,199,49,+0:56,,150.0,Wyss Marcel,49,IAM Cycling,0:56 0:56,+0:56,,2,2014,▲101
35,66,50,+1:19,,40.0,Tankink Bram,50,Belkin-Pro Cycling Team,1:19 1:19,+1:19,,2,2014,▼10
29,166,51,+1:19,,44.0,Schleck Andy,51,Trek Factory Racing,",, 1:19",+1:19,,2,2014,▼7
28,211,52,+1:19,,55.0,Feillu Brice,52,Bretagne - Séché Environnement,",, 1:19",+1:19,,2,2014,▲3
26,113,53,+1:19,,130.0,Đurasek Kristijan,53,Lampre - Merida,",, 1:19",+1:19,,2,2014,▲77
27,145,54,+1:19,,146.0,Oss Daniel,54,BMC Racing Team,",, 1:19",+1:19,,2,2014,▲92
28,92,55,+1:45,,25.0,Acevedo Janier,55,Garmin Sharp,1:45 1:45,+1:45,,2,2014,▼30
24,213,56,+1:45,,30.0,Delaplace Anthony,56,Bretagne - Séché Environnement,",, 1:45",+1:45,,2,2014,▼26
27,64,57,+1:45,,39.0,Kruijswijk Steven,57,Belkin-Pro Cycling Team,",, 1:45",+1:45,,2,2014,▼18
25,98,58,+1:45,,43.0,Slagter Tom-Jelte,58,Garmin Sharp,",, 1:45",+1:45,,2,2014,▼15
23,14,59,+1:45,,73.0,Herrada Jesús,59,Movistar Team,",, 1:45",+1:45,,2,2014,▲14
