Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
23,153,4.0,+0:01,,1.0,Kwiatkowski Michał,1,Omega Pharma - Quick-Step,12:47:25 12:47:25,4,2013,-
24,178,18.0,+0:17,,8.0,Talansky Andrew,2,Garmin Sharp,0:16 0:16,4,2013,▲6
23,128,22.0,+0:20,,4.0,Quintana Nairo,3,Movistar Team,0:19 0:19,4,2013,▲1
24,39,30.0,+0:26,,5.0,van Garderen Tejay,4,BMC Racing Team,0:25 0:25,4,2013,▲1
23,11,43.0,+0:34,,3.0,Sagan Peter,5,Cannondale Pro Cycling Team,0:33 0:33,4,2013,▼2
23,71,49.0,+0:42,,7.0,Pinot Thibaut,6,FDJ.fr,0:41 0:41,4,2013,▲1
25,76,50.0,+0:42,,9.0,Geniez Alexandre,7,FDJ.fr,",, 0:41",4,2013,▲2
24,144,51.0,+0:48,,6.0,Favilli Elia,8,Lampre - Merida,0:47 0:47,4,2013,▼2
22,82,55.0,+1:04,,2.0,Bardet Romain,9,AG2R La Mondiale,1:03 1:03,4,2013,▼7
25,219,74.0,+3:39,,10.0,Vuillermoz Alexis,10,Sojasun,3:38 3:38,4,2013,-
23,138,79.0,+5:00,,12.0,Molard Rudy,11,"Cofidis, Solutions Crédits",4:59 4:59,4,2013,▲1
24,114,81.0,+5:04,,11.0,Izagirre Ion,12,Euskaltel - Euskadi,5:03 5:03,4,2013,▼1
25,44,84.0,+5:31,,14.0,Gallopin Tony,13,RadioShack - Leopard,5:30 5:30,4,2013,▲1
23,212,86.0,+6:01,,13.0,Delaplace Anthony,14,Sojasun,6:00 6:00,4,2013,▼1
24,3,96.0,+9:18,,16.0,Kennaugh Peter,15,Sky Procycling,9:17 9:17,4,2013,▲1
23,143,97.0,+9:40,,17.0,Cimolai Davide,16,Lampre - Merida,9:39 9:39,4,2013,▲1
22,17,99.0,+9:49,,18.0,Moser Moreno,17,Cannondale Pro Cycling Team,9:48 9:48,4,2013,▲1
24,79,100.0,+9:57,,15.0,Vichot Arthur,18,FDJ.fr,9:56 9:56,4,2013,▼3
22,194,116.0,+14:47,,19.0,Dumoulin Tom,19,Team Argos - Shimano,14:46 14:46,4,2013,-
25,187,128.0,+19:06,,21.0,Meyer Cameron,20,Orica GreenEDGE,19:05 19:05,4,2013,▲1
25,207,129.0,+19:13,,22.0,van Poppel Boy,21,Vacansoleil - DCM,19:12 19:12,4,2013,▲1
23,174,131.0,+19:44,,20.0,Dennis Rohan,22,Garmin Sharp,19:43 19:43,4,2013,▼2
20,68,142.0,+22:54,,25.0,Lutsenko Alexey,23,Astana Pro Team,22:53 22:53,4,2013,▲2
24,191,143.0,+22:56,,23.0,Degenkolb John,24,Team Argos - Shimano,22:55 22:55,4,2013,▼1
24,168,148.0,+24:22,,24.0,Vanmarcke Sep,25,Belkin-Pro Cycling Team,24:21 24:21,4,2013,▼1
23,158,153.0,+26:01,,26.0,Trentin Matteo,26,Omega Pharma - Quick-Step,26:00 26:00,4,2013,-
25,146,166.0,+27:14,,34.0,Malori Adriano,27,Lampre - Merida,27:13 27:13,4,2013,▲7
25,177,170.0,+27:20,,30.0,Navardauskas Ramūnas,28,Garmin Sharp,27:19 27:19,4,2013,▲2
25,119,174.0,+27:31,,27.0,Sicard Romain,29,Euskaltel - Euskadi,27:30 27:30,4,2013,▼2
25,57,177.0,+27:44,,29.0,Reza Kévin,30,Team Europcar,27:43 27:43,4,2013,▼1
19,208,184.0,+28:05,,32.0,van Poppel Danny,31,Vacansoleil - DCM,28:04 28:04,4,2013,▲1
24,115,186.0,+28:14,,28.0,Lobato Juan José,32,Euskaltel - Euskadi,28:13 28:13,4,2013,▼4
25,197,187.0,+28:36,,33.0,Kittel Marcel,33,Team Argos - Shimano,28:35 28:35,4,2013,-
24,53,190.0,+28:45,,31.0,Cousin Jérôme,34,Team Europcar,28:44 28:44,4,2013,▼3
22,73,194.0,+35:00,,35.0,Bouhanni Nacer,35,FDJ.fr,34:59 34:59,4,2013,-
23,11,,,81.0,1.0,Sagan Peter,1,Cannondale Pro Cycling Team,,5,2013,-
28,151,,,57.0,15.0,Cavendish Mark,2,Omega Pharma - Quick-Step,,5,2013,▲13
25,103,,,56.0,3.0,Kristoff Alexander,3,Team Katusha,,5,2013,-
30,24,,,41.0,13.0,Greipel André,4,Lotto Belisol Team,,5,2013,▲9
26,2,,,41.0,17.0,Boasson Hagen Edvald,5,Sky Procycling,,5,2013,▲12
25,197,,,40.0,2.0,Kittel Marcel,6,Team Argos - Shimano,,5,2013,▼4
28,129,,,39.0,7.0,Rojas José Joaquín,7,Movistar Team,,5,2013,-
19,208,,,39.0,6.0,van Poppel Danny,8,Vacansoleil - DCM,,5,2013,▼2
23,153,,,32.0,4.0,Kwiatkowski Michał,9,Omega Pharma - Quick-Step,,5,2013,▼5
27,161,,,32.0,5.0,Boom Lars,10,Belkin-Pro Cycling Team,,5,2013,▼5
33,181,,,31.0,8.0,Gerrans Simon,11,Orica GreenEDGE,,5,2013,▼3
35,204,,,30.0,9.0,Flecha Juan Antonio,12,Vacansoleil - DCM,,5,2013,▼3
27,42,,,30.0,10.0,Bakelants Jan,13,RadioShack - Leopard,,5,2013,▼3
27,218,,,30.0,11.0,Simon Julien,14,Sojasun,,5,2013,▼3
36,176,,,26.0,12.0,Millar David,15,Garmin Sharp,,5,2013,▼3
32,84,,,26.0,21.0,Dumoulin Samuel,16,AG2R La Mondiale,,5,2013,▲5
30,215,,,24.0,28.0,Lemoine Cyril,17,Sojasun,,5,2013,▲11
24,115,,,23.0,37.0,Lobato Juan José,18,Euskaltel - Euskadi,,5,2013,▲19
28,185,,,22.0,19.0,Impey Daryl,19,Orica GreenEDGE,,5,2013,-
28,65,,,21.0,14.0,Gavazzi Francesco,20,Astana Pro Team,,5,2013,▼6
26,202,,,20.0,16.0,Boeckmans Kris,21,Vacansoleil - DCM,,5,2013,▼5
36,26,,,20.0,22.0,Henderson Gregory,22,Lotto Belisol Team,,5,2013,-
23,158,,,20.0,18.0,Trentin Matteo,23,Omega Pharma - Quick-Step,,5,2013,▼5
30,145,,,19.0,,Ferrari Roberto,24,Lampre - Merida,,5,2013,-
26,203,,,18.0,,De Gendt Thomas,25,Vacansoleil - DCM,,5,2013,-
31,88,,,17.0,20.0,Minard Sébastien,26,AG2R La Mondiale,,5,2013,▼6
23,143,,,17.0,23.0,Cimolai Davide,27,Lampre - Merida,,5,2013,▼4
28,52,,,17.0,48.0,Arashiro Yukiya,28,Team Europcar,,5,2013,▲20
30,34,,,17.0,26.0,Gilbert Philippe,29,BMC Racing Team,,5,2013,▼3
20,68,,,16.0,,Lutsenko Alexey,30,Astana Pro Team,,5,2013,-
25,58,,,15.0,25.0,Veilleux David,31,Team Europcar,,5,2013,▼6
30,209,,,15.0,24.0,Westra Lieuwe,32,Vacansoleil - DCM,,5,2013,▼8
25,177,,,15.0,,Navardauskas Ramūnas,33,Garmin Sharp,,5,2013,-
