Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
31.0,21.0,24,2.0,Contador Alberto,2,Tinkoff - Saxo,-,4,2014
23.0,191.0,16,3.0,Kelderman Wilco,3,Belkin-Pro Cycling Team,-,4,2014
30.0,137.0,15,,Trofimov Yuri,4,Team Katusha,-,4,2014
22.0,172.0,15,4.0,Arndt Nikias,5,Team Giant - Shimano,\u25bc1,4,2014
25.0,168.0,14,5.0,Talansky Andrew,6,Garmin Sharp,\u25bc1,4,2014
33.0,95.0,12,,Larsson Gustav,7,IAM Cycling,-,4,2014
27.0,82.0,12,6.0,Boeckmans Kris,8,Lotto Belisol,\u25bc2,4,2014
21.0,111.0,10,7.0,Jungels Bob,9,Trek Factory Racing,\u25bc2,4,2014
25.0,86.0,10,,Ligthart Pim,10,Lotto Belisol,-,4,2014
25.0,177.0,10,8.0,Janse van Rensburg Reinardt,11,Team Giant - Shimano,\u25bc3,4,2014
28.0,143.0,9,,Bakelants Jan,12,Omega Pharma - Quick-Step,-,4,2014
31.0,81.0,8,9.0,Van den Broeck Jurgen,13,Lotto Belisol,\u25bc4,4,2014
29.0,11.0,8,10.0,Nibali Vincenzo,14,Astana Pro Team,\u25bc4,4,2014
30.0,196.0,8,,Nordhaug Lars Petter,15,Belkin-Pro Cycling Team,-,4,2014
26.0,76.0,8,11.0,Martinez Yannick,16,Team Europcar,\u25bc5,4,2014
24.0,92.0,6,12.0,Br\xe4ndle Matthias,17,IAM Cycling,\u25bc5,4,2014
29.0,128.0,6,,Velits Peter,18,BMC Racing Team,-,4,2014
24.0,183.0,6,13.0,Cimolai Davide,19,Lampre - Merida,\u25bc6,4,2014
26.0,203.0,5,14.0,Benedetti Cesare,20,Team NetApp \u2013 Endura,\u25bc6,4,2014
27.0,63.0,5,,Bouet Maxime,21,AG2R La Mondiale,-,4,2014
25.0,45.0,5,15.0,Keukeleire Jens,22,Orica GreenEDGE,\u25bc7,4,2014
28.0,193.0,5,16.0,Boom Lars,23,Belkin-Pro Cycling Team,\u25bc7,4,2014
31.0,51.0,4,17.0,Anton Igor,24,Movistar Team,\u25bc7,4,2014
32.0,2.0,4,19.0,Kiryienka Vasil,25,Team Sky,\u25bc6,4,2014
24.0,136.0,4,18.0,Tsatevich Alexey,26,Team Katusha,\u25bc8,4,2014
21.0,48.0,3,20.0,Yates Adam,27,Orica GreenEDGE,\u25bc7,4,2014
30.0,13.0,3,,Grivko Andrei,28,Astana Pro Team,-,4,2014
26.0,104.0,3,,Caruso Damiano,29,Cannondale,-,4,2014
29.0,46.0,3,,Meier Christian,30,Orica GreenEDGE,-,4,2014
25.0,171.0,3,21.0,Damuseau Thomas,31,Team Giant - Shimano,\u25bc10,4,2014
22.0,155.0,3,22.0,D\xe9mare Arnaud,32,FDJ.fr,\u25bc10,4,2014
23.0,72.0,3,23.0,Berhane Natnael,33,Team Europcar,\u25bc10,4,2014
25.0,97.0,2,24.0,Reichenbach Sebastien,34,IAM Cycling,\u25bc10,4,2014
25.0,121.0,2,25.0,van Garderen Tejay,35,BMC Racing Team,\u25bc10,4,2014
30.0,31.0,1,27.0,Navarro Daniel,36,"Cofidis, Solutions Cr\xe9dits",\u25bc9,4,2014
33.0,161.0,1,,Hesjedal Ryder,37,Garmin Sharp,-,4,2014
