Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
26.0,203.0,1.0,16.0,Calzati Sylvain,18.0,AG2R Prévoyance,7,2005,▼2
31.0,57.0,32.0,,Rasmussen Michael,1,Rabobank ProTeam,8,2005,-
30.0,14.0,20.0,,Klöden Andreas,2,T-Mobile Team,8,2005,-
24.0,59.0,18.0,,Weening Pieter,3,Rabobank ProTeam,8,2005,-
32.0,61.0,14.0,,Botero Santiago,4,Phonak Hearing Systems,8,2005,-
31.0,11.0,12.0,,Ullrich Jan,5,T-Mobile Team,8,2005,-
25.0,167.0,10.0,1.0,Wegmann Fabian,6,Gerolsteiner,8,2005,▼5
33.0,23.0,10.0,,Julich Bobby,7,CSC ProTeam,8,2005,-
25.0,108.0,10.0,,Kashechkin Andrey,8,Crédit Agricole,8,2005,-
30.0,122.0,8.0,2.0,Augé Stéphane,9,"Cofidis, le Crédit par Téléphone",8,2005,▼7
33.0,28.0,8.0,,Voigt Jens,10,CSC ProTeam,8,2005,-
29.0,54.0,7.0,3.0,Kroon Karsten,11,Rabobank ProTeam,8,2005,▼8
26.0,149.0,7.0,4.0,Voeckler Thomas,12,Bouygues Telecom,8,2005,▼8
34.0,53.0,6.0,5.0,Dekker Erik,13,Rabobank ProTeam,8,2005,▼8
32.0,4.0,,,Hincapie George,14*,Discovery Channel,8,2005,-
26.0,82.0,5.0,7.0,Bertogliati Rubens,15,Saunier Duval - Prodir,8,2005,▼8
28.0,102.0,3.0,8.0,Bodrogi László,16,Crédit Agricole,8,2005,▼8
27.0,166.0,3.0,9.0,Scholz Ronny,17,Gerolsteiner,8,2005,▼8
30.0,116.0,3.0,10.0,Gerosa Mauro,18,Liquigas,8,2005,▼8
34.0,169.0,2.0,12.0,Zberg Beat,19,Gerolsteiner,8,2005,▼7
30.0,83.0,2.0,11.0,Cañada David,20,Saunier Duval - Prodir,8,2005,▼9
28.0,114.0,2.0,13.0,Carlström Kjell,21,Liquigas,8,2005,▼8
26.0,208.0,2.0,14.0,Portal Nicolas,22,AG2R Prévoyance,8,2005,▼8
37.0,143.0,1.0,15.0,Brochard Laurent,23,Bouygues Telecom,8,2005,▼8
30.0,153.0,1.0,16.0,Commesso Salvatore,24,Lampre-Caffita,8,2005,▼8
35.0,109.0,1.0,17.0,Kirsipuu Jaan,25,Crédit Agricole,8,2005,▼8
31.0,57.0,88.0,1,Rasmussen Michael,1,Rabobank ProTeam,9,2005,-
34.0,101.0,40.0,,Moreau Christophe,2,Crédit Agricole,9,2005,-
