Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,116,146,+3:31:45,23,Krauß Sven,23,Gerolsteiner,3:21:41 3:21:41,18,2008,-
23,16,12,+10:04,1,Schleck Andy,1,CSC ProTeam,83:04:40 83:04:40,19,2008,-
22,65,13,+12:02,2,Kreuziger Roman,2,Liquigas,1:58 1:58,19,2008,-
23,67,19,+25:39,3,Nibali Vincenzo,3,Liquigas,15:35 15:35,19,2008,-
25,189,23,+34:48,4,Monfort Maxime,4,"Cofidis, le Crédit par Téléphone",24:44 24:44,19,2008,-
24,125,39,+1:14:51,5,Gonzalo Eduardo,5,Agritubel,1:04:47 1:04:47,19,2008,-
24,48,46,+1:25:32,6,Löfkvist Thomas,6,Team Columbia,1:15:28 1:15:28,19,2008,-
21,52,47,+1:30:47,7,Augustyn John-Lee,7,Barloworld,1:20:43 1:20:43,19,2008,-
22,163,56,+1:44:59,8,Di Grégorio Rémy,8,Française des Jeux,1:34:55 1:34:55,19,2008,-
23,158,59,+1:47:21,9,Velits Peter,9,Milram,1:37:17 1:37:17,19,2008,-
24,39,64,+1:54:00,10,Sánchez Luis León,10,Caisse d'Epargne,1:43:56 1:43:56,19,2008,-
23,196,75,+2:07:07,11,Lowe Trent,11,Team Garmin - Chipotle,1:57:03 1:57:03,19,2008,-
23,57,85,+2:20:44,12,Froome Chris,12,Barloworld,2:10:40 2:10:40,19,2008,-
21,44,105,+2:53:53,13,Ciolek Gerald,13,Team Columbia,2:43:49 2:43:49,19,2008,-
24,73,115,+3:09:12,14,Bono Matteo,14,Lampre,2:59:08 2:59:08,19,2008,-
25,42,119,+3:13:11,15,Burghardt Marcus,15,Team Columbia,3:03:07 3:03:07,19,2008,-
25,168,121,+3:15:56,18,Roy Jérémy,16,Française des Jeux,3:05:52 3:05:52,19,2008,▲2
24,114,126,+3:18:11,19,Haussler Heinrich,17,Gerolsteiner,3:08:07 3:08:07,19,2008,▲2
23,134,128,+3:22:07,20,Langeveld Sebastian,18,Rabobank ProTeam,3:12:03 3:12:03,19,2008,▲2
24,197,131,+3:24:21,21,Maaskant Martijn,19,Team Garmin - Chipotle,3:14:17 3:14:17,19,2008,▲2
23,164,133,+3:25:03,22,Gérard Arnaud,20,Française des Jeux,3:14:59 3:14:59,19,2008,▲2
24,157,137,+3:27:45,17,Terpstra Niki,21,Milram,3:17:41 3:17:41,19,2008,▼4
25,116,143,+3:45:17,23,Krauß Sven,22,Gerolsteiner,3:35:13 3:35:13,19,2008,▲1
23,16,12,+11:32,1,Schleck Andy,1,CSC ProTeam,84:12:32 84:12:32,20,2008,-
22,65,13,+12:49,2,Kreuziger Roman,2,Liquigas,1:17 1:17,20,2008,-
23,67,20,+28:33,3,Nibali Vincenzo,3,Liquigas,17:01 17:01,20,2008,-
25,189,23,+35:48,4,Monfort Maxime,4,"Cofidis, le Crédit par Téléphone",24:16 24:16,20,2008,-
24,125,39,+1:20:06,5,Gonzalo Eduardo,5,Agritubel,1:08:34 1:08:34,20,2008,-
24,48,41,+1:25:27,6,Löfkvist Thomas,6,Team Columbia,1:13:55 1:13:55,20,2008,-
21,52,48,+1:36:21,7,Augustyn John-Lee,7,Barloworld,1:24:49 1:24:49,20,2008,-
23,158,58,+1:49:49,9,Velits Peter,8,Milram,1:38:17 1:38:17,20,2008,▲1
22,163,59,+1:49:54,8,Di Grégorio Rémy,9,Française des Jeux,1:38:22 1:38:22,20,2008,▼1
24,39,62,+1:55:39,10,Sánchez Luis León,10,Caisse d'Epargne,1:44:07 1:44:07,20,2008,-
23,196,77,+2:13:31,11,Lowe Trent,11,Team Garmin - Chipotle,2:01:59 2:01:59,20,2008,-
23,57,84,+2:21:10,12,Froome Chris,12,Barloworld,2:09:38 2:09:38,20,2008,-
21,44,106,+2:58:48,13,Ciolek Gerald,13,Team Columbia,2:47:16 2:47:16,20,2008,-
24,73,116,+3:16:16,14,Bono Matteo,14,Lampre,3:04:44 3:04:44,20,2008,-
25,42,120,+3:20:35,15,Burghardt Marcus,15,Team Columbia,3:09:03 3:09:03,20,2008,-
25,168,121,+3:21:22,16,Roy Jérémy,16,Française des Jeux,3:09:50 3:09:50,20,2008,-
24,114,126,+3:25:41,17,Haussler Heinrich,17,Gerolsteiner,3:14:09 3:14:09,20,2008,-
23,134,129,+3:27:38,18,Langeveld Sebastian,18,Rabobank ProTeam,3:16:06 3:16:06,20,2008,-
23,164,132,+3:29:50,20,Gérard Arnaud,19,Française des Jeux,3:18:18 3:18:18,20,2008,▲1
24,197,134,+3:31:08,19,Maaskant Martijn,20,Team Garmin - Chipotle,3:19:36 3:19:36,20,2008,▼1
24,157,136,+3:33:30,21,Terpstra Niki,21,Milram,3:21:58 3:21:58,20,2008,-
25,116,143,+3:51:55,22,Krauß Sven,22,Gerolsteiner,3:40:23 3:40:23,20,2008,-
23,16,11,+11:32,1,Schleck Andy,1,CSC ProTeam,88:04:24 88:04:24,21,2008,-
22,65,12,+12:59,2,Kreuziger Roman,2,Liquigas,1:27 1:27,21,2008,-
23,67,19,+28:33,3,Nibali Vincenzo,3,Liquigas,17:01 17:01,21,2008,-
25,189,22,+35:41,4,Monfort Maxime,4,"Cofidis, le Crédit par Téléphone",24:09 24:09,21,2008,-
24,125,38,+1:20:06,5,Gonzalo Eduardo,5,Agritubel,1:08:34 1:08:34,21,2008,-
24,48,40,+1:25:27,6,Löfkvist Thomas,6,Team Columbia,1:13:55 1:13:55,21,2008,-
21,52,47,+1:36:21,7,Augustyn John-Lee,7,Barloworld,1:24:49 1:24:49,21,2008,-
23,158,57,+1:49:49,8,Velits Peter,8,Milram,1:38:17 1:38:17,21,2008,-
22,163,58,+1:49:54,9,Di Grégorio Rémy,9,Française des Jeux,1:38:22 1:38:22,21,2008,-
24,39,61,+1:55:39,10,Sánchez Luis León,10,Caisse d'Epargne,1:44:07 1:44:07,21,2008,-
23,196,76,+2:13:41,11,Lowe Trent,11,Team Garmin - Chipotle,2:02:09 2:02:09,21,2008,-
23,57,83,+2:22:33,12,Froome Chris,12,Barloworld,2:11:01 2:11:01,21,2008,-
21,44,104,+2:58:34,13,Ciolek Gerald,13,Team Columbia,2:47:02 2:47:02,21,2008,-
24,73,115,+3:16:36,14,Bono Matteo,14,Lampre,3:05:04 3:05:04,21,2008,-
25,42,118,+3:20:28,15,Burghardt Marcus,15,Team Columbia,3:08:56 3:08:56,21,2008,-
25,168,119,+3:21:32,16,Roy Jérémy,16,Française des Jeux,3:10:00 3:10:00,21,2008,-
24,114,124,+3:25:34,17,Haussler Heinrich,17,Gerolsteiner,3:14:02 3:14:02,21,2008,-
23,134,129,+3:28:07,18,Langeveld Sebastian,18,Rabobank ProTeam,3:16:35 3:16:35,21,2008,-
23,164,130,+3:30:00,19,Gérard Arnaud,19,Française des Jeux,3:18:28 3:18:28,21,2008,-
25,197,132,+3:31:30,20,Maaskant Martijn,20,Team Garmin - Chipotle,3:19:58 3:19:58,21,2008,-
24,157,134,+3:33:40,21,Terpstra Niki,21,Milram,3:22:08 3:22:08,21,2008,-
25,116,141,+3:51:55,22,Krauß Sven,22,Gerolsteiner,3:40:23 3:40:23,21,2008,-
