Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
27,30.0,\u25b23,214,Felline Fabio,24,Trek Factory Racing,109.0,+21:47,21:47 21:47,2014,7
28,25.0,\u25bc3,66,Moser Moreno,23,Cannondale,111.0,+22:12,22:12 22:12,2014,7
29,31.0,\u25b22,7,Landa Mikel,24,Astana Pro Team,113.0,+22:21,22:21 22:21,2014,7
30,24.0,\u25bc6,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,115.0,+22:41,22:41 22:41,2014,7
31,32.0,\u25b21,103,Cattaneo Mattia,23,Lampre - Merida,120.0,+23:56,23:56 23:56,2014,7
32,34.0,\u25b22,12,Appollonio Davide,24,AG2R La Mondiale,129.0,+25:44,25:44 25:44,2014,7
33,35.0,\u25b22,73,Avila Edwin,24,Team Colombia,130.0,+25:52,25:52 25:52,2014,7
34,36.0,\u25b22,163,Tulik Angelo,23,Team Europcar,133.0,+26:18,26:18 26:18,2014,7
35,38.0,\u25b23,33,Boem Nicola,24,Bardiani - CSF Pro Team,135.0,+27:22,27:22 27:22,2014,7
36,39.0,\u25b23,117,Van der Sande Tosh,23,Lotto Belisol,137.0,+27:35,27:35 27:35,2014,7
37,40.0,\u25b23,208,McCarthy Jay,21,Tinkoff - Saxo,139.0,+27:51,27:51 27:51,2014,7
38,41.0,\u25b23,37,Barbin Enrico,24,Bardiani - CSF Pro Team,144.0,+28:47,28:47 28:47,2014,7
39,42.0,\u25b23,216,Nizzolo Giacomo,25,Trek Factory Racing,145.0,+28:56,28:56 28:56,2014,7
40,43.0,\u25b23,67,Ratto Daniele,24,Cannondale,146.0,+29:13,29:13 29:13,2014,7
41,37.0,\u25bc4,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,151.0,+30:09,30:09 30:09,2014,7
42,44.0,\u25b22,69,Viviani Elia,25,Cannondale,154.0,+30:52,30:52 30:52,2014,7
43,46.0,\u25b23,81,Bouhanni Nacer,23,FDJ.fr,155.0,+31:07,31:07 31:07,2014,7
44,29.0,\u25bc15,78,Romero Jeffry,24,Team Colombia,161.0,+33:17,33:17 33:17,2014,7
45,47.0,\u25b22,212,Alafaci Eugenio,23,Trek Factory Racing,165.0,+34:31,34:31 34:31,2014,7
46,48.0,\u25b22,136,Fedi Andrea,22,Neri Sottoli,169.0,+35:22,35:22 35:22,2014,7
47,49.0,\u25b22,96,Haas Nathan,25,Garmin Sharp,176.0,+38:58,38:58 38:58,2014,7
48,33.0,\u25bc15,63,Koch Michel,22,Cannondale,177.0,+39:19,39:19 39:19,2014,7
49,45.0,\u25bc4,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,178.0,+44:49,44:49 44:49,2014,7
50,51.0,\u25b21,153,Hepburn Michael,22,Orica GreenEDGE,180.0,+50:11,50:11 50:11,2014,7
51,52.0,\u25b21,83,Courteille Arnaud,25,FDJ.fr,182.0,+53:43,53:43 53:43,2014,7
52,50.0,\u25bc2,42,Bol Jetse,24,Belkin-Pro Cycling Team,185.0,+57:21,57:21 57:21,2014,7
1,2.0,\u25b21,203,Majka Rafa\u0142,24,Tinkoff - Saxo,3.0,+1:10,34:23:45 34:23:45,2014,8
2,3.0,\u25b21,3,Aru Fabio,23,Astana Pro Team,5.0,+1:39,0:29 0:29,2014,8
3,7.0,\u25b24,109,Ulissi Diego,24,Lampre - Merida,6.0,+1:43,0:33 0:33,2014,8
4,6.0,\u25b22,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,7.0,+1:44,0:34 0:34,2014,8
5,5.0,-,121,Quintana Nairo,24,Movistar Team,8.0,+1:45,0:35 0:35,2014,8
6,10.0,\u25b24,28,Rosa Diego,25,Androni Giocattoli - Venezuela,28.0,+8:06,6:56 6:56,2014,8
7,8.0,\u25b21,174,Ludvigsson Tobias,23,Team Giant - Shimano,34.0,+9:32,8:22 8:22,2014,8
8,9.0,\u25b21,176,Preidler Georg,23,Team Giant - Shimano,35.0,+10:05,8:55 8:55,2014,8
9,13.0,\u25b24,205,Poljanski Pawel,24,Tinkoff - Saxo,43.0,+13:04,11:54 11:54,2014,8
10,20.0,\u25b210,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,48.0,+20:51,19:41 19:41,2014,8
11,21.0,\u25b210,107,Polanc Jan,22,Lampre - Merida,50.0,+22:03,20:53 20:53,2014,8
12,29.0,\u25b217,7,Landa Mikel,24,Astana Pro Team,51.0,+22:20,21:10 21:10,2014,8
13,11.0,\u25bc2,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,60.0,+26:23,25:13 25:13,2014,8
14,14.0,-,195,Henao Sebasti\xe1n,20,Team Sky,62.0,+27:38,26:28 26:28,2014,8
15,26.0,\u25b211,44,Goos Marc,23,Belkin-Pro Cycling Team,63.0,+28:00,26:50 26:50,2014,8
16,4.0,\u25bc12,118,Wellens Tim,23,Lotto Belisol,67.0,+30:05,28:55 28:55,2014,8
17,12.0,\u25bc5,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,69.0,+31:56,30:46 30:46,2014,8
18,17.0,\u25bc1,86,Le Bon Johan,23,FDJ.fr,70.0,+32:13,31:03 31:03,2014,8
19,31.0,\u25b212,103,Cattaneo Mattia,23,Lampre - Merida,72.0,+33:06,31:56 31:56,2014,8
20,1.0,\u25bc19,155,Matthews Michael,23,Orica GreenEDGE,74.0,+33:50,32:40 32:40,2014,8
21,19.0,\u25bc2,15,Domont Axel,23,AG2R La Mondiale,75.0,+34:06,32:56 32:56,2014,8
22,16.0,\u25bc6,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,88.0,+38:32,37:22 37:22,2014,8
23,23.0,-,98,van Baarle Dylan,21,Garmin Sharp,89.0,+38:35,37:25 37:25,2014,8
