Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
18,21.0,\u25b23,118,Wellens Tim,23,Lotto Belisol,72.0,+1:13:17,1:11:42 1:11:42,2014,14
19,23.0,\u25b24,149,Vermote Julien,24,Omega Pharma - Quick-Step,79.0,+1:20:14,1:18:39 1:18:39,2014,14
20,18.0,\u25bc2,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,85.0,+1:25:06,1:23:31 1:23:31,2014,14
21,17.0,\u25bc4,86,Le Bon Johan,23,FDJ.fr,87.0,+1:26:10,1:24:35 1:24:35,2014,14
22,19.0,\u25bc3,197,Puccio Salvatore,24,Team Sky,91.0,+1:29:08,1:27:33 1:27:33,2014,14
23,27.0,\u25b24,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,93.0,+1:32:55,1:31:20 1:31:20,2014,14
24,22.0,\u25bc2,98,van Baarle Dylan,22,Garmin Sharp,97.0,+1:37:45,1:36:10 1:36:10,2014,14
25,24.0,\u25bc1,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,101.0,+1:38:41,1:37:06 1:37:06,2014,14
26,26.0,-,117,Van der Sande Tosh,23,Lotto Belisol,102.0,+1:39:23,1:37:48 1:37:48,2014,14
27,25.0,\u25bc2,214,Felline Fabio,24,Trek Factory Racing,111.0,+1:49:13,1:47:38 1:47:38,2014,14
28,29.0,\u25b21,208,McCarthy Jay,21,Tinkoff - Saxo,112.0,+1:49:30,1:47:55 1:47:55,2014,14
29,28.0,\u25bc1,66,Moser Moreno,23,Cannondale,116.0,+1:52:15,1:50:40 1:50:40,2014,14
30,33.0,\u25b23,96,Haas Nathan,25,Garmin Sharp,123.0,+1:57:36,1:56:01 1:56:01,2014,14
31,30.0,\u25bc1,163,Tulik Angelo,23,Team Europcar,126.0,+1:58:28,1:56:53 1:56:53,2014,14
32,31.0,\u25bc1,37,Barbin Enrico,24,Bardiani - CSF Pro Team,129.0,+2:00:07,1:58:32 1:58:32,2014,14
33,35.0,\u25b22,33,Boem Nicola,24,Bardiani - CSF Pro Team,136.0,+2:09:48,2:08:13 2:08:13,2014,14
34,36.0,\u25b22,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,137.0,+2:09:57,2:08:22 2:08:22,2014,14
35,37.0,\u25b22,67,Ratto Daniele,24,Cannondale,140.0,+2:10:25,2:08:50 2:08:50,2014,14
36,32.0,\u25bc4,216,Nizzolo Giacomo,25,Trek Factory Racing,145.0,+2:16:28,2:14:53 2:14:53,2014,14
37,38.0,\u25b21,81,Bouhanni Nacer,23,FDJ.fr,148.0,+2:17:20,2:15:45 2:15:45,2014,14
38,34.0,\u25bc4,69,Viviani Elia,25,Cannondale,153.0,+2:21:43,2:20:08 2:20:08,2014,14
39,41.0,\u25b22,136,Fedi Andrea,22,Neri Sottoli,159.0,+2:26:39,2:25:04 2:25:04,2014,14
40,39.0,\u25bc1,212,Alafaci Eugenio,23,Trek Factory Racing,160.0,+2:28:22,2:26:47 2:26:47,2014,14
41,40.0,\u25bc1,78,Romero Jeffry,24,Team Colombia,162.0,+2:30:56,2:29:21 2:29:21,2014,14
42,42.0,-,63,Koch Michel,22,Cannondale,163.0,+2:32:51,2:31:16 2:31:16,2014,14
43,43.0,-,153,Hepburn Michael,22,Orica GreenEDGE,167.0,+2:47:17,2:45:42 2:45:42,2014,14
44,44.0,-,83,Courteille Arnaud,25,FDJ.fr,169.0,+2:56:22,2:54:47 2:54:47,2014,14
45,45.0,-,42,Bol Jetse,24,Belkin-Pro Cycling Team,170.0,+2:57:00,2:55:25 2:55:25,2014,14
1,1.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,3.0,+1:50,63:28:29 63:28:29,2014,15
2,4.0,\u25b22,3,Aru Fabio,23,Astana Pro Team,4.0,+2:24,0:34 0:34,2014,15
3,3.0,-,121,Quintana Nairo,24,Movistar Team,5.0,+2:40,0:50 0:50,2014,15
4,2.0,\u25bc2,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,7.0,+3:04,1:14 1:14,2014,15
5,5.0,-,109,Ulissi Diego,24,Lampre - Merida,26.0,+26:19,24:29 24:29,2014,15
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,27.0,+28:14,26:24 26:24,2014,15
7,8.0,\u25b21,195,Henao Sebasti\xe1n,20,Team Sky,31.0,+43:14,41:24 41:24,2014,15
8,7.0,\u25bc1,107,Polanc Jan,22,Lampre - Merida,35.0,+48:22,46:32 46:32,2014,15
9,9.0,-,7,Landa Mikel,24,Astana Pro Team,38.0,+49:50,48:00 48:00,2014,15
10,12.0,\u25b22,44,Goos Marc,23,Belkin-Pro Cycling Team,42.0,+53:59,52:09 52:09,2014,15
11,10.0,\u25bc1,205,Poljanski Pawel,24,Tinkoff - Saxo,46.0,+58:45,56:55 56:55,2014,15
12,11.0,\u25bc1,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,48.0,+1:00:11,58:21 58:21,2014,15
13,13.0,-,138,Monsalve Yonathan,24,Neri Sottoli,60.0,+1:21:07,1:19:17 1:19:17,2014,15
14,14.0,-,15,Domont Axel,23,AG2R La Mondiale,64.0,+1:23:25,1:21:35 1:21:35,2014,15
15,15.0,-,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,66.0,+1:25:00,1:23:10 1:23:10,2014,15
16,16.0,-,103,Cattaneo Mattia,23,Lampre - Merida,72.0,+1:31:00,1:29:10 1:29:10,2014,15
17,23.0,\u25b26,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,78.0,+1:38:11,1:36:21 1:36:21,2014,15
18,18.0,-,118,Wellens Tim,23,Lotto Belisol,81.0,+1:40:16,1:38:26 1:38:26,2014,15
19,17.0,\u25bc2,28,Rosa Diego,25,Androni Giocattoli - Venezuela,84.0,+1:42:16,1:40:26 1:40:26,2014,15
20,20.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,86.0,+1:43:41,1:41:51 1:41:51,2014,15
21,19.0,\u25bc2,149,Vermote Julien,24,Omega Pharma - Quick-Step,92.0,+1:49:30,1:47:40 1:47:40,2014,15
22,21.0,\u25bc1,86,Le Bon Johan,23,FDJ.fr,93.0,+1:49:58,1:48:08 1:48:08,2014,15
23,22.0,\u25bc1,197,Puccio Salvatore,24,Team Sky,98.0,+1:56:53,1:55:03 1:55:03,2014,15
24,25.0,\u25b21,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,99.0,+1:57:16,1:55:26 1:55:26,2014,15
25,26.0,\u25b21,117,Van der Sande Tosh,23,Lotto Belisol,100.0,+1:57:58,1:56:08 1:56:08,2014,15
26,27.0,\u25b21,214,Felline Fabio,24,Trek Factory Racing,103.0,+2:04:28,2:02:38 2:02:38,2014,15
27,28.0,\u25b21,208,McCarthy Jay,21,Tinkoff - Saxo,106.0,+2:08:05,2:06:15 2:06:15,2014,15
28,32.0,\u25b24,37,Barbin Enrico,24,Bardiani - CSF Pro Team,117.0,+2:18:02,2:16:12 2:16:12,2014,15
29,30.0,\u25b21,96,Haas Nathan,25,Garmin Sharp,119.0,+2:18:34,2:16:44 2:16:44,2014,15
30,29.0,\u25bc1,66,Moser Moreno,23,Cannondale,123.0,+2:21:31,2:19:41 2:19:41,2014,15
31,31.0,-,163,Tulik Angelo,23,Team Europcar,126.0,+2:26:13,2:24:23 2:24:23,2014,15
32,35.0,\u25b23,67,Ratto Daniele,24,Cannondale,132.0,+2:28:19,2:26:29 2:26:29,2014,15
33,34.0,\u25b21,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,133.0,+2:28:32,2:26:42 2:26:42,2014,15
34,33.0,\u25bc1,33,Boem Nicola,24,Bardiani - CSF Pro Team,137.0,+2:39:04,2:37:14 2:37:14,2014,15
35,37.0,\u25b22,81,Bouhanni Nacer,23,FDJ.fr,146.0,+2:46:31,2:44:41 2:44:41,2014,15
36,36.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,148.0,+2:46:56,2:45:06 2:45:06,2014,15
37,41.0,\u25b24,78,Romero Jeffry,24,Team Colombia,150.0,+2:49:31,2:47:41 2:47:41,2014,15
38,38.0,-,69,Viviani Elia,25,Cannondale,153.0,+2:50:59,2:49:09 2:49:09,2014,15
39,39.0,-,136,Fedi Andrea,22,Neri Sottoli,159.0,+2:57:07,2:55:17 2:55:17,2014,15
40,40.0,-,212,Alafaci Eugenio,23,Trek Factory Racing,160.0,+2:58:50,2:57:00 2:57:00,2014,15
41,42.0,\u25b21,63,Koch Michel,22,Cannondale,161.0,+3:03:19,3:01:29 3:01:29,2014,15
42,43.0,\u25b21,153,Hepburn Michael,22,Orica GreenEDGE,165.0,+3:15:42,3:13:52 3:13:52,2014,15
43,44.0,\u25b21,83,Courteille Arnaud,25,FDJ.fr,167.0,+3:25:38,3:23:48 3:23:48,2014,15
44,45.0,\u25b21,42,Bol Jetse,24,Belkin-Pro Cycling Team,168.0,+3:26:16,3:24:26 3:24:26,2014,15
1,3.0,\u25b22,121,Quintana Nairo,24,Movistar Team,1.0,+0:00,68:11:44 68:11:44,2014,16
2,1.0,\u25bc1,203,Majka Rafa\u0142,24,Tinkoff - Saxo,5.0,+3:28,3:28 3:28,2014,16
3,2.0,\u25bc1,3,Aru Fabio,23,Astana Pro Team,6.0,+3:34,3:34 3:34,2014,16
4,4.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,8.0,+4:06,4:06 4:06,2014,16
5,7.0,\u25b22,195,Henao Sebasti\xe1n,20,Team Sky,22.0,+44:55,44:55 44:55,2014,16
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,29.0,+57:19,57:19 57:19,2014,16
7,9.0,\u25b22,7,Landa Mikel,24,Astana Pro Team,30.0,+1:01:28,1:01:28 1:01:28,2014,16
8,5.0,\u25bc3,109,Ulissi Diego,24,Lampre - Merida,34.0,+1:07:56,1:07:56 1:07:56,2014,16
9,10.0,\u25b21,44,Goos Marc,23,Belkin-Pro Cycling Team,37.0,+1:14:19,1:14:19 1:14:19,2014,16
10,8.0,\u25bc2,107,Polanc Jan,22,Lampre - Merida,38.0,+1:19:36,1:19:36 1:19:36,2014,16
11,11.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,51.0,+1:40:22,1:40:22 1:40:22,2014,16
12,12.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,52.0,+1:41:48,1:41:48 1:41:48,2014,16
13,13.0,-,138,Monsalve Yonathan,24,Neri Sottoli,60.0,+1:58:10,1:58:10 1:58:10,2014,16
14,16.0,\u25b22,103,Cattaneo Mattia,23,Lampre - Merida,62.0,+2:00:05,2:00:05 2:00:05,2014,16
15,14.0,\u25bc1,15,Domont Axel,23,AG2R La Mondiale,63.0,+2:00:28,2:00:28 2:00:28,2014,16
16,15.0,\u25bc1,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,68.0,+2:06:37,2:06:37 2:06:37,2014,16
17,17.0,-,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,69.0,+2:07:16,2:07:16 2:07:16,2014,16
18,19.0,\u25b21,28,Rosa Diego,25,Androni Giocattoli - Venezuela,73.0,+2:11:21,2:11:21 2:11:21,2014,16
19,20.0,\u25b21,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,82.0,+2:16:34,2:16:34 2:16:34,2014,16
20,18.0,\u25bc2,118,Wellens Tim,23,Lotto Belisol,86.0,+2:21:53,2:21:53 2:21:53,2014,16
21,22.0,\u25b21,86,Le Bon Johan,23,FDJ.fr,91.0,+2:27:01,2:27:01 2:27:01,2014,16
22,21.0,\u25bc1,149,Vermote Julien,24,Omega Pharma - Quick-Step,93.0,+2:31:07,2:31:07 2:31:07,2014,16
23,24.0,\u25b21,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,95.0,+2:34:19,2:34:19 2:34:19,2014,16
24,25.0,\u25b21,117,Van der Sande Tosh,23,Lotto Belisol,97.0,+2:35:01,2:35:01 2:35:01,2014,16
25,23.0,\u25bc2,197,Puccio Salvatore,24,Team Sky,98.0,+2:38:30,2:38:30 2:38:30,2014,16
26,26.0,-,214,Felline Fabio,24,Trek Factory Racing,101.0,+2:41:31,2:41:31 2:41:31,2014,16
27,27.0,-,208,McCarthy Jay,21,Tinkoff - Saxo,106.0,+2:49:42,2:49:42 2:49:42,2014,16
28,29.0,\u25b21,96,Haas Nathan,25,Garmin Sharp,113.0,+2:55:37,2:55:37 2:55:37,2014,16
29,33.0,\u25b24,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,115.0,+2:57:37,2:57:37 2:57:37,2014,16
30,28.0,\u25bc2,37,Barbin Enrico,24,Bardiani - CSF Pro Team,118.0,+2:59:39,2:59:39 2:59:39,2014,16
31,30.0,\u25bc1,66,Moser Moreno,23,Cannondale,121.0,+3:03:08,3:03:08 3:03:08,2014,16
32,31.0,\u25bc1,163,Tulik Angelo,23,Team Europcar,123.0,+3:03:16,3:03:16 3:03:16,2014,16
33,32.0,\u25bc1,67,Ratto Daniele,24,Cannondale,130.0,+3:09:56,3:09:56 3:09:56,2014,16
34,34.0,-,33,Boem Nicola,24,Bardiani - CSF Pro Team,135.0,+3:20:41,3:20:41 3:20:41,2014,16
35,35.0,-,81,Bouhanni Nacer,23,FDJ.fr,139.0,+3:23:34,3:23:34 3:23:34,2014,16
36,36.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,143.0,+3:28:33,3:28:33 3:28:33,2014,16
37,37.0,-,78,Romero Jeffry,24,Team Colombia,146.0,+3:31:08,3:31:08 3:31:08,2014,16
38,38.0,-,69,Viviani Elia,25,Cannondale,147.0,+3:32:36,3:32:36 3:32:36,2014,16
39,39.0,-,136,Fedi Andrea,22,Neri Sottoli,151.0,+3:34:10,3:34:10 3:34:10,2014,16
40,40.0,-,212,Alafaci Eugenio,23,Trek Factory Racing,153.0,+3:35:53,3:35:53 3:35:53,2014,16
41,41.0,-,63,Koch Michel,22,Cannondale,154.0,+3:40:22,3:40:22 3:40:22,2014,16
42,42.0,-,153,Hepburn Michael,22,Orica GreenEDGE,159.0,+3:57:19,3:57:19 3:57:19,2014,16
43,44.0,\u25b21,42,Bol Jetse,24,Belkin-Pro Cycling Team,160.0,+4:07:53,4:07:53 4:07:53,2014,16
1,1.0,-,121,Quintana Nairo,24,Movistar Team,1.0,+0:00,73:05:31 73:05:31,2014,17
2,2.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,5.0,+3:28,3:28 3:28,2014,17
3,3.0,-,3,Aru Fabio,23,Astana Pro Team,6.0,+3:34,3:34 3:34,2014,17
4,4.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,8.0,+4:06,4:06 4:06,2014,17
5,5.0,-,195,Henao Sebasti\xe1n,20,Team Sky,23.0,+44:55,44:55 44:55,2014,17
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,29.0,+57:19,57:19 57:19,2014,17
7,7.0,-,7,Landa Mikel,24,Astana Pro Team,31.0,+1:01:28,1:01:28 1:01:28,2014,17
8,8.0,-,109,Ulissi Diego,24,Lampre - Merida,35.0,+1:07:56,1:07:56 1:07:56,2014,17
9,9.0,-,44,Goos Marc,23,Belkin-Pro Cycling Team,40.0,+1:14:19,1:14:19 1:14:19,2014,17
10,10.0,-,107,Polanc Jan,22,Lampre - Merida,41.0,+1:19:36,1:19:36 1:19:36,2014,17
11,11.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,52.0,+1:40:22,1:40:22 1:40:22,2014,17
12,12.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,54.0,+1:41:48,1:41:48 1:41:48,2014,17
13,13.0,-,138,Monsalve Yonathan,24,Neri Sottoli,60.0,+1:58:10,1:58:10 1:58:10,2014,17
14,14.0,-,103,Cattaneo Mattia,23,Lampre - Merida,63.0,+2:00:05,2:00:05 2:00:05,2014,17
15,15.0,-,15,Domont Axel,23,AG2R La Mondiale,64.0,+2:00:28,2:00:28 2:00:28,2014,17
16,20.0,\u25b24,118,Wellens Tim,23,Lotto Belisol,71.0,+2:06:08,2:06:08 2:06:08,2014,17
17,16.0,\u25bc1,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,72.0,+2:06:37,2:06:37 2:06:37,2014,17
18,17.0,\u25bc1,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,73.0,+2:07:16,2:07:16 2:07:16,2014,17
19,18.0,\u25bc1,28,Rosa Diego,25,Androni Giocattoli - Venezuela,78.0,+2:11:21,2:11:21 2:11:21,2014,17
20,21.0,\u25b21,86,Le Bon Johan,23,FDJ.fr,80.0,+2:11:53,2:11:53 2:11:53,2014,17
21,19.0,\u25bc2,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,87.0,+2:16:34,2:16:34 2:16:34,2014,17
22,26.0,\u25b24,214,Felline Fabio,24,Trek Factory Racing,92.0,+2:26:23,2:26:23 2:26:23,2014,17
23,22.0,\u25bc1,149,Vermote Julien,24,Omega Pharma - Quick-Step,95.0,+2:31:07,2:31:07 2:31:07,2014,17
24,27.0,\u25b23,208,McCarthy Jay,21,Tinkoff - Saxo,97.0,+2:34:02,2:34:02 2:34:02,2014,17
25,23.0,\u25bc2,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,98.0,+2:34:19,2:34:19 2:34:19,2014,17
26,24.0,\u25bc2,117,Van der Sande Tosh,23,Lotto Belisol,100.0,+2:35:01,2:35:01 2:35:01,2014,17
27,25.0,\u25bc2,197,Puccio Salvatore,24,Team Sky,102.0,+2:38:30,2:38:30 2:38:30,2014,17
28,28.0,-,96,Haas Nathan,25,Garmin Sharp,117.0,+2:55:37,2:55:37 2:55:37,2014,17
29,29.0,-,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,119.0,+2:57:37,2:57:37 2:57:37,2014,17
30,30.0,-,37,Barbin Enrico,24,Bardiani - CSF Pro Team,122.0,+2:59:39,2:59:39 2:59:39,2014,17
31,31.0,-,66,Moser Moreno,23,Cannondale,124.0,+3:03:08,3:03:08 3:03:08,2014,17
32,32.0,-,163,Tulik Angelo,23,Team Europcar,125.0,+3:03:16,3:03:16 3:03:16,2014,17
33,34.0,\u25b21,33,Boem Nicola,24,Bardiani - CSF Pro Team,127.0,+3:05:33,3:05:33 3:05:33,2014,17
34,33.0,\u25bc1,67,Ratto Daniele,24,Cannondale,131.0,+3:09:56,3:09:56 3:09:56,2014,17
35,35.0,-,81,Bouhanni Nacer,23,FDJ.fr,139.0,+3:23:34,3:23:34 3:23:34,2014,17
36,36.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,143.0,+3:28:33,3:28:33 3:28:33,2014,17
37,37.0,-,78,Romero Jeffry,24,Team Colombia,146.0,+3:31:08,3:31:08 3:31:08,2014,17
38,38.0,-,69,Viviani Elia,25,Cannondale,147.0,+3:32:36,3:32:36 3:32:36,2014,17
39,39.0,-,136,Fedi Andrea,22,Neri Sottoli,151.0,+3:34:10,3:34:10 3:34:10,2014,17
40,40.0,-,212,Alafaci Eugenio,23,Trek Factory Racing,153.0,+3:35:53,3:35:53 3:35:53,2014,17
41,41.0,-,63,Koch Michel,22,Cannondale,154.0,+3:40:22,3:40:22 3:40:22,2014,17
42,42.0,-,153,Hepburn Michael,22,Orica GreenEDGE,159.0,+3:57:19,3:57:19 3:57:19,2014,17
43,43.0,-,42,Bol Jetse,24,Belkin-Pro Cycling Team,160.0,+4:07:53,4:07:53 4:07:53,2014,17
1,1.0,-,121,Quintana Nairo,24,Movistar Team,1.0,+0:00,77:58:08 77:58:08,2014,18
2,3.0,\u25b21,3,Aru Fabio,23,Astana Pro Team,4.0,+3:31,3:31 3:31,2014,18
3,2.0,\u25bc1,203,Majka Rafa\u0142,24,Tinkoff - Saxo,5.0,+3:31,",, 3:31",2014,18
4,4.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,8.0,+4:37,4:37 4:37,2014,18
5,5.0,-,195,Henao Sebasti\xe1n,20,Team Sky,24.0,+49:22,49:22 49:22,2014,18
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,30.0,+1:01:39,1:01:39 1:01:39,2014,18
7,7.0,-,7,Landa Mikel,24,Astana Pro Team,33.0,+1:08:06,1:08:06 1:08:06,2014,18
8,9.0,\u25b21,44,Goos Marc,23,Belkin-Pro Cycling Team,36.0,+1:17:00,1:17:00 1:17:00,2014,18
9,10.0,\u25b21,107,Polanc Jan,22,Lampre - Merida,39.0,+1:23:37,1:23:37 1:23:37,2014,18
10,11.0,\u25b21,205,Poljanski Pawel,24,Tinkoff - Saxo,51.0,+1:53:34,1:53:34 1:53:34,2014,18
11,12.0,\u25b21,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,53.0,+1:56:58,1:56:58 1:56:58,2014,18
12,18.0,\u25b26,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,58.0,+2:05:54,2:05:54 2:05:54,2014,18
13,16.0,\u25b23,118,Wellens Tim,23,Lotto Belisol,59.0,+2:06:27,2:06:27 2:06:27,2014,18
14,15.0,\u25b21,15,Domont Axel,23,AG2R La Mondiale,65.0,+2:15:38,2:15:38 2:15:38,2014,18
15,17.0,\u25b22,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,68.0,+2:19:49,2:19:49 2:19:49,2014,18
16,13.0,\u25bc3,138,Monsalve Yonathan,24,Neri Sottoli,69.0,+2:19:57,2:19:57 2:19:57,2014,18
17,14.0,\u25bc3,103,Cattaneo Mattia,23,Lampre - Merida,71.0,+2:22:43,2:22:43 2:22:43,2014,18
18,21.0,\u25b23,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,76.0,+2:27:23,2:27:23 2:27:23,2014,18
19,20.0,\u25b21,86,Le Bon Johan,23,FDJ.fr,85.0,+2:41:05,2:41:05 2:41:05,2014,18
20,23.0,\u25b23,149,Vermote Julien,24,Omega Pharma - Quick-Step,88.0,+2:46:17,2:46:17 2:46:17,2014,18
21,24.0,\u25b23,208,McCarthy Jay,21,Tinkoff - Saxo,91.0,+2:51:44,2:51:44 2:51:44,2014,18
22,22.0,-,214,Felline Fabio,24,Trek Factory Racing,93.0,+2:55:35,2:55:35 2:55:35,2014,18
23,25.0,\u25b22,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,94.0,+2:56:06,2:56:06 2:56:06,2014,18
24,26.0,\u25b22,117,Van der Sande Tosh,23,Lotto Belisol,95.0,+2:56:48,2:56:48 2:56:48,2014,18
25,27.0,\u25b22,197,Puccio Salvatore,24,Team Sky,98.0,+3:00:17,3:00:17 3:00:17,2014,18
26,29.0,\u25b23,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,105.0,+3:10:49,3:10:49 3:10:49,2014,18
27,28.0,\u25b21,96,Haas Nathan,25,Garmin Sharp,108.0,+3:13:19,3:13:19 3:13:19,2014,18
28,32.0,\u25b24,163,Tulik Angelo,23,Team Europcar,121.0,+3:25:03,3:25:03 3:25:03,2014,18
29,31.0,\u25b22,66,Moser Moreno,23,Cannondale,122.0,+3:25:50,3:25:50 3:25:50,2014,18
30,30.0,-,37,Barbin Enrico,24,Bardiani - CSF Pro Team,123.0,+3:28:51,3:28:51 3:28:51,2014,18
31,34.0,\u25b23,67,Ratto Daniele,24,Cannondale,125.0,+3:32:38,3:32:38 3:32:38,2014,18
32,33.0,\u25b21,33,Boem Nicola,24,Bardiani - CSF Pro Team,127.0,+3:34:45,3:34:45 3:34:45,2014,18
33,35.0,\u25b22,81,Bouhanni Nacer,23,FDJ.fr,137.0,+3:52:46,3:52:46 3:52:46,2014,18
34,36.0,\u25b22,216,Nizzolo Giacomo,25,Trek Factory Racing,141.0,+3:57:45,3:57:45 3:57:45,2014,18
35,37.0,\u25b22,78,Romero Jeffry,24,Team Colombia,143.0,+4:00:20,4:00:20 4:00:20,2014,18
36,38.0,\u25b22,69,Viviani Elia,25,Cannondale,144.0,+4:01:48,4:01:48 4:01:48,2014,18
37,39.0,\u25b22,136,Fedi Andrea,23,Neri Sottoli,148.0,+4:03:22,4:03:22 4:03:22,2014,18
38,40.0,\u25b22,212,Alafaci Eugenio,23,Trek Factory Racing,150.0,+4:05:05,4:05:05 4:05:05,2014,18
39,41.0,\u25b22,63,Koch Michel,22,Cannondale,152.0,+4:09:34,4:09:34 4:09:34,2014,18
40,42.0,\u25b22,153,Hepburn Michael,22,Orica GreenEDGE,156.0,+4:26:31,4:26:31 4:26:31,2014,18
41,43.0,\u25b22,42,Bol Jetse,24,Belkin-Pro Cycling Team,157.0,+4:37:05,4:37:05 4:37:05,2014,18
1,1.0,-,121,Quintana Nairo,24,Movistar Team,1.0,+0:00,79:03:45 79:03:45,2014,19
2,2.0,-,3,Aru Fabio,23,Astana Pro Team,3.0,+3:48,3:48 3:48,2014,19
3,3.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,6.0,+6:59,6:59 6:59,2014,19
4,4.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,8.0,+9:29,9:29 9:29,2014,19
5,5.0,-,195,Henao Sebasti\xe1n,20,Team Sky,21.0,+53:10,53:10 53:10,2014,19
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,29.0,+1:08:05,1:08:05 1:08:05,2014,19
7,7.0,-,7,Landa Mikel,24,Astana Pro Team,33.0,+1:15:20,1:15:20 1:15:20,2014,19
8,8.0,-,44,Goos Marc,23,Belkin-Pro Cycling Team,36.0,+1:24:36,1:24:36 1:24:36,2014,19
9,9.0,-,107,Polanc Jan,22,Lampre - Merida,39.0,+1:31:22,1:31:22 1:31:22,2014,19
10,10.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,51.0,+2:00:42,2:00:42 2:00:42,2014,19
11,11.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,52.0,+2:02:09,2:02:09 2:02:09,2014,19
12,13.0,\u25b21,118,Wellens Tim,23,Lotto Belisol,55.0,+2:10:27,2:10:27 2:10:27,2014,19
13,12.0,\u25bc1,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,56.0,+2:10:40,2:10:40 2:10:40,2014,19
14,14.0,-,15,Domont Axel,23,AG2R La Mondiale,64.0,+2:23:31,2:23:31 2:23:31,2014,19
15,15.0,-,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,66.0,+2:25:18,2:25:18 2:25:18,2014,19
16,17.0,\u25b21,103,Cattaneo Mattia,23,Lampre - Merida,69.0,+2:28:11,2:28:11 2:28:11,2014,19
17,16.0,\u25bc1,138,Monsalve Yonathan,24,Neri Sottoli,70.0,+2:30:31,2:30:31 2:30:31,2014,19
18,18.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,76.0,+2:36:29,2:36:29 2:36:29,2014,19
19,19.0,-,86,Le Bon Johan,23,FDJ.fr,84.0,+2:50:18,2:50:18 2:50:18,2014,19
20,20.0,-,149,Vermote Julien,24,Omega Pharma - Quick-Step,89.0,+2:57:15,2:57:15 2:57:15,2014,19
21,21.0,-,208,McCarthy Jay,21,Tinkoff - Saxo,91.0,+3:01:27,3:01:27 3:01:27,2014,19
22,23.0,\u25b21,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,92.0,+3:02:32,3:02:32 3:02:32,2014,19
23,22.0,\u25bc1,214,Felline Fabio,24,Trek Factory Racing,94.0,+3:04:51,3:04:51 3:04:51,2014,19
24,24.0,-,117,Van der Sande Tosh,23,Lotto Belisol,95.0,+3:06:19,3:06:19 3:06:19,2014,19
25,25.0,-,197,Puccio Salvatore,24,Team Sky,96.0,+3:09:31,3:09:31 3:09:31,2014,19
26,27.0,\u25b21,96,Haas Nathan,25,Garmin Sharp,105.0,+3:22:28,3:22:28 3:22:28,2014,19
