Rider,year,stage_scores
Aramendia Javier,2011,13.0
Aranaga Andoni,2004,0.0
Aranaga Andoni,2006,0.0
Aranaga Andoni,2007,0.0
Arashiro Yukiya,2016,0.0
Arcas Jorge,2016,0.0
Ardila Mauricio Alberto,2006,0.0
Ardila Mauricio Alberto,2007,0.0
Arm\xe9e Sander,2014,0.0
Arm\xe9e Sander,2015,0.0
Arm\xe9e Sander,2016,12.0
Armstrong Lance,2001,133.0
Armstrong Lance,2010,60.0
Arndt Nikias,2015,0.0
Arndt Nikias,2017,29.0
Arndt Nikias,2018,17.0
Arredondo Juli\xe1n David,2015,61.0
Arrieta Jose Luis,2005,0.0
Arrieta Jose Luis,2010,0.0
Artunghi Marco,2000,0.0
Arvesen Kurt-Asle,2008,0.0
Arvesen Kurt-Asle,2009,0.0
Arvesen Kurt-Asle,2010,0.0
Arvesen Kurt-Asle,2011,0.0
Asselman Jesper,2017,0.0
Astarloa Ascasibar Igor,2000,14.0
Astarloa Ascasibar Igor,2003,0.0
Astarloza Mikel,2012,7.0
Atapuma John Darwin,2015,0.0
Atapuma John Darwin,2016,54.0
Atapuma John Darwin,2017,0.0
Atienza Daniel,1998,0.0
Atienza Daniel,1999,37.0
Atienza Daniel,2000,46.0
Atienza Daniel,2001,32.0
Atienza Daniel,2005,43.0
Auge St\xe9phane,2004,0.0
Auger Ludovic,2005,0.0
Auger Ludovic,2006,0.0
Aus Lauri,1998,11.0
Aus Lauri,2003,39.0
Azanza Jorge,2008,0.0
Azanza Jorge,2009,0.0
Azanza Jorge,2011,0.0
Azanza Jorge,2013,0.0
B\xe1rta Jan,2011,0.0
B\xe1rta Jan,2017,0.0
B\xe9rard Julien,2012,0.0
Backaert Frederik,2015,0.0
Bader Vincent,2002,0.0
Bagdonas Gediminas,2017,0.0
Baguet Serge,2000,22.0
Baguet Serge,2003,6.0
Baillifard Valentin,2016,0.0
Bak Lars Ytting,2007,0.0
Bakelants Jan,2011,44.0
Bakelants Jan,2015,45.0
Bakelants Jan,2017,40.0
Balciunas Linas,2002,0.0
Baldato Fabio,1999,24.0
Baldato Fabio,2004,24.0
Baldinger Dirk,1998,22.0
Baldinger Dirk,1999,0.0
Baldo Filippo,1998,0.0
Ballan Alessandro,2006,11.0
Ballan Alessandro,2007,0.0
Ballan Alessandro,2008,17.0
Ballan Alessandro,2009,0.0
Ballan Alessandro,2010,12.0
Ballan Alessandro,2011,0.0
Ballerini Franco,1998,0.0
Balloni Alfredo,2011,0.0
Balzi Fabio,1998,0.0
Baranowski Dariusz,2003,0.0
Baranowski Dariusz,2005,0.0
Barbero Sergio,1998,0.0
Barbero Sergio,2003,0.0
Barbero Sergio,2004,8.0
Barguil Warren,2014,0.0
Barguil Warren,2015,49.0
Barguil Warren,2016,128.0
Barnsley Chris,1998,0.0
Barnsley Chris,1999,0.0
Baronti Alessandro,1999,0.0
Barredo Carlos,2005,30.0
Barredo Carlos,2007,7.0
Barredo Carlos,2009,14.0
Barredo Carlos,2010,54.0
Barry Michael,2005,0.0
Barry Michael,2012,0.0
Bartoli Michele,2000,66.0
Bartoli Michele,2001,41.0
Basso Ivan,2002,0.0
Bassons Christophe,1998,17.0
Battaglin Enrico,2018,57.0
Bauer Jack,2017,0.0
Baugnies Jerome,2014,0.0
Baugnies Jerome,2015,0.0
Bazayev Assan,2010,0.0
Bazayev Assan,2011,0.0
Bazayev Assan,2012,0.0
Bazhenov Alexandre,2004,8.0
Bazzana Alessandro,2011,0.0
Bazzana Alessandro,2012,46.0
Beeckman Koen,2000,0.0
Belgy Julien,2008,0.0
Belli Wladimir,1998,123.0
Belli Wladimir,2000,133.0
Belli Wladimir,2001,88.0
Belli Wladimir,2003,51.0
Belli Wladimir,2004,0.0
Bellotti Francesco,2005,21.0
Bellotti Francesco,2006,0.0
Bellotti Francesco,2007,0.0
Belluomini Luca,1998,13.0
Belohvosciks Raivis,1999,17.0
Belohvosciks Raivis,2000,35.0
Belohvosciks Raivis,2001,11.0
Belohvosciks Raivis,2002,10.0
Beloki Joseba,2005,0.0
Beltran Manuel,2001,63.0
Beltran Manuel,2006,29.0
Benedetti Cesare,2011,0.0
Beneteau Walter,2005,22.0
Benetseder Josef,2007,0.0
Benetseder Josef,2009,0.0
Benitez Jos\xe9 Alberto,2009,0.0
Bennati Daniele,2002,22.0
Bennati Daniele,2006,129.0
Bennati Daniele,2007,90.0
Bennati Daniele,2009,0.0
Bennati Daniele,2013,30.0
Bennati Daniele,2014,30.0
Bennati Daniele,2015,51.0
Bennati Daniele,2018,6.0
Benoot Tiesj,2016,9.0
Beppu Fumiyuki,2007,0.0
Berges Stephane,2003,0.0
Bergmann Reto,2001,0.0
Bergmann Reto,2002,12.0
Berhane Natnael,2016,14.0
Bernabeu David,2004,16.0
Bernard Julien,2018,0.0
Bernaudeau Giovanni,2007,0.0
Bernaudeau Giovanni,2014,0.0
Bernucci Lorenzo,2005,30.0
Bernucci Lorenzo,2006,10.0
Bertagnolli Leonardo,2005,0.0
Bertagnolli Leonardo,2012,0.0
Berthou Eric,2008,0.0
Bertogliati Rubens,2001,0.0
Bertogliati Rubens,2002,41.0
Bertogliati Rubens,2003,10.0
Bertogliati Rubens,2004,0.0
Bertogliati Rubens,2005,0.0
Bertogliati Rubens,2007,0.0
Bertogliati Rubens,2008,7.0
Bertogliati Rubens,2011,0.0
Bertogliati Rubens,2012,0.0
Bertoletti Simone,1999,19.0
Bertoletti Simone,2000,0.0
Bertoletti Simone,2001,0.0
Bertoletti Simone,2003,0.0
Bertoletti Simone,2004,0.0
Bertolini Alessandro,1998,0.0
Bertolini Alessandro,1999,0.0
Bertolini Alessandro,2005,0.0
Berzin Yewgeni,1998,0.0
Bessy Fr\xe9d\xe9ric,1998,11.0
Betancur Carlos,2017,16.0
Bettini Paolo,2001,76.0
Bettini Paolo,2003,38.0
Bettini Paolo,2004,71.0
Bettini Paolo,2005,24.0
Bettini Paolo,2006,42.0
Bettiol Alberto,2015,0.0
Beuchat Roger,1999,0.0
Beuchat Roger,2001,0.0
Beuchat Roger,2002,15.0
Beuchat Roger,2004,26.0
Beuchat Roger,2006,0.0
Bevin Patrick,2016,0.0
Bevin Patrick,2017,90.0
Bewley Sam,2013,0.0
Bewley Sam,2014,0.0
Bewley Sam,2016,0.0
Bewley Sam,2017,0.0
Bewley Sam,2018,0.0
Bichot Freddy,2005,0.0
Bidard Fran\xe7ois,2018,14.0
Bilbao Pello,2017,49.0
Bileka Volodymyr,2006,18.0
Bille Gaetan,2012,0.0
Bindi Emanuele,2009,0.0
Blain Alexandre,2008,0.0
Blaudzun Michael,2004,34.0
Blaudzun Michael,2005,7.0
Blythe Adam,2012,0.0
Boaro Manuele,2011,28.0
Boaro Manuele,2014,0.0
Boaro Manuele,2016,0.0
Boasson Hagen Edvald,2008,0.0
Bobridge Jack,2011,0.0
Bodnar Maciej,2011,0.0
Bodnar Maciej,2016,12.0
Bodnar Maciej,2017,0.0
Bodnar Maciej,2018,24.0
Bodrogi Laszlo,2004,40.0
Bodrogi Laszlo,2005,14.0
Bodrogi Laszlo,2006,0.0
Bodrogi Laszlo,2008,0.0
Bodrogi Laszlo,2011,0.0
Boeckmans Kris,2012,28.0
Boily David,2012,0.0
Boivin Guillaume,2012,0.0
