Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
20,,66,7.0,+3:28,,McNulty Brandon,42,Rally Cycling,",, ,,",,7,2018
30,,114,45.0,+25:58,,Howes Alex,43,Team EF Education First-Drapac p/b Cannondale,",, ,,",,7,2018
23,,123,14.0,+7:05,,Guerreiro Ruben,44,Trek - Segafredo,",, ,,",,7,2018
32,,41,98.0,+59:00,,Cavendish Mark,45,Team Dimension Data,",, ,,",,7,2018
26,,166,89.0,+55:54,,Putt Tanner,46,UnitedHealthcare Pro Cycling Team,",, ,,",,7,2018
27,,111,87.0,+55:28,,Phinney Taylor,47,Team EF Education First-Drapac p/b Cannondale,",, ,,",,7,2018
24,,5,13.0,+7:03,,Tolhoek Antwan,48,Team LottoNL-Jumbo,",, ,,",,7,2018
27,,91,51.0,+32:57,,Naesen Oliver,49,AG2R La Mondiale,",, ,,",,7,2018
30,,95,39.0,+22:17,,Gastauer Ben,50,AG2R La Mondiale,",, ,,",,7,2018
26,,126,19.0,+8:10,,Skuji\u0146\u0161 Toms,51,Trek - Segafredo,",, ,,",,7,2018
28,,84,56.0,+36:35,,Rowe Luke,52,Team Sky,",, ,,",,7,2018
21,,1,15.0,+7:25,,Powless Neilson,53,Team LottoNL-Jumbo,",, ,,",,7,2018
33,,62,16.0,+7:33,,Britton Rob,54,Rally Cycling,",, ,,",,7,2018
22,,26,106.0,+1:03:37,,Van Hooydonck Nathan,55,BMC Racing Team,",, ,,",,7,2018
34,,21,21.0,+9:55,,Bookwalter Brent,56,BMC Racing Team,",, ,,",,7,2018
35,,44,107.0,+1:04:23,,Renshaw Mark,57,Team Dimension Data,",, ,,",,7,2018
23,,147,12.0,+6:11,,Ravasi Edward,58,UAE-Team Emirates,",, ,,",,7,2018
22,,92,85.0,+54:06,,Cosnefroy Benoit,59,AG2R La Mondiale,0:16 0:16,,7,2018
23,,3,43.0,+24:32,,Kuss Sepp,60,Team LottoNL-Jumbo,",, 0:16",,7,2018
20,,85,31.0,+16:56,,Sivakov Pavel,61,Team Sky,",, 0:16",,7,2018
28,,24,29.0,+15:40,,Rosskopf Joey,62,BMC Racing Team,",, 0:16",,7,2018
22,,102,23.0,+10:33,,Barta William,63,Hagens Berman Axeon,",, 0:16",,7,2018
30,,121,17.0,+7:57,,Stetina Peter,64,Trek - Segafredo,",, 0:16",,7,2018
27,,93,54.0,+36:32,,Dillier Silvan,65,AG2R La Mondiale,",, 0:16",,7,2018
26,,2,41.0,+23:50,,De Tier Floris,66,Team LottoNL-Jumbo,",, 0:16",,7,2018
21,,122,18.0,+8:07,,Conci Nicola,67,Trek - Segafredo,",, 0:16",,7,2018
28,,45,38.0,+22:12,,Slagter Tom-Jelte,68,Team Dimension Data,",, 0:16",,7,2018
25,,63,77.0,+48:40,,Carpenter Robin,69,Rally Cycling,",, 0:16",,7,2018
32,,76,101.0,+59:50,,Kluge Roger,70,Mitchelton-Scott,",, 0:16",,7,2018
29,,167,40.0,+22:29,,Tvetcov Serghei,71,UnitedHealthcare Pro Cycling Team,",, 0:16",,7,2018
25,,142,32.0,+17:02,,Ait El Abdia Anass,72,UAE-Team Emirates,",, 0:16",,7,2018
21,,36,48.0,+29:13,,Narvaez Jhonatan,73,Quick-Step Floors,",, 0:16",,7,2018
34,,97,47.0,+28:10,,Vandenbergh Stijn,74,AG2R La Mondiale,",, 0:16",,7,2018
30,,86,81.0,+50:50,,Stannard Ian,75,Team Sky,",, 0:16",,7,2018
27,,52,20.0,+8:24,,Boswell Ian,76,Team Katusha - Alpecin,",, 0:16",,7,2018
32,,55,74.0,+48:11,,Hollenstein Reto,77,Team Katusha - Alpecin,",, 0:16",,7,2018
39,,67,100.0,+59:23,,Pate Danny,78,Rally Cycling,",, 0:16",,7,2018
23,,53,22.0,+10:16,,Fabbro Matteo,79,Team Katusha - Alpecin,",, 0:16",,7,2018
29,,155,49.0,+30:24,,Krasilnikau Andrei,80,Holowesko - Citadel p/b Arapahoe Resources,",, 0:16",,7,2018
21,,145,63.0,+42:19,,Ganna Filippo,81,UAE-Team Emirates,",, 0:16",,7,2018
22,,133,36.0,+20:37,,Hindley Jai,82,Team Sunweb,",, 0:16",,7,2018
29,,17,110.0,+1:05:18,,Sagan Juraj,83,BORA - hansgrohe,",, 0:16",,7,2018
23,,154,26.0,+14:55,,Eisenhart Taylor,84,Holowesko - Citadel p/b Arapahoe Resources,",, 0:16",,7,2018
24,,83,27.0,+15:27,,Henao Sebasti\xe1n,85,Team Sky,",, 0:16",,7,2018
24,,56,44.0,+24:45,,Politt Nils,86,Team Katusha - Alpecin,",, 0:16",,7,2018
35,,35,97.0,+58:42,,Keisse Iljo,87,Quick-Step Floors,",, 0:16",,7,2018
33,,151,88.0,+55:37,,Murphy John,88,Holowesko - Citadel p/b Arapahoe Resources,0:28 0:28,,7,2018
38,,124,80.0,+50:47,,Rast Gregory,89,Trek - Segafredo,0:39 0:39,,7,2018
19,,101,60.0,+41:10,,Bjerg Mikkel,90,Hagens Berman Axeon,0:42 0:42,,7,2018
