Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
27.0,45,+0:10,,,Nibali Vincenzo,45,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
38.0,46,+0:10,,,Leipheimer Levi,46,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
34.0,47,+0:10,,,Nocentini Rinaldo,47,AG2R La Mondiale,",, 0:10",+0:10,,,1,2012
23.0,48,+0:10,,,van Garderen Tejay,48,BMC Racing Team,",, 0:10",+0:10,,,1,2012
22.0,49,+0:10,,,Roe Timothy,49,BMC Racing Team,",, 0:10",+0:10,,,1,2012
28.0,50,+0:10,,,Deignan Philip,50,UnitedHealthcare Presented by Maxxis,",, 0:10",+0:10,,,1,2012
32.0,51,+0:10,,,Cooke Matt,51,Team Exergy,",, 0:10",+0:10,,,1,2012
20.0,52,+0:10,,,Brown Nathan,52,Bontrager Livestrong Team,",, 0:10",+0:10,,,1,2012
25.0,53,+0:10,,,Sulzberger Wesley,53,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
21.0,54,+0:10,,,Boswell Ian,54,Bontrager Livestrong Team,",, 0:10",+0:10,,,1,2012
31.0,55,+0:10,,,Vanotti Alessandro,55,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
32.0,56,+0:10,,,Irizar Markel,56,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
31.0,57,+0:10,,,Boonen Tom,57,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
22.0,58,+0:10,,,Eijssen Yannick,58,BMC Racing Team,",, 0:10",+0:10,,,1,2012
24.0,59,+0:10,,,Howes Alex,59,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
31.0,60,+0:10,,,Vennell Jeremy,60,Bissell Pro Cycling,",, 0:10",+0:10,,,1,2012
26.0,61,+0:10,,,Ch\xe9rel Micka\xebl,61,AG2R La Mondiale,",, 0:10",+0:10,,,1,2012
27.0,62,+0:10,,,Roche Nicolas,62,AG2R La Mondiale,",, 0:10",+0:10,,,1,2012
28.0,63,+0:10,,,Georges Sylvain,63,AG2R La Mondiale,",, 0:10",+0:10,,,1,2012
29.0,64,+0:10,,,King Edward,64,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
21.0,65,+0:10,,,Matthews Michael,65,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
36.0,66,+0:32,,,Baldwin Christopher,66,Bissell Pro Cycling,0:32 0:32,+0:32,,,1,2012
25.0,67,+0:33,,,Bouet Maxime,67,AG2R La Mondiale,0:33 0:33,+0:33,,,1,2012
24.0,68,+0:34,,,Geniez Alexandre,68,Argos - Shimano,0:34 0:34,+0:34,,,1,2012
