Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
32,81,4,+4:55,220.0,,Rodr\xedguez Joaquim,4,Team Katusha,4:55 4:55,+4:55,90.0,-,20,2011
25,141,5,+5:18,200.0,,Kreuziger Roman,5,Pro Team Astana,5:18 5:18,+5:18,80.0,-,20,2011
29,23,6,+6:02,190.0,,Rujano Jos\xe9 Humberto,6,Androni Giocattoli - Serramenti PVC Diquigiovanni,6:02 6:02,+6:02,70.0,-,20,2011
33,61,7,+6:08,180.0,,Menchov Denis,7,Geox-TMC Transformers,6:08 6:08,+6:08,60.0,-,20,2011
23,173,8,+7:41,170.0,,Kruijswijk Steven,8,Rabobank Cycling Team,7:41 7:41,+7:41,52.0,-,20,2011
28,79,9,+8:00,160.0,,Siutsou Kanstantsin,9,HTC - High Road,8:00 8:00,+8:00,44.0,-,20,2011
27,59,10,+9:58,150.0,,Nieve Mikel,10,Euskaltel - Euskadi,9:58 9:58,+9:58,38.0,-,20,2011
30,15,11,+11:56,140.0,,Dupont Hubert,11,AG2R La Mondiale,11:56 11:56,+11:56,32.0,-,20,2011
26,162,12,+12:13,130.0,,Cataldo Dario,12,Quickstep Cycling Team,12:13 12:13,+12:13,26.0,-,20,2011
31,121,13,+20:46,120.0,,Arroyo David,13,Movistar Team,20:46 20:46,+20:46,22.0,-,20,2011
30,205,14,+25:58,110.0,,Le M\xe9vel Christophe,14,Team Garmin - Cerv\xe9lo,25:58 25:58,+25:58,18.0,-,20,2011
28,37,15,+29:10,100.0,,Tschopp Johann,15,BMC Racing Team,29:10 29:10,+29:10,14.0,-,20,2011
32,221,16,+30:58,90.0,,Carrara Matteo,16,Vacansoleil - DCM,30:58 30:58,+30:58,10.0,-,20,2011
28,51,17,+31:29,85.0,,Anton Igor,17,Euskaltel - Euskadi,31:29 31:29,+31:29,8.0,-,20,2011
33,142,18,+32:11,80.0,,Tiralongo Paolo,18,Pro Team Astana,32:11 32:11,+32:11,6.0,-,20,2011
25,211,19,+33:49,75.0,,Machado Tiago,19,RadioShack,33:49 33:49,+33:49,4.0,-,20,2011
27,191,20,+37:41,70.0,,L\xf6fkvist Thomas,20,Sky Procycling,37:41 37:41,+37:41,2.0,-,20,2011
23,208,21,+43:59,65.0,,Stetina Peter,21,Team Garmin - Cerv\xe9lo,43:59 43:59,+43:59,,-,20,2011
25,131,22,+48:57,60.0,,Bakelants Jan,22,Omega Pharma-Lotto,48:57 48:57,+48:57,,-,20,2011
26,133,23,+51:26,55.0,,de Greef Francis,23,Omega Pharma-Lotto,51:26 51:26,+51:26,,-,20,2011
29,122,24,+55:51,50.0,,Kiryienka Vasil,24,Movistar Team,55:51 55:51,+55:51,,-,20,2011
37,1,25,+57:50,45.0,,Garzelli Stefano,25,Acqua & Sapone,57:50 57:50,+57:50,,-,20,2011
24,134,26,+58:15,40.0,,De Clercq Bart,26,Omega Pharma-Lotto,58:15 58:15,+58:15,,-,20,2011
29,184,27,+59:04,35.0,,Hern\xe1ndez Jes\xfas,27,Saxo Bank - Sungard,59:04 59:04,+59:04,,-,20,2011
29,85,28,+1:01:21,30.0,,Moreno Daniel,28,Team Katusha,1:01:21 1:01:21,+61:21,,-,20,2011
36,62,29,+1:01:23,25.0,,Sastre Carlos,29,Geox-TMC Transformers,1:01:23 1:01:23,+61:23,,-,20,2011
37,6,30,+1:08:28,20.0,,Miholjevic Vladimir,30,Acqua & Sapone,1:08:28 1:08:28,+68:28,,-,20,2011
38,2,31,+1:09:11,20.0,,Codol Massimo,31,Acqua & Sapone,1:09:11 1:09:11,+69:11,,-,20,2011
24,8,32,+1:11:19,20.0,,Sarmiento Jose Cayetano,32,Acqua & Sapone,1:11:19 1:11:19,+71:19,,-,20,2011
24,63,33,+1:12:34,20.0,,Wyss Marcel,33,Geox-TMC Transformers,1:12:34 1:12:34,+72:34,,-,20,2011
30,22,34,+1:12:56,20.0,,Sella Emanuele,34,Androni Giocattoli - Serramenti PVC Diquigiovanni,1:12:56 1:12:56,+72:56,,-,20,2011
32,176,35,+1:14:37,20.0,,Tankink Bram,35,Rabobank Cycling Team,1:14:37 1:14:37,+74:37,,-,20,2011
28,86,36,+1:14:52,20.0,,Vorganov Eduard,36,Team Katusha,1:14:52 1:14:52,+74:52,,-,20,2011
35,125,37,+1:18:55,20.0,,Lastras Pablo,37,Movistar Team,1:18:55 1:18:55,+78:55,,-,20,2011
33,148,38,+1:19:14,20.0,,Petrov Evgeni,38,Pro Team Astana,1:19:14 1:19:14,+79:14,,-,20,2011
31,96,39,+1:23:09,20.0,,Niemiec Przemyslaw,39,Lampre - ISD,1:23:09 1:23:09,+83:09,,-,20,2011
21,94,40,+1:25:32,20.0,,Ulissi Diego,40,Lampre - ISD,1:25:32 1:25:32,+85:32,,-,20,2011
