Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
30,,,+0:00,,Scholz Ronny,61,Gerolsteiner,",, 0:23",1,2008
25,,,+0:00,,Morabito Steve,62,Astana,",, 0:23",1,2008
29,,,+0:00,,Weissinger Ren\xe9,63,Team Volksbank,",, 0:23",1,2008
28,,,+0:00,,Muravyev Dmitriy,64,Astana,",, 0:23",1,2008
28,,,+0:00,,Chavanel Sylvain,65,Cofidis,",, 0:23",1,2008
25,,,+0:00,,Tschopp Johann,66,Bouygues Telecom,",, 0:23",1,2008
32,,,+0:00,,Yakovlev Serguei,67,Astana,",, 0:23",1,2008
26,,,+0:00,,Rujano Jos\xe9 Humberto,68,Caisse d'Epargne,",, 0:23",1,2008
23,,,+0:00,,Rojas Jos\xe9 Joaqu\xedn,69,Caisse d'Epargne,1:35 1:35,1,2008
29,,,+0:00,,Scheirlinckx Staf,70,Cofidis,",, 1:35",1,2008
30,,,+0:00,,Louder Jeff,71,BMC Racing Team,",, 1:35",1,2008
32,,,+0:00,,Rasch Gabriel,72,Cr\xe9dit Agricole,",, 1:35",1,2008
30,,,+0:00,,Tjallingii Maarten,73,Silence - Lotto,",, 1:35",1,2008
30,,,+0:00,,Dion Renaud,74,AG2R La Mondiale,",, 1:35",1,2008
28,,,+0:00,,Fischer Murilo Antonio,75,Liquigas,",, 1:35",1,2008
23,,,+0:00,,Bovay Steve,76,BMC Racing Team,",, 1:35",1,2008
24,,,+0:00,,de Maar Marc,77,Rabobank ProTeam,",, 1:35",1,2008
28,,,+0:00,,Berthou Eric,78,Cr\xe9dit Agricole,",, 1:35",1,2008
25,,,+0:00,,Azanza Jorge,79,Euskaltel - Euskadi,",, 1:35",1,2008
26,,,+0:00,,Schwab Hubert,80,Quickstep - Innergetic,",, 1:35",1,2008
29,,,+0:00,,Perez Francisco,81,Caisse d'Epargne,",, 1:35",1,2008
31,,,+0:00,,Bodrogi Laszlo,82,Cr\xe9dit Agricole,3:21 3:21,1,2008
36,,,+0:00,,Julich Bobby,83,CSC ProTeam,",, 3:21",1,2008
34,,,+0:00,,M\xfcller Martin,84,Milram,",, 3:21",1,2008
36,,,+0:00,,Guesdon Fr\xe9d\xe9ric,85,Fran\xe7aise des Jeux,",, 3:21",1,2008
27,,,+0:00,,Gomez Gomez Angel,86,Scott - American Beef,",, 3:21",1,2008
26,,,+0:00,,Hernandez Gutierrez Aitor,87,Euskaltel - Euskadi,",, 3:21",1,2008
