Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
32,95,26.0,3,Hushovd Thor,5,Cervelo Test Team,2,2010,▼2
38,75,24.0,4,McEwen Robbie,6,Team Katusha,2,2010,▼2
25,65,22.0,5,Ladagnous Matthieu,7,Francaise des Jeux,2,2010,▼2
23,46,20.0,6,Oss Daniel,8,Liquigas - Doimo,2,2010,▼2
25,169,19.0,7,Rojas José Joaquín,9,Caisse d'Epargne,2,2010,▼2
26,158,19.0,14,Turgot Sébastien,10,Bbox Bouygues Telecom,2,2010,▲4
29,145,18.0,8,Knees Christian,11,Milram,2,2010,▼3
24,39,17.0,9,Thomas Geraint,12,Sky Procycling,2,2010,▼3
28,186,17.0,10,Pérez Rubén,13,Euskaltel - Euskadi,2,2010,▼3
29,13,15.0,12,Cancellara Fabian,14,Saxo Bank,2,2010,▼2
27,141,15.0,13,Gerdemann Linus,15,Milram,2,2010,▼2
27,185,14.0,15,Pérez Alan,16,Euskaltel - Euskadi,2,2010,▼1
25,174,13.0,16,El Fares Julien,17,"Cofidis, le Crédit en Ligne",2,2010,▼1
24,192,12.0,17,Boom Lars,18,Rabobank ProTeam,2,2010,▼1
25,115,12.0,18,Martin Tony,19,Team HTC - Columbia,2,2010,▼1
33,146,12.0,19,Roberts Luke,20,Milram,2,2010,▼1
28,139,10.0,20,Wynants Maarten,21,Quickstep - Innergetic,2,2010,▼1
33,57,10.0,21,Millar David,22,Team Garmin - Transitions,2,2010,▼1
23,36,10.0,22,Boasson Hagen Edvald,23,Sky Procycling,2,2010,▼1
27,119,10.0,23,Siutsou Kanstantsin,24,Team HTC - Columbia,2,2010,▼1
38,21,8.0,25,Armstrong Lance,25,RadioShack,2,2010,-
29,132,,26*,Barredo Carlos,26*,Quickstep - Innergetic,2,2010,-
34,32,7.0,26,Barry Michael,26,Sky Procycling,2,2010,-
27,1,,28*,Contador Alberto,28*,Astana,2,2010,-
29,173,6.0,27,Dumoulin Samuel,27,"Cofidis, le Crédit en Ligne",2,2010,-
28,176,5.0,29,Minard Sébastien,28,"Cofidis, le Crédit en Ligne",2,2010,▲1
26,53,5.0,28,Farrar Tyler,29,Team Garmin - Transitions,2,2010,▼1
36,25,4.0,30,Leipheimer Levi,30,RadioShack,2,2010,-
28,133,4.0,31,De Weert Kevin,31,Quickstep - Innergetic,2,2010,-
27,116,3.0,,Monfort Maxime,32,Team HTC - Columbia,2,2010,-
25,143,3.0,32,Fröhlinger Johannes,33,Milram,2,2010,▼1
25,204,2.0,,Gavazzi Francesco,34,Lampre - Farnese Vini,2,2010,-
27,79,2.0,33,Vorganov Eduard,35,Team Katusha,2,2010,▼2
32,95,63.0,5,Hushovd Thor,1,Cervelo Test Team,3,2010,▲4
24,39,49.0,12,Thomas Geraint,2,Sky Procycling,3,2010,▲10
31,131,44.0,1,Chavanel Sylvain,3,Quickstep - Innergetic,3,2010,▼2
38,75,38.0,6,McEwen Robbie,4,Team Katusha,3,2010,▲2
29,13,37.0,14,Cancellara Fabian,5,Saxo Bank,3,2010,▲9
25,108,36.0,3,Roelandts Jürgen,6,Omega Pharma-Lotto,3,2010,▼3
36,208,35.0,2,Petacchi Alessandro,7,Lampre - Farnese Vini,3,2010,▼5
29,54,30.0,,Hesjedal Ryder,8,Team Garmin - Transitions,3,2010,-
25,169,30.0,9,Rojas José Joaquín,9,Caisse d'Epargne,3,2010,-
27,117,30.0,4,Renshaw Mark,10,Team HTC - Columbia,3,2010,▼6
33,121,28.0,,Evans Cadel,11,BMC Racing Team,3,2010,-
25,11,24.0,,Schleck Andy,12,Saxo Bank,3,2010,-
25,65,24.0,7,Ladagnous Matthieu,13,Francaise des Jeux,3,2010,▼6
23,46,22.0,8,Oss Daniel,14,Liquigas - Doimo,3,2010,▼6
29,58,21.0,,Vansummeren Johan,15,Team Garmin - Transitions,3,2010,-
27,1,,28*,Contador Alberto,16*,Astana,3,2010,-
30,31,20.0,,Wiggins Bradley,16,Sky Procycling,3,2010,-
29,145,20.0,11,Knees Christian,17,Milram,3,2010,▼6
27,101,20.0,,Van den Broeck Jurgen,18,Omega Pharma-Lotto,3,2010,-
26,158,19.0,10,Turgot Sébastien,19,Bbox Bouygues Telecom,3,2010,▼9
28,186,19.0,13,Pérez Rubén,20,Euskaltel - Euskadi,3,2010,▼7
24,144,19.0,,Kluge Roger,21,Milram,3,2010,-
36,9,18.0,,Vinokourov Alexandre,22,Astana,3,2010,-
32,191,,,Menchov Denis,24*,Rabobank ProTeam,3,2010,-
33,57,18.0,22,Millar David,23,Team Garmin - Transitions,3,2010,▼1
27,141,17.0,15,Gerdemann Linus,24,Milram,3,2010,▼9
26,81,17.0,,Roche Nicolas,25,AG2R La Mondiale,3,2010,-
25,174,17.0,17,El Fares Julien,26,"Cofidis, le Crédit en Ligne",3,2010,▼9
27,185,16.0,16,Pérez Alan,27,Euskaltel - Euskadi,3,2010,▼11
25,115,15.0,19,Martin Tony,28,Team HTC - Columbia,3,2010,▼9
33,146,14.0,20,Roberts Luke,29,Milram,3,2010,▼9
28,139,14.0,21,Wynants Maarten,30,Quickstep - Innergetic,3,2010,▼9
24,192,14.0,18,Boom Lars,31,Rabobank ProTeam,3,2010,▼13
24,214,12.0,,Durán Arkaitz,32,Footon-Servetto,3,2010,-
23,36,12.0,23,Boasson Hagen Edvald,33,Sky Procycling,3,2010,▼10
27,119,12.0,24,Siutsou Kanstantsin,34,Team HTC - Columbia,3,2010,▼10
35,102,12.0,,Aerts Mario,35,Omega Pharma-Lotto,3,2010,-
26,161,12.0,,Sánchez Luis León,36,Caisse d'Epargne,3,2010,-
38,21,11.0,25,Armstrong Lance,37,RadioShack,3,2010,▼12
24,44,10.0,,Kreuziger Roman,38,Liquigas - Doimo,3,2010,-
29,132,,26*,Barredo Carlos,41*,Quickstep - Innergetic,3,2010,-
26,37,10.0,,Löfkvist Thomas,39,Sky Procycling,3,2010,-
34,32,9.0,26,Barry Michael,40,Sky Procycling,3,2010,▼14
28,176,9.0,28,Minard Sébastien,41,"Cofidis, le Crédit en Ligne",3,2010,▼13
23,156,8.0,,Rolland Pierre,42,Bbox Bouygues Telecom,3,2010,-
36,25,8.0,30,Leipheimer Levi,43,RadioShack,3,2010,▼13
28,133,7.0,31,De Weert Kevin,44,Quickstep - Innergetic,3,2010,▼13
29,173,6.0,27,Dumoulin Samuel,45,"Cofidis, le Crédit en Ligne",3,2010,▼18
27,116,5.0,32,Monfort Maxime,46,Team HTC - Columbia,3,2010,▼14
26,38,5.0,,Pauwels Serge,47,Sky Procycling,3,2010,-
29,33,5.0,,Cummings Steve,48,Sky Procycling,3,2010,-
26,163,4.0,,Erviti Imanol,49,Caisse d'Epargne,3,2010,-
25,143,4.0,33,Fröhlinger Johannes,50,Milram,3,2010,▼17
23,142,4.0,,Ciolek Gerald,51,Milram,3,2010,-
26,53,4.0,29,Farrar Tyler,52,Team Garmin - Transitions,3,2010,▼23
28,72,4.0,,Brutt Pavel,53,Team Katusha,3,2010,-
27,79,4.0,35,Vorganov Eduard,54,Team Katusha,3,2010,▼19
