Rider,year,stage_scores
Gaimon Phillip,2013,11.0
Gaimon Phillip,2014,0.0
Gaimon Phillip,2015,19.0
Gaimon Phillip,2016,0.0
Ganna Filippo,2017,22.0
Ganna Filippo,2018,22.0
Garcia Jonathan,2007,0.0
Garcia Jonathan,2009,0.0
Garcia Jose Manuel,2006,0.0
Garrison Ian,2018,30.0
Gasparotto Enrico,2007,32.0
Gastauer Ben,2018,0.0
Gates Nick,2007,0.0
Gatto Oscar,2016,0.0
Gautier Cyril,2018,13.0
Gaviria Fernando,2018,105.0
Gazvoda Gregor,2013,8.0
Geniez Alexandre,2012,0.0
Geoghegan Hart Tao,2014,0.0
Geoghegan Hart Tao,2015,27.0
Geoghegan Hart Tao,2016,54.0
Geoghegan Hart Tao,2017,48.0
Geoghegan Hart Tao,2018,72.0
Georges Sylvain,2012,45.0
Gerdemann Linus,2011,35.0
Gerts Floris,2017,0.0
Gesink Robert,2007,24.0
Gesink Robert,2008,41.0
Gesink Robert,2009,46.0
Gesink Robert,2012,75.0
Gesink Robert,2015,81.0
Gesink Robert,2017,61.0
Gil Fernandez Koldo,2006,0.0
Gilbert Martin,2006,0.0
Gilbert Martin,2010,20.0
Gilbert Martin,2011,0.0
Gilbert Philippe,2013,0.0
Giling Bas,2006,0.0
Gioux Romain,2017,0.0
Gogl Michael,2016,0.0
Gomez Gomez Angel,2008,13.0
Gonzalez Domingo,2006,0.0
Gonzalez Javier,2012,0.0
Goss Matthew,2011,61.0
Goss Matthew,2014,85.0
Goss Matthew,2015,18.0
Gottfried Alexander,2011,16.0
Goubert Stephane,2009,0.0
Grabinger Micheal,2009,0.0
Grabovskyy Dmytro,2008,7.0
Grabowski Zachary,2006,0.0
Grabsch Bert,2010,20.0
Grabsch Bert,2011,0.0
Grabsch Bert,2012,0.0
Grabsch Bert,2013,0.0
Greipel Andr\xe9,2006,51.0
Gritters Kyle,2007,10.0
Groenewegen Dylan,2016,43.0
Guardini Andrea,2017,0.0
Guarnieri Jacopo,2009,23.0
Guarnieri Jacopo,2016,0.0
Guerreiro Ruben,2015,23.0
Guerreiro Ruben,2016,78.0
Guerreiro Ruben,2017,0.0
Guerreiro Ruben,2018,34.0
Gunn Curtis,2009,0.0
Guptill Andy,2009,0.0
Guptill Andy,2011,0.0
Gusev Vladimir,2006,75.0
Gusev Vladimir,2008,23.0
Gutierrez Jose Enrique,2009,0.0
H\xf8j Frank,2006,0.0
Haas Nathan,2012,0.0
Haas Nathan,2016,44.0
Haas Nathan,2018,14.0
Haedo Juan Jose,2006,100.0
Haedo Juan Jose,2007,114.0
Haedo Juan Jose,2008,107.0
Haedo Juan Jose,2009,51.0
Haedo Juan Jose,2010,60.0
Haedo Juan Jose,2011,68.0
Haedo Juan Jose,2013,0.0
Haedo Juan Jose,2014,8.0
Haedo Lucas Sebastian,2009,57.0
Haedo Lucas Sebastian,2011,0.0
Haedo Lucas Sebastian,2013,0.0
Haedo Lucas Sebastian,2015,86.0
Haedo Lucas Sebastian,2018,19.0
Haga Chad,2013,36.0
Haga Chad,2014,22.0
Hagman Alex,2011,0.0
Halgand Patrice,2008,0.0
Haller Marco,2016,0.0
Hamilton Chris,2017,0.0
Hamilton Nic,2011,0.0
Hamilton Tyler,2009,0.0
Hansen Adam,2007,20.0
Hansen Adam,2008,0.0
Hansen Adam,2009,0.0
Hansen Lasse Norman,2015,0.0
Hanson Ken,2007,0.0
Hanson Ken,2010,19.0
Hanson Ken,2011,35.0
Hanson Ken,2012,19.0
Hanson Ken,2013,52.0
Hanson Ken,2014,13.0
Hartley Chad,2011,0.0
Haselbacher Rene,2006,89.0
Hatton Peter,2007,0.0
Haussler Heinrich,2008,56.0
Haussler Heinrich,2010,34.0
Haussler Heinrich,2012,142.0
Hayman Mathew,2007,27.0
Hayman Mathew,2008,16.0
Hayman Mathew,2011,0.0
Hayman Mathew,2014,0.0
Hayman Mathew,2018,0.0
Henao Sebasti\xe1n,2018,0.0
Henao Sergio Luis,2015,68.0
Henderson Gregory,2006,16.0
Henderson Gregory,2007,79.0
