Rider,year,stage_scores
Bouet Maxime,2011,0.0
Bouet Maxime,2012,0.0
Bouet Maxime,2014,20.0
Bouet Maxime,2015,23.0
Bouet Maxime,2016,0.0
Bouet Maxime,2018,0.0
Bouhanni Nacer,2013,19.0
Bouhanni Nacer,2015,90.0
Bouhanni Nacer,2016,79.0
Bouhanni Nacer,2017,61.0
Bourguignon Thierry,1998,76.0
Bourguignon Thierry,1999,19.0
Bourguignon Thierry,2000,0.0
Bourquenoud Pierre,2004,0.0
Bouvard Gilles,1998,0.0
Bouvard Gilles,1999,63.0
Bouvard Gilles,2000,0.0
Bouvard Gilles,2001,0.0
Bouvard Gilles,2003,0.0
Bouvard Gilles,2004,0.0
Bouwman Koen,2017,35.0
Bouyer Franck,1998,0.0
Bouyer Franck,2002,0.0
Boven Jan,1998,0.0
Boven Jan,2003,0.0
Bozic Borut,2012,0.0
Bozic Borut,2016,0.0
Bozic Borut,2017,0.0
Br\xe4ndle Matthias,2014,16.0
Br\xe4ndle Matthias,2018,20.0
Brajkovi\u010d Janez,2008,11.0
Brajkovi\u010d Janez,2010,117.0
Brajkovi\u010d Janez,2011,83.0
Brajkovi\u010d Janez,2012,13.0
Brajkovi\u010d Janez,2017,0.0
Brambilla Gianluca,2018,21.0
Brandt Christophe,2002,0.0
Brandt Christophe,2007,0.0
Brandt Christophe,2008,0.0
Brandt Christophe,2010,0.0
Brard Florent,2000,0.0
Brard Florent,2001,17.0
Brard Florent,2006,0.0
Brard Florent,2007,0.0
Brard Florent,2008,0.0
Brochard Laurent,1998,21.0
Brochard Laurent,1999,80.0
Brochard Laurent,2000,60.0
Brochard Laurent,2001,39.0
Brochard Laurent,2003,0.0
Broeckx Stig,2014,0.0
Brognara Andrea,2003,0.0
Brown Graeme,2007,26.0
Brown Nathan,2017,0.0
Brozyna Tomasz,2001,0.0
Brozyna Tomasz,2002,0.0
Bru Jon,2008,0.0
Bruseghin Marzio,2002,47.0
Bruseghin Marzio,2005,55.0
Bruylandts Dave,2001,0.0
Bruyneel Johan,1998,18.0
Buchmann Emanuel,2015,0.0
Buchmann Emanuel,2016,9.0
Buchmann Emanuel,2017,74.0
Buchmann Emanuel,2018,87.0
Buffaz Mickael,2011,0.0
Bulgac Brian,2015,0.0
Burghardt Marcus,2016,0.0
Burrow Jamie,2000,0.0
Busche Matthew,2011,0.0
Busche Matthew,2013,26.0
Busche Matthew,2015,0.0
Buts Vitaliy,2010,0.0
Bystr\xf8m Sven Erik,2017,0.0
Bystr\xf8m Sven Erik,2018,0.0
Ca\xf1ada David,2003,23.0
Ca\xf1ada David,2005,0.0
Cabello Francisco,1998,0.0
Cali Vincent,1999,0.0
Calmejane Lilian,2016,0.0
Calvente Corbas Manuel,2003,0.0
Calvente Corbas Manuel,2004,0.0
Calvente Corbas Manuel,2005,0.0
Calzati Sylvain,2004,0.0
Calzati Sylvain,2005,0.0
Calzati Sylvain,2007,0.0
Calzati Sylvain,2010,0.0
Cama\xf1o Iker,2003,0.0
Cama\xf1o Iker,2004,0.0
Cama\xf1o Iker,2005,0.0
Cama\xf1o Iker,2006,0.0
Cama\xf1o Iker,2007,12.0
Campenaerts Victor,2016,0.0
Campenaerts Victor,2018,24.0
Cantwell Jonathan,2012,0.0
Canty Brendan,2017,0.0
Canty Brendan,2018,0.0
Canuti Federico,2012,0.0
Canuti Federico,2013,0.0
Capecchi Eros,2010,48.0
Capecchi Eros,2013,0.0
Capecchi Eros,2017,0.0
Capelle Christophe,1998,69.0
Capelle Christophe,1999,54.0
Capelle Christophe,2000,12.0
Capelle Christophe,2001,42.0
Capelle Ludovic,1999,0.0
Cappelle Andy,2011,0.0
Carapaz Richard,2017,0.0
