Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,28,89,+24:37,,89,Smukulis Gatis,89,Team Katusha,24:37 24:37,+0:00,,-,4,2013
33,32,90,+24:40,,90,Devolder Stijn,90,RadioShack - Leopard,24:40 24:40,+0:00,,-,4,2013
35,125,91,+24:55,,91,Petrov Evgeni,91,Team Saxo - Tinkoff,24:55 24:55,+0:00,,-,4,2013
33,35,92,+25:32,,92,Rast Gregory,92,RadioShack - Leopard,25:32 25:32,+0:00,,-,4,2013
22,3,93,+25:51,,93,Herrada Jes\xfas,93,Movistar Team,25:51 25:51,+0:00,,-,4,2013
32,41,94,+25:54,,94,Boonen Tom,94,Omega Pharma - Quick-Step,25:54 25:54,+0:00,,-,4,2013
29,44,95,+26:35,,95,Pauwels Serge,95,Omega Pharma - Quick-Step,26:35 26:35,+0:00,,-,4,2013
25,192,96,+26:42,,96,Denifl Stefan,96,IAM Cycling,26:42 26:42,+0:00,,-,4,2013
37,33,97,+26:46,,97,Kl\xf6den Andr\xe9as,97,RadioShack - Leopard,26:46 26:46,+0:00,,-,4,2013
29,45,98,+27:08,,98,Terpstra Niki,98,Omega Pharma - Quick-Step,27:08 27:08,+0:00,,-,4,2013
32,24,99,+27:25,,99,Kolobnev Alexandr,99,Team Katusha,27:25 27:25,+0:00,,-,4,2013
27,195,100,+27:44,,101,Hollenstein Reto,100,IAM Cycling,27:44 27:44,+0:00,,\u25b21,4,2013
34,4,101,+27:46,,102,Guti\xe9rrez Jos\xe9 Iv\xe1n,101,Movistar Team,27:46 27:46,+0:00,,\u25b21,4,2013
32,106,102,+28:08,,103,Longo Borghini Paolo,102,Cannondale Pro Cycling Team,28:08 28:08,+0:00,,\u25b21,4,2013
29,154,103,+28:14,,104,Mestre Ricardo,103,Euskaltel - Euskadi,28:14 28:14,+0:00,,\u25b21,4,2013
33,26,104,+28:20,,105,Kuchynski Aliaksandr,104,Team Katusha,28:20 28:20,+0:00,,\u25b21,4,2013
26,76,105,+28:22,,106,Schar Michael,105,BMC Racing Team,28:22 28:22,+0:00,,\u25b21,4,2013
31,53,106,+28:24,,107,Gasparotto Enrico,106,Astana Pro Team,28:24 28:24,+0:00,,\u25b21,4,2013
26,164,107,+28:26,,108,Offredo Yoann,107,FDJ.fr,28:26 28:26,+0:00,,\u25b21,4,2013
30,104,108,+28:31,,109,King Edward,108,Cannondale Pro Cycling Team,28:31 28:31,+0:00,,\u25b21,4,2013
29,205,109,+28:36,,110,Marino Jean-Marc,109,Sojasun,28:36 28:36,+0:00,,\u25b21,4,2013
37,43,110,+28:50,,111,Grabsch Bert,110,Omega Pharma - Quick-Step,28:50 28:50,+0:00,,\u25b21,4,2013
28,124,111,+28:51,,112,M\xf8rk\xf8v Michael,111,Team Saxo - Tinkoff,28:51 28:51,+0:00,,\u25b21,4,2013
35,15,112,+28:53,,113,Hayman Mathew,112,Sky Procycling,28:53 28:53,+0:00,,\u25b21,4,2013
31,168,113,+29:18,,114,Vaugrenard Benoit,113,FDJ.fr,29:18 29:18,+0:00,,\u25b21,4,2013
22,47,114,+29:18,,115,van Keirsbulck Guillaume,114,Omega Pharma - Quick-Step,",, 29:18",+0:00,,\u25b21,4,2013
32,158,115,+29:28,,100,Vrecer Robert,115,Euskaltel - Euskadi,29:28 29:28,+1:46,,\u25bc15,4,2013
31,85,116,+29:29,,116,Mondory Lloyd,116,AG2R La Mondiale,29:29 29:29,+0:00,,-,4,2013
30,162,117,+30:16,,117,Bonnet William,117,FDJ.fr,30:16 30:16,+0:00,,-,4,2013
27,156,118,+30:29,,118,Saez De Arregi Adrian,118,Euskaltel - Euskadi,30:29 30:29,+0:00,,-,4,2013
24,181,119,+30:38,,119,Degenkolb John,119,Team Argos - Shimano,30:38 30:38,+0:00,,-,4,2013
31,208,120,+30:41,,120,Talabardon Yannick,120,Sojasun,30:41 30:41,+0:00,,-,4,2013
28,146,121,+30:56,,122,Neyens Maarten,121,Lotto Belisol Team,30:56 30:56,+0:00,,\u25b21,4,2013
28,11,122,+30:57,,123,Tiernan-Locke Jonathan,122,Sky Procycling,30:57 30:57,+0:00,,\u25b21,4,2013
25,177,123,+30:59,,124,van Poppel Boy,123,Vacansoleil - DCM,30:59 30:59,+0:00,,\u25b21,4,2013
30,204,124,+31:21,,125,Lemoine Cyril,124,Sojasun,31:21 31:21,+0:00,,\u25b21,4,2013
22,148,125,+31:22,,127,Van der Sande Tosh,125,Lotto Belisol Team,31:22 31:22,+0:00,,\u25b22,4,2013
30,103,126,+31:37,,128,Haedo Lucas Sebastian,126,Cannondale Pro Cycling Team,31:37 31:37,+0:00,,\u25b22,4,2013
23,142,127,+31:40,,129,Debusschere Jens,127,Lotto Belisol Team,31:40 31:40,+0:00,,\u25b22,4,2013
27,23,128,+31:42,,130,Isaychev Vladimir,128,Team Katusha,31:42 31:42,+0:00,,\u25b22,4,2013
23,17,129,+32:01,,132,Rowe Luke,129,Sky Procycling,32:01 32:01,+0:00,,\u25b23,4,2013
28,77,130,+32:09,,133,Van Avermaet Greg,130,BMC Racing Team,32:09 32:09,+0:00,,\u25b23,4,2013
22,172,131,+32:11,,134,Kreder Wesley,131,Vacansoleil - DCM,32:11 32:11,+0:00,,\u25b23,4,2013
23,202,132,+32:17,,135,Delaplace Anthony,132,Sojasun,32:17 32:17,+0:00,,\u25b23,4,2013
32,5,133,+32:32,,136,Karpets Vladimir,133,Movistar Team,32:32 32:32,+0:00,,\u25b23,4,2013
21,66,134,+32:46,,121,Morton Lachlan,134,Garmin Sharp,32:46 32:46,+1:56,,\u25bc13,4,2013
32,31,135,+33:17,,126,Cancellara Fabian,135,RadioShack - Leopard,33:17 33:17,+1:56,,\u25bc9,4,2013
21,161,136,+33:44,,137,D\xe9mare Arnaud,136,FDJ.fr,33:44 33:44,+0:00,,\u25b21,4,2013
25,25,137,+33:47,,138,Kristoff Alexander,137,Team Katusha,33:47 33:47,+0:00,,\u25b21,4,2013
24,118,138,+33:50,,139,Vanmarcke Sep,138,Blanco Pro Cycling Team,33:50 33:50,+0:00,,\u25b21,4,2013
28,165,139,+33:52,,131,Pineau C\xe9dric,139,FDJ.fr,33:52 33:52,+1:56,,\u25bc8,4,2013
23,188,140,+33:57,,140,Ahlstrand Jonas,140,Team Argos - Shimano,33:57 33:57,+0:00,,-,4,2013
29,63,141,+34:03,,141,Farrar Tyler,141,Garmin Sharp,34:03 34:03,+0:00,,-,4,2013
28,97,142,+34:04,,142,Vigano Davide,142,Lampre - Merida,34:04 34:04,+0:00,,-,4,2013
32,123,143,+34:04,,143,Bennati Daniele,143,Team Saxo - Tinkoff,",, 34:04",+0:00,,-,4,2013
27,113,144,+34:12,,145,Leezer Tom,144,Blanco Pro Cycling Team,34:12 34:12,+0:00,,\u25b21,4,2013
23,92,145,+34:14,,146,Cimolai Davide,145,Lampre - Merida,34:14 34:14,+0:00,,\u25b21,4,2013
36,65,146,+34:24,,148,Millar David,146,Garmin Sharp,34:24 34:24,+0:00,,\u25b22,4,2013
26,58,147,+34:29,,149,Ponzi Simone,147,Astana Pro Team,34:29 34:29,+0:00,,\u25b22,4,2013
26,134,148,+34:32,,150,Goss Matthew,148,Orica GreenEDGE,34:32 34:32,+0:00,,\u25b22,4,2013
28,144,149,+34:57,,144,Dehaes Kenny,149,Lotto Belisol Team,34:57 34:57,+0:46,,\u25bc5,4,2013
32,14,150,+35:15,,147,Eisel Bernhard,150,Sky Procycling,35:15 35:15,+0:51,,\u25bc3,4,2013
29,67,151,+36:54,,153,Rasmussen Alex,151,Garmin Sharp,36:54 36:54,+0:00,,\u25b22,4,2013
25,54,152,+37:12,,154,Guarnieri Jacopo,152,Astana Pro Team,37:12 37:12,+0:00,,\u25b22,4,2013
34,133,153,+37:21,,156,Cooke Baden,153,Orica GreenEDGE,37:21 37:21,+0:00,,\u25b23,4,2013
23,7,154,+37:23,,157,Sanz Enrique,154,Movistar Team,37:23 37:23,+0:00,,\u25b23,4,2013
26,136,155,+37:24,,158,Kruopis Aidis,155,Orica GreenEDGE,37:24 37:24,+0:00,,\u25b23,4,2013
21,98,156,+37:30,,159,Wackermann Luca,156,Lampre - Merida,37:30 37:30,+0:00,,\u25b23,4,2013
25,132,157,+37:31,,160,Bewley Sam,157,Orica GreenEDGE,37:31 37:31,+0:00,,\u25b23,4,2013
22,55,158,+37:34,,161,Kamyshev Arman,158,Astana Pro Team,37:34 37:34,+0:00,,\u25b23,4,2013
29,174,159,+37:38,,162,Feillu Romain,159,Vacansoleil - DCM,37:38 37:38,+0:00,,\u25b23,4,2013
39,138,160,+39:00,,155,O'Grady Stuart,160,Orica GreenEDGE,39:00 39:00,+1:48,,\u25bc5,4,2013
30,116,161,+39:40,,163,Renshaw Mark,161,Blanco Pro Cycling Team,39:40 39:40,+1:56,,\u25b22,4,2013
30,145,162,+40:57,,152,Kaisen Olivier,162,Lotto Belisol Team,40:57 40:57,+6:08,,\u25bc10,4,2013
25,18,163,+44:53,,151,Swift Ben,163,Sky Procycling,44:53 44:53,+10:11,,\u25bc12,4,2013
26,73,1,+0:00,,1,Frank Mathias,1,BMC Racing Team,15:56:30 15:56:30,+0:00,,-,5,2013
27,121,2,+0:23,,2,Kreuziger Roman,2,Team Saxo - Tinkoff,0:23 0:23,+0:00,,-,5,2013
26,1,3,+0:35,,3,Costa Rui,3,Movistar Team,0:35 0:35,+0:00,,-,5,2013
23,166,4,+0:57,,5,Pinot Thibaut,4,FDJ.fr,0:57 0:57,+0:00,,\u25b21,5,2013
26,114,5,+1:08,,6,Mollema Bauke,5,Blanco Pro Cycling Team,1:08 1:08,+0:00,,\u25b21,5,2013
26,64,6,+1:23,,7,Martin Daniel,6,Garmin Sharp,1:23 1:23,+0:00,,\u25b21,5,2013
26,56,7,+1:26,,8,Kangert Tanel,7,Astana Pro Team,1:26 1:26,+0:00,,\u25b21,5,2013
36,81,8,+1:28,,9,Peraud Jean-Christophe,8,AG2R La Mondiale,1:28 1:28,+0:00,,\u25b21,5,2013
24,78,9,+1:39,,10,van Garderen Tejay,9,BMC Racing Team,1:39 1:39,+0:00,,\u25b21,5,2013
25,137,10,+1:42,,11,Meyer Cameron,10,Orica GreenEDGE,1:42 1:42,+0:00,,\u25b21,5,2013
26,21,11,+1:50,,12,Spilak Simon,11,Team Katusha,1:50 1:50,+0:00,,\u25b21,5,2013
29,52,12,+1:59,,13,Dyachenko Alexandr,12,Astana Pro Team,1:59 1:59,+0:00,,\u25b21,5,2013
29,51,13,+2:24,,14,Brajkovi\u010d Janez,13,Astana Pro Team,2:24 2:24,+0:00,,\u25b21,5,2013
23,91,14,+2:25,,15,Ulissi Diego,14,Lampre - Merida,2:25 2:25,+0:00,,\u25b21,5,2013
30,87,15,+2:29,,16,Pozzovivo Domenico,15,AG2R La Mondiale,2:29 2:29,+0:00,,\u25b21,5,2013
30,191,16,+2:38,,17,Tschopp Johann,16,IAM Cycling,2:38 2:38,+0:00,,\u25b21,5,2013
26,82,17,+2:40,,18,Bouet Maxime,17,AG2R La Mondiale,2:40 2:40,+0:00,,\u25b21,5,2013
24,197,18,+2:41,,19,Reichenbach Sebastien,18,IAM Cycling,2:41 2:41,+0:00,,\u25b21,5,2013
28,126,19,+2:44,,20,Roche Nicolas,19,Team Saxo - Tinkoff,2:44 2:44,+0:00,,\u25b21,5,2013
30,34,20,+3:00,,21,Monfort Maxime,20,RadioShack - Leopard,3:00 3:00,+0:00,,\u25b21,5,2013
30,151,21,+3:04,,22,Anton Igor,21,Euskaltel - Euskadi,3:04 3:04,+0:00,,\u25b21,5,2013
22,112,22,+4:45,,23,Kelderman Wilco,22,Blanco Pro Cycling Team,4:45 4:45,+0:00,,\u25b21,5,2013
28,48,23,+4:50,,24,Velits Peter,23,Omega Pharma - Quick-Step,4:50 4:50,+0:00,,\u25b21,5,2013
26,2,24,+4:54,,25,Amador Andrey,24,Movistar Team,4:54 4:54,+0:00,,\u25b21,5,2013
34,157,25,+4:56,,26,Verdugo Gorka,25,Euskaltel - Euskadi,4:56 4:56,+0:00,,\u25b21,5,2013
29,196,26,+4:58,,27,L\xf6fkvist Thomas,26,IAM Cycling,4:58 4:58,+0:00,,\u25b21,5,2013
29,115,27,+5:38,,28,Nordhaug Lars Petter,27,Blanco Pro Cycling Team,5:38 5:38,+0:00,,\u25b21,5,2013
30,22,28,+5:40,,29,Gusev Vladimir,28,Team Katusha,5:40 5:40,+0:00,,\u25b21,5,2013
29,117,29,+6:29,,31,Sanchez Luis Leon,29,Blanco Pro Cycling Team,6:29 6:29,+0:00,,\u25b22,5,2013
31,75,30,+6:38,,30,Moinard Ama\xebl,30,BMC Racing Team,6:38 6:38,+0:30,,-,5,2013
22,107,31,+7:49,,33,Moser Moreno,31,Cannondale Pro Cycling Team,7:49 7:49,+0:39,,\u25b22,5,2013
27,83,32,+7:50,,35,Ch\xe9rel Micka\xebl,32,AG2R La Mondiale,7:50 7:50,+0:00,,\u25b23,5,2013
33,96,33,+7:54,,34,Scarponi Michele,33,Lampre - Merida,7:54 7:54,+0:30,,\u25b21,5,2013
32,131,34,+7:59,,32,Albasini Michael,34,Orica GreenEDGE,7:59 7:59,+1:27,,\u25bc2,5,2013
28,143,35,+8:31,,37,de Greef Francis,35,Lotto Belisol Team,8:31 8:31,+0:00,,\u25b22,5,2013
26,198,36,+8:47,,36,Wyss Marcel,36,IAM Cycling,8:47 8:47,+0:53,,-,5,2013
27,203,37,+8:57,,39,Feillu Brice,37,Sojasun,8:57 8:57,+0:00,,\u25b22,5,2013
30,27,38,+9:06,,40,Vorganov Eduard,38,Team Katusha,9:06 9:06,+0:00,,\u25b22,5,2013
20,13,39,+9:21,,38,Edmondson Joshua,39,Sky Procycling,9:21 9:21,+0:26,,\u25bc1,5,2013
