Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
24,5,13,+3:28,,13.0,Tolhoek Antwan,13,Team LottoNL-Jumbo,3:28 3:28,+0:00,,-,5,2018
23,123,14,+3:35,,14.0,Guerreiro Ruben,14,Trek - Segafredo,3:35 3:35,+0:00,,-,5,2018
22,103,15,+3:43,,15.0,Bennett Sean,15,Hagens Berman Axeon,3:43 3:43,+0:00,,-,5,2018
21,1,16,+3:45,,16.0,Powless Neilson,16,Team LottoNL-Jumbo,3:45 3:45,+0:00,,-,5,2018
26,161,17,+3:54,,17.0,Mannion Gavin,17,UnitedHealthcare Pro Cycling Team,3:54 3:54,+0:00,,-,5,2018
33,62,18,+4:21,,18.0,Britton Rob,18,Rally Cycling,4:21 4:21,+0:00,,-,5,2018
27,52,19,+4:31,,19.0,Boswell Ian,19,Team Katusha - Alpecin,4:31 4:31,+0:00,,-,5,2018
26,126,20,+4:36,,20.0,Skuji\u0146\u0161 Toms,20,Trek - Segafredo,4:36 4:36,+0:00,,-,5,2018
23,147,21,+4:38,,21.0,Ravasi Edward,21,UAE-Team Emirates,4:38 4:38,+0:00,,-,5,2018
30,121,22,+4:38,,22.0,Stetina Peter,22,Trek - Segafredo,",, 4:38",+0:00,,-,5,2018
21,122,23,+4:39,,23.0,Conci Nicola,23,Trek - Segafredo,4:39 4:39,+0:00,,-,5,2018
28,24,24,+5:22,,24.0,Rosskopf Joey,24,BMC Racing Team,5:22 5:22,+0:00,,-,5,2018
29,167,25,+5:26,,25.0,Tvetcov Serghei,25,UnitedHealthcare Pro Cycling Team,5:26 5:26,+0:00,,-,5,2018
23,53,26,+6:30,,27.0,Fabbro Matteo,26,Team Katusha - Alpecin,6:30 6:30,+0:00,,\u25b21,5,2018
20,85,27,+6:38,,28.0,Sivakov Pavel,27,Team Sky,6:38 6:38,+0:00,,\u25b21,5,2018
33,72,28,+8:50,,29.0,Bauer Jack,28,Mitchelton-Scott,8:50 8:50,+1:02,,\u25b21,5,2018
30,96,29,+8:54,,31.0,Gautier Cyril,29,AG2R La Mondiale,8:54 8:54,+0:00,,\u25b22,5,2018
21,105,30,+9:00,,32.0,Oliveira Ivo,30,Hagens Berman Axeon,9:00 9:00,+0:00,,\u25b22,5,2018
23,32,31,+9:00,,30.0,Asgreen Kasper,31,Quick-Step Floors,",, 9:00",+0:27,,\u25bc1,5,2018
31,25,32,+9:12,,33.0,Schar Michael,32,BMC Racing Team,9:12 9:12,+0:00,,\u25b21,5,2018
27,22,33,+9:50,,34.0,Bevin Patrick,33,BMC Racing Team,9:50 9:50,+0:00,,\u25b21,5,2018
23,154,34,+10:45,,26.0,Eisenhart Taylor,34,Holowesko - Citadel p/b Arapahoe Resources,10:45 10:45,+5:06,,\u25bc8,5,2018
25,142,35,+11:00,,36.0,Ait El Abdia Anass,35,UAE-Team Emirates,11:00 11:00,+0:00,,\u25b21,5,2018
26,2,36,+11:05,,37.0,De Tier Floris,36,Team LottoNL-Jumbo,11:05 11:05,+0:00,,\u25b21,5,2018
24,83,37,+11:34,,38.0,Henao Sebasti\xe1n,37,Team Sky,11:34 11:34,+0:00,,\u25b21,5,2018
29,155,38,+11:47,,39.0,Krasilnikau Andrei,38,Holowesko - Citadel p/b Arapahoe Resources,11:47 11:47,+0:00,,\u25b21,5,2018
28,45,39,+11:55,,40.0,Slagter Tom-Jelte,39,Team Dimension Data,11:55 11:55,+0:00,,\u25b21,5,2018
32,27,40,+12:09,,43.0,Wyss Danilo,40,BMC Racing Team,12:09 12:09,+0:00,,\u25b23,5,2018
21,36,41,+12:10,,35.0,Narvaez Jhonatan,41,Quick-Step Floors,12:10 12:10,+2:09,,\u25bc6,5,2018
28,16,42,+12:50,,45.0,Poljanski Pawel,42,BORA - hansgrohe,12:50 12:50,+0:00,,\u25b23,5,2018
24,56,43,+13:24,,41.0,Politt Nils,43,Team Katusha - Alpecin,13:24 13:24,+1:26,,\u25bc2,5,2018
27,91,44,+16:10,,48.0,Naesen Oliver,44,AG2R La Mondiale,16:10 16:10,+0:00,,\u25b24,5,2018
30,114,45,+16:38,,49.0,Howes Alex,45,Team EF Education First-Drapac p/b Cannondale,16:38 16:38,+0:00,,\u25b24,5,2018
30,95,46,+16:44,,44.0,Gastauer Ben,46,AG2R La Mondiale,16:44 16:44,+4:20,,\u25bc2,5,2018
34,97,47,+17:30,,50.0,Vandenbergh Stijn,47,AG2R La Mondiale,17:30 17:30,+0:46,,\u25b23,5,2018
31,112,48,+18:13,,53.0,Clarke Simon,48,Team EF Education First-Drapac p/b Cannondale,18:13 18:13,+0:00,,\u25b25,5,2018
22,133,49,+18:56,,42.0,Hindley Jai,49,Team Sunweb,18:56 18:56,+6:58,,\u25bc7,5,2018
26,131,50,+19:06,,46.0,Arndt Nikias,50,Team Sunweb,19:06 19:06,+4:20,,\u25bc4,5,2018
23,3,51,+19:19,,51.0,Kuss Sepp,51,Team LottoNL-Jumbo,19:19 19:19,+2:09,,-,5,2018
31,125,52,+19:27,,54.0,Reijnen Kiel,52,Trek - Segafredo,19:27 19:27,+0:00,,\u25b22,5,2018
28,84,53,+19:48,,56.0,Rowe Luke,53,Team Sky,19:48 19:48,+0:00,,\u25b23,5,2018
27,93,54,+20:43,,55.0,Dillier Silvan,54,AG2R La Mondiale,20:43 20:43,+1:14,,\u25b21,5,2018
28,11,55,+21:11,,59.0,Sagan Peter,55,BORA - hansgrohe,21:11 21:11,+-1:56,,\u25b24,5,2018
26,127,56,+22:12,,60.0,Stuyven Jasper,56,Trek - Segafredo,22:12 22:12,+0:00,,\u25b24,5,2018
28,47,57,+22:24,,52.0,Vermote Julien,57,Team Dimension Data,22:24 22:24,+4:20,,\u25bc5,5,2018
36,6,58,+22:37,,63.0,Wynants Maarten,58,Team LottoNL-Jumbo,22:37 22:37,+0:00,,\u25b25,5,2018
26,43,59,+22:52,,47.0,Morton Lachlan,59,Team Dimension Data,22:52 22:52,+7:25,,\u25bc12,5,2018
32,55,60,+22:54,,62.0,Hollenstein Reto,60,Team Katusha - Alpecin,22:54 22:54,+0:23,,\u25b22,5,2018
26,113,61,+23:03,,58.0,Craddock Lawson,61,Team EF Education First-Drapac p/b Cannondale,23:03 23:03,+2:02,,\u25bc3,5,2018
23,73,62,+23:37,,65.0,Ewan Caleb,62,Mitchelton-Scott,23:37 23:37,+-1:54,,\u25b23,5,2018
26,143,63,+23:46,,66.0,Bystr\xf8m Sven Erik,63,UAE-Team Emirates,23:46 23:46,+0:00,,\u25b23,5,2018
32,46,64,+23:51,,57.0,Thomson Jay Robert,64,Team Dimension Data,23:51 23:51,+2:51,,\u25bc7,5,2018
