Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
23,84,61,+8:07,,,Teunissen Mike,61,Team LottoNL-Jumbo,",, 8:07",+8:07,,,1,2016
35,161,62,+8:07,,,Wegmann Fabian,62,St\xf6lting Service Group,",, 8:07",+8:07,,,1,2016
23,83,63,+8:07,,,Roosen Timo,63,Team LottoNL-Jumbo,",, 8:07",+8:07,,,1,2016
28,65,64,+8:07,,,Smukulis Gatis,64,Astana Pro Team,",, 8:07",+8:07,,,1,2016
22,58,65,+8:07,,,Vall\xe9e Boris,65,Fortuneo - Vital Concept,",, 8:07",+8:07,,,1,2016
24,76,66,+8:07,,,Van Meirhaeghe Jef,66,Topsport Vlaanderen - Baloise,",, 8:07",+8:07,,,1,2016
30,62,67,+8:07,,,Boom Lars,67,Astana Pro Team,",, 8:07",+8:07,,,1,2016
24,25,68,+9:33,,,Waeytens Zico,68,Team Giant - Alpecin,9:33 9:33,+9:33,,,1,2016
22,77,69,+10:43,,,Van Rooy Kenneth,69,Topsport Vlaanderen - Baloise,10:43 10:43,+10:43,,,1,2016
22,123,70,+12:08,,,Kerkhof Tim,70,Roompot - Oranje Peloton,12:08 12:08,+12:08,,,1,2016
33,176,71,+12:08,,,Jelloul Adil,71,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 12:08",+12:08,,,1,2016
28,23,72,+12:08,,,Ji Cheng,72,Team Giant - Alpecin,",, 12:08",+12:08,,,1,2016
22,38,73,+12:08,,,Zabel Rick,73,BMC Racing Team,",, 12:08",+12:08,,,1,2016
26,122,74,+12:08,,,de Vries Berden,74,Roompot - Oranje Peloton,",, 12:08",+12:08,,,1,2016
24,68,75,+12:08,,,Zakharov Artyom,75,Astana Pro Team,",, 12:08",+12:08,,,1,2016
24,127,76,+12:08,,,van Goethem Brian,76,Roompot - Oranje Peloton,",, 12:08",+12:08,,,1,2016
24,73,77,+12:08,,,De Tier Floris,77,Topsport Vlaanderen - Baloise,",, 12:08",+12:08,,,1,2016
35,96,78,+12:08,,,Napolitano Danilo,78,Wanty - Groupe Gobert,",, 12:08",+12:08,,,1,2016
26,52,79,+12:08,,,Breen Vegard,79,Fortuneo - Vital Concept,",, 12:08",+12:08,,,1,2016
21,168,80,+12:08,,,Carbel Michael,80,St\xf6lting Service Group,",, 12:08",+12:08,,,1,2016
24,102,81,+12:08,,,Jones Brenton,81,Drapac Professional Cycling,",, 12:08",+12:08,,,1,2016
24,125,82,+12:08,,,Markus Barry,82,Roompot - Oranje Peloton,",, 12:08",+12:08,,,1,2016
36,101,83,+12:08,,,Brown Graeme,83,Drapac Professional Cycling,",, 12:08",+12:08,,,1,2016
