Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
28,9,55,2.0,Zabel Erik,4,Team Telekom - ARD,\u25bc2,2,1998
29,83,43,7.0,Moncassin Fr\xe9d\xe9ric,5,GAN,\u25b22,2,1998
28,197,40,6.0,Minali Nicola,6,Riso Scotti - MG,-,2,1998
28,67,36,17.0,Kirsipuu Jaan,7,Casino - AG2R,\u25b210,2,1998
25,133,34,9.0,Gaumont Philippe,8,Cofidis,\u25b21,2,1998
26,29,30,10.0,Traversoni Mario,9,Mercatone Uno,\u25b21,2,1998
35,147,29,14.0,Martinello Silvio,10,Polti,\u25b24,2,1998
31,111,26,,Cipollini Mario,11,Saeco Macchine da Caffe' - Cannondale,-,2,1998
27,126,26,25.0,Magnien Emmanuel,12,La Fran\xe7aise des Jeux,\u25b213,2,1998
22,159,24,,Turicchia Alain,13,Asics - CGA,-,2,1998
27,114,24,4.0,Fagnini Gian-matteo,14,Saeco Macchine da Caffe' - Cannondale,\u25bc10,2,1998
29,41,24,5.0,Jalabert Laurent,15,O.N.C.E.,\u25bc10,2,1998
26,102,22,27.0,Blijlevens Jeroen,16,TVM - Farm Frites,\u25b211,2,1998
25,134,21,12.0,Jalabert Nicolas,17,Cofidis,\u25bc5,2,1998
26,144,18,,Guidi Fabrizio,18,Polti,-,2,1998
29,87,17,11.0,Simon Fran\xe7ois,19,GAN,\u25bc8,2,1998
25,187,16,15.0,Hincapie George,20,US Postal Service,\u25bc5,2,1998
29,205,14,24.0,Djavanian Viatcheslav,21,BigMat - Auber 93,\u25b23,2,1998
24,84,12,18.0,O'Grady Stuart,22,GAN,\u25bc4,2,1998
35,94,12,35.0,Tchmil Andrei,23,Lotto - Mobistar,\u25b212,2,1998
28,71,12,16.0,Olano Abraham,24,Banesto,\u25bc8,2,1998
28,165,11,,Ferrigato Andrea,25,Vitalicio Seguros,-,2,1998
31,65,10,19.0,Durand Jacky,26,Casino - AG2R,\u25bc7,2,1998
23,152,9,20.0,Bongioni Alessio,27,Asics - CGA,\u25bc7,2,1998
24,128,8,,Nazon Damien,28,La Fran\xe7aise des Jeux,-,2,1998
30,12,8,21.0,Brochard Laurent,29,Festina - Lotus,\u25bc8,2,1998
29,39,8,23.0,Zanini Stefano,30,Mapei - Bricobi,\u25bc7,2,1998
26,135,8,22.0,Julich Bobby,31,Cofidis,\u25bc9,2,1998
28,58,7,29.0,Vierhouten Aart,32,Rabobank ProTeam,\u25bc3,2,1998
27,16,6,26.0,Moreau Christophe,33,Festina - Lotus,\u25bc7,2,1998
33,25,5,,Fontanelli Fabiano,34,Mercatone Uno,-,2,1998
24,1,5,28.0,Ullrich Jan,35,Team Telekom - ARD,\u25bc7,2,1998
30,19,4,30.0,Z\xfclle Alex,36,Festina - Lotus,\u25bc6,2,1998
26,97,4,31.0,Van Hyfte Paul,37,Lotto - Mobistar,\u25bc6,2,1998
28,78,3,32.0,Sergio Rodrigues Orlando,38,Banesto,\u25bc6,2,1998
29,13,3,33.0,Dufaux Laurent,39,Festina - Lotus,\u25bc6,2,1998
27,88,2,34.0,Vasseur C\xe9dric,40,GAN,\u25bc6,2,1998
26,143,2,36.0,Crepaldi Mirco,41,Polti,\u25bc5,2,1998
29,127,1,,Mengin Christophe,42,La Fran\xe7aise des Jeux,-,2,1998
24,32,1,37.0,Di Grande Giuseppe,43,Mapei - Bricobi,\u25bc6,2,1998
32,185,1,38.0,Ekimov Viatcheslav,44,US Postal Service,\u25bc6,2,1998
29,37,71,2.0,Svorada Jan,1,Mapei - Bricobi,\u25b21,3,1998
26,36,68,1.0,Steels Tom,2,Mapei - Bricobi,\u25bc1,3,1998
28,9,67,4.0,Zabel Erik,3,Team Telekom - ARD,\u25b21,3,1998
26,55,56,3.0,van Bon L\xe9on,4,Rabobank ProTeam,\u25bc1,3,1998
29,83,53,5.0,Moncassin Fr\xe9d\xe9ric,5,GAN,-,3,1998
28,67,51,7.0,Kirsipuu Jaan,6,Casino - AG2R,\u25b21,3,1998
25,187,46,20.0,Hincapie George,7,US Postal Service,\u25b213,3,1998
24,84,44,22.0,O'Grady Stuart,8,GAN,\u25b214,3,1998
28,197,40,6.0,Minali Nicola,9,Riso Scotti - MG,\u25bc3,3,1998
28,61,38,,Hamburger Bo,10,Casino - AG2R,-,3,1998
35,147,38,10.0,Martinello Silvio,11,Polti,\u25bc1,3,1998
27,114,37,14.0,Fagnini Gian-matteo,12,Saeco Macchine da Caffe' - Cannondale,\u25b22,3,1998
27,126,37,12.0,Magnien Emmanuel,13,La Fran\xe7aise des Jeux,\u25bc1,3,1998
33,6,35,,Heppner Jens,14,Team Telekom - ARD,-,3,1998
25,133,34,8.0,Gaumont Philippe,15,Cofidis,\u25bc7,3,1998
26,144,34,18.0,Guidi Fabrizio,16,Polti,\u25b22,3,1998
28,125,30,,Jan Xavier,17,La Fran\xe7aise des Jeux,-,3,1998
26,29,30,9.0,Traversoni Mario,18,Mercatone Uno,\u25bc9,3,1998
31,111,26,11.0,Cipollini Mario,19,Saeco Macchine da Caffe' - Cannondale,\u25bc8,3,1998
22,159,24,13.0,Turicchia Alain,20,Asics - CGA,\u25bc7,3,1998
29,41,24,15.0,Jalabert Laurent,21,O.N.C.E.,\u25bc6,3,1998
25,134,23,17.0,Jalabert Nicolas,22,Cofidis,\u25bc5,3,1998
26,102,22,16.0,Blijlevens Jeroen,23,TVM - Farm Frites,\u25bc7,3,1998
34,14,21,,Herv\xe9 Pascal,24,Festina - Lotus,-,3,1998
25,75,20,,Garcia Jose Vicente,25,Banesto,-,3,1998
29,87,20,19.0,Simon Fran\xe7ois,26,GAN,\u25bc7,3,1998
29,172,18,,Cabello Francisco,27,Kelme - Costa Blanca,-,3,1998
30,64,17,,Chanteur Pascal,28,Casino - AG2R,-,3,1998
29,205,14,21.0,Djavanian Viatcheslav,29,BigMat - Auber 93,\u25bc8,3,1998
35,94,12,23.0,Tchmil Andrei,30,Lotto - Mobistar,\u25bc7,3,1998
30,12,12,29.0,Brochard Laurent,31,Festina - Lotus,\u25bc2,3,1998
28,71,12,24.0,Olano Abraham,32,Banesto,\u25bc8,3,1998
28,165,11,25.0,Ferrigato Andrea,33,Vitalicio Seguros,\u25bc8,3,1998
31,65,10,26.0,Durand Jacky,34,Casino - AG2R,\u25bc8,3,1998
23,152,9,27.0,Bongioni Alessio,35,Asics - CGA,\u25bc8,3,1998
25,63,8,,Barthe St\xe9phane,36,Casino - AG2R,-,3,1998
24,128,8,28.0,Nazon Damien,37,La Fran\xe7aise des Jeux,\u25bc9,3,1998
29,39,8,30.0,Zanini Stefano,38,Mapei - Bricobi,\u25bc8,3,1998
26,135,8,31.0,Julich Bobby,39,Cofidis,\u25bc8,3,1998
29,106,7,,Michaelsen Lars,40,TVM - Farm Frites,-,3,1998
28,58,7,32.0,Vierhouten Aart,41,Rabobank ProTeam,\u25bc9,3,1998
32,38,6,,Tafi Andrea,42,Mapei - Bricobi,-,3,1998
