Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
29,206,6,44.0,Pasqualon Andrea,57,Wanty - Groupe Gobert,,\u25bc13,5,2017
28,119,6,45.0,Selig R\xfcdiger,58,BORA - hansgrohe,,\u25bc13,5,2017
23,129,6,58.0,Zabel Rick,59,Team Katusha - Alpecin,,\u25bc1,5,2017
25,142,5,46.0,Arndt Nikias,60,Team Sunweb,,\u25bc14,5,2017
26,139,4,48.0,Wellens Tim,61,Lotto Soudal,,\u25bc13,5,2017
33,46,4,,Roche Nicolas,62,BMC Racing Team,,-,5,2017
32,102,4,50.0,Bauer Jack,63,Quick-Step Floors,,\u25bc13,5,2017
28,33,4,49.0,Degenkolb John,64,Trek - Segafredo,,\u25bc15,5,2017
27,162,3,,Bennett George,65,Team LottoNL-Jumbo,,-,5,2017
24,148,3,53.0,Teunissen Mike,66,Team Sunweb,,\u25bc13,5,2017
33,54,3,52.0,Grivko Andrei,67,Astana Pro Team,,\u25bc15,5,2017
25,211,3,54.0,McLay Daniel,68,Fortuneo - Oscaro,,\u25bc14,5,2017
35,138,3,55.0,Sieberg Marcel,69,Lotto Soudal,,\u25bc14,5,2017
27,6,2,,Landa Mikel,70,Team Sky,,-,5,2017
32,86,2,57.0,Impey Daryl,71,ORICA-Scott,,\u25bc14,5,2017
30,25,1,59.0,Castroviejo Jonathan,72,Movistar Team,,\u25bc13,5,2017
28,146,1,60.0,Sinkeldam Ramon,73,Team Sunweb,,\u25bc13,5,2017
25,71,170,1.0,D\xe9mare Arnaud,1,FDJ,,-,6,2017
29,101,143,2.0,Kittel Marcel,2,Quick-Step Floors,,-,6,2017
26,141,96,3.0,Matthews Michael,3,Team Sunweb,,-,6,2017
34,131,93,4.0,Greipel Andr\xe9,4,Lotto Soudal,,-,6,2017
30,125,74,5.0,Kristoff Alexander,5,Team Katusha - Alpecin,,-,6,2017
27,197,49,8.0,Colbrelli Sonny,6,Bahrain Merida Pro Cycling Team,,\u25b22,6,2017
30,105,47,6.0,Martin Daniel,7,Quick-Step Floors,,\u25bc1,6,2017
26,151,44,13.0,Bouhanni Nacer,8,"Cofidis, Solutions Cr\xe9dits",,\u25b25,6,2017
32,1,41,7.0,Froome Christopher,9,Team Sky,,\u25bc2,6,2017
29,68,39,11.0,Swift Ben,10,UAE Team Emirates,,\u25b21,6,2017
31,9,38,9.0,Thomas Geraint,11,Team Sky,,\u25bc2,6,2017
27,202,37,22.0,Backaert Frederik,12,Wanty - Groupe Gobert,,\u25b210,6,2017
30,92,36,10.0,Boasson Hagen Edvald,13,Team Dimension Data,,\u25bc3,6,2017
27,51,30,12.0,Aru Fabio,14,Astana Pro Team,,\u25bc2,6,2017
24,163,30,26.0,Groenewegen Dylan,15,Team LottoNL-Jumbo,,\u25b211,6,2017
32,41,22,14.0,Porte Richie,16,BMC Racing Team,,\u25bc2,6,2017
26,11,22,15.0,Bardet Romain,17,AG2R La Mondiale,,\u25bc2,6,2017
26,176,21,27.0,Petit Adrien,18,Direct Energie,,\u25b29,6,2017
27,186,21,16.0,Phinney Taylor,19,Cannondale-Drapac Pro Cycling Team,,\u25bc3,6,2017
23,128,20,19.0,Politt Nils,20,Team Katusha - Alpecin,,\u25bc1,6,2017
23,172,20,17.0,Boudat Thomas,21,Direct Energie,,\u25bc4,6,2017
26,208,20,18.0,van Keirsbulck Guillaume,22,Wanty - Groupe Gobert,,\u25bc4,6,2017
32,48,19,20.0,Van Avermaet Greg,23,BMC Racing Team,,\u25bc3,6,2017
30,134,19,21.0,De Gendt Thomas,24,Lotto Soudal,,\u25bc3,6,2017
35,104,17,23.0,Gilbert Philippe,25,Quick-Step Floors,,\u25bc2,6,2017
23,182,17,25.0,Bettiol Alberto,26,Cannondale-Drapac Pro Cycling Team,,\u25bc1,6,2017
