Rider,year,stage_scores
Blythe Adam,2015,85.0
Boaro Manuele,2014,7.0
Boasson Hagen Edvald,2010,55.0
Boasson Hagen Edvald,2013,46.0
Boasson Hagen Edvald,2015,18.0
Boasson Hagen Edvald,2016,95.0
Bobridge Jack,2011,13.0
Bodnar Maciej,2008,0.0
Bodnar Maciej,2009,0.0
Bodnar Maciej,2012,0.0
Bodnar Maciej,2013,0.0
Bodnar Maciej,2015,72.0
Boeckmans Kris,2011,0.0
Boeckmans Kris,2014,0.0
Boem Nicola,2014,0.0
Boem Nicola,2015,0.0
Bohli Tom,2016,0.0
Boivin Guillaume,2013,16.0
Bol Jetse,2014,0.0
Bole Grega,2011,0.0
Bonnaire Olivier,2007,0.0
Bonnet William,2008,9.0
Bonnet William,2011,0.0
Bonnet William,2015,0.0
Bono Matteo,2008,0.0
Bono Matteo,2011,0.0
Bono Matteo,2015,0.0
Bonomi Giosue,2004,7.0
Bookwalter Brent,2009,0.0
Bookwalter Brent,2013,35.0
Boom Lars,2011,57.0
Boom Lars,2014,47.0
Boom Lars,2015,12.0
Boom Lars,2016,14.0
Boonen Tom,2004,100.0
Boonen Tom,2005,117.0
Boonen Tom,2006,166.0
Boonen Tom,2007,137.0
Boonen Tom,2008,185.0
Boonen Tom,2009,101.0
Boonen Tom,2010,123.0
Boonen Tom,2011,100.0
Boonen Tom,2012,148.0
Boonen Tom,2014,143.0
Boonen Tom,2015,94.0
Borghi Ruggero,2004,0.0
Bos Marco,2005,27.0
Bos Theo,2010,48.0
Bos Theo,2011,50.0
Bos Theo,2014,26.0
Bos Theo,2015,13.0
Bossoni Paolo,2008,30.0
Botcharov Alexandre,2005,0.0
Boucher David,2006,10.0
Boucher David,2012,18.0
Boucher David,2013,0.0
Boucher David,2014,0.0
Boucher David,2015,0.0
Bouhanni Nacer,2013,78.0
Bouhanni Nacer,2015,58.0
Bouquet Camille,2006,0.0
Bovay Steve,2008,0.0
Boven Jan,2004,10.0
Boven Jan,2006,0.0
Boven Jan,2007,8.0
Bozic Borut,2013,9.0
Bozic Borut,2014,0.0
Bozic Borut,2015,19.0
Br\xe4ndle Matthias,2015,20.0
Bramati Davide,2004,0.0
Bramati Davide,2005,0.0
Brammeier Matthew,2011,16.0
Brammeier Matthew,2012,13.0
Brammeier Matthew,2013,12.0
Brammeier Matthew,2016,0.0
Braunsteins Daniel,2009,0.0
Breen Vegard,2016,0.0
Breschel Matti,2005,30.0
Breschel Matti,2006,66.0
Breschel Matti,2010,0.0
Breschel Matti,2013,19.0
Breschel Matti,2014,33.0
Breschel Matti,2015,0.0
Brown Graeme,2006,55.0
Brown Graeme,2007,50.0
Brown Graeme,2011,22.0
Brown Graeme,2012,0.0
Brown Graeme,2014,0.0
Brown Graeme,2016,0.0
Brutt Pavel,2013,0.0
Brutt Pavel,2015,6.0
Burghardt Marcus,2005,8.0
Burghardt Marcus,2007,13.0
Burghardt Marcus,2009,0.0
Burghardt Marcus,2010,29.0
Burghardt Marcus,2011,25.0
Burghardt Marcus,2014,0.0
Burghardt Marcus,2015,18.0
Busche Matthew,2016,0.0
Bystr\xf8m Sven Erik,2015,15.0
Bystr\xf8m Sven Erik,2016,46.0
Ca\xf1ada David,2004,0.0
Ca\xf1ada David,2007,0.0
Caccia Diego,2011,0.0
Caccia Diego,2012,0.0
Cadamuro Simone,2004,27.0
Cadamuro Simone,2005,22.0
Caethoven Steven,2004,6.0
Caethoven Steven,2005,0.0
Calcagni Patrick,2007,14.0
Campbell Cody,2010,0.0
Campenaerts Victor,2015,0.0
Cancellara Fabian,2004,35.0
Cancellara Fabian,2006,24.0
Cancellara Fabian,2010,0.0
Cancellara Fabian,2011,43.0
Cancellara Fabian,2012,26.0
Cancellara Fabian,2013,0.0
Cancellara Fabian,2014,24.0
Cancellara Fabian,2015,37.0
Canola Marco,2013,0.0
Canola Marco,2014,0.0
Canola Marco,2016,16.0
Canouet Gilles,2006,0.0
Cantwell Jonathan,2013,40.0
Capecchi Eros,2008,0.0
Capelli Ermano,2008,0.0
Capiot Amaury,2016,0.0
Carbel Michael,2016,7.0
Carlsen Kirk,2010,0.0
Carter Michael,2005,0.0
Casagranda Stefano,2004,0.0
Casar Sandy,2011,0.0
Casper Jimmy,2010,39.0
Cassidy Mark,2007,0.0
Cassidy Mark,2011,0.0
Castelijns Twan,2016,0.0
Cavendish Mark,2009,81.0
Cavendish Mark,2011,14.0
Cavendish Mark,2012,76.0
Cavendish Mark,2013,160.0
Cavendish Mark,2016,136.0
Chainel Steve,2013,0.0
Chainel Steve,2015,0.0
Chang Wei Kei,2012,0.0
Charteau Anthony,2005,0.0
Chavanel S\xe9bastien,2004,47.0
Chavanel S\xe9bastien,2005,0.0
Chernyshov Ilya,2006,0.0
Chi Yin Leung,2005,0.0
Chicchi Francesco,2004,63.0
Chicchi Francesco,2007,47.0
Chicchi Francesco,2008,61.0
Chicchi Francesco,2009,22.0
Chicchi Francesco,2010,99.0
Chicchi Francesco,2011,41.0
Chicchi Francesco,2012,31.0
Christensen Bekim leif,2004,0.0
Chtioui Rafa\xe2,2008,0.0
Chtioui Rafa\xe2,2009,0.0
Chtioui Rafa\xe2,2014,8.0
Cimolai Davide,2010,0.0
Cimolai Davide,2016,0.0
Ciolek Gerald,2010,0.0
Ciolek Gerald,2015,0.0
Cipollini Mario,2005,65.0
Claeys Kevin,2011,0.0
Clarke Simon,2011,6.0
Clarke William,2012,0.0
Claude Mathieu,2007,0.0
Clerc Aur\xe9lien,2005,43.0
