Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
22,144,106,+28:16,25.0,Putt Christopher,19,Jelly Belly p/b Maxxis,",, 17:28",\u25b26,3,2016
21,68,105,+28:16,24.0,Thompson Michael,20,Team Wiggins,",, 17:28",\u25b24,3,2016
21,137,71,+18:08,7.0,Owen Logan,21,Axeon Hagens Berman,",, 17:28",\u25bc14,3,2016
21,64,123,+33:30,27.0,Kelly Jake,22,Team Wiggins,",, 17:28",\u25b25,3,2016
22,148,107,+28:23,26.0,Wolfe Ben,23,Jelly Belly p/b Maxxis,17:35 17:35,\u25b23,3,2016
23,63,109,+28:49,22.0,Doull Owain,24,Team Wiggins,18:01 18:01,\u25bc2,3,2016
22,65,140,+39:57,28.0,Latham Christopher,25,Team Wiggins,21:22 21:22,\u25b23,3,2016
22,24,92,+22:02,12.0,Moscon Gianni,26,Team Sky,",, 21:22",\u25bc14,3,2016
22,84,88,+22:02,4.0,Bonifazio Niccolo,27,Trek - Segafredo,",, 21:22",\u25bc23,3,2016
22,26,93,+22:02,11.0,Peters Alex,28,Team Sky,",, 21:22",\u25bc17,3,2016
22,2,141,+40:12,29.0,Ba\u0161ka Erik,29,Tinkoff,",, 21:22",-,3,2016
19,138,5,+0:43,1.0,Powless Neilson,1,Axeon Hagens Berman,18:07:00 18:07:00,-,4,2016
21,135,13,+1:34,2.0,Guerreiro Ruben,2,Axeon Hagens Berman,0:51 0:51,-,4,2016
21,131,16,+2:13,3.0,Geoghegan Hart Tao,3,Axeon Hagens Berman,1:30 1:30,-,4,2016
23,107,26,+5:32,4.0,Lunke Sindre Skj\xf8stad,4,Team Giant - Alpecin,4:49 4:49,-,4,2016
21,47,29,+5:59,6.0,Restrepo Jhonatan,5,Team Katusha,5:16 5:16,\u25b21,4,2016
21,116,30,+6:11,5.0,Vermeulen Alexey,6,Team LottoNL-Jumbo,5:28 5:28,\u25bc1,4,2016
23,113,40,+12:44,7.0,Roosen Timo,7,Team LottoNL-Jumbo,12:01 12:01,-,4,2016
21,134,44,+13:36,8.0,Daniel Gregory,8,Axeon Hagens Berman,12:53 12:53,-,4,2016
20,133,48,+15:55,11.0,Curran Geoffrey,9,Axeon Hagens Berman,15:12 15:12,\u25b22,4,2016
22,27,50,+16:34,16.0,van Poppel Danny,10,Team Sky,15:51 15:51,\u25b26,4,2016
22,124,55,+17:57,12.0,Eaton Daniel,11,UnitedHealthcare Pro Cycling Team,17:14 17:14,\u25b21,4,2016
22,5,56,+17:58,9.0,Gogl Michael,12,Tinkoff,17:15 17:15,\u25bc3,4,2016
21,102,59,+19:07,14.0,Andersen S\xf8ren Kragh,13,Team Giant - Alpecin,18:24 18:24,\u25b21,4,2016
21,136,64,+21:09,10.0,Neilands Krists,14,Axeon Hagens Berman,20:26 20:26,\u25bc4,4,2016
22,24,69,+22:08,26.0,Moscon Gianni,15,Team Sky,21:25 21:25,\u25b211,4,2016
21,137,74,+24:00,21.0,Owen Logan,16,Axeon Hagens Berman,23:17 23:17,\u25b25,4,2016
22,26,76,+25:30,28.0,Peters Alex,17,Team Sky,24:47 24:47,\u25b211,4,2016
20,132,82,+28:25,18.0,Barta William,18,Axeon Hagens Berman,27:42 27:42,-,4,2016
22,173,87,+30:21,13.0,De Vos Adam,19,Rally Cycling,29:38 29:38,\u25bc6,4,2016
22,84,94,+33:59,27.0,Bonifazio Niccolo,20,Trek - Segafredo,33:16 33:16,\u25b27,4,2016
22,111,99,+36:17,17.0,Groenewegen Dylan,21,Team LottoNL-Jumbo,35:34 35:34,\u25bc4,4,2016
22,166,102,+37:15,15.0,Planet Charles,22,Team Novo Nordisk,36:32 36:32,\u25bc7,4,2016
21,68,106,+40:05,20.0,Thompson Michael,23,Team Wiggins,39:22 39:22,\u25bc3,4,2016
22,144,107,+40:05,19.0,Putt Christopher,24,Jelly Belly p/b Maxxis,",, 39:22",\u25bc5,4,2016
22,148,108,+40:12,23.0,Wolfe Ben,25,Jelly Belly p/b Maxxis,39:29 39:29,\u25bc2,4,2016
23,63,110,+40:38,24.0,Doull Owain,26,Team Wiggins,39:55 39:55,\u25bc2,4,2016
21,64,124,+45:19,22.0,Kelly Jake,27,Team Wiggins,44:36 44:36,\u25bc5,4,2016
22,65,140,+51:46,25.0,Latham Christopher,28,Team Wiggins,51:03 51:03,\u25bc3,4,2016
22,2,142,+57:00,29.0,Ba\u0161ka Erik,29,Tinkoff,56:17 56:17,-,4,2016
19,138,6,+1:01,1.0,Powless Neilson,1,Axeon Hagens Berman,24:02:46 24:02:46,-,5,2016
21,135,13,+1:34,2.0,Guerreiro Ruben,2,Axeon Hagens Berman,0:33 0:33,-,5,2016
