Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
29,38,,,30.0,,Pretot Arnaud,5,Festina,,-,2,2001
28,191,,,30.0,2.0,Vainsteins Romans,6,Domo - Farm Frites,,\u25bc4,2,2001
24,176,,,26.0,,Hunter Robert,7,Lampre - Daikin,,-,2,2001
23,182,,,26.0,4.0,Casper Jimmy,8,La Fran\xe7aise des Jeux,,\u25bc4,2,2001
30,193,,,26.0,,Knaven Servais,9,Domo - Farm Frites,,-,2,2001
33,204,,,26.0,8.0,Capelle Christophe,10,BigMat - Auber 93,,\u25bc2,2,2001
23,104,,,24.0,5.0,Hushovd Thor,11,Cr\xe9dit Agricole,,\u25bc6,2,2001
28,39,,,24.0,11.0,Teutenberg Sven,12,Festina,,\u25bc1,2,2001
32,178,,,23.0,9.0,Svorada Jan,13,Lampre - Daikin,,\u25bc4,2,2001
33,84,,,20.0,,Bramati Davide,14,Mapei - Quickstep,,-,2,2001
27,165,,,20.0,6.0,Nazon Damien,15,Bonjour,,\u25bc9,2,2001
26,61,,,19.0,,Verbrugghe Rik,16,Lotto - Adecco,,-,2,2001
27,53,,,19.0,7.0,de Jongh Steven,17,Rabobank ProTeam,,\u25bc10,2,2001
29,101,,,19.0,29.0,Julich Bobby,18,Cr\xe9dit Agricole,,\u25b211,2,2001
23,43,,,18.0,,Basso Ivan,19,Fassa Bortolo,,-,2,2001
31,195,,,17.0,,Milesi Marco,20,Domo - Farm Frites,,-,2,2001
26,175,,,17.0,,Frutti Matteo,21,Lampre - Daikin,,-,2,2001
30,54,,,16.0,,Dekker Erik,22,Rabobank ProTeam,,-,2,2001
29,76,,,16.0,12.0,Mattan Nico,23,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",,\u25bc11,2,2001
30,31,,,15.0,13.0,Moreau Christophe,24,Festina,,\u25bc11,2,2001
29,68,,,15.0,,Van Hyfte Paul,25,Lotto - Adecco,,-,2,2001
26,45,,,15.0,14.0,Ivanov Serguei,26,Fassa Bortolo,,\u25bc12,2,2001
29,109,,,14.0,,Voigt Jens,27,Cr\xe9dit Agricole,,-,2,2001
33,179,,,13.0,,Verstrepen Johan,28,Lampre - Daikin,,-,2,2001
29,64,,,13.0,15.0,Blijlevens Jeroen,29,Lotto - Adecco,,\u25bc14,2,2001
27,47,,,13.0,23.0,Petacchi Alessandro,30,Fassa Bortolo,,\u25bc7,2,2001
27,24,,,12.0,16.0,Gonzalez De Galdeano Igor,31,O.N.C.E. - Eroski,,\u25bc15,2,2001
27,11,,,12.0,17.0,Ullrich Jan,32,Team Telekom,,\u25bc15,2,2001
27,106,,,12.0,,Morin Anthony,33,Cr\xe9dit Agricole,,-,2,2001
27,111,,,11.0,18.0,Etxebarria David,34,Euskaltel - Euskadi,,\u25bc16,2,2001
27,66,,,10.0,20.0,Mikhailov Guennady,36,Lotto - Adecco,,\u25bc16,2,2001
28,146,,,10.0,21.0,Oriol Christophe,37,Jean Delatour,,\u25bc16,2,2001
34,183,,,10.0,22.0,Durand Jacky,38,La Fran\xe7aise des Jeux,,\u25bc16,2,2001
