Age,Avg,BIB,Pnt,Rider,Rnk,Team,Time won/lost,stage,year
26,,52.0,,Dupont Hubert,63,AG2R Pr\xe9voyance,,6,2007
25,,98.0,,Valentin Tristan,64,Cofidis,,6,2007
26,,117.0,,van Goolen Jurgen,65,Discovery Channel,,6,2007
21,,178.0,,Walker William,66,Rabobank ProTeam,,6,2007
31,,91.0,,Parra Ivan Ramiro,67,Cofidis,,6,2007
26,,149.0,,Zaugg Oliver,68,Gerolsteiner,,6,2007
34,,95.0,,Fernandez Bingen,69,Cofidis,,6,2007
22,,79.0,,Perget Mathieu,70,Caisse d'Epargne,,6,2007
32,,201.0,,Commesso Salvatore,71,Tinkoff Credit Systems,,6,2007
29,,27.0,,Mayo Iban,72,Saunier Duval,,6,2007
29,,37.0,,Szmyd Sylwester,73,Lampre-Fondital,,6,2007
27,,62.0,,Crosbie Nicolas,74,Bouygues Telecom,,6,2007
27,,71.0,,Arroyo David,75,Caisse d'Epargne,,6,2007
30,,188.0,,Gustov Volodymyr,76,CSC ProTeam,,6,2007
27,,172.0,,Ardila Mauricio Alberto,77,Rabobank ProTeam,,6,2007
26,,158.0,,Vanotti Alessandro,78,Liquigas,,6,2007
27,,167.0,,Van Huffel Wim,79,Predictor - Lotto,,6,2007
26,,25.0,,Gomez Gomez Angel,80,Saunier Duval,,6,2007
28,,202.0,,Petrov Evgeni,81,Tinkoff Credit Systems,,6,2007
28,,112.0,,Bileka Volodymyr,82,Discovery Channel,,6,2007
21,,183.0,,Schleck Andy,83,CSC ProTeam,,6,2007
34,,17.0,,Mizurov Andrey,84,Astana,,6,2007
34,,116.0,,Rubiera Jos\xe9 Luis,85,Discovery Channel,,6,2007
27,,212.0,,Bernucci Lorenzo,86,T-Mobile Team,,6,2007
27,,19.0,,Muravyev Dmitriy,87,Astana,,6,2007
29,,51.0,,Nocentini Rinaldo,88,AG2R Pr\xe9voyance,,6,2007
35,,141.0,,Rebellin Davide,89,Gerolsteiner,,6,2007
33,,1.0,,Bettini Paolo,90,Quickstep - Innergetic,,6,2007
31,,101.0,,Caucchioli Pietro,91,Cr\xe9dit Agricole,,6,2007
27,,47.0,,Masciarelli Simone,92,Acqua & Sapone - Caff\xe8 Mokambo,,6,2007
31,,66.0,,le Boulanger Yoann,93,Bouygues Telecom,,6,2007
26,,127.0,,Pena Aketza,94,Euskaltel - Euskadi,,6,2007
26,,185.0,,Kolobnev Alexandr,95,CSC ProTeam,,6,2007
32,,4.0,,Scarselli Leonardo,96,Quickstep - Innergetic,,6,2007
28,,123.0,,Galparsoro Dionisio,97,Euskaltel - Euskadi,,6,2007
27,,128.0,,Velasco Ivan,98,Euskaltel - Euskadi,,6,2007
32,,24.0,,Ca\xf1ada David,99,Saunier Duval,,6,2007
28,,182.0,,Zabriskie David,100,CSC ProTeam,,6,2007
34,,215.0,,Merckx Axel,101,T-Mobile Team,,6,2007
29,,76.0,,Perez Aitor,102,Caisse d'Epargne,,6,2007
35,,28.0,,Piepoli Leonardo,103,Saunier Duval,,6,2007
24,,85.0,,Pozzovivo Domenico,104,Ceramica Panaria - Navigare,,6,2007
24,,18.0,,Morabito Steve,105,Astana,,6,2007
25,,207.0,,Brutt Pavel,106,Tinkoff Credit Systems,,6,2007
36,,115.0,,Padrnos Pavel,107,Discovery Channel,,6,2007
21,,49.0,,Samoilau Branislau,108,Acqua & Sapone - Caff\xe8 Mokambo,,6,2007
33,,174.0,,Moerenhout Koos,109,Rabobank ProTeam,,6,2007
31,,15.0,,Yakovlev Serguei,110,Astana,,6,2007
25,,75.0,,Losada Alberto,111,Caisse d'Epargne,,6,2007
28,,129.0,,Zubeldia Joseba,112,Euskaltel - Euskadi,,6,2007
23,,218.0,,Rabon Frantisek,113,T-Mobile Team,,6,2007
23,,176.0,,Kozonchuk Dmitry,114,Rabobank ProTeam,,6,2007
32,,171.0,,Rasmussen Michael,115,Rabobank ProTeam,,6,2007
23,,138.0,,Patanchon Fabien,116,Fran\xe7aise des Jeux,,6,2007
29,,83.0,,Perez Cuapio Julio Alberto,117,Ceramica Panaria - Navigare,,6,2007
25,,152.0,,Gasparotto Enrico,118,Liquigas,,6,2007
29,,159.0,,Wegelius Charles,119,Liquigas,,6,2007
26,,113.0,,Cummings Stephen,120,Discovery Channel,,6,2007
24,,57.0,,Naibo Carl,121,AG2R Pr\xe9voyance,,6,2007
26,,137.0,,Mourey Francis,122,Fran\xe7aise des Jeux,,6,2007
28,,205.0,,Serrano Ricardo,123,Tinkoff Credit Systems,,6,2007
29,,2.0,,Engels Addy,124,Quickstep - Innergetic,,6,2007
31,,13.0,,Joachim Benoit,125,Astana,,6,2007
26,,14.0,,Bazayev Assan,126,Astana,,6,2007
25,,118.0,,Vandborg Brian,127,Discovery Channel,,6,2007
27,,195.0,,Lancaster Brett,128,Milram,,6,2007
24,,67.0,,Pichot Alexandre,129,Bouygues Telecom,,6,2007
32,,179.0,,Horrillo Pedro,130,Rabobank ProTeam,,6,2007
24,,143.0,,Fothen Thomas,131,Gerolsteiner,,6,2007
27,,193.0,,Ghisalberti Sergio,132,Milram,,6,2007
30,,65.0,,Labbe Arnaud,133,Bouygues Telecom,,6,2007
33,,196.0,,M\xfcller Martin,134,Milram,,6,2007
26,,26.0,,Mori Manuele,135,Saunier Duval,,6,2007
35,,169.0,,Gates Nick,136,Predictor - Lotto,,6,2007
28,,22.0,,Bertogliati Rubens,137,Saunier Duval,,6,2007
32,,104.0,,Dean Julian,138,Cr\xe9dit Agricole,,6,2007
29,,192.0,,Cortinovis Alessandro,139,Milram,,6,2007
22,,187.0,,Breschel Matti,140,CSC ProTeam,,6,2007
32,,157.0,,Spezialetti Alessandro,141,Liquigas,,6,2007
27,,72.0,,Berthou Eric,142,Caisse d'Epargne,,6,2007
33,,7.0,,Tosatto Matteo,143,Quickstep - Innergetic,,6,2007
27,,93.0,,Buffaz Mickael,144,Cofidis,,6,2007
25,,64.0,,Gene Yohann,145,Bouygues Telecom,,6,2007
31,,23.0,,Belohvosciks Raivis,146,Saunier Duval,,6,2007
33,,68.0,,Renier Franck,147,Bouygues Telecom,,6,2007
22,,132.0,,Gerard Arnaud,148,Fran\xe7aise des Jeux,,6,2007
29,,105.0,,Furlan Angelo,149,Cr\xe9dit Agricole,,6,2007
29,,108.0,,Hushovd Thor,150,Cr\xe9dit Agricole,,6,2007
24,,146.0,,Krauss Sven,151,Gerolsteiner,,6,2007
29,,142.0,,F\xf6rster Robert,152,Gerolsteiner,,6,2007
23,,136.0,,Monnerais Cyrille,153,Fran\xe7aise des Jeux,,6,2007
25,,87.0,,Grillo Paride,154,Ceramica Panaria - Navigare,,6,2007
38,,168.0,,Zanini Stefano,155,Predictor - Lotto,,6,2007
34,,42.0,,Andriotto Dario,156,Acqua & Sapone - Caff\xe8 Mokambo,,6,2007
34,,186.0,,Blaudzun Michael,157,CSC ProTeam,,6,2007
26,,184.0,,Haedo Juan Jose,158,CSC ProTeam,,6,2007
22,,144.0,,Gatto Oscar,159,Gerolsteiner,,6,2007
22,,198.0,,Sabatini Fabio,160,Milram,,6,2007
34,,161.0,,McEwen Robbie,161,Predictor - Lotto,,6,2007
25,,56.0,,Mondory Lloyd,162,AG2R Pr\xe9voyance,,6,2007
26,,181.0,,Cancellara Fabian,163,CSC ProTeam,,6,2007
34,,175.0,,van Heeswijk Max,164,Rabobank ProTeam,,6,2007
30,,214.0,,Henderson Gregory,165,T-Mobile Team,,6,2007
25,,55.0,,Mangel Laurent,166,AG2R Pr\xe9voyance,,6,2007
25,,96.0,,Heijboer Mathieu,167,Cofidis,,6,2007
26,,126.0,,Luengo Anton,168,Euskaltel - Euskadi,,6,2007
31,,197.0,,Ongarato Alberto,169,Milram,,6,2007
27,,78.0,,Markov Alexei,170,Caisse d'Epargne,,6,2007
21,,209.0,,Trusov Nikolay,171,Tinkoff Credit Systems,,6,2007
22,,145.0,,Klinger Tim,172,Gerolsteiner,,6,2007
22,,206.0,,Ignatyev Mikhail,173,Tinkoff Credit Systems,,6,2007
19,,204.0,,Rovny Ivan,174,Tinkoff Credit Systems,,6,2007
24,,9.0,,Visconti Giovanni,175,Quickstep - Innergetic,,6,2007
29,,,,Gil Fernandez Koldo,176,,,6,2007
29,,216.0,,Olson Aaron,177,T-Mobile Team,,6,2007
22,,109.0,,Roche Nicolas,178,Cr\xe9dit Agricole,,6,2007
27,,69.0,,Voeckler Thomas,179,Bouygues Telecom,,6,2007
31,,44.0,,Balducci Gabriele,180,Acqua & Sapone - Caff\xe8 Mokambo,,6,2007
23,,32.0,,Bono Matteo,181,Lampre-Fondital,,6,2007
35,,208.0,,Aggiano Elio,182,Tinkoff Credit Systems,,6,2007
26,,35.0,,Napolitano Danilo,183,Lampre-Fondital,,6,2007
26,,58.0,,Riblon Christophe,184,AG2R Pr\xe9voyance,,6,2007
23,,133.0,,Gudsell Timothy,185,Fran\xe7aise des Jeux,,6,2007
22,,54.0,,Loubet Julien,186,AG2R Pr\xe9voyance,,6,2007
33,,191.0,,Petacchi Alessandro,1*,Milram,,7,2007
29,,108.0,80.0,Hushovd Thor,1,Cr\xe9dit Agricole,,7,2007
33,,1.0,50.0,Bettini Paolo,2,Quickstep - Innergetic,,7,2007
26,,35.0,35.0,Napolitano Danilo,3,Lampre-Fondital,,7,2007
21,,77.0,25.0,Rojas Jos\xe9 Joaqu\xedn,4,Caisse d'Epargne,,7,2007
29,,59.0,18.0,Usov Alexandre,5,AG2R Pr\xe9voyance,,7,2007
24,,89.0,15.0,Richeze Ariel Maximiliano,6,Ceramica Panaria - Navigare,,7,2007
25,,152.0,12.0,Gasparotto Enrico,7,Liquigas,,7,2007
26,,14.0,10.0,Bazayev Assan,8,Astana,,7,2007
29,,,8.0,Gil Fernandez Koldo,9,,,7,2007
29,,142.0,6.0,F\xf6rster Robert,10,Gerolsteiner,,7,2007
32,,189.0,5.0,Arvesen Kurt-Asle,11,CSC ProTeam,,7,2007
31,,44.0,4.0,Balducci Gabriele,12,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
34,,161.0,3.0,McEwen Robbie,13,Predictor - Lotto,,7,2007
33,,68.0,2.0,Renier Franck,14,Bouygues Telecom,,7,2007
31,,48.0,1.0,Palumbo Giuseppe,15,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
21,,209.0,,Trusov Nikolay,16,Tinkoff Credit Systems,,7,2007
27,,78.0,,Markov Alexei,17,Caisse d'Epargne,,7,2007
25,,87.0,,Grillo Paride,18,Ceramica Panaria - Navigare,,7,2007
34,,175.0,,van Heeswijk Max,19,Rabobank ProTeam,,7,2007
28,,53.0,,Krivtsov Yuriy,20,AG2R Pr\xe9voyance,,7,2007
28,,112.0,,Bileka Volodymyr,21,Discovery Channel,,7,2007
27,,111.0,,Popovych Yaroslav,22,Discovery Channel,,7,2007
31,,23.0,,Belohvosciks Raivis,23,Saunier Duval,,7,2007
31,,197.0,,Ongarato Alberto,24,Milram,,7,2007
29,,99.0,,Zampieri Steve,25,Cofidis,,7,2007
25,,56.0,,Mondory Lloyd,26,AG2R Pr\xe9voyance,,7,2007
32,,24.0,,Ca\xf1ada David,27,Saunier Duval,,7,2007
35,,169.0,,Gates Nick,28,Predictor - Lotto,,7,2007
25,,207.0,,Brutt Pavel,29,Tinkoff Credit Systems,,7,2007
33,,41.0,,Garzelli Stefano,30,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
22,,46.0,,Kunitski Andrei,31,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
24,,67.0,,Pichot Alexandre,32,Bouygues Telecom,,7,2007
33,,114.0,,Hincapie George,33,Discovery Channel,,7,2007
29,,76.0,,Perez Aitor,34,Caisse d'Epargne,,7,2007
24,,18.0,,Morabito Steve,35,Astana,,7,2007
29,,51.0,,Nocentini Rinaldo,36,AG2R Pr\xe9voyance,,7,2007
22,,187.0,,Breschel Matti,37,CSC ProTeam,,7,2007
26,,58.0,,Riblon Christophe,38,AG2R Pr\xe9voyance,,7,2007
21,,183.0,,Schleck Andy,39,CSC ProTeam,,7,2007
24,,146.0,,Krauss Sven,40,Gerolsteiner,,7,2007
26,,139.0,,Veikkanen Jussi,41,Fran\xe7aise des Jeux,,7,2007
23,,148.0,,Russ Matthias,42,Gerolsteiner,,7,2007
33,,16.0,,Mazzoleni Eddy,43,Astana,,7,2007
34,,45.0,,Codol Massimo,44,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
24,,61.0,,Bonnaire Olivier,45,Bouygues Telecom,,7,2007
32,,162.0,,Cioni Dario,46,Predictor - Lotto,,7,2007
26,,181.0,,Cancellara Fabian,47,CSC ProTeam,,7,2007
34,,11.0,,Savoldelli Paolo,48,Astana,,7,2007
31,,15.0,,Yakovlev Serguei,49,Astana,,7,2007
23,,29.0,,Ricco Riccardo,50,Saunier Duval,,7,2007
31,,91.0,,Parra Ivan Ramiro,51,Cofidis,,7,2007
31,,134.0,,Jegou Lilian,52,Fran\xe7aise des Jeux,,7,2007
25,,31.0,,Cunego Damiano,53,Lampre-Fondital,,7,2007
29,,38.0,,Tiralongo Paolo,54,Lampre-Fondital,,7,2007
31,,101.0,,Caucchioli Pietro,55,Cr\xe9dit Agricole,,7,2007
25,,5.0,,Schwab Hubert,56,Quickstep - Innergetic,,7,2007
31,,39.0,,Javier Vila Francisco,57,Lampre-Fondital,,7,2007
21,,178.0,,Walker William,58,Rabobank ProTeam,,7,2007
22,,154.0,,Nibali Vincenzo,59,Liquigas,,7,2007
26,,34.0,,Marzano Marco,60,Lampre-Fondital,,7,2007
38,,155.0,,Noe Andrea,61,Liquigas,,7,2007
34,,17.0,,Mizurov Andrey,62,Astana,,7,2007
29,,156.0,,Pellizotti Franco,63,Liquigas,,7,2007
27,,82.0,,Laverde Luis Felipe,64,Ceramica Panaria - Navigare,,7,2007
33,,88.0,,Mazzanti Luca,65,Ceramica Panaria - Navigare,,7,2007
27,,125.0,,Irizar Markel,66,Euskaltel - Euskadi,,7,2007
27,,172.0,,Ardila Mauricio Alberto,67,Rabobank ProTeam,,7,2007
27,,212.0,,Bernucci Lorenzo,68,T-Mobile Team,,7,2007
26,,52.0,,Dupont Hubert,69,AG2R Pr\xe9voyance,,7,2007
35,,21.0,,Simoni Gilberto,70,Saunier Duval,,7,2007
34,,36.0,,Stangelj Gorazd,71,Lampre-Fondital,,7,2007
28,,202.0,,Petrov Evgeni,72,Tinkoff Credit Systems,,7,2007
22,,132.0,,Gerard Arnaud,73,Fran\xe7aise des Jeux,,7,2007
32,,33.0,,Bruseghin Marzio,74,Lampre-Fondital,,7,2007
32,,165.0,,Aerts Mario,75,Predictor - Lotto,,7,2007
24,,166.0,,Van den Broeck Jurgen,76,Predictor - Lotto,,7,2007
27,,167.0,,Van Huffel Wim,77,Predictor - Lotto,,7,2007
26,,149.0,,Zaugg Oliver,78,Gerolsteiner,,7,2007
26,,194.0,,Knees Christian,79,Milram,,7,2007
34,,95.0,,Fernandez Bingen,80,Cofidis,,7,2007
31,,151.0,,Di Luca Danilo,81,Liquigas,,7,2007
25,,98.0,,Valentin Tristan,82,Cofidis,,7,2007
26,,81.0,,Sella Emanuele,83,Ceramica Panaria - Navigare,,7,2007
21,,49.0,,Samoilau Branislau,84,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
32,,104.0,,Dean Julian,85,Cr\xe9dit Agricole,,7,2007
27,,19.0,,Muravyev Dmitriy,86,Astana,,7,2007
34,,215.0,,Merckx Axel,87,T-Mobile Team,,7,2007
31,,74.0,,Lastras Pablo,88,Caisse d'Epargne,,7,2007
31,,163.0,,Jufre Josep,89,Predictor - Lotto,,7,2007
33,,174.0,,Moerenhout Koos,90,Rabobank ProTeam,,7,2007
35,,141.0,,Rebellin Davide,91,Gerolsteiner,,7,2007
27,,72.0,,Berthou Eric,92,Caisse d'Epargne,,7,2007
38,,168.0,,Zanini Stefano,93,Predictor - Lotto,,7,2007
31,,217.0,,Pinotti Marco,94,T-Mobile Team,,7,2007
28,,123.0,,Galparsoro Dionisio,95,Euskaltel - Euskadi,,7,2007
34,,116.0,,Rubiera Jos\xe9 Luis,96,Discovery Channel,,7,2007
31,,66.0,,le Boulanger Yoann,97,Bouygues Telecom,,7,2007
29,,37.0,,Szmyd Sylwester,98,Lampre-Fondital,,7,2007
25,,55.0,,Mangel Laurent,99,AG2R Pr\xe9voyance,,7,2007
26,,127.0,,Pena Aketza,100,Euskaltel - Euskadi,,7,2007
34,,42.0,,Andriotto Dario,101,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
30,,103.0,,Bodrogi Laszlo,102,Cr\xe9dit Agricole,,7,2007
24,,43.0,,Arekeev Alexander,103,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
29,,27.0,,Mayo Iban,104,Saunier Duval,,7,2007
27,,71.0,,Arroyo David,105,Caisse d'Epargne,,7,2007
26,,137.0,,Mourey Francis,106,Fran\xe7aise des Jeux,,7,2007
28,,22.0,,Bertogliati Rubens,107,Saunier Duval,,7,2007
25,,96.0,,Heijboer Mathieu,108,Cofidis,,7,2007
36,,115.0,,Padrnos Pavel,109,Discovery Channel,,7,2007
28,,182.0,,Zabriskie David,110,CSC ProTeam,,7,2007
32,,86.0,,Baliani Fortunato,111,Ceramica Panaria - Navigare,,7,2007
33,,153.0,,Miholjevic Vladimir,112,Liquigas,,7,2007
29,,83.0,,Perez Cuapio Julio Alberto,113,Ceramica Panaria - Navigare,,7,2007
28,,12.0,,Gourov Maxim,114,Astana,,7,2007
25,,75.0,,Losada Alberto,115,Caisse d'Epargne,,7,2007
27,,102.0,,Bellotti Francesco,116,Cr\xe9dit Agricole,,7,2007
24,,85.0,,Pozzovivo Domenico,117,Ceramica Panaria - Navigare,,7,2007
26,,117.0,,van Goolen Jurgen,118,Discovery Channel,,7,2007
25,,3.0,,Facci Mauro,119,Quickstep - Innergetic,,7,2007
31,,13.0,,Joachim Benoit,120,Astana,,7,2007
35,,28.0,,Piepoli Leonardo,121,Saunier Duval,,7,2007
27,,47.0,,Masciarelli Simone,122,Acqua & Sapone - Caff\xe8 Mokambo,,7,2007
22,,54.0,,Loubet Julien,123,AG2R Pr\xe9voyance,,7,2007
32,,157.0,,Spezialetti Alessandro,124,Liquigas,,7,2007
27,,94.0,,Duclos-Lassalle Herv\xe9,125,Cofidis,,7,2007
25,,97.0,,Moinard Ama\xebl,126,Cofidis,,7,2007
26,,158.0,,Vanotti Alessandro,127,Liquigas,,7,2007
28,,205.0,,Serrano Ricardo,128,Tinkoff Credit Systems,,7,2007
29,,159.0,,Wegelius Charles,129,Liquigas,,7,2007
27,,195.0,,Lancaster Brett,130,Milram,,7,2007
23,,164.0,,Lloyd Matthew,131,Predictor - Lotto,,7,2007
29,,105.0,,Furlan Angelo,132,Cr\xe9dit Agricole,,7,2007
32,,179.0,,Horrillo Pedro,133,Rabobank ProTeam,,7,2007
21,,84.0,,Pagoto Andrea,134,Ceramica Panaria - Navigare,,7,2007
32,,203.0,,Contrini Daniele,135,Tinkoff Credit Systems,,7,2007
30,,188.0,,Gustov Volodymyr,136,CSC ProTeam,,7,2007
33,,119.0,,White Matthew,137,Discovery Channel,,7,2007
30,,214.0,,Henderson Gregory,138,T-Mobile Team,,7,2007
19,,204.0,,Rovny Ivan,139,Tinkoff Credit Systems,,7,2007
26,,26.0,,Mori Manuele,140,Saunier Duval,,7,2007
24,,57.0,,Naibo Carl,141,AG2R Pr\xe9voyance,,7,2007
32,,201.0,,Commesso Salvatore,142,Tinkoff Credit Systems,,7,2007
33,,7.0,,Tosatto Matteo,143,Quickstep - Innergetic,,7,2007
29,,192.0,,Cortinovis Alessandro,144,Milram,,7,2007
32,,4.0,,Scarselli Leonardo,145,Quickstep - Innergetic,,7,2007
26,,113.0,,Cummings Stephen,146,Discovery Channel,,7,2007
25,,199.0,,Lorenzetto Mirco,147,Milram,,7,2007
24,,143.0,,Fothen Thomas,148,Gerolsteiner,,7,2007
26,,25.0,,Gomez Gomez Angel,149,Saunier Duval,,7,2007
22,,198.0,,Sabatini Fabio,150,Milram,,7,2007
27,,62.0,,Crosbie Nicolas,151,Bouygues Telecom,,7,2007
35,,92.0,,Bessy Fr\xe9d\xe9ric,152,Cofidis,,7,2007
25,,124.0,,Hernandez Gutierrez Aitor,153,Euskaltel - Euskadi,,7,2007
22,,144.0,,Gatto Oscar,154,Gerolsteiner,,7,2007
34,,186.0,,Blaudzun Michael,155,CSC ProTeam,,7,2007
22,,109.0,,Roche Nicolas,156,Cr\xe9dit Agricole,,7,2007
22,,145.0,,Klinger Tim,157,Gerolsteiner,,7,2007
26,,184.0,,Haedo Juan Jose,158,CSC ProTeam,,7,2007
30,,65.0,,Labbe Arnaud,159,Bouygues Telecom,,7,2007
27,,128.0,,Velasco Ivan,160,Euskaltel - Euskadi,,7,2007
22,,79.0,,Perget Mathieu,161,Caisse d'Epargne,,7,2007
25,,64.0,,Gene Yohann,162,Bouygues Telecom,,7,2007
23,,176.0,,Kozonchuk Dmitry,163,Rabobank ProTeam,,7,2007
33,,196.0,,M\xfcller Martin,164,Milram,,7,2007
32,,171.0,,Rasmussen Michael,165,Rabobank ProTeam,,7,2007
26,,185.0,,Kolobnev Alexandr,166,CSC ProTeam,,7,2007
30,,8.0,,van de Walle Jurgen,167,Quickstep - Innergetic,,7,2007
27,,193.0,,Ghisalberti Sergio,168,Milram,,7,2007
23,,218.0,,Rabon Frantisek,169,T-Mobile Team,,7,2007
24,,9.0,,Visconti Giovanni,170,Quickstep - Innergetic,,7,2007
35,,208.0,,Aggiano Elio,171,Tinkoff Credit Systems,,7,2007
29,,2.0,,Engels Addy,172,Quickstep - Innergetic,,7,2007
25,,118.0,,Vandborg Brian,173,Discovery Channel,,7,2007
28,,129.0,,Zubeldia Joseba,174,Euskaltel - Euskadi,,7,2007
27,,93.0,,Buffaz Mickael,175,Cofidis,,7,2007
23,,138.0,,Patanchon Fabien,176,Fran\xe7aise des Jeux,,7,2007
29,,216.0,,Olson Aaron,177,T-Mobile Team,,7,2007
23,,136.0,,Monnerais Cyrille,178,Fran\xe7aise des Jeux,,7,2007
27,,69.0,,Voeckler Thomas,179,Bouygues Telecom,,7,2007
22,,206.0,,Ignatyev Mikhail,180,Tinkoff Credit Systems,,7,2007
23,,32.0,,Bono Matteo,181,Lampre-Fondital,,7,2007
26,,107.0,,Kern Christophe,182,Cr\xe9dit Agricole,,7,2007
26,,121.0,,Albizuri Benat,183,Euskaltel - Euskadi,,7,2007
25,,63.0,,Drancourt Pierre,184,Bouygues Telecom,,7,2007
26,,126.0,,Luengo Anton,185,Euskaltel - Euskadi,,7,2007
32,,189.0,80.0,Arvesen Kurt-Asle,1,CSC ProTeam,,8,2007
33,,1.0,50.0,Bettini Paolo,2,Quickstep - Innergetic,,8,2007
26,,14.0,35.0,Bazayev Assan,3,Astana,,8,2007
28,,202.0,25.0,Petrov Evgeni,4,Tinkoff Credit Systems,,8,2007
28,,123.0,18.0,Galparsoro Dionisio,5,Euskaltel - Euskadi,,8,2007
33,,114.0,15.0,Hincapie George,6,Discovery Channel,,8,2007
32,,157.0,12.0,Spezialetti Alessandro,7,Liquigas,,8,2007
29,,51.0,10.0,Nocentini Rinaldo,8,AG2R Pr\xe9voyance,,8,2007
26,,81.0,8.0,Sella Emanuele,9,Ceramica Panaria - Navigare,,8,2007
27,,71.0,6.0,Arroyo David,10,Caisse d'Epargne,,8,2007
24,,43.0,5.0,Arekeev Alexander,11,Acqua & Sapone - Caff\xe8 Mokambo,,8,2007
31,,39.0,4.0,Javier Vila Francisco,12,Lampre-Fondital,,8,2007
21,,178.0,3.0,Walker William,13,Rabobank ProTeam,,8,2007
26,,137.0,2.0,Mourey Francis,14,Fran\xe7aise des Jeux,,8,2007
38,,155.0,1.0,Noe Andrea,15,Liquigas,,8,2007
32,,165.0,,Aerts Mario,16,Predictor - Lotto,,8,2007
32,,33.0,,Bruseghin Marzio,17,Lampre-Fondital,,8,2007
32,,162.0,,Cioni Dario,18,Predictor - Lotto,,8,2007
26,,34.0,,Marzano Marco,19,Lampre-Fondital,,8,2007
34,,116.0,,Rubiera Jos\xe9 Luis,20,Discovery Channel,,8,2007
31,,15.0,,Yakovlev Serguei,21,Astana,,8,2007
25,,207.0,,Brutt Pavel,22,Tinkoff Credit Systems,,8,2007
31,,217.0,,Pinotti Marco,23,T-Mobile Team,,8,2007
35,,28.0,,Piepoli Leonardo,24,Saunier Duval,,8,2007
27,,19.0,,Muravyev Dmitriy,25,Astana,,8,2007
34,,11.0,,Savoldelli Paolo,26,Astana,,8,2007
33,,16.0,,Mazzoleni Eddy,27,Astana,,8,2007
31,,13.0,,Joachim Benoit,28,Astana,,8,2007
34,,17.0,,Mizurov Andrey,29,Astana,,8,2007
28,,12.0,,Gourov Maxim,30,Astana,,8,2007
24,,18.0,,Morabito Steve,31,Astana,,8,2007
28,,112.0,,Bileka Volodymyr,32,Discovery Channel,,8,2007
27,,111.0,,Popovych Yaroslav,33,Discovery Channel,,8,2007
25,,56.0,,Mondory Lloyd,34,AG2R Pr\xe9voyance,,8,2007
33,,88.0,,Mazzanti Luca,35,Ceramica Panaria - Navigare,,8,2007
21,,84.0,,Pagoto Andrea,36,Ceramica Panaria - Navigare,,8,2007
25,,5.0,,Schwab Hubert,37,Quickstep - Innergetic,,8,2007
29,,38.0,,Tiralongo Paolo,38,Lampre-Fondital,,8,2007
26,,158.0,,Vanotti Alessandro,39,Liquigas,,8,2007
23,,218.0,,Rabon Frantisek,40,T-Mobile Team,,8,2007
28,,53.0,,Krivtsov Yuriy,41,AG2R Pr\xe9voyance,,8,2007
25,,31.0,,Cunego Damiano,42,Lampre-Fondital,,8,2007
33,,41.0,,Garzelli Stefano,43,Acqua & Sapone - Caff\xe8 Mokambo,,8,2007
25,,152.0,,Gasparotto Enrico,44,Liquigas,,8,2007
31,,48.0,,Palumbo Giuseppe,45,Acqua & Sapone - Caff\xe8 Mokambo,,8,2007
34,,42.0,,Andriotto Dario,46,Acqua & Sapone - Caff\xe8 Mokambo,,8,2007
29,,59.0,,Usov Alexandre,47,AG2R Pr\xe9voyance,,8,2007
34,,45.0,,Codol Massimo,48,Acqua & Sapone - Caff\xe8 Mokambo,,8,2007
33,,153.0,,Miholjevic Vladimir,49,Liquigas,,8,2007
29,,142.0,,F\xf6rster Robert,50,Gerolsteiner,,8,2007
31,,151.0,,Di Luca Danilo,51,Liquigas,,8,2007
21,,183.0,,Schleck Andy,52,CSC ProTeam,,8,2007
27,,93.0,,Buffaz Mickael,53,Cofidis,,8,2007
30,,188.0,,Gustov Volodymyr,54,CSC ProTeam,,8,2007
22,,154.0,,Nibali Vincenzo,55,Liquigas,,8,2007
31,,101.0,,Caucchioli Pietro,56,Cr\xe9dit Agricole,,8,2007
35,,21.0,,Simoni Gilberto,57,Saunier Duval,,8,2007
29,,156.0,,Pellizotti Franco,58,Liquigas,,8,2007
35,,92.0,,Bessy Fr\xe9d\xe9ric,59,Cofidis,,8,2007
25,,3.0,,Facci Mauro,60,Quickstep - Innergetic,,8,2007
31,,91.0,,Parra Ivan Ramiro,61,Cofidis,,8,2007
24,,67.0,,Pichot Alexandre,62,Bouygues Telecom,,8,2007
32,,24.0,,Ca\xf1ada David,63,Saunier Duval,,8,2007
21,,209.0,,Trusov Nikolay,64,Tinkoff Credit Systems,,8,2007
26,,52.0,,Dupont Hubert,65,AG2R Pr\xe9voyance,,8,2007
24,,61.0,,Bonnaire Olivier,66,Bouygues Telecom,,8,2007
30,,8.0,,van de Walle Jurgen,67,Quickstep - Innergetic,,8,2007
27,,125.0,,Irizar Markel,68,Euskaltel - Euskadi,,8,2007
29,,105.0,,Furlan Angelo,69,Cr\xe9dit Agricole,,8,2007
