Age,Avg,BIB,Pnt,Rider,Rnk,Team,Time won/lost,stage,year
21,,209.0,,Trusov Nikolay,178,Tinkoff Credit Systems,,2,2007
23,,32.0,,Bono Matteo,179,Lampre-Fondital,,2,2007
35,,177.0,,van Bon L\xe9on,180,Rabobank ProTeam,,2,2007
28,,173.0,,Brown Graeme,181,Rabobank ProTeam,,2,2007
35,,92.0,,Bessy Fr\xe9d\xe9ric,182,Cofidis,,2,2007
32,,157.0,,Spezialetti Alessandro,183,Liquigas,,2,2007
25,,121.0,,Albizuri Benat,184,Euskaltel - Euskadi,,2,2007
26,,107.0,,Kern Christophe,185,Cr\xe9dit Agricole,,2,2007
24,,146.0,,Krauss Sven,186,Gerolsteiner,,2,2007
29,,108.0,,Hushovd Thor,187,Cr\xe9dit Agricole,,2,2007
30,,65.0,,Labbe Arnaud,188,Bouygues Telecom,,2,2007
23,,133.0,,Gudsell Timothy,189,Fran\xe7aise des Jeux,,2,2007
22,,144.0,,Gatto Oscar,190,Gerolsteiner,,2,2007
23,,136.0,,Monnerais Cyrille,191,Fran\xe7aise des Jeux,,2,2007
26,,126.0,,Luengo Anton,192,Euskaltel - Euskadi,,2,2007
26,,26.0,,Mori Manuele,193,Saunier Duval,,2,2007
35,,6.0,,Tonti Andrea,194,Quickstep - Innergetic,,2,2007
33,,191.0,,Petacchi Alessandro,1*,Milram,,3,2007
29,,142.0,80.0,F\xf6rster Robert,1,Gerolsteiner,,3,2007
24,,89.0,50.0,Richeze Ariel Maximiliano,2,Ceramica Panaria - Navigare,,3,2007
34,,161.0,35.0,McEwen Robbie,3,Predictor - Lotto,,3,2007
26,,35.0,25.0,Napolitano Danilo,4,Lampre-Fondital,,3,2007
29,,59.0,18.0,Usov Alexandre,5,AG2R Pr\xe9voyance,,3,2007
25,,56.0,15.0,Mondory Lloyd,6,AG2R Pr\xe9voyance,,3,2007
25,,152.0,12.0,Gasparotto Enrico,7,Liquigas,,3,2007
21,,77.0,10.0,Rojas Jos\xe9 Joaqu\xedn,8,Caisse d'Epargne,,3,2007
28,,112.0,8.0,Bileka Volodymyr,9,Discovery Channel,,3,2007
29,,76.0,6.0,Perez Aitor,10,Caisse d'Epargne,,3,2007
33,,1.0,5.0,Bettini Paolo,11,Quickstep - Innergetic,,3,2007
30,,65.0,4.0,Labbe Arnaud,12,Bouygues Telecom,,3,2007
28,,205.0,3.0,Serrano Ricardo,13,Tinkoff Credit Systems,,3,2007
33,,68.0,2.0,Renier Franck,14,Bouygues Telecom,,3,2007
32,,201.0,1.0,Commesso Salvatore,15,Tinkoff Credit Systems,,3,2007
32,,104.0,,Dean Julian,16,Cr\xe9dit Agricole,,3,2007
26,,139.0,,Veikkanen Jussi,17,Fran\xe7aise des Jeux,,3,2007
27,,94.0,,Duclos-Lassalle Herv\xe9,18,Cofidis,,3,2007
28,,123.0,,Galparsoro Dionisio,19,Euskaltel - Euskadi,,3,2007
25,,96.0,,Heijboer Mathieu,20,Cofidis,,3,2007
27,,128.0,,Velasco Ivan,21,Euskaltel - Euskadi,,3,2007
33,,16.0,,Mazzoleni Eddy,22,Astana,,3,2007
27,,212.0,,Bernucci Lorenzo,23,T-Mobile Team,,3,2007
34,,175.0,,van Heeswijk Max,24,Rabobank ProTeam,,3,2007
28,,12.0,,Gourov Maxim,25,Astana,,3,2007
28,,53.0,,Krivtsov Yuriy,26,AG2R Pr\xe9voyance,,3,2007
27,,111.0,,Popovych Yaroslav,27,Discovery Channel,,3,2007
29,,,,Gil Fernandez Koldo,28,,,3,2007
34,,11.0,,Savoldelli Paolo,29,Astana,,3,2007
