Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
127,166,Kadri Blel,28,AG2R La Mondiale,,,124.0,+13:46,",, 13:19",2015,2
128,45,Brutt Pavel,33,Tinkoff - Saxo,,,119.0,+13:38,",, 13:19",2015,2
129,2,Bonifazio Niccolo,21,Lampre - Merida,,,126.0,+13:47,",, 13:19",2015,2
130,178,Bole Grega,29,CCC Sprandi Polkowice,,,128.0,+13:48,",, 13:19",2015,2
131,132,Bonnet William,32,FDJ,,,139.0,+16:02,15:46 15:46,2015,2
132,72,Guarnieri Jacopo,27,Team Katusha,,,140.0,+16:08,",, 15:46",2015,2
133,1,Cimolai Davide,25,Lampre - Merida,,,147.0,+16:15,",, 15:46",2015,2
134,13,Devolder Stijn,35,Trek Factory Racing,,,138.0,+16:01,",, 15:46",2015,2
135,18,Stuyven Jasper,23,Trek Factory Racing,,,134.0,+15:59,",, 15:46",2015,2
136,155,Kozhatayev Bakhtiyar,23,Astana Pro Team,,,149.0,+16:18,",, 15:46",2015,2
137,58,Pate Danny,36,Team Sky,,,136.0,+15:59,",, 15:46",2015,2
138,122,Arm\xe9e Sander,29,Lotto Soudal,,,150.0,+16:19,",, 15:46",2015,2
139,152,Bozic Borut,34,Astana Pro Team,,,133.0,+15:59,",, 15:46",2015,2
140,76,Lagutin Sergey,34,Team Katusha,,,143.0,+16:11,",, 15:46",2015,2
141,134,D\xe9mare Arnaud,23,FDJ,,,137.0,+16:01,",, 15:46",2015,2
142,71,Kristoff Alexander,27,Team Katusha,,,132.0,+15:58,",, 15:46",2015,2
143,54,Nordhaug Lars Petter,31,Team Sky,,,148.0,+16:17,",, 15:46",2015,2
144,3,Xu Gang,31,Lampre - Merida,,,151.0,+16:26,",, 15:46",2015,2
145,66,Van Asbroeck Tom,25,Team LottoNL-Jumbo,,,145.0,+16:12,",, 15:46",2015,2
146,62,Leezer Tom,29,Team LottoNL-Jumbo,,,141.0,+16:10,",, 15:46",2015,2
147,27,Br\xe4ndle Matthias,25,IAM Cycling,,,131.0,+15:46,",, 15:46",2015,2
148,55,Eisel Bernhard,34,Team Sky,,,146.0,+16:13,",, 15:46",2015,2
149,106,Tuft Svein,38,Orica GreenEDGE,,,135.0,+15:59,",, 15:46",2015,2
150,157,Malacarne Davide,27,Astana Pro Team,,,144.0,+16:11,",, 15:46",2015,2
151,138,Vichot Arthur,26,FDJ,,,142.0,+16:10,",, 15:46",2015,2
DNS,115,Moreno Javier,30,Movistar Team,,,,+ -3:42:37,",, 15:46",2015,2
1,41,Sagan Peter,25,Tinkoff - Saxo,6.0,50.0,3.0,+0:05,3:00:35 3:00:35,2015,3
2,77,Moreno Daniel,33,Team Katusha,4.0,30.0,2.0,+0:05,",, ,,",2015,3
3,131,Pinot Thibaut,25,FDJ,2.0,18.0,5.0,+0:12,",, ,,",2015,3
4,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,1.0,13.0,11.0,+0:19,",, ,,",2015,3
5,85,Dumoulin Tom,24,Team Giant - Alpecin,1.0,10.0,1.0,+0:00,",, ,,",2015,3
6,52,Thomas Geraint,29,Team Sky,,7.0,4.0,+0:07,",, ,,",2015,3
7,151,Fuglsang Jakob,30,Astana Pro Team,,4.0,6.0,+0:14,",, ,,",2015,3
8,102,Chaves Johan Esteban,25,Orica GreenEDGE,,3.0,18.0,+0:39,",, ,,",2015,3
9,51,Henao Sergio Luis,27,Team Sky,,2.0,23.0,+1:19,",, ,,",2015,3
10,117,Rojas Jos\xe9 Joaqu\xedn,30,Movistar Team,,1.0,20.0,+1:14,",, ,,",2015,3
11,163,Bakelants Jan,29,AG2R La Mondiale,,,21.0,+1:14,",, ,,",2015,3
12,175,Rebellin Davide,43,CCC Sprandi Polkowice,,,26.0,+1:26,",, ,,",2015,3
13,78,Spilak Simon,28,Team Katusha,,,10.0,+0:19,",, ,,",2015,3
14,61,Gesink Robert,29,Team LottoNL-Jumbo,,,17.0,+0:32,",, ,,",2015,3
15,161,Pozzovivo Domenico,32,AG2R La Mondiale,,,14.0,+0:29,",, ,,",2015,3
16,26,Reichenbach Sebastien,26,IAM Cycling,,,15.0,+0:29,",, ,,",2015,3
17,7,Durasek Kristijan,27,Lampre - Merida,,,8.0,+0:18,",, ,,",2015,3
18,107,Matthews Michael,24,Orica GreenEDGE,,,51.0,+10:17,",, ,,",2015,3
19,4,Conti Valerio,22,Lampre - Merida,,,27.0,+1:26,",, ,,",2015,3
20,156,Lopez Miguel Angel,21,Astana Pro Team,,,13.0,+0:26,",, ,,",2015,3
21,121,Van den Broeck Jurgen,32,Lotto Soudal,,,24.0,+1:19,",, ,,",2015,3
22,15,Jungels Bob,22,Trek Factory Racing,,,9.0,+0:19,",, ,,",2015,3
23,143,Brambilla Gianluca,27,Etixx - Quick Step,,,22.0,+1:17,",, ,,",2015,3
24,33,Hermans Ben,29,BMC Racing Team,,,16.0,+0:32,",, ,,",2015,3
25,83,Barguil Warren,23,Team Giant - Alpecin,,,32.0,+2:39,",, ,,",2015,3
26,136,Morabito Steve,32,FDJ,,,7.0,+0:15,",, ,,",2015,3
27,17,Schleck Fr\xe4nk,35,Trek Factory Racing,,,34.0,+2:43,",, ,,",2015,3
28,57,Siutsou Kanstantsin,32,Team Sky,,,19.0,+1:09,",, ,,",2015,3
29,111,Anacona Winner,26,Movistar Team,,,12.0,+0:21,",, ,,",2015,3
30,65,ten Dam Laurens,34,Team LottoNL-Jumbo,,,28.0,+1:35,",, ,,",2015,3
31,46,Majka Rafa\u0142,25,Tinkoff - Saxo,,,25.0,+1:21,",, ,,",2015,3
32,22,Coppel J\xe9rome,28,IAM Cycling,,,44.0,+7:36,0:13 0:13,2015,3
33,158,Lutsenko Alexey,22,Astana Pro Team,,,30.0,+2:32,1:19 1:19,2015,3
34,181,Gasparotto Enrico,33,Wanty - Groupe Gobert,,,31.0,+2:37,1:22 1:22,2015,3
35,104,Impey Daryl,30,Orica GreenEDGE,,,40.0,+7:03,",, 1:22",2015,3
36,94,Dombrowski Joe,24,Team Cannondale - Garmin,,,42.0,+7:30,",, 1:22",2015,3
37,37,Van Avermaet Greg,30,BMC Racing Team,,,29.0,+2:23,",, 1:22",2015,3
38,127,Monfort Maxime,32,Lotto Soudal,,,47.0,+8:56,",, 1:22",2015,3
39,184,de Greef Francis,30,Wanty - Groupe Gobert,,,33.0,+2:42,",, 1:22",2015,3
40,5,Niemiec Przemyslaw,35,Lampre - Merida,,,35.0,+2:46,",, 1:22",2015,3
41,32,Atapuma John Darwin,27,BMC Racing Team,,,37.0,+4:11,",, 1:22",2015,3
42,98,Moser Moreno,24,Team Cannondale - Garmin,,,65.0,+14:49,",, 1:22",2015,3
43,172,Samoilau Branislau,30,CCC Sprandi Polkowice,,,41.0,+7:20,",, 1:22",2015,3
44,53,Lopez David,34,Team Sky,,,36.0,+2:46,",, 1:22",2015,3
45,137,Roy J\xe9r\xe9my,31,FDJ,,,45.0,+8:44,2:56 2:56,2015,3
46,187,Minnaard Marco,26,Wanty - Groupe Gobert,,,48.0,+9:02,",, 2:56",2015,3
47,28,Warbasse Larry,24,IAM Cycling,,,46.0,+8:45,",, 2:56",2015,3
48,36,Senni Manuel,23,BMC Racing Team,,,39.0,+5:38,",, 2:56",2015,3
49,101,Albasini Michael,34,Orica GreenEDGE,,,38.0,+4:36,3:30 3:30,2015,3
50,23,Denifl Stefan,27,IAM Cycling,,,56.0,+11:46,4:06 4:06,2015,3
51,97,Mohoric Matej,20,Team Cannondale - Garmin,,,64.0,+14:45,",, 4:06",2015,3
52,174,Schumacher Stefan,33,CCC Sprandi Polkowice,,,43.0,+7:32,4:54 4:54,2015,3
53,113,Anton Igor,32,Movistar Team,,,52.0,+10:44,",, 4:54",2015,3
54,56,Knees Christian,34,Team Sky,,,58.0,+12:36,5:04 5:04,2015,3
55,178,Bole Grega,29,CCC Sprandi Polkowice,,,80.0,+18:52,",, 5:04",2015,3
56,118,Ventoso Francisco,33,Movistar Team,,,57.0,+12:28,",, 5:04",2015,3
57,168,Domont Axel,24,AG2R La Mondiale,,,72.0,+16:12,5:29 5:29,2015,3
58,148,Vermote Julien,25,Etixx - Quick Step,,,62.0,+14:41,8:48 8:48,2015,3
59,147,Trentin Matteo,25,Etixx - Quick Step,,,59.0,+14:31,",, 8:48",2015,3
60,6,Pibernik Luka,21,Lampre - Merida,,,53.0,+11:31,",, 8:48",2015,3
61,48,Valgren Michael,23,Tinkoff - Saxo,,,60.0,+14:34,",, 8:48",2015,3
62,162,Bonnafond Guillaume,27,AG2R La Mondiale,,,77.0,+16:40,",, 8:48",2015,3
63,88,Preidler Georg,24,Team Giant - Alpecin,,,90.0,+22:23,",, 8:48",2015,3
64,64,Martens Paul,31,Team LottoNL-Jumbo,,,83.0,+19:13,",, 8:48",2015,3
65,182,Backaert Frederik,25,Wanty - Groupe Gobert,,,75.0,+16:32,",, 8:48",2015,3
66,125,De Gendt Thomas,28,Lotto Soudal,,,85.0,+19:16,",, 8:48",2015,3
67,144,Go\u0142a\u015b Micha\u0142,31,Etixx - Quick Step,,,61.0,+14:37,",, 8:48",2015,3
68,31,Dillier Silvan,24,BMC Racing Team,,,69.0,+15:41,",, 8:48",2015,3
69,21,Elmiger Martin,36,IAM Cycling,,,49.0,+9:54,",, 8:48",2015,3
70,165,Turgot S\xe9bastien,31,AG2R La Mondiale,,,84.0,+19:15,",, 8:48",2015,3
71,93,Cardoso Andr\xe9,30,Team Cannondale - Garmin,,,55.0,+11:45,",, 8:48",2015,3
72,171,Szmyd Sylwester,37,CCC Sprandi Polkowice,,,66.0,+14:50,",, 8:48",2015,3
73,25,Fumeaux Jonathan,27,IAM Cycling,,,63.0,+14:43,",, 8:48",2015,3
74,91,Danielson Thomas,37,Team Cannondale - Garmin,,,54.0,+11:43,",, 8:48",2015,3
75,14,Didier Laurent,30,Trek Factory Racing,,,76.0,+16:35,",, 8:48",2015,3
76,18,Stuyven Jasper,23,Trek Factory Racing,,,102.0,+24:47,",, 8:48",2015,3
77,177,Honkisz Adrian,27,CCC Sprandi Polkowice,,,68.0,+15:04,",, 8:48",2015,3
78,135,Ladagnous Matthieu,30,FDJ,,,73.0,+16:19,",, 8:48",2015,3
79,176,Hirt Jan,24,CCC Sprandi Polkowice,,,67.0,+14:56,",, 8:48",2015,3
80,116,Malori Adriano,27,Movistar Team,,,82.0,+19:03,",, 8:48",2015,3
81,114,Izagirre Ion,26,Movistar Team,,,50.0,+9:55,",, 8:48",2015,3
82,108,Meyer Cameron,27,Orica GreenEDGE,,,71.0,+16:03,10:30 10:30,2015,3
83,103,Clarke Simon,28,Orica GreenEDGE,,,89.0,+21:04,",, 10:30",2015,3
84,157,Malacarne Davide,27,Astana Pro Team,,,106.0,+26:56,10:45 10:45,2015,3
85,105,Hayman Mathew,37,Orica GreenEDGE,,,99.0,+24:17,",, 10:45",2015,3
86,38,Wyss Danilo,29,BMC Racing Team,,,74.0,+16:27,",, 10:45",2015,3
87,123,Breen Vegard,25,Lotto Soudal,,,78.0,+18:15,",, 10:45",2015,3
88,95,King Benjamin,26,Team Cannondale - Garmin,,,103.0,+26:38,13:13 13:13,2015,3
89,96,Howes Alex,27,Team Cannondale - Garmin,,,107.0,+27:01,",, 13:13",2015,3
