Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
32,124,39,+9:13,,55.0,Moinard Ama\xebl,39,BMC Racing Team,9:13 9:13,+0:12,,\u25b216,5,2014
26,32,40,+9:15,,39.0,Bagot Yoann,40,"Cofidis, Solutions Cr\xe9dits",9:15 9:15,+4:08,,\u25bc1,5,2014
26,133,41,+9:27,,40.0,Rybakov Alexander,41,Team Katusha,9:27 9:27,+4:08,,\u25bc1,5,2014
34,91,42,+9:54,,43.0,Chavanel Sylvain,42,IAM Cycling,9:54 9:54,+4:08,,\u25b21,5,2014
31,17,43,+10:00,,47.0,Westra Lieuwe,43,Astana Pro Team,10:00 10:00,+4:08,,\u25b24,5,2014
26,74,44,+10:45,,49.0,Gautier Cyril,44,Team Europcar,10:45 10:45,+4:08,,\u25b25,5,2014
29,6,45,+11:08,,61.0,Porte Richie,45,Team Sky,11:08 11:08,+0:12,,\u25b216,5,2014
34,71,46,+11:50,,50.0,Voeckler Thomas,46,Team Europcar,11:50 11:50,+4:08,,\u25b24,5,2014
29,128,47,+11:50,,51.0,Velits Peter,47,BMC Racing Team,",, 11:50",+4:08,,\u25b24,5,2014
37,68,48,+11:51,,52.0,Peraud Jean-Christophe,48,AG2R La Mondiale,11:51 11:51,+4:08,,\u25b24,5,2014
30,36,49,+11:59,,53.0,Mat\xe9 Luis \xc1ngel,49,"Cofidis, Solutions Cr\xe9dits",11:59 11:59,+4:08,,\u25b24,5,2014
21,148,50,+12:20,,54.0,Verona Carlos,50,Omega Pharma - Quick-Step,12:20 12:20,+4:08,,\u25b24,5,2014
21,184,51,+13:52,,28.0,Conti Valerio,51,Lampre - Merida,13:52 13:52,+10:28,,\u25bc23,5,2014
30,196,52,+14:13,,58.0,Nordhaug Lars Petter,52,Belkin-Pro Cycling Team,14:13 14:13,+4:08,,\u25b26,5,2014
26,163,53,+14:22,,34.0,Howes Alex,53,Garmin Sharp,14:22 14:22,+10:28,,\u25bc19,5,2014
26,78,54,+15:04,,38.0,Sicard Romain,54,Team Europcar,15:04 15:04,+10:28,,\u25bc16,5,2014
31,51,55,+15:11,,22.0,Anton Igor,55,Movistar Team,15:11 15:11,+12:37,,\u25bc33,5,2014
29,127,56,+16:13,,64.0,Van Avermaet Greg,56,BMC Racing Team,16:13 16:13,+4:08,,\u25b28,5,2014
30,13,57,+16:17,,44.0,Grivko Andrei,57,Astana Pro Team,16:17 16:17,+10:28,,\u25bc13,5,2014
27,101,58,+16:20,,46.0,Koren Kristijan,58,Cannondale,16:20 16:20,+10:28,,\u25bc12,5,2014
31,58,59,+16:34,,67.0,Visconti Giovanni,59,Movistar Team,16:34 16:34,+4:08,,\u25b28,5,2014
