Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
23,61,16,+2:19,5.0,Bardet Romain,5,AG2R La Mondiale,1:58 1:58,,-,3,2014
24,141,20,+2:37,6.0,Kwiatkowski Michal,6,Omega Pharma - Quick-Step,2:16 2:16,,-,3,2014
24,102,21,+2:37,7.0,Bennett George,7,Cannondale,",, 2:16",,-,3,2014
21,184,29,+3:24,8.0,Conti Valerio,8,Lampre - Merida,3:03 3:03,,-,3,2014
21,142,39,+5:14,9.0,Alaphilippe Julian,9,Omega Pharma - Quick-Step,4:53 4:53,,-,3,2014
21,178,58,+8:09,11.0,Olivier Daan,10,Team Giant - Shimano,7:48 7:48,,\u25b21,3,2014
21,148,59,+8:12,10.0,Verona Carlos,11,Omega Pharma - Quick-Step,7:51 7:51,,\u25bc1,3,2014
24,27,65,+9:54,12.0,Beltran Edward,12,Tinkoff - Saxo,9:33 9:33,,-,3,2014
25,171,73,+11:47,15.0,Damuseau Thomas,13,Team Giant - Shimano,11:26 11:26,,\u25b22,3,2014
21,111,77,+12:00,14.0,Jungels Bob,14,Trek Factory Racing,11:39 11:39,,-,3,2014
21,43,78,+12:02,13.0,Howson Damien,15,Orica GreenEDGE,11:41 11:41,,\u25bc2,3,2014
24,125,97,+13:29,17.0,Nerz Dominik,16,BMC Racing Team,13:08 13:08,,\u25b21,3,2014
24,83,100,+13:42,18.0,Broeckx Stig,17,Lotto Belisol,13:21 13:21,,\u25b21,3,2014
24,92,108,+15:29,19.0,Br\xe4ndle Matthias,18,IAM Cycling,15:08 15:08,,\u25b21,3,2014
21,66,112,+16:15,20.0,Gougeard Alexis,19,AG2R La Mondiale,15:54 15:54,,\u25b21,3,2014
22,172,119,+19:39,25.0,Arndt Nikias,20,Team Giant - Shimano,19:18 19:18,,\u25b25,3,2014
25,177,122,+19:43,24.0,Janse van Rensburg Reinardt,21,Team Giant - Shimano,19:22 19:22,,\u25b23,3,2014
24,208,125,+19:57,27.0,Thwaites Scott,22,Team NetApp \u2013 Endura,19:36 19:36,,\u25b25,3,2014
24,192,127,+20:03,21.0,Bobridge Jack,23,Belkin-Pro Cycling Team,19:42 19:42,,\u25bc2,3,2014
23,138,132,+20:12,22.0,Vorobyev Anton,24,Team Katusha,19:51 19:51,,\u25bc2,3,2014
22,198,135,+20:22,29.0,van der Lijke Nick,25,Belkin-Pro Cycling Team,20:01 20:01,,\u25b24,3,2014
25,186,138,+20:39,23.0,Favilli Elia,26,Lampre - Merida,20:18 20:18,,\u25bc3,3,2014
24,136,139,+21:16,32.0,Tsatevich Alexey,27,Team Katusha,20:55 20:55,,\u25b25,3,2014
22,155,140,+21:19,33.0,D\xe9mare Arnaud,28,FDJ.fr,20:58 20:58,,\u25b25,3,2014
23,72,142,+21:25,16.0,Berhane Natnael,29,Team Europcar,21:04 21:04,,\u25bc13,3,2014
22,22,143,+21:29,30.0,Valgren Michael,30,Tinkoff - Saxo,21:08 21:08,,-,3,2014
24,205,146,+21:34,34.0,Matzka Ralf,31,Team NetApp \u2013 Endura,21:13 21:13,,\u25b23,3,2014
24,183,147,+21:56,35.0,Cimolai Davide,32,Lampre - Merida,21:35 21:35,,\u25b23,3,2014
24,56,157,+24:59,37.0,Sanz Enrique,33,Movistar Team,24:38 24:38,,\u25b24,3,2014
22,188,158,+25:46,36.0,Wackermann Luca,34,Lampre - Merida,25:25 25:25,,\u25b22,3,2014
22,166,162,+37:03,28.0,Morton Lachlan,35,Garmin Sharp,36:42 36:42,,\u25bc7,3,2014
24,42,164,+49:16,,Howard Leigh,36,Orica GreenEDGE,48:55 48:55,,-,3,2014
23,191,3,+0:21,1.0,Kelderman Wilco,1,Belkin-Pro Cycling Team,14:09:40 14:09:40,,-,4,2014
21,48,10,+1:31,2.0,Yates Adam,2,Orica GreenEDGE,1:10 1:10,,-,4,2014
23,61,12,+1:40,5.0,Bardet Romain,3,AG2R La Mondiale,1:19 1:19,,\u25b22,4,2014
25,97,13,+1:40,3.0,Reichenbach Sebastien,4,IAM Cycling,",, 1:19",,\u25bc1,4,2014
22,151,18,+2:01,4.0,Elissonde Kenny,5,FDJ.fr,1:40 1:40,,\u25bc1,4,2014
24,141,23,+2:37,6.0,Kwiatkowski Michal,6,Omega Pharma - Quick-Step,2:16 2:16,,-,4,2014
24,102,24,+2:37,7.0,Bennett George,7,Cannondale,",, 2:16",,-,4,2014
21,184,28,+3:24,8.0,Conti Valerio,8,Lampre - Merida,3:03 3:03,,-,4,2014
21,148,54,+8:12,11.0,Verona Carlos,9,Omega Pharma - Quick-Step,7:51 7:51,,\u25b22,4,2014
24,27,59,+10:22,12.0,Beltran Edward,10,Tinkoff - Saxo,10:01 10:01,,\u25b22,4,2014
21,111,66,+12:10,14.0,Jungels Bob,11,Trek Factory Racing,11:49 11:49,,\u25b23,4,2014
24,125,71,+13:29,16.0,Nerz Dominik,12,BMC Racing Team,13:08 13:08,,\u25b24,4,2014
25,171,77,+15:21,13.0,Damuseau Thomas,13,Team Giant - Shimano,15:00 15:00,,-,4,2014
22,142,78,+15:42,9.0,Alaphilippe Julian,14,Omega Pharma - Quick-Step,15:21 15:21,,\u25bc5,4,2014
