Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
29,205,21,14.0,Modolo Sacha,21,UAE Team Emirates,,\u25bc7,5,2017
34,138,21,21.0,Richeze Ariel Maximiliano,22,Quick-Step Floors,,\u25bc1,5,2017
25,209,20,15.0,Polanc Jan,23,UAE Team Emirates,,\u25bc8,5,2017
29,96,20,17.0,Rovny Ivan,24,Gazprom-RusVelo,,\u25bc7,5,2017
26,215,20,18.0,Koshevoy Ilia,25,Wilier Triestina - Selle Italia,,\u25bc7,5,2017
23,33,18,19.0,Andreetta Simone,26,Bardiani - CSF,,\u25bc7,5,2017
30,179,17,20.0,Thomas Geraint,27,Team Sky,,\u25bc7,5,2017
27,79,16,24.0,Tratnik Jan,28,CCC Sprandi Polkowice,,\u25bc4,5,2017
24,131,15,22.0,Jungels Bob,29,Quick-Step Floors,,\u25bc7,5,2017
27,151,12,25.0,Zakarin Ilnur,30,Team Katusha - Alpecin,,\u25bc5,5,2017
34,8,12,26.0,Siutsou Kanstantsin,31,Bahrain Merida Pro Cycling Team,,\u25bc5,5,2017
33,72,12,28.0,Bialoblocki Marcin,32,CCC Sprandi Polkowice,,\u25bc4,5,2017
27,156,11,36.0,Kuznetsov Viacheslav,33,Team Katusha - Alpecin,,\u25b23,5,2017
29,52,11,29.0,Benedetti Cesare,34,BORA - hansgrohe,,\u25bc5,5,2017
27,74,10,31.0,Owsian Lukasz,35,CCC Sprandi Polkowice,,\u25bc4,5,2017
26,81,7,32.0,Pinot Thibaut,36,FDJ,,\u25bc4,5,2017
24,121,6,44.0,Yates Adam,37,ORICA-Scott,,\u25b27,5,2017
30,201,6,34.0,Costa Rui,38,UAE Team Emirates,,\u25bc4,5,2017
32,22,6,35.0,Cataldo Dario,39,Astana Pro Team,,\u25bc4,5,2017
33,19,6,38.0,Montaguti Matteo,40,AG2R La Mondiale,,\u25bc2,5,2017
26,181,5,37.0,Dumoulin Tom,41,Team Sunweb,,\u25bc4,5,2017
23,56,5,39.0,M\xfchlberger Gregor,42,BORA - hansgrohe,,\u25bc3,5,2017
29,146,5,40.0,Janse van Rensburg Jacques,43,Team Dimension Data,,\u25bc3,5,2017
32,1,4,41.0,Nibali Vincenzo,44,Bahrain Merida Pro Cycling Team,,\u25bc3,5,2017
25,68,4,42.0,Villella Davide,45,Cannondale-Drapac Pro Cycling Team,,\u25bc3,5,2017
32,2,4,,Agnoli Valerio,46,Bahrain Merida Pro Cycling Team,,-,5,2017
27,99,4,,Tsatevich Alexey,47,Gazprom-RusVelo,,-,5,2017
26,149,4,43.0,Van Zyl Johann,48,Team Dimension Data,,\u25bc5,5,2017
30,132,3,,Capecchi Eros,49,Quick-Step Floors,,-,5,2017
34,136,3,,Keisse Iljo,50,Quick-Step Floors,,-,5,2017
28,139,3,52.0,Serry Pieter,51,Quick-Step Floors,,\u25b21,5,2017
32,51,3,45.0,B\xe1rta Jan,52,BORA - hansgrohe,,\u25bc7,5,2017
30,191,2,46.0,Mollema Bauke,53,Trek - Segafredo,,\u25bc7,5,2017
34,142,2,47.0,Anton Igor,54,Team Dimension Data,,\u25bc7,5,2017
30,76,2,48.0,Ponzi Simone,55,CCC Sprandi Polkowice,,\u25bc7,5,2017
30,104,2,,De Clercq Bart,56,Lotto Soudal,,-,5,2017
40,128,2,49.0,Tuft Svein,57,ORICA-Scott,,\u25bc8,5,2017
25,54,1,50.0,Konrad Patrick,58,BORA - hansgrohe,,\u25bc8,5,2017
37,101,1,51.0,Bak Lars Ytting,59,Lotto Soudal,,\u25bc8,5,2017
27,125,1,,Juul-Jensen Christopher,60,ORICA-Scott,,-,5,2017
22,135,140,1.0,Gaviria Fernando,1,Quick-Step Floors,,-,6,2017
25,199,137,5.0,Stuyven Jasper,2,Trek - Segafredo,,\u25b23,6,2017
34,100,105,2.0,Greipel Andr\xe9,3,Lotto Soudal,,\u25bc1,6,2017
25,58,92,7.0,P\xf6stlberger Lukas,4,BORA - hansgrohe,,\u25b23,6,2017
27,147,76,3.0,Sbaragli Kristian,5,Team Dimension Data,,\u25bc2,6,2017
28,148,74,4.0,Teklehaimanot Daniel,6,Team Dimension Data,,\u25bc2,6,2017
26,43,68,,Dillier Silvan,7,BMC Racing Team,,-,6,2017
27,219,60,6.0,Zhupa Eugert,8,Wilier Triestina - Selle Italia,,\u25bc2,6,2017
23,33,52,26.0,Andreetta Simone,9,Bardiani - CSF,,\u25b217,6,2017
22,123,50,8.0,Ewan Caleb,10,ORICA-Scott,,\u25bc2,6,2017
34,203,46,9.0,Ferrari Roberto,11,UAE Team Emirates,,\u25bc2,6,2017
28,196,43,10.0,Nizzolo Giacomo,12,Trek - Segafredo,,\u25bc2,6,2017
30,75,40,11.0,Paterski Maciej,13,CCC Sprandi Polkowice,,\u25bc2,6,2017
25,98,36,12.0,Shalunov Evgeny,14,Gazprom-RusVelo,,\u25bc2,6,2017
28,59,35,13.0,Selig R\xfcdiger,15,BORA - hansgrohe,,\u25bc2,6,2017
23,216,35,14.0,Mareczko Jakub,16,Wilier Triestina - Selle Italia,,\u25bc2,6,2017
35,92,34,15.0,Brutt Pavel,17,Gazprom-RusVelo,,\u25bc2,6,2017
26,53,32,16.0,Bennett Sam,18,BORA - hansgrohe,,\u25bc2,6,2017
22,145,30,17.0,Gibbons Ryan,19,Team Dimension Data,,\u25bc2,6,2017
22,182,25,18.0,Bauhaus Phil,20,Team Sunweb,,\u25bc2,6,2017
28,141,24,19.0,Haas Nathan,21,Team Dimension Data,,\u25bc2,6,2017
24,131,23,29.0,Jungels Bob,22,Quick-Step Floors,,\u25b27,6,2017
