Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
18,18,-,,Groupama - FDJ,,+ - 22:04:13,52:37 52:37,2018,6
19,19,-,,Team EF Education First-Drapac p/b Cannondale,,+ - 22:04:13,55:29 55:29,2018,6
20,20,-,,Aqua Blue Sport,,+ - 22:04:13,1:19:51 1:19:51,2018,6
21,21,-,,Nippo - Vini Fantini - Europa Ovini,,+ - 22:04:13,2:03:30 2:03:30,2018,6
1,2,\u25b21,,Astana Pro Team,,+ - 26:06:10,77:45:41 77:45:41,2018,7
2,4,\u25b22,,AG2R La Mondiale,,+ - 26:06:10,1:42 1:42,2018,7
3,1,\u25bc2,,Movistar Team,,+ - 26:06:10,3:50 3:50,2018,7
4,5,\u25b21,,Team Sunweb,,+ - 26:06:10,7:00 7:00,2018,7
5,3,\u25bc2,,Bahrain Merida Pro Cycling Team,,+ - 26:06:10,14:45 14:45,2018,7
6,6,-,,BMC Racing Team,,+ - 26:06:10,17:07 17:07,2018,7
7,7,-,,Team Katusha - Alpecin,,+ - 26:06:10,19:35 19:35,2018,7
8,9,\u25b21,,Team LottoNL-Jumbo,,+ - 26:06:10,20:27 20:27,2018,7
9,11,\u25b22,,Team Dimension Data,,+ - 26:06:10,31:43 31:43,2018,7
10,8,\u25bc2,,Trek - Segafredo,,+ - 26:06:10,37:49 37:49,2018,7
11,13,\u25b22,,Quick-Step Floors,,+ - 26:06:10,44:09 44:09,2018,7
12,14,\u25b22,,Team Sky,,+ - 26:06:10,52:57 52:57,2018,7
13,12,\u25bc1,,Lotto Soudal,,+ - 26:06:10,58:04 58:04,2018,7
14,10,\u25bc4,,BORA - hansgrohe,,+ - 26:06:10,1:01:19 1:01:19,2018,7
15,16,\u25b21,,Direct Energie,,+ - 26:06:10,1:09:20 1:09:20,2018,7
16,15,\u25bc1,,Mitchelton-Scott,,+ - 26:06:10,1:11:14 1:11:14,2018,7
17,17,-,,UAE-Team Emirates,,+ - 26:06:10,1:11:17 1:11:17,2018,7
18,19,\u25b21,,Team EF Education First-Drapac p/b Cannondale,,+ - 26:06:10,1:23:39 1:23:39,2018,7
19,20,\u25b21,,Aqua Blue Sport,,+ - 26:06:10,1:34:24 1:34:24,2018,7
20,18,\u25bc2,,Groupama - FDJ,,+ - 26:06:10,1:39:49 1:39:49,2018,7
21,21,-,,Nippo - Vini Fantini - Europa Ovini,,+ - 26:06:10,3:02:12 3:02:12,2018,7
1,1,-,,Astana Pro Team,,+ - 28:47:17,85:49:02 85:49:02,2018,8
2,2,-,,AG2R La Mondiale,,+ - 28:47:17,1:42 1:42,2018,8
3,3,-,,Movistar Team,,+ - 28:47:17,3:50 3:50,2018,8
4,4,-,,Team Sunweb,,+ - 28:47:17,7:00 7:00,2018,8
5,5,-,,Bahrain Merida Pro Cycling Team,,+ - 28:47:17,14:45 14:45,2018,8
6,6,-,,BMC Racing Team,,+ - 28:47:17,17:07 17:07,2018,8
7,7,-,,Team Katusha - Alpecin,,+ - 28:47:17,19:35 19:35,2018,8
8,8,-,,Team LottoNL-Jumbo,,+ - 28:47:17,20:27 20:27,2018,8
9,9,-,,Team Dimension Data,,+ - 28:47:17,31:43 31:43,2018,8
10,10,-,,Trek - Segafredo,,+ - 28:47:17,37:49 37:49,2018,8
11,11,-,,Quick-Step Floors,,+ - 28:47:17,44:09 44:09,2018,8
12,12,-,,Team Sky,,+ - 28:47:17,52:57 52:57,2018,8
13,13,-,,Lotto Soudal,,+ - 28:47:17,58:27 58:27,2018,8
14,14,-,,BORA - hansgrohe,,+ - 28:47:17,1:01:47 1:01:47,2018,8
15,15,-,,Direct Energie,,+ - 28:47:17,1:10:16 1:10:16,2018,8
16,17,\u25b21,,UAE-Team Emirates,,+ - 28:47:17,1:11:17 1:11:17,2018,8
17,16,\u25bc1,,Mitchelton-Scott,,+ - 28:47:17,1:15:03 1:15:03,2018,8
18,18,-,,Team EF Education First-Drapac p/b Cannondale,,+ - 28:47:17,1:25:19 1:25:19,2018,8
19,20,\u25b21,,Groupama - FDJ,,+ - 28:47:17,1:39:49 1:39:49,2018,8
20,19,\u25bc1,,Aqua Blue Sport,,+ - 28:47:17,1:40:18 1:40:18,2018,8
21,21,-,,Nippo - Vini Fantini - Europa Ovini,,+ - 28:47:17,3:02:35 3:02:35,2018,8
1,1,-,,Astana Pro Team,,+ - 29:28:05,87:51:34 87:51:34,2018,9
2,3,\u25b21,,Movistar Team,,+ - 29:28:05,4:45 4:45,2018,9
3,2,\u25bc1,,AG2R La Mondiale,,+ - 29:28:05,4:54 4:54,2018,9
4,4,-,,Team Sunweb,,+ - 29:28:05,5:09 5:09,2018,9
5,6,\u25b21,,BMC Racing Team,,+ - 29:28:05,15:14 15:14,2018,9
6,5,\u25bc1,,Bahrain Merida Pro Cycling Team,,+ - 29:28:05,18:58 18:58,2018,9
7,7,-,,Team Katusha - Alpecin,,+ - 29:28:05,19:46 19:46,2018,9
8,8,-,,Team LottoNL-Jumbo,,+ - 29:28:05,23:21 23:21,2018,9
9,9,-,,Team Dimension Data,,+ - 29:28:05,37:46 37:46,2018,9
10,10,-,,Trek - Segafredo,,+ - 29:28:05,42:07 42:07,2018,9
11,11,-,,Quick-Step Floors,,+ - 29:28:05,45:55 45:55,2018,9
12,12,-,,Team Sky,,+ - 29:28:05,55:58 55:58,2018,9
13,14,\u25b21,,BORA - hansgrohe,,+ - 29:28:05,1:05:08 1:05:08,2018,9
14,13,\u25bc1,,Lotto Soudal,,+ - 29:28:05,1:05:25 1:05:25,2018,9
15,16,\u25b21,,UAE-Team Emirates,,+ - 29:28:05,1:14:06 1:14:06,2018,9
16,15,\u25bc1,,Direct Energie,,+ - 29:28:05,1:14:40 1:14:40,2018,9
17,17,-,,Mitchelton-Scott,,+ - 29:28:05,1:16:22 1:16:22,2018,9
18,18,-,,Team EF Education First-Drapac p/b Cannondale,,+ - 29:28:05,1:29:18 1:29:18,2018,9
19,19,-,,Groupama - FDJ,,+ - 29:28:05,1:43:46 1:43:46,2018,9
20,20,-,,Aqua Blue Sport,,+ - 29:28:05,1:44:03 1:44:03,2018,9
21,21,-,,Nippo - Vini Fantini - Europa Ovini,,+ - 29:28:05,3:12:47 3:12:47,2018,9
