Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year,▼▲
26,2,2.0,+0:03,,6.0,Boasson Hagen Edvald,2,Sky Procycling,0:03 0:03,+0:00,,6,2013,▲4
33,181,3.0,+0:05,,1.0,Gerrans Simon,3,Orica GreenEDGE,0:05 0:05,+0:05,,6,2013,▼2
32,182,4.0,+0:05,,3.0,Albasini Michael,4,Orica GreenEDGE,",, 0:05",+0:05,,6,2013,▼1
23,153,5.0,+0:06,,4.0,Kwiatkowski Michał,5,Omega Pharma - Quick-Step,0:06 0:06,+0:05,,6,2013,▼1
34,152,6.0,+0:06,,5.0,Chavanel Sylvain,6,Omega Pharma - Quick-Step,",, 0:06",+0:05,,6,2013,▼1
28,1,7.0,+0:08,,7.0,Froome Chris,7,Sky Procycling,0:08 0:08,+0:05,,6,2013,-
28,6,8.0,+0:08,,8.0,Porte Richie,8,Sky Procycling,",, 0:08",+0:05,,6,2013,-
29,97,9.0,+0:14,,9.0,Roche Nicolas,9,Team Saxo - Tinkoff,0:14 0:14,+0:05,,6,2013,-
27,94,10.0,+0:14,,10.0,Kreuziger Roman,10,Team Saxo - Tinkoff,",, 0:14",+0:05,,6,2013,-
30,91,11.0,+0:14,,11.0,Contador Alberto,11,Team Saxo - Tinkoff,",, 0:14",+0:05,,6,2013,-
33,98,12.0,+0:14,,12.0,Rogers Michael,12,Team Saxo - Tinkoff,",, 0:14",+0:05,,6,2013,-
24,178,13.0,+0:22,,16.0,Talansky Andrew,13,Garmin Sharp,0:22 0:22,+0:05,,6,2013,▲3
32,171,14.0,+0:22,,14.0,Hesjedal Ryder,14,Garmin Sharp,",, 0:22",+0:05,,6,2013,-
32,25,15.0,+0:22,,15.0,Hansen Adam,15,Lotto Belisol Team,",, 0:22",+0:05,,6,2013,-
26,175,16.0,+0:22,,17.0,Martin Dan,16,Garmin Sharp,",, 0:22",+0:05,,6,2013,▲1
35,173,17.0,+0:22,,18.0,Danielson Tom,17,Garmin Sharp,",, 0:22",+0:05,,6,2013,▲1
33,121,18.0,+0:25,,19.0,Valverde Alejandro,18,Movistar Team,0:25 0:25,+0:05,,6,2013,▲1
26,124,19.0,+0:25,,20.0,Costa Rui,19,Movistar Team,",, 0:25",+0:05,,6,2013,▲1
23,128,20.0,+0:25,,21.0,Quintana Nairo,20,Movistar Team,",, 0:25",+0:05,,6,2013,▲1
26,122,21.0,+0:25,,22.0,Amador Andrey,21,Movistar Team,",, 0:25",+0:05,,6,2013,▲1
33,148,22.0,+0:30,,24.0,Niemiec Przemysław,22,Lampre - Merida,0:30 0:30,+0:05,,6,2013,▲2
36,31,23.0,+0:31,,26.0,Evans Cadel,23,BMC Racing Team,0:31 0:31,+0:05,,6,2013,▲3
30,34,24.0,+0:31,,27.0,Gilbert Philippe,24,BMC Racing Team,",, 0:31",+0:05,,6,2013,▲3
24,39,25.0,+0:31,,28.0,van Garderen Tejay,25,BMC Racing Team,",, 0:31",+0:05,,6,2013,▲3
31,35,26.0,+0:31,,29.0,Moinard Amaël,26,BMC Racing Team,",, 0:31",+0:05,,6,2013,▲3
30,109,27.0,+0:33,,31.0,Vorganov Eduard,27,Team Katusha,0:33 0:33,+0:05,,6,2013,▲4
27,42,28.0,+0:33,,30.0,Bakelants Jan,28,RadioShack - Leopard,",, 0:33",+0:05,,6,2013,▲2
34,101,29.0,+0:33,,32.0,Rodríguez Joaquim,29,Team Katusha,",, 0:33",+0:05,,6,2013,▲3
35,204,30.0,+0:33,,39.0,Flecha Juan Antonio,30,Vacansoleil - DCM,",, 0:33",+0:00,,6,2013,▲9
31,106,31.0,+0:33,,33.0,Moreno Daniel,31,Team Katusha,",, 0:33",+0:05,,6,2013,▲2
23,11,32.0,+0:34,,40.0,Sagan Peter,32,Cannondale Pro Cycling Team,0:34 0:34,+0:00,,6,2013,▲8
30,47,33.0,+0:34,,34.0,Monfort Maxime,33,RadioShack - Leopard,",, 0:34",+0:05,,6,2013,▲1
28,41,34.0,+0:34,,35.0,Schleck Andy,34,RadioShack - Leopard,",, 0:34",+0:05,,6,2013,▲1
36,49,35.0,+0:34,,36.0,Zubeldia Haimar,35,RadioShack - Leopard,",, 0:34",+0:05,,6,2013,▲1
38,46,36.0,+0:34,,37.0,Klöden Andreas,36,RadioShack - Leopard,",, 0:34",+0:05,,6,2013,▲1
25,201,37.0,+0:38,,38.0,Poels Wout,37,Vacansoleil - DCM,0:38 0:38,+0:05,,6,2013,▲1
26,164,38.0,+0:42,,41.0,Mollema Bauke,38,Belkin-Pro Cycling Team,0:42 0:42,+0:05,,6,2013,▲3
32,167,39.0,+0:42,,42.0,ten Dam Laurens,39,Belkin-Pro Cycling Team,",, 0:42",+0:05,,6,2013,▲3
29,165,40.0,+0:42,,44.0,Nordhaug Lars Petter,40,Belkin-Pro Cycling Team,",, 0:42",+0:05,,6,2013,▲4
34,166,41.0,+0:42,,43.0,Tankink Bram,41,Belkin-Pro Cycling Team,",, 0:42",+0:05,,6,2013,▲2
23,71,42.0,+0:47,,45.0,Pinot Thibaut,42,FDJ.fr,0:47 0:47,+0:05,,6,2013,▲3
27,77,43.0,+0:47,,46.0,Jeannesson Arnold,43,FDJ.fr,",, 0:47",+0:05,,6,2013,▲3
25,76,44.0,+0:47,,47.0,Geniez Alexandre,44,FDJ.fr,",, 0:47",+0:05,,6,2013,▲3
28,63,45.0,+1:01,,48.0,Fuglsang Jakob,45,Astana Pro Team,1:01 1:01,+0:05,,6,2013,▲3
36,81,46.0,+1:09,,52.0,Peraud Jean-Christophe,46,AG2R La Mondiale,1:09 1:09,+0:05,,6,2013,▲6
22,82,47.0,+1:09,,51.0,Bardet Romain,47,AG2R La Mondiale,",, 1:09",+0:05,,6,2013,▲4
34,86,48.0,+1:09,,53.0,Gadret John,48,AG2R La Mondiale,",, 1:09",+0:05,,6,2013,▲5
27,218,49.0,+1:15,,55.0,Simon Julien,49,Sojasun,1:15 1:15,+0:05,,6,2013,▲6
32,217,50.0,+1:15,,56.0,Méderel Maxime,50,Sojasun,",, 1:15",+0:05,,6,2013,▲6
27,211,51.0,+1:15,,57.0,Feillu Brice,51,Sojasun,",, 1:15",+0:05,,6,2013,▲6
26,51,52.0,+1:18,,58.0,Rolland Pierre,52,Team Europcar,1:18 1:18,+0:05,,6,2013,▲6
25,56,53.0,+1:18,,59.0,Malacarne Davide,53,Team Europcar,",, 1:18",+0:05,,6,2013,▲6
34,59,54.0,+1:20,,60.0,Voeckler Thomas,54,Team Europcar,1:20 1:20,+0:05,,6,2013,▲6
32,147,55.0,+1:21,,61.0,Mori Manuele,55,Lampre - Merida,1:21 1:21,+0:05,,6,2013,▲6
31,141,56.0,+1:24,,23.0,Cunego Damiano,56,Lampre - Merida,1:24 1:24,+0:59,,6,2013,▼33
34,149,57.0,+1:24,,25.0,Serpa José Rodolfo,57,Lampre - Merida,",, 1:24",+0:59,,6,2013,▼32
32,135,58.0,+1:25,,62.0,Le Mével Christophe,58,"Cofidis, Solutions Crédits",1:25 1:25,+0:05,,6,2013,▲4
29,139,59.0,+1:25,,63.0,Navarro Daniel,59,"Cofidis, Solutions Crédits",",, 1:25",+0:05,,6,2013,▲4
25,113,60.0,+1:29,,64.0,Izagirre Gorka,60,Euskaltel - Euskadi,1:29 1:29,+0:05,,6,2013,▲4
30,111,61.0,+1:29,,65.0,Antón Igor,61,Euskaltel - Euskadi,",, 1:29",+0:05,,6,2013,▲4
29,116,62.0,+1:29,,67.0,Nieve Mikel,62,Euskaltel - Euskadi,",, 1:29",+0:05,,6,2013,▲5
33,112,63.0,+1:29,,66.0,Astarloza Mikel,63,Euskaltel - Euskadi,",, 1:29",+0:05,,6,2013,▲3
27,13,64.0,+2:02,,69.0,De Marchi Alessandro,64,Cannondale Pro Cycling Team,2:02 2:02,+0:05,,6,2013,▲5
25,219,65.0,+3:44,,70.0,Vuillermoz Alexis,65,Sojasun,3:44 3:44,+0:05,,6,2013,▲5
28,52,66.0,+3:47,,71.0,Arashiro Yukiya,66,Team Europcar,3:47 3:47,+0:05,,6,2013,▲5
30,36,67.0,+4:37,,72.0,Morabito Steve,67,BMC Racing Team,4:37 4:37,+0:05,,6,2013,▲5
32,89,68.0,+4:49,,74.0,Riblon Christophe,68,AG2R La Mondiale,4:49 4:49,+0:05,,6,2013,▲6
34,74,69.0,+5:06,,76.0,Fédrigo Pierrick,69,FDJ.fr,5:06 5:06,+0:05,,6,2013,▲7
29,216,70.0,+5:29,,78.0,Marino Jean-Marc,70,Sojasun,5:29 5:29,+0:05,,6,2013,▲8
29,108,71.0,+5:35,,79.0,Trofimov Yuri,71,Team Katusha,5:35 5:35,+0:05,,6,2013,▲8
25,44,72.0,+5:36,,80.0,Gallopin Tony,72,RadioShack - Leopard,5:36 5:36,+0:05,,6,2013,▲8
26,38,73.0,+5:56,,81.0,Schär Michael,73,BMC Racing Team,5:56 5:56,+0:05,,6,2013,▲8
26,15,74.0,+6:17,,82.0,Koren Kristijan,74,Cannondale Pro Cycling Team,6:17 6:17,+0:05,,6,2013,▲8
30,215,75.0,+6:48,,83.0,Lemoine Cyril,75,Sojasun,6:48 6:48,+0:00,,6,2013,▲8
28,213,76.0,+6:53,,84.0,El Fares Julien,76,Sojasun,6:53 6:53,+0:05,,6,2013,▲8
