Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
22,33,17.0,+1:15,,1.0,Aru Fabio,1,Astana Pro Team,15:20:06 15:20:06,-,4,2013
23,201,23.0,+1:34,,2.0,Majka Rafa\u0142,2,Team Saxo - Tinkoff,0:19 0:19,-,4,2013
23,15,26.0,+1:41,,3.0,Betancur Carlos,3,AG2R La Mondiale,0:26 0:26,-,4,2013
22,55,32.0,+2:21,,4.0,Kelderman Wilco,4,Blanco Pro Cycling Team,1:06 1:06,-,4,2013
24,27,33.0,+2:24,,5.0,Rosa Diego,5,Androni Giocattoli - Venezuela,1:09 1:09,-,4,2013
22,44,41.0,+2:55,,6.0,Bongiorno Francesco Manuel,6,Bardiani Valvole - CSF Inox,1:40 1:40,-,4,2013
25,81,43.0,+2:59,,7.0,Atapuma John Darwin,7,Team Colombia,1:44 1:44,-,4,2013
23,42,48.0,+3:07,,8.0,Battaglin Enrico,8,Bardiani Valvole - CSF Inox,1:52 1:52,-,4,2013
23,23,53.0,+4:17,,9.0,Felline Fabio,9,Androni Giocattoli - Venezuela,3:02 3:02,-,4,2013
24,47,64.0,+9:09,,19.0,Locatelli Stefano,10,Bardiani Valvole - CSF Inox,7:54 7:54,\u25b29,4,2013
23,49,65.0,+9:19,,20.0,Zardini Edoardo,11,Bardiani Valvole - CSF Inox,8:04 8:04,\u25b29,4,2013
24,88,70.0,+10:26,,10.0,Pantano Jarlinson,12,Team Colombia,9:11 9:11,\u25bc2,4,2013
24,176,72.0,+12:05,,26.0,Oliveira Nelson,13,RadioShack - Leopard,10:50 10:50,\u25b213,4,2013
23,186,81.0,+14:36,,11.0,Puccio Salvatore,14,Sky Procycling,13:21 13:21,\u25bc3,4,2013
24,164,82.0,+14:39,,17.0,Keukeleire Jens,15,Orica GreenEDGE,13:24 13:24,\u25b22,4,2013
23,171,87.0,+16:41,,21.0,Bennett George,16,RadioShack - Leopard,15:26 15:26,\u25b25,4,2013
22,197,106.0,+21:45,,38.0,Ludvigsson Tobias,17,Team Argos - Shimano,20:30 20:30,\u25b221,4,2013
25,7,107.0,+22:13,,33.0,Navardauskas Ramunas,18,Garmin Sharp,20:58 20:58,\u25b215,4,2013
25,213,110.0,+22:49,,30.0,Keizer Martijn,19,Vacansoleil - DCM,21:34 21:34,\u25b211,4,2013
22,122,115.0,+25:43,,13.0,Cattaneo Mattia,20,Lampre - Merida,24:28 24:28,\u25bc7,4,2013
24,78,116.0,+25:44,,14.0,Viviani Elia,21,Cannondale Pro Cycling Team,24:29 24:29,\u25bc7,4,2013
22,162,118.0,+25:49,,15.0,Durbridge Luke,22,Orica GreenEDGE,24:34 24:34,\u25bc7,4,2013
23,219,119.0,+25:49,,16.0,Wauters Willem,23,Vacansoleil - DCM,",, 24:34",\u25bc7,4,2013
23,43,124.0,+26:02,,18.0,Boem Nicola,24,Bardiani Valvole - CSF Inox,24:47 24:47,\u25bc6,4,2013
23,158,125.0,+26:09,,22.0,Trentin Matteo,25,Omega Pharma - Quick-Step,24:54 24:54,\u25bc3,4,2013
22,46,128.0,+26:25,,23.0,Colbrelli Sonny,26,Bardiani Valvole - CSF Inox,25:10 25:10,\u25bc3,4,2013
24,191,130.0,+26:34,,24.0,Degenkolb John,27,Team Argos - Shimano,25:19 25:19,\u25bc3,4,2013
24,192,131.0,+26:34,,25.0,Damuseau Thomas,28,Team Argos - Shimano,",, 25:19",\u25bc3,4,2013
24,143,137.0,+27:43,,12.0,Dowsett Alex,29,Movistar Team,26:28 26:28,\u25bc17,4,2013
24,45,142.0,+28:06,,27.0,Canola Marco,30,Bardiani Valvole - CSF Inox,26:51 26:51,\u25bc3,4,2013
24,136,145.0,+28:42,,28.0,Dockx Gert,31,Lotto Belisol Team,27:27 27:27,\u25bc3,4,2013
23,159,149.0,+29:14,,29.0,Vermote Julien,32,Omega Pharma - Quick-Step,27:59 27:59,\u25bc3,4,2013
22,214,151.0,+30:37,,31.0,Lammertink Maurits,33,Vacansoleil - DCM,29:22 29:22,\u25bc2,4,2013
22,104,152.0,+30:42,,32.0,Le Bon Johan,34,FDJ.fr,29:27 29:27,\u25bc2,4,2013
24,4,153.0,+31:36,,34.0,Haas Nathan,35,Garmin Sharp,30:21 30:21,\u25bc1,4,2013
22,67,155.0,+31:48,,35.0,Phinney Taylor,36,BMC Racing Team,30:33 30:33,\u25bc1,4,2013
24,175,158.0,+31:54,,36.0,Nizzolo Giacomo,37,RadioShack - Leopard,30:39 30:39,\u25bc1,4,2013
24,198,166.0,+32:24,,37.0,Mezgec Luka,38,Team Argos - Shimano,31:09 31:09,\u25bc1,4,2013
23,82,177.0,+34:01,,40.0,Avila Edwin,39,Team Colombia,32:46 32:46,\u25b21,4,2013
23,163,181.0,+35:04,,39.0,Howard Leigh,40,Orica GreenEDGE,33:49 33:49,\u25bc1,4,2013
25,133,183.0,+35:14,,42.0,Bulgac Brian,41,Lotto Belisol Team,33:59 33:59,\u25b21,4,2013
23,62,185.0,+36:59,,44.0,Blythe Adam,42,BMC Racing Team,35:44 35:44,\u25b22,4,2013
25,64,186.0,+36:59,,45.0,Lodewyck Klaas,43,BMC Racing Team,",, 35:44",\u25b22,4,2013
24,179,187.0,+37:08,,46.0,Sergent Jesse,44,RadioShack - Leopard,35:53 35:53,\u25b22,4,2013
23,12,197.0,+40:53,,41.0,Appollonio Davide,45,AG2R La Mondiale,39:38 39:38,\u25bc4,4,2013
22,100,198.0,+41:53,,48.0,Bouhanni Nacer,46,FDJ.fr,40:38 40:38,\u25b22,4,2013
23,52,199.0,+42:34,,49.0,Bobridge Jack,47,Blanco Pro Cycling Team,41:19 41:19,\u25b22,4,2013
24,215,201.0,+45:33,,43.0,Ligthart Pim,48,Vacansoleil - DCM,44:18 44:18,\u25bc5,4,2013
24,95,202.0,+47:47,,47.0,Minguez Miguel,49,Euskaltel - Euskadi,46:32 46:32,\u25bc2,4,2013
22,33,17.0,+1:15,,1.0,Aru Fabio,1,Astana Pro Team,19:57:54 19:57:54,-,5,2013
23,201,23.0,+1:34,,2.0,Majka Rafa\u0142,2,Team Saxo - Tinkoff,0:19 0:19,-,5,2013
23,15,26.0,+1:41,,3.0,Betancur Carlos,3,AG2R La Mondiale,0:26 0:26,-,5,2013
22,55,32.0,+2:21,,4.0,Kelderman Wilco,4,Blanco Pro Cycling Team,1:06 1:06,-,5,2013
24,27,33.0,+2:24,,5.0,Rosa Diego,5,Androni Giocattoli - Venezuela,1:09 1:09,-,5,2013
22,44,41.0,+2:55,,6.0,Bongiorno Francesco Manuel,6,Bardiani Valvole - CSF Inox,1:40 1:40,-,5,2013
25,81,43.0,+2:59,,7.0,Atapuma John Darwin,7,Team Colombia,1:44 1:44,-,5,2013
23,42,48.0,+3:07,,8.0,Battaglin Enrico,8,Bardiani Valvole - CSF Inox,1:52 1:52,-,5,2013
23,23,53.0,+4:37,,9.0,Felline Fabio,9,Androni Giocattoli - Venezuela,3:22 3:22,-,5,2013
24,47,62.0,+9:09,,10.0,Locatelli Stefano,10,Bardiani Valvole - CSF Inox,7:54 7:54,-,5,2013
23,49,63.0,+9:19,,11.0,Zardini Edoardo,11,Bardiani Valvole - CSF Inox,8:04 8:04,-,5,2013
24,88,65.0,+10:26,,12.0,Pantano Jarlinson,12,Team Colombia,9:11 9:11,-,5,2013
24,164,75.0,+14:39,,15.0,Keukeleire Jens,13,Orica GreenEDGE,13:24 13:24,\u25b22,5,2013
23,186,89.0,+21:13,,14.0,Puccio Salvatore,14,Sky Procycling,19:58 19:58,-,5,2013
25,7,91.0,+22:13,,18.0,Navardauskas Ramunas,15,Garmin Sharp,20:58 20:58,\u25b23,5,2013
25,213,92.0,+22:49,,19.0,Keizer Martijn,16,Vacansoleil - DCM,21:34 21:34,\u25b23,5,2013
24,176,94.0,+24:45,,13.0,Oliveira Nelson,17,RadioShack - Leopard,23:30 23:30,\u25bc4,5,2013
24,78,98.0,+25:44,,21.0,Viviani Elia,18,Cannondale Pro Cycling Team,24:29 24:29,\u25b23,5,2013
23,43,100.0,+26:02,,24.0,Boem Nicola,19,Bardiani Valvole - CSF Inox,24:47 24:47,\u25b25,5,2013
23,158,101.0,+26:09,,25.0,Trentin Matteo,20,Omega Pharma - Quick-Step,24:54 24:54,\u25b25,5,2013
24,191,102.0,+26:14,,27.0,Degenkolb John,21,Team Argos - Shimano,24:59 24:59,\u25b26,5,2013
22,46,104.0,+26:25,,26.0,Colbrelli Sonny,22,Bardiani Valvole - CSF Inox,25:10 25:10,\u25b24,5,2013
23,171,105.0,+26:30,,16.0,Bennett George,23,RadioShack - Leopard,25:15 25:15,\u25bc7,5,2013
22,122,110.0,+27:25,,20.0,Cattaneo Mattia,24,Lampre - Merida,26:10 26:10,\u25bc4,5,2013
24,192,114.0,+27:49,,28.0,Damuseau Thomas,25,Team Argos - Shimano,26:34 26:34,\u25b23,5,2013
24,45,119.0,+28:06,,30.0,Canola Marco,26,Bardiani Valvole - CSF Inox,26:51 26:51,\u25b24,5,2013
24,136,120.0,+28:42,,31.0,Dockx Gert,27,Lotto Belisol Team,27:27 27:27,\u25b24,5,2013
22,214,124.0,+30:37,,33.0,Lammertink Maurits,28,Vacansoleil - DCM,29:22 29:22,\u25b25,5,2013
22,104,126.0,+30:52,,34.0,Le Bon Johan,29,FDJ.fr,29:37 29:37,\u25b25,5,2013
24,175,131.0,+31:54,,37.0,Nizzolo Giacomo,30,RadioShack - Leopard,30:39 30:39,\u25b27,5,2013
