Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,stage,year,▼▲
36.0,12.0,5.0,+0:19,,4.0,Valverde Alejandro,5.0,Movistar Team,0:19 0:19,+0:23,,,8,2016,▼1
26.0,11.0,6.0,+0:23,,7.0,Quintana Nairo,6.0,Movistar Team,0:23 0:23,+0:23,,,8,2016,▲1
26.0,21.0,7.0,+0:23,,11.0,Aru Fabio,7.0,Astana Pro Team,",, 0:23",+0:23,,,8,2016,▲4
27.0,99.0,8.0,+0:23,,12.0,van Garderen Tejay,8.0,BMC Racing Team,",, 0:23",+0:23,,,8,2016,▲4
25.0,41.0,9.0,+0:23,,14.0,Bardet Romain,9.0,AG2R La Mondiale,",, 0:23",+0:23,,,8,2016,▲5
29.0,61.0,10.0,+0:23,,15.0,Mollema Bauke,10.0,Trek - Segafredo,",, 0:23",+0:23,,,8,2016,▲5
28.0,2.0,11.0,+0:23,,16.0,Henao Sergio,11.0,Team Sky,",, 0:23",+0:23,,,8,2016,▲5
30.0,36.0,12.0,+0:34,,18.0,Kreuziger Roman,12.0,Tinkoff,0:34 0:34,+0:23,,,8,2016,▲6
24.0,157.0,13.0,+0:34,,19.0,Meintjes Louis,13.0,Lampre - Merida,",, 0:34",+0:23,,,8,2016,▲6
24.0,111.0,14.0,+1:51,,8.0,Barguil Warren,14.0,Team Giant - Alpecin,1:51 1:51,+1:51,,,8,2016,▼6
29.0,81.0,15.0,+1:55,,9.0,Rolland Pierre,15.0,Cannondale-Drapac Pro Cycling Team,1:55 1:55,+1:55,,,8,2016,▼6
25.0,51.0,16.0,+1:55,,13.0,Kelderman Wilco,16.0,Team LottoNL-Jumbo,",, 1:55",+1:55,,,8,2016,▼3
33.0,147.0,17.0,+2:00,,17.0,Van den Broeck Jurgen,17.0,Team Katusha,2:00 2:00,+1:51,,,8,2016,-
31.0,91.0,18.0,+2:08,,24.0,Porte Richie,18.0,BMC Racing Team,2:08 2:08,+0:23,,,8,2016,▲6
30.0,9.0,19.0,+2:31,,21.0,Thomas Geraint,19.0,Team Sky,2:31 2:31,+1:51,,,8,2016,▲2
33.0,31.0,20.0,+3:12,,23.0,Contador Alberto,20.0,Tinkoff,3:12 3:12,+1:51,,,8,2016,▲3
27.0,126.0,21.0,+3:16,,20.0,Reichenbach Sébastien,21.0,FDJ,3:16 3:16,+3:05,,,8,2016,▼1
32.0,5.0,22.0,+4:35,,25.0,Nieve Mikel,22.0,Team Sky,4:35 4:35,+1:51,,,8,2016,▲3
23.0,131.0,23.0,+5:36,,28.0,Buchmann Emanuel,23.0,Bora - Argon 18,5:36 5:36,+1:51,,,8,2016,▲5
33.0,48.0,24.0,+6:46,,35.0,Pozzovivo Domenico,24.0,AG2R La Mondiale,6:46 6:46,+1:51,,,8,2016,▲11
29.0,25.0,25.0,+8:59,,32.0,Kangert Tanel,25.0,Astana Pro Team,8:59 8:59,+4:22,,,8,2016,▲7
28.0,94.0,26.0,+9:07,,34.0,Caruso Damiano,26.0,BMC Racing Team,9:07 9:07,+4:20,,,8,2016,▲8
36.0,65.0,27.0,+9:14,,41.0,Schleck Fränk,27.0,Trek - Segafredo,9:14 9:14,+1:51,,,8,2016,▲14
25.0,211.0,28.0,+9:33,,29.0,Sepúlveda Eduardo,28.0,Fortuneo - Vital Concept,9:33 9:33,+5:41,,,8,2016,▲1
27.0,79.0,29.0,+10:19,,42.0,Pantano Jarlinson,29.0,IAM Cycling,10:19 10:19,+1:51,,,8,2016,▲13
39.0,69.0,30.0,+14:27,,31.0,Zubeldia Haimar,30.0,Trek - Segafredo,14:27 14:27,+10:28,,,8,2016,▲1
29.0,71.0,31.0,+14:51,,22.0,Frank Mathias,31.0,IAM Cycling,14:51 14:51,+13:35,,,8,2016,▼9
28.0,49.0,32.0,+19:02,,37.0,Vuillermoz Alexis,32.0,AG2R La Mondiale,19:02 19:02,+12:44,,,8,2016,▲5
26.0,121.0,33.0,+19:44,,27.0,Pinot Thibaut,33.0,FDJ,19:44 19:44,+16:29,,,8,2016,▼6
31.0,98.0,34.0,+20:07,,1.0,Van Avermaet Greg,34.0,BMC Racing Team,20:07 20:07,+26:04,,,8,2016,▼33
26.0,4.0,35.0,+21:25,,45.0,Landa Mikel,35.0,Team Sky,21:25 21:25,+10:28,,,8,2016,▲10
33.0,124.0,36.0,+22:25,,43.0,Morabito Steve,36.0,FDJ,22:25 22:25,+13:35,,,8,2016,▲7
35.0,118.0,37.0,+23:51,,55.0,ten Dam Laurens,37.0,Team Giant - Alpecin,23:51 23:51,+10:28,,,8,2016,▲18
26.0,149.0,38.0,+25:24,,48.0,Zakarin Ilnur,38.0,Team Katusha,25:24 25:24,+13:35,,,8,2016,▲10
24.0,182.0,39.0,+25:58,,3.0,Alaphilippe Julian,39.0,Etixx - Quick Step,25:58 25:58,+26:04,,,8,2016,▼36
31.0,175.0,40.0,+26:15,,33.0,Jeandesboz Fabrice,40.0,Direct Energie,26:15 26:15,+21:34,,,8,2016,▼7
29.0,35.0,41.0,+26:27,,51.0,Kišerlovski Robert,41.0,Tinkoff,26:27 26:27,+13:35,,,8,2016,▲10
26.0,116.0,42.0,+27:24,,57.0,Preidler Georg,42.0,Team Giant - Alpecin,27:24 27:24,+13:35,,,8,2016,▲15
28.0,66.0,43.0,+27:26,,58.0,Stetina Peter,43.0,Trek - Segafredo,27:26 27:26,+13:35,,,8,2016,▲15
31.0,205.0,44.0,+28:02,,47.0,Impey Daryl,44.0,ORICA-BikeExchange,28:02 28:02,+16:29,,,8,2016,▲3
34.0,18.0,45.0,+28:59,,26.0,Moreno Daniel,45.0,Movistar Team,28:59 28:59,+26:04,,,8,2016,▼19
26.0,52.0,46.0,+29:30,,79.0,Bennett George,46.0,Team LottoNL-Jumbo,29:30 29:30,+4:22,,,8,2016,▲33
31.0,185.0,47.0,+30:52,,62.0,Martin Tony,47.0,Etixx - Quick Step,30:52 30:52,+13:35,,,8,2016,▲15
34.0,96.0,48.0,+31:06,,63.0,Moinard Amaël,48.0,BMC Racing Team,31:06 31:06,+13:35,,,8,2016,▲15
33.0,72.0,49.0,+31:26,,36.0,Clement Stef,49.0,IAM Cycling,31:26 31:26,+25:52,,,8,2016,▼13
26.0,37.0,50.0,+31:57,,65.0,Majka Rafał,50.0,Tinkoff,31:57 31:57,+11:36,,,8,2016,▲15
31.0,23.0,51.0,+32:32,,93.0,Fuglsang Jakob,51.0,Astana Pro Team,32:32 32:32,+1:55,,,8,2016,▲42
24.0,137.0,52.0,+32:58,,38.0,Konrad Patrick,52.0,Bora - Argon 18,32:58 32:58,+26:04,,,8,2016,▼14
32.0,191.0,53.0,+33:00,,64.0,Navarro Daniel,53.0,"Cofidis, Solutions Crédits",33:00 33:00,+13:35,,,8,2016,▲11
31.0,22.0,54.0,+33:14,,39.0,Nibali Vincenzo,54.0,Astana Pro Team,33:14 33:14,+26:04,,,8,2016,▼15
28.0,6.0,55.0,+35:20,,75.0,Poels Wout,55.0,Team Sky,35:20 35:20,+11:36,,,8,2016,▲20
32.0,198.0,56.0,+35:22,,44.0,Maté Luis Ángel,56.0,"Cofidis, Solutions Crédits",35:22 35:22,+25:52,,,8,2016,▼12
35.0,136.0,57.0,+35:38,,67.0,Huzarski Bartosz,57.0,Bora - Argon 18,35:38 35:38,+13:35,,,8,2016,▲10
30.0,195.0,58.0,+38:40,,50.0,Jeannesson Arnold,58.0,"Cofidis, Solutions Crédits",38:40 38:40,+26:04,,,8,2016,▼8
32.0,107.0,59.0,+38:52,,30.0,Pauwels Serge,59.0,Team Dimension Data,38:52 38:52,+34:53,,,8,2016,▼29
30.0,43.0,60.0,+39:06,,53.0,Cherel Mickaël,60.0,AG2R La Mondiale,39:06 39:06,+26:04,,,8,2016,▼7
27.0,17.0,61.0,+39:06,,105.0,Izagirre Ion,61.0,Movistar Team,",, 39:06",+4:22,,,8,2016,▲44
34.0,145.0,62.0,+39:12,,59.0,Losada Alberto,62.0,Team Katusha,39:12 39:12,+24:19,,,8,2016,▼3
32.0,28.0,63.0,+39:35,,56.0,Sánchez Luis León,63.0,Astana Pro Team,39:35 39:35,+26:04,,,8,2016,▼7
32.0,24.0,64.0,+40:50,,60.0,Grivko Andrey,64.0,Astana Pro Team,40:50 40:50,+25:52,,,8,2016,▼4
30.0,42.0,65.0,+42:05,,40.0,Bakelants Jan,65.0,AG2R La Mondiale,42:05 42:05,+34:53,,,8,2016,▼25
28.0,16.0,66.0,+44:03,,73.0,Izagirre Gorka,66.0,Movistar Team,44:03 44:03,+21:04,,,8,2016,▲7
