Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,98,112,+11:37,17.0,Verbrugghe Rik,19,Lotto - Mobistar,8:16 8:16,\u25bc2,8,1998
24,122,115,+11:49,18.0,Bouyer Franck,20,La Fran\xe7aise des Jeux,8:28 8:28,\u25bc2,8,1998
25,174,120,+12:16,19.0,De Los Angeles Juan Jos\xe9,21,Kelme - Costa Blanca,8:55 8:55,\u25bc2,8,1998
23,82,126,+12:53,20.0,B\xe4ckstedt Magnus,22,GAN,9:32 9:32,\u25bc2,8,1998
22,159,129,+13:14,22.0,Turicchia Alain,23,Asics - CGA,9:53 9:53,\u25bc1,8,1998
25,99,130,+13:17,23.0,Verheyen Geert,24,Lotto - Mobistar,9:56 9:56,\u25bc1,8,1998
24,145,141,+14:00,24.0,Guidi Leonardo,25,Polti,10:39 10:39,\u25bc1,8,1998
24,103,142,+14:09,25.0,de Jongh Steven,26,TVM - Farm Frites,10:48 10:48,\u25bc1,8,1998
24,116,150,+15:14,31.0,Mazzoleni Eddy,27,Saeco Macchine da Caffe' - Cannondale,11:53 11:53,\u25b24,8,1998
23,199,164,+20:06,28.0,Spezialetti Alessandro,28,Riso Scotti - MG,16:45 16:45,-,8,1998
25,195,165,+21:17,29.0,Casagranda Stefano,29,Riso Scotti - MG,17:56 17:56,-,8,1998
24,128,166,+21:37,30.0,Nazon Damien,30,La Fran\xe7aise des Jeux,18:16 18:16,-,8,1998
24,117,169,+26:48,32.0,Mori Massimiliano,31,Saeco Macchine da Caffe' - Cannondale,23:27 23:27,\u25b21,8,1998
23,152,170,+29:36,27.0,Bongioni Alessio,32,Asics - CGA,26:15 26:15,\u25bc5,8,1998
24,1,5,+3:21,1.0,Ullrich Jan,1,Team Telekom - ARD,41:34:39 41:34:39,-,9,1998
24,84,11,+5:14,2.0,O'Grady Stuart,2,GAN,1:53 1:53,-,9,1998
25,133,19,+6:44,3.0,Gaumont Philippe,3,Cofidis,3:23 3:23,-,9,1998
24,149,21,+6:58,4.0,Sacchi Fabio,4,Polti,3:37 3:37,-,9,1998
25,187,26,+7:14,5.0,Hincapie George,5,US Postal Service,3:53 3:53,-,9,1998
24,176,35,+7:57,6.0,Gonzalez Santos,6,Kelme - Costa Blanca,4:36 4:36,-,9,1998
24,48,36,+7:58,7.0,Perez Luis,7,O.N.C.E.,4:37 4:37,-,9,1998
25,137,37,+8:00,8.0,Livingston Kevin,8,Cofidis,4:39 4:39,-,9,1998
24,139,42,+8:15,9.0,Rinero Christophe,9,Cofidis,4:54 4:54,-,9,1998
25,134,44,+8:19,10.0,Jalabert Nicolas,10,Cofidis,4:58 4:58,-,9,1998
21,146,46,+8:22,11.0,Jaksche Jorg,11,Polti,5:01 5:01,-,9,1998
23,104,51,+8:39,12.0,Ivanov Serguei,12,TVM - Farm Frites,5:18 5:18,-,9,1998
24,173,59,+9:12,13.0,Alberto Contreras Carlos,13,Kelme - Costa Blanca,5:51 5:51,-,9,1998
24,32,60,+9:15,14.0,Di Grande Giuseppe,14,Mapei - Bricobi,5:54 5:54,-,9,1998
24,56,62,+9:23,15.0,Moerenhout Koos,15,Rabobank ProTeam,6:02 6:02,-,9,1998
24,69,88,+10:52,16.0,Salmon Benoit,16,Casino - AG2R,7:31 7:31,-,9,1998
24,161,90,+10:55,17.0,Blanco Santiago,17,Vitalicio Seguros,7:34 7:34,-,9,1998
24,175,97,+11:11,18.0,Gomez Jose Javier,18,Kelme - Costa Blanca,7:50 7:50,-,9,1998
