stage_type,Stage,Winner,Leader after stage,year,stage,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
2.0,Stage 7 - Montpellier › Albi,SAGAN Peter,Impey Daryl,2013,6,0,0,0,1
5.0,Stage 8 - Castres › Ax 3 Domaines,FROOME Christopher,Froome Christopher,2013,7,0,0,1,0
4.0,Stage 9 - Saint Girons › Bagnéres de Bigorre,MARTIN Daniel,Froome Christopher,2013,8,0,0,1,0
1.0,Stage 10 - Saint-Gildas-des-Bois › Saint-Malo,KITTEL Marcel,Froome Christopher,2013,9,0,0,0,1
1.0,Stage 11 (ITT) - Avranches › Mont-Saint-Michel,MARTIN Tony,Froome Christopher,2013,10,1,0,0,0
1.0,Stage 12 - Fougères › Tours,KITTEL Marcel,Froome Christopher,2013,11,0,0,0,1
1.0,Stage 13 - Tours › Saint-Amand-Monrond,CAVENDISH Mark,Froome Christopher,2013,12,0,0,0,1
2.0,Stage 14 - Saint-Pourçain-sur-Sioule › Lyon,TRENTIN Matteo,Froome Christopher,2013,13,0,0,0,1
5.0,Stage 15 - Givors › Mont Ventoux,FROOME Christopher,Froome Christopher,2013,14,0,0,1,0
4.0,Stage 16 - Vaison-la-Romaine › Gap,COSTA Rui,Froome Christopher,2013,15,0,0,1,0
2.0,Stage 17 (ITT) - Embrun › Chorges,FROOME Christopher,Froome Christopher,2013,16,1,0,0,0
5.0,Stage 18 - Gap › Alpe d'Huez,RIBLON Christophe,Froome Christopher,2013,17,0,0,1,0
4.0,Stage 19 - Le Bourg d'Oisans › Le Grand Bornand,COSTA Rui,Froome Christopher,2013,18,0,0,1,0
5.0,Stage 20 - Annecy › Le Semnoz,QUINTANA Nairo,Froome Christopher,2013,19,0,0,1,0
1.0,Stage 21 - Château de Versailles › Paris,KITTEL Marcel,Froome Christopher,2013,20,0,0,0,1
1.0,Prologue - Liège › Liège,CANCELLARA Fabian,Cancellara Fabian,2012,0,1,0,0,0
3.0,Stage 1 - Liege › Seraing,SAGAN Peter,Cancellara Fabian,2012,1,0,0,0,1
1.0,Stage 2 - Vis › Tournai,CAVENDISH Mark,Cancellara Fabian,2012,2,0,0,0,1
3.0,Stage 3 - Orchies › Boulogne-sur-mer,SAGAN Peter,Cancellara Fabian,2012,3,0,0,0,1
1.0,Stage 4 - Abbeville › Rouen,GREIPEL André,Cancellara Fabian,2012,4,0,0,0,1
1.0,Stage 5 - Rouen › Saint-quentin,GREIPEL André,Cancellara Fabian,2012,5,0,0,0,1
1.0,Stage 6 - Epernay › Metz,SAGAN Peter,Cancellara Fabian,2012,6,0,0,0,1
5.0,Stage 7 - Tomblaine › La Planche Des Belles Filles,FROOME Christopher,Wiggins Bradley,2012,7,0,0,1,0
4.0,Stage 8 - Belfort › Porrentruy,PINOT Thibaut,Wiggins Bradley,2012,8,0,0,1,0
1.0,Stage 9 (ITT) - Arc-et-senans › Besancon,WIGGINS Bradley,Wiggins Bradley,2012,9,1,0,0,0
4.0,Stage 10 - Macon › Bellegarde-sur-valserine,VOECKLER Thomas,Wiggins Bradley,2012,10,0,0,1,0
5.0,Stage 11 - Albertville › La Toussuire - Les Sybelles,ROLLAND Pierre,Wiggins Bradley,2012,11,0,0,1,0
4.0,Stage 12 - Saint-Jean-de-Maurienne › Annonay Davézieux,MILLAR David,Wiggins Bradley,2012,12,0,0,1,0
