Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
31,,75.0,,+0:00,,Conte Biagio,129,,",, 0:33",1,1999
28,,99.0,,+0:00,,Trombetta Guido,130,Mobilvetta Design - Northwave,0:38 0:38,1,1999
23,,155.0,,+0:00,,Klier Andreas,131,TVM - Farm Frites,",, 0:38",1,1999
24,,35.0,,+0:00,,Navas David,132,Banesto,",, 0:38",1,1999
28,,122.0,,+0:00,,Ferrari Diego,133,Riso Scotti - Vinavil,",, 0:38",1,1999
30,,5.0,,+0:00,,Borgheresi Simone,134,Mercatone Uno - Bianchi,",, 0:38",1,1999
28,,121.0,,+0:00,,Bianchi Carlo,135,Riso Scotti - Vinavil,0:42 0:42,1,1999
31,,136.0,,+0:00,,Galletti Alessio,136,Saeco - Cannondale,",, 0:42",1,1999
24,,178.0,,+0:00,,Pe\xf1a Victor Hugo,137,Vitalicio Seguros - Grupo Generali,1:13 1:13,1,1999
21,,123.0,,+0:00,,Basso Ivan,138,Riso Scotti - Vinavil,1:26 1:26,1,1999
27,,19.0,,+0:00,,Arazzi Francesco,139,Amica Chips - Costa de Almeria,3:49 3:49,1,1999
23,,158.0,,+0:00,,Vries Pieter,140,TVM - Farm Frites,5:09 5:09,1,1999
26,,157.0,,+0:00,,Asmaker Olivier,141,TVM - Farm Frites,",, 5:09",1,1999
27,,152.0,,+0:00,,Casarotto Davide,142,,",, 5:09",1,1999
29,,145.0,,+0:00,,Goubert Stephane,143,Polti,",, 5:09",1,1999
23,,129.0,,+0:00,,Palumbo Giuseppe,144,Riso Scotti - Vinavil,5:43 5:43,1,1999
26,,73.0,,+0:00,,Frattini Cristiano,145,,",, 5:43",1,1999
30,,21.0,,+0:00,,Baldato Fabio,146,,",, 5:43",1,1999
34,,133.0,,+0:00,,Calcaterra Giuseppe,147,Saeco - Cannondale,",, 5:43",1,1999
24,,162.0,,+0:00,,Hauptman Andrej,148,Vini Caldirola - Sidermec,",, 5:43",1,1999
25,,175.0,,+0:00,,Smetanine Serguei,149,Vitalicio Seguros - Grupo Generali,",, 5:43",1,1999
26,,179.0,,+0:00,,Salmeron Gines,150,Vitalicio Seguros - Grupo Generali,",, 5:43",1,1999
24,,105.0,,+0:00,,Cei Luca,151,Navigare - Gaerne,9:50 9:50,1,1999
27,,42.0,,+0:00,,Brognara Andrea,152,Cantina Tollo - Alexia Alluminio,",, 9:50",1,1999
29,,41.0,,+0:00,,Minali Nicola,153,Cantina Tollo - Alexia Alluminio,",, 9:50",1,1999
31,,156.0,,+0:00,,Lafis Michel,154,TVM - Farm Frites,",, 9:50",1,1999
25,,,,+0:00,,Van Dyck Hendrik,155,,",, 9:50",1,1999
24,,65.0,,+0:00,,Frutti Matteo,156,,",, 9:50",1,1999
30,,97.0,,+0:00,,Faustini Stefano,157,Mobilvetta Design - Northwave,11:14 11:14,1,1999
29,,96.0,,+0:00,,Strazzer Massimo,158,Mobilvetta Design - Northwave,",, 11:14",1,1999
32,,131.0,1.0,+0:00,80.0,Cipollini Mario,1,Saeco - Cannondale,3:18:12 3:18:12,2,1999
27,,151.0,,+0:00,50.0,Blijlevens Jeroen,2,TVM - Farm Frites,",, ,,",2,1999
23,,103.0,,+0:00,35.0,Pieri Dario,3,Navigare - Gaerne,",, ,,",2,1999
28,,66.0,,+0:00,25.0,Missaglia Gabriele,4,,",, ,,",2,1999
24,,95.0,,+0:00,18.0,Quaranta Ivan,5,Mobilvetta Design - Northwave,",, ,,",2,1999
27,,45.0,,+0:00,15.0,Gentili Massimiliano,6,Cantina Tollo - Alexia Alluminio,",, ,,",2,1999
27,,144.0,,+0:00,12.0,Guidi Fabrizio,7,Polti,",, ,,",2,1999
28,,134.0,,+0:00,10.0,Fagnini Gian-matteo,8,Saeco - Cannondale,",, ,,",2,1999
23,,102.0,,+0:00,8.0,Balducci Gabriele,9,Navigare - Gaerne,",, ,,",2,1999
30,,87.0,,+0:00,6.0,Noe Andrea,10,Mapei - Quickstep,",, ,,",2,1999
29,,41.0,,+0:00,5.0,Minali Nicola,11,Cantina Tollo - Alexia Alluminio,",, ,,",2,1999
24,,162.0,,+0:00,4.0,Hauptman Andrej,12,Vini Caldirola - Sidermec,",, ,,",2,1999
24,,105.0,,+0:00,3.0,Cei Luca,13,Navigare - Gaerne,",, ,,",2,1999
23,,83.0,,+0:00,2.0,Figueras Giuliano,14,Mapei - Quickstep,",, ,,",2,1999
28,,53.0,,+0:00,1.0,Edo Angel,15,Kelme - Costa Blanca,",, ,,",2,1999
23,,128.0,,+0:00,,Turicchia Alain,16,Riso Scotti - Vinavil,",, ,,",2,1999
26,,116.0,,+0:00,,Martin Perdiguero Miguel Angel,17,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
24,,154.0,,+0:00,,Ivanov Serguei,18,TVM - Farm Frites,",, ,,",2,1999
26,,132.0,,+0:00,,Savoldelli Paolo,19,Saeco - Cannondale,",, ,,",2,1999
23,,76.0,,+0:00,,Mason Oscar,20,,",, ,,",2,1999
29,,39.0,,+0:00,,Sergio Rodrigues Orlando,21,Banesto,",, ,,",2,1999
27,,19.0,,+0:00,,Arazzi Francesco,22,Amica Chips - Costa de Almeria,",, ,,",2,1999
27,,61.0,,+0:00,,Camenzind Oscar,23,,",, ,,",2,1999
25,,175.0,,+0:00,,Smetanine Serguei,24,Vitalicio Seguros - Grupo Generali,",, ,,",2,1999
30,,114.0,,+0:00,,Jalabert Laurent,25,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
26,,115.0,,+0:00,,Luttenberger Peter,26,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
25,,44.0,,+0:00,,Sgambelluri Roberto,27,Cantina Tollo - Alexia Alluminio,",, ,,",2,1999
26,,43.0,,+0:00,,Trenti Guido,28,Cantina Tollo - Alexia Alluminio,",, ,,",2,1999
22,,56.0,,+0:00,,Sevilla Oscar,29,Kelme - Costa Blanca,",, ,,",2,1999
29,,119.0,,+0:00,,Zarrabeitia Mikel,30,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
31,,75.0,,+0:00,,Conte Biagio,31,,",, ,,",2,1999
25,,135.0,,+0:00,,Frigo Dario,32,Saeco - Cannondale,",, ,,",2,1999
29,,24.0,,+0:00,,Gontsjenkov Alexander,33,,",, ,,",2,1999
28,,46.0,,+0:00,,Gasperoni Cristian,34,Cantina Tollo - Alexia Alluminio,",, ,,",2,1999
28,,33.0,,+0:00,,Jimenez Jose Maria,35,Banesto,",, ,,",2,1999
31,,2.0,,+0:00,,Zaina Enrico,36,Mercatone Uno - Bianchi,",, ,,",2,1999
29,,1.0,,+0:00,,Pantani Marco,37,Mercatone Uno - Bianchi,",, ,,",2,1999
25,,8.0,,+0:00,,Velo Marco,38,Mercatone Uno - Bianchi,",, ,,",2,1999
30,,171.0,,+0:00,,Clavero Daniel,39,Vitalicio Seguros - Grupo Generali,",, ,,",2,1999
28,,68.0,,+0:00,,Piccoli Mariano,40,,",, ,,",2,1999
27,,71.0,,+0:00,,Miceli Nicola,41,,",, ,,",2,1999
26,,168.0,,+0:00,,Vainsteins Romans,42,Vini Caldirola - Sidermec,",, ,,",2,1999
31,,156.0,,+0:00,,Lafis Michel,43,TVM - Farm Frites,",, ,,",2,1999
27,,104.0,,+0:00,,Duma Vladimir,44,Navigare - Gaerne,",, ,,",2,1999
29,,6.0,,+0:00,,Brignoli Ermanno,45,Mercatone Uno - Bianchi,",, ,,",2,1999
26,,93.0,,+0:00,,Stangelj Gorazd,46,Mobilvetta Design - Northwave,",, ,,",2,1999
28,,137.0,,+0:00,,Petito Roberto,47,Saeco - Cannondale,",, ,,",2,1999
25,,12.0,,+0:00,,De Paoli Daniele,48,Amica Chips - Costa de Almeria,",, ,,",2,1999
27,,15.0,,+0:00,,Tronca Amilcare,49,Amica Chips - Costa de Almeria,",, ,,",2,1999
34,,7.0,,+0:00,,Fontanelli Fabiano,50,Mercatone Uno - Bianchi,",, ,,",2,1999
28,,67.0,,+0:00,,Padrnos Pavel,51,,",, ,,",2,1999
27,,37.0,,+0:00,,Piepoli Leonardo,52,Banesto,",, ,,",2,1999
25,,18.0,,+0:00,,Gili Marco,53,,",, ,,",2,1999
27,,125.0,,+0:00,,Shefer Alexandre,54,Riso Scotti - Vinavil,",, ,,",2,1999
25,,82.0,,+0:00,,Di Grande Giuseppe,55,Mapei - Quickstep,",, ,,",2,1999
27,,174.0,,+0:00,,Zintchenko Andrei,56,Vitalicio Seguros - Grupo Generali,",, ,,",2,1999
28,,165.0,,+0:00,,Honchar Serhiy,57,Vini Caldirola - Sidermec,",, ,,",2,1999
28,,11.0,,+0:00,,Berzin Yewgeni,58,Amica Chips - Costa de Almeria,",, ,,",2,1999
28,,163.0,,+0:00,,Casagrande Filippo,59,Vini Caldirola - Sidermec,",, ,,",2,1999
