Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
28,122,3,10.0,Breschel Matti,14,Team Saxo - Tinkoff,\u25bc4,4,2013
26,1,2,11.0,Costa Rui,15,Movistar Team,\u25bc4,4,2013
26,64,2,12.0,Martin Daniel,16,Garmin Sharp,\u25bc4,4,2013
32,31,2,14.0,Cancellara Fabian,18,RadioShack - Leopard,\u25bc4,4,2013
22,112,1,15.0,Kelderman Wilco,19,Blanco Pro Cycling Team,\u25bc4,4,2013
32,131,1,16.0,Albasini Michael,20,Orica GreenEDGE,\u25bc4,4,2013
32,106,1,,Longo Borghini Paolo,21,Cannondale Pro Cycling Team,-,4,2013
26,76,1,,Schar Michael,22,BMC Racing Team,-,4,2013
32,158,19,1.0,Vrecer Robert,1,Euskaltel - Euskadi,-,5,2013
27,121,12,2.0,Kreuziger Roman,2,Team Saxo - Tinkoff,-,5,2013
29,44,12,,Pauwels Serge,3,Omega Pharma - Quick-Step,-,5,2013
41,38,12,3.0,Voigt Jens,4,RadioShack - Leopard,\u25bc1,5,2013
30,145,10,4.0,Kaisen Olivier,5,Lotto Belisol Team,\u25bc1,5,2013
26,73,8,5.0,Frank Mathias,6,BMC Racing Team,\u25bc1,5,2013
30,87,8,6.0,Pozzovivo Domenico,7,AG2R La Mondiale,\u25bc1,5,2013
23,166,6,7.0,Pinot Thibaut,8,FDJ.fr,\u25bc1,5,2013
23,108,6,8.0,Sagan Peter,9,Cannondale Pro Cycling Team,\u25bc1,5,2013
33,32,6,,Devolder Stijn,10,RadioShack - Leopard,-,5,2013
31,84,6,,Minard S\xe9bastien,11,AG2R La Mondiale,-,5,2013
30,71,5,9.0,Gilbert Philippe,12,BMC Racing Team,\u25bc3,5,2013
26,198,5,10.0,Wyss Marcel,13,IAM Cycling,\u25bc3,5,2013
26,56,4,11.0,Kangert Tanel,14,Astana Pro Team,\u25bc3,5,2013
33,96,4,12.0,Scarponi Michele,15,Lampre - Merida,\u25bc3,5,2013
30,152,3,,Azanza Jorge,16,Euskaltel - Euskadi,-,5,2013
32,41,3,13.0,Boonen Tom,17,Omega Pharma - Quick-Step,\u25bc4,5,2013
28,122,3,14.0,Breschel Matti,18,Team Saxo - Tinkoff,\u25bc4,5,2013
26,1,2,15.0,Costa Rui,19,Movistar Team,\u25bc4,5,2013
26,64,2,16.0,Martin Daniel,20,Garmin Sharp,\u25bc4,5,2013
32,31,2,18.0,Cancellara Fabian,21,RadioShack - Leopard,\u25bc3,5,2013
29,196,2,,L\xf6fkvist Thomas,22,IAM Cycling,-,5,2013
32,68,2,,Vansummeren Johan,23,Garmin Sharp,-,5,2013
22,112,1,19.0,Kelderman Wilco,24,Blanco Pro Cycling Team,\u25bc5,5,2013
27,195,1,,Hollenstein Reto,25,IAM Cycling,-,5,2013
32,106,1,21.0,Longo Borghini Paolo,26,Cannondale Pro Cycling Team,\u25bc5,5,2013
32,131,1,20.0,Albasini Michael,27,Orica GreenEDGE,\u25bc7,5,2013
26,76,1,22.0,Schar Michael,28,BMC Racing Team,\u25bc6,5,2013
32,158,19,1.0,Vrecer Robert,1,Euskaltel - Euskadi,-,6,2013
27,121,12,2.0,Kreuziger Roman,2,Team Saxo - Tinkoff,-,6,2013
29,44,12,3.0,Pauwels Serge,3,Omega Pharma - Quick-Step,-,6,2013
41,38,12,4.0,Voigt Jens,4,RadioShack - Leopard,-,6,2013
32,24,10,,Kolobnev Alexandr,5,Team Katusha,-,6,2013
30,145,10,5.0,Kaisen Olivier,6,Lotto Belisol Team,\u25bc1,6,2013
30,87,8,7.0,Pozzovivo Domenico,7,AG2R La Mondiale,-,6,2013
26,73,8,6.0,Frank Mathias,8,BMC Racing Team,\u25bc2,6,2013
23,166,6,8.0,Pinot Thibaut,9,FDJ.fr,\u25bc1,6,2013
23,108,6,9.0,Sagan Peter,10,Cannondale Pro Cycling Team,\u25bc1,6,2013
31,84,6,11.0,Minard S\xe9bastien,11,AG2R La Mondiale,-,6,2013
33,32,6,10.0,Devolder Stijn,12,RadioShack - Leopard,\u25bc2,6,2013
33,35,6,,Rast Gregory,13,RadioShack - Leopard,-,6,2013
30,71,5,12.0,Gilbert Philippe,14,BMC Racing Team,\u25bc2,6,2013
26,198,5,13.0,Wyss Marcel,15,IAM Cycling,\u25bc2,6,2013
33,96,4,15.0,Scarponi Michele,16,Lampre - Merida,\u25bc1,6,2013
37,43,4,,Grabsch Bert,17,Omega Pharma - Quick-Step,-,6,2013
26,56,4,14.0,Kangert Tanel,18,Astana Pro Team,\u25bc4,6,2013
30,152,3,16.0,Azanza Jorge,19,Euskaltel - Euskadi,\u25bc3,6,2013
32,41,3,17.0,Boonen Tom,20,Omega Pharma - Quick-Step,\u25bc3,6,2013
28,122,3,18.0,Breschel Matti,21,Team Saxo - Tinkoff,\u25bc3,6,2013
26,1,2,19.0,Costa Rui,22,Movistar Team,\u25bc3,6,2013
35,15,2,,Hayman Mathew,23,Sky Procycling,-,6,2013
32,31,2,21.0,Cancellara Fabian,24,RadioShack - Leopard,\u25bc3,6,2013
32,68,2,23.0,Vansummeren Johan,25,Garmin Sharp,\u25bc2,6,2013
26,64,2,20.0,Martin Daniel,26,Garmin Sharp,\u25bc6,6,2013
29,196,2,22.0,L\xf6fkvist Thomas,27,IAM Cycling,\u25bc5,6,2013
32,131,1,27.0,Albasini Michael,28,Orica GreenEDGE,\u25bc1,6,2013
32,106,1,26.0,Longo Borghini Paolo,29,Cannondale Pro Cycling Team,\u25bc3,6,2013
26,76,1,28.0,Schar Michael,30,BMC Racing Team,\u25bc2,6,2013
22,112,112,24.0,Kelderman Wilco,31,Blanco Pro Cycling Team,\u25bc7,6,2013
23,166,26,9.0,Pinot Thibaut,1,FDJ.fr,\u25b28,7,2013
32,158,19,1.0,Vrecer Robert,2,Euskaltel - Euskadi,\u25bc1,7,2013
26,1,17,22.0,Costa Rui,3,Movistar Team,\u25b219,7,2013
32,94,15,,Mori Manuele,4,Lampre - Merida,-,7,2013
32,24,15,5.0,Kolobnev Alexandr,5,Team Katusha,-,7,2013
27,121,12,2.0,Kreuziger Roman,6,Team Saxo - Tinkoff,\u25bc4,7,2013
29,44,12,3.0,Pauwels Serge,7,Omega Pharma - Quick-Step,\u25bc4,7,2013
41,38,12,4.0,Voigt Jens,8,RadioShack - Leopard,\u25bc4,7,2013
24,78,10,,van Garderen Tejay,9,BMC Racing Team,-,7,2013
30,145,10,6.0,Kaisen Olivier,10,Lotto Belisol Team,\u25bc4,7,2013
22,187,10,,Preidler Georg,11,Team Argos - Shimano,-,7,2013
28,135,9,,Impey Daryl,12,Orica GreenEDGE,-,7,2013
