Team,Rank_team,stage,year
Cr\xe9dit Agricole,1,3,2001
Festina,2,3,2001
O.N.C.E. - Eroski,3,3,2001
Cr\xe9dit Agricole,1,4,2001
Festina,2,4,2001
O.N.C.E. - Eroski,3,4,2001
Cr\xe9dit Agricole,1,5,2001
O.N.C.E. - Eroski,2,5,2001
Festina,3,5,2001
Cr\xe9dit Agricole,1,6,2001
O.N.C.E. - Eroski,2,6,2001
Festina,3,6,2001
Cr\xe9dit Agricole,1,7,2001
O.N.C.E. - Eroski,2,7,2001
Festina,3,7,2001
Rabobank ProTeam,1,8,2001
Festina,2,8,2001
Cr\xe9dit Agricole,3,8,2001
Rabobank ProTeam,1,9,2001
Festina,2,9,2001
Cr\xe9dit Agricole,3,9,2001
Rabobank ProTeam,1,10,2001
Kelme - Costa Blanca,2,10,2001
Festina,3,10,2001
Rabobank ProTeam,1,11,2001
Kelme - Costa Blanca,2,11,2001
Festina,3,11,2001
Rabobank ProTeam,1,12,2001
Kelme - Costa Blanca,2,12,2001
O.N.C.E. - Eroski,3,12,2001
Kelme - Costa Blanca,1,13,2001
O.N.C.E. - Eroski,2,13,2001
Rabobank ProTeam,3,13,2001
Kelme - Costa Blanca,1,14,2001
O.N.C.E. - Eroski,2,14,2001
US Postal Service,3,14,2001
Kelme - Costa Blanca,1,15,2001
O.N.C.E. - Eroski,2,15,2001
Rabobank ProTeam,3,15,2001
Kelme - Costa Blanca,1,16,2001
O.N.C.E. - Eroski,2,16,2001
Rabobank ProTeam,3,16,2001
Kelme - Costa Blanca,1,17,2001
O.N.C.E. - Eroski,2,17,2001
Rabobank ProTeam,3,17,2001
Kelme - Costa Blanca,1,18,2001
O.N.C.E. - Eroski,2,18,2001
Team Telekom,3,18,2001
Kelme - Costa Blanca,1,19,2001
O.N.C.E. - Eroski,2,19,2001
Team Telekom,3,19,2001
Kelme - Costa Blanca,1,20,2001
O.N.C.E. - Eroski,2,20,2001
Team Telekom,3,20,2001
Bonjour,4,20,2001
Rabobank ProTeam,5,20,2001
US Postal Service,6,20,2001
"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",7,20,2001
Ibanesto.com,8,20,2001
Festina,9,20,2001
Jean Delatour,10,20,2001
Euskaltel - Euskadi,11,20,2001
Mapei - Quickstep,12,20,2001
Lotto - Adecco,13,20,2001
Cr\xe9dit Agricole,14,20,2001
La Fran\xe7aise des Jeux,15,20,2001
AG2R Pr\xe9voyance,16,20,2001
Fassa Bortolo,17,20,2001
CSC ProTeam - Tiscali,18,20,2001
Domo - Farm Frites,19,20,2001
Lampre - Daikin,20,20,2001
BigMat - Auber 93,21,20,2001
CSC ProTeam - Tiscali,1,0,2002
Cofidis,2,0,2002
US Postal Service,3,0,2002
Kelme - Costa Blanca,4,0,2002
O.N.C.E. - Eroski,5,0,2002
Lampre - Daikin,6,0,2002
La Fran\xe7aise des Jeux,7,0,2002
Jean Delatour,8,0,2002
Rabobank ProTeam,9,0,2002
Mapei - Quickstep,10,0,2002
Fassa Bortolo,11,0,2002
Lotto - Adecco,12,0,2002
Ibanesto.com,13,0,2002
Domo - Farm Frites,14,0,2002
Euskaltel - Euskadi,15,0,2002
Cr\xe9dit Agricole,16,0,2002
Team Telekom,17,0,2002
Tacconi Sport,18,0,2002
Alessio,19,0,2002
Bonjour,20,0,2002
AG2R Pr\xe9voyance,21,0,2002
CSC ProTeam - Tiscali,1,1,2002
Cofidis,2,1,2002
US Postal Service,3,1,2002
Kelme - Costa Blanca,4,1,2002
O.N.C.E. - Eroski,5,1,2002
Lampre - Daikin,6,1,2002
La Fran\xe7aise des Jeux,7,1,2002
Jean Delatour,8,1,2002
Mapei - Quickstep,9,1,2002
Rabobank ProTeam,10,1,2002
Fassa Bortolo,11,1,2002
Lotto - Adecco,12,1,2002
Ibanesto.com,13,1,2002
Domo - Farm Frites,14,1,2002
Team Telekom,15,1,2002
Tacconi Sport,16,1,2002
Alessio,17,1,2002
Bonjour,18,1,2002
AG2R Pr\xe9voyance,19,1,2002
Euskaltel - Euskadi,20,1,2002
Cr\xe9dit Agricole,21,1,2002
CSC ProTeam - Tiscali,1,2,2002
Cofidis,2,2,2002
US Postal Service,3,2,2002
Kelme - Costa Blanca,4,2,2002
O.N.C.E. - Eroski,5,2,2002
Lampre - Daikin,6,2,2002
La Fran\xe7aise des Jeux,7,2,2002
Jean Delatour,8,2,2002
Mapei - Quickstep,9,2,2002
Rabobank ProTeam,10,2,2002
Fassa Bortolo,11,2,2002
Lotto - Adecco,12,2,2002
Ibanesto.com,13,2,2002
Domo - Farm Frites,14,2,2002
Team Telekom,15,2,2002
Tacconi Sport,16,2,2002
Alessio,17,2,2002
Bonjour,18,2,2002
AG2R Pr\xe9voyance,19,2,2002
Euskaltel - Euskadi,20,2,2002
Cr\xe9dit Agricole,21,2,2002
CSC ProTeam - Tiscali,1,3,2002
Cofidis,2,3,2002
US Postal Service,3,3,2002
Kelme - Costa Blanca,4,3,2002
O.N.C.E. - Eroski,5,3,2002
Lampre - Daikin,6,3,2002
La Fran\xe7aise des Jeux,7,3,2002
Jean Delatour,8,3,2002
Mapei - Quickstep,9,3,2002
Rabobank ProTeam,10,3,2002
Fassa Bortolo,11,3,2002
Lotto - Adecco,12,3,2002
Ibanesto.com,13,3,2002
Domo - Farm Frites,14,3,2002
Team Telekom,15,3,2002
Tacconi Sport,16,3,2002
Alessio,17,3,2002
Bonjour,18,3,2002
AG2R Pr\xe9voyance,19,3,2002
Euskaltel - Euskadi,20,3,2002
Cr\xe9dit Agricole,21,3,2002
O.N.C.E. - Eroski,1,4,2002
US Postal Service,2,4,2002
CSC ProTeam - Tiscali,3,4,2002
Fassa Bortolo,4,4,2002
Cofidis,5,4,2002
Ibanesto.com,6,4,2002
Kelme - Costa Blanca,7,4,2002
Domo - Farm Frites,8,4,2002
Rabobank ProTeam,9,4,2002
Lampre - Daikin,10,4,2002
Team Telekom,11,4,2002
Alessio,12,4,2002
Bonjour,13,4,2002
La Fran\xe7aise des Jeux,14,4,2002
Lotto - Adecco,15,4,2002
Jean Delatour,16,4,2002
Mapei - Quickstep,17,4,2002
Tacconi Sport,18,4,2002
AG2R Pr\xe9voyance,19,4,2002
Cr\xe9dit Agricole,20,4,2002
Euskaltel - Euskadi,21,4,2002
O.N.C.E. - Eroski,1,5,2002
US Postal Service,2,5,2002
CSC ProTeam - Tiscali,3,5,2002
Fassa Bortolo,4,5,2002
Cofidis,5,5,2002
Ibanesto.com,6,5,2002
Lampre - Daikin,7,5,2002
Kelme - Costa Blanca,8,5,2002
Domo - Farm Frites,9,5,2002
Rabobank ProTeam,10,5,2002
Team Telekom,11,5,2002
Alessio,12,5,2002
Bonjour,13,5,2002
La Fran\xe7aise des Jeux,14,5,2002
Lotto - Adecco,15,5,2002
Jean Delatour,16,5,2002
Mapei - Quickstep,17,5,2002
Tacconi Sport,18,5,2002
AG2R Pr\xe9voyance,19,5,2002
Cr\xe9dit Agricole,20,5,2002
Euskaltel - Euskadi,21,5,2002
O.N.C.E. - Eroski,1,6,2002
US Postal Service,2,6,2002
CSC ProTeam - Tiscali,3,6,2002
Fassa Bortolo,4,6,2002
Cofidis,5,6,2002
Ibanesto.com,6,6,2002
Lampre - Daikin,7,6,2002
Kelme - Costa Blanca,8,6,2002
Domo - Farm Frites,9,6,2002
Rabobank ProTeam,10,6,2002
Team Telekom,11,6,2002
Alessio,12,6,2002
Bonjour,13,6,2002
La Fran\xe7aise des Jeux,14,6,2002
Lotto - Adecco,15,6,2002
Jean Delatour,16,6,2002
Mapei - Quickstep,17,6,2002
Tacconi Sport,18,6,2002
AG2R Pr\xe9voyance,19,6,2002
Cr\xe9dit Agricole,20,6,2002
Euskaltel - Euskadi,21,6,2002
O.N.C.E. - Eroski,1,7,2002
CSC ProTeam - Tiscali,2,7,2002
US Postal Service,3,7,2002
Fassa Bortolo,4,7,2002
Cofidis,5,7,2002
Ibanesto.com,6,7,2002
Kelme - Costa Blanca,7,7,2002
Domo - Farm Frites,8,7,2002
Rabobank ProTeam,9,7,2002
Lampre - Daikin,10,7,2002
Team Telekom,11,7,2002
Alessio,12,7,2002
La Fran\xe7aise des Jeux,13,7,2002
Lotto - Adecco,14,7,2002
Jean Delatour,15,7,2002
Mapei - Quickstep,16,7,2002
Tacconi Sport,17,7,2002
Bonjour,18,7,2002
AG2R Pr\xe9voyance,19,7,2002
Cr\xe9dit Agricole,20,7,2002
Euskaltel - Euskadi,21,7,2002
O.N.C.E. - Eroski,1,8,2002
CSC ProTeam - Tiscali,2,8,2002
US Postal Service,3,8,2002
Rabobank ProTeam,4,8,2002
Fassa Bortolo,5,8,2002
Cofidis,6,8,2002
Domo - Farm Frites,7,8,2002
Lampre - Daikin,8,8,2002
Ibanesto.com,9,8,2002
Kelme - Costa Blanca,10,8,2002
Team Telekom,11,8,2002
Jean Delatour,12,8,2002
Alessio,13,8,2002
Bonjour,14,8,2002
La Fran\xe7aise des Jeux,15,8,2002
Lotto - Adecco,16,8,2002
Mapei - Quickstep,17,8,2002
Tacconi Sport,18,8,2002
AG2R Pr\xe9voyance,19,8,2002
Cr\xe9dit Agricole,20,8,2002
Euskaltel - Euskadi,21,8,2002
O.N.C.E. - Eroski,1,9,2002
US Postal Service,2,9,2002
CSC ProTeam - Tiscali,3,9,2002
Rabobank ProTeam,4,9,2002
Lampre - Daikin,5,9,2002
Kelme - Costa Blanca,6,9,2002
Fassa Bortolo,7,9,2002
Cofidis,8,9,2002
Ibanesto.com,9,9,2002
Domo - Farm Frites,10,9,2002
La Fran\xe7aise des Jeux,11,9,2002
Mapei - Quickstep,12,9,2002
Jean Delatour,13,9,2002
Team Telekom,14,9,2002
Alessio,15,9,2002
Bonjour,16,9,2002
Tacconi Sport,17,9,2002
Cr\xe9dit Agricole,18,9,2002
Lotto - Adecco,19,9,2002
AG2R Pr\xe9voyance,20,9,2002
Euskaltel - Euskadi,21,9,2002
O.N.C.E. - Eroski,1,10,2002
US Postal Service,2,10,2002
Lampre - Daikin,3,10,2002
CSC ProTeam - Tiscali,4,10,2002
Kelme - Costa Blanca,5,10,2002
Cofidis,6,10,2002
Rabobank ProTeam,7,10,2002
Fassa Bortolo,8,10,2002
Domo - Farm Frites,9,10,2002
Ibanesto.com,10,10,2002
La Fran\xe7aise des Jeux,11,10,2002
Mapei - Quickstep,12,10,2002
Jean Delatour,13,10,2002
Bonjour,14,10,2002
Team Telekom,15,10,2002
Cr\xe9dit Agricole,16,10,2002
Alessio,17,10,2002
Tacconi Sport,18,10,2002
Lotto - Adecco,19,10,2002
AG2R Pr\xe9voyance,20,10,2002
Euskaltel - Euskadi,21,10,2002
O.N.C.E. - Eroski,1,11,2002
US Postal Service,2,11,2002
Cofidis,3,11,2002
CSC ProTeam - Tiscali,4,11,2002
Kelme - Costa Blanca,5,11,2002
Fassa Bortolo,6,11,2002
Rabobank ProTeam,7,11,2002
Ibanesto.com,8,11,2002
Domo - Farm Frites,9,11,2002
Jean Delatour,10,11,2002
La Fran\xe7aise des Jeux,11,11,2002
Team Telekom,12,11,2002
Euskaltel - Euskadi,13,11,2002
Lotto - Adecco,14,11,2002
Alessio,15,11,2002
Lampre - Daikin,16,11,2002
Bonjour,17,11,2002
Tacconi Sport,18,11,2002
Cr\xe9dit Agricole,19,11,2002
AG2R Pr\xe9voyance,20,11,2002
Mapei - Quickstep,21,11,2002
O.N.C.E. - Eroski,1,12,2002
US Postal Service,2,12,2002
Kelme - Costa Blanca,3,12,2002
Cofidis,4,12,2002
CSC ProTeam - Tiscali,5,12,2002
Ibanesto.com,6,12,2002
Domo - Farm Frites,7,12,2002
Rabobank ProTeam,8,12,2002
Fassa Bortolo,9,12,2002
Jean Delatour,10,12,2002
La Fran\xe7aise des Jeux,11,12,2002
Alessio,12,12,2002
Team Telekom,13,12,2002
Bonjour,14,12,2002
Euskaltel - Euskadi,15,12,2002
Lotto - Adecco,16,12,2002
AG2R Pr\xe9voyance,17,12,2002
Tacconi Sport,18,12,2002
Cr\xe9dit Agricole,19,12,2002
Lampre - Daikin,20,12,2002
Mapei - Quickstep,21,12,2002
O.N.C.E. - Eroski,1,13,2002
Cofidis,2,13,2002
US Postal Service,3,13,2002
Ibanesto.com,4,13,2002
Kelme - Costa Blanca,5,13,2002
CSC ProTeam - Tiscali,6,13,2002
Rabobank ProTeam,7,13,2002
Domo - Farm Frites,8,13,2002
Jean Delatour,9,13,2002
Fassa Bortolo,10,13,2002
Team Telekom,11,13,2002
La Fran\xe7aise des Jeux,12,13,2002
Alessio,13,13,2002
Euskaltel - Euskadi,14,13,2002
Bonjour,15,13,2002
Tacconi Sport,16,13,2002
Lotto - Adecco,17,13,2002
AG2R Pr\xe9voyance,18,13,2002
Cr\xe9dit Agricole,19,13,2002
Mapei - Quickstep,20,13,2002
Lampre - Daikin,21,13,2002
O.N.C.E. - Eroski,1,14,2002
US Postal Service,2,14,2002
Ibanesto.com,3,14,2002
Cofidis,4,14,2002
Rabobank ProTeam,5,14,2002
CSC ProTeam - Tiscali,6,14,2002
Kelme - Costa Blanca,7,14,2002
Jean Delatour,8,14,2002
Domo - Farm Frites,9,14,2002
Fassa Bortolo,10,14,2002
Alessio,11,14,2002
Team Telekom,12,14,2002
La Fran\xe7aise des Jeux,13,14,2002
Euskaltel - Euskadi,14,14,2002
AG2R Pr\xe9voyance,15,14,2002
Bonjour,16,14,2002
Lampre - Daikin,17,14,2002
Cr\xe9dit Agricole,18,14,2002
Mapei - Quickstep,19,14,2002
Lotto - Adecco,20,14,2002
Tacconi Sport,21,14,2002
O.N.C.E. - Eroski,1,15,2002
Ibanesto.com,2,15,2002
US Postal Service,3,15,2002
Cofidis,4,15,2002
Rabobank ProTeam,5,15,2002
CSC ProTeam - Tiscali,6,15,2002
Kelme - Costa Blanca,7,15,2002
Domo - Farm Frites,8,15,2002
Jean Delatour,9,15,2002
Fassa Bortolo,10,15,2002
La Fran\xe7aise des Jeux,11,15,2002
Alessio,12,15,2002
Team Telekom,13,15,2002
Euskaltel - Euskadi,14,15,2002
Bonjour,15,15,2002
AG2R Pr\xe9voyance,16,15,2002
Lotto - Adecco,17,15,2002
Mapei - Quickstep,18,15,2002
Lampre - Daikin,19,15,2002
Tacconi Sport,20,15,2002
Cr\xe9dit Agricole,21,15,2002
O.N.C.E. - Eroski,1,16,2002
US Postal Service,2,16,2002
Ibanesto.com,3,16,2002
Cofidis,4,16,2002
Rabobank ProTeam,5,16,2002
CSC ProTeam - Tiscali,6,16,2002
Jean Delatour,7,16,2002
Domo - Farm Frites,8,16,2002
Kelme - Costa Blanca,9,16,2002
Fassa Bortolo,10,16,2002
La Fran\xe7aise des Jeux,11,16,2002
AG2R Pr\xe9voyance,12,16,2002
Alessio,13,16,2002
Euskaltel - Euskadi,14,16,2002
Team Telekom,15,16,2002
Bonjour,16,16,2002
Tacconi Sport,17,16,2002
Mapei - Quickstep,18,16,2002
Cr\xe9dit Agricole,19,16,2002
Lampre - Daikin,20,16,2002
Lotto - Adecco,21,16,2002
O.N.C.E. - Eroski,1,17,2002
US Postal Service,2,17,2002
Ibanesto.com,3,17,2002
Cofidis,4,17,2002
CSC ProTeam - Tiscali,5,17,2002
Rabobank ProTeam,6,17,2002
Jean Delatour,7,17,2002
Kelme - Costa Blanca,8,17,2002
Domo - Farm Frites,9,17,2002
Fassa Bortolo,10,17,2002
La Fran\xe7aise des Jeux,11,17,2002
AG2R Pr\xe9voyance,12,17,2002
Euskaltel - Euskadi,13,17,2002
Alessio,14,17,2002
Team Telekom,15,17,2002
Mapei - Quickstep,16,17,2002
Lotto - Adecco,17,17,2002
Bonjour,18,17,2002
Tacconi Sport,19,17,2002
Cr\xe9dit Agricole,20,17,2002
Lampre - Daikin,21,17,2002
O.N.C.E. - Eroski,1,18,2002
US Postal Service,2,18,2002
CSC ProTeam - Tiscali,3,18,2002
Ibanesto.com,4,18,2002
Cofidis,5,18,2002
Rabobank ProTeam,6,18,2002
Jean Delatour,7,18,2002
Domo - Farm Frites,8,18,2002
Kelme - Costa Blanca,9,18,2002
Fassa Bortolo,10,18,2002
La Fran\xe7aise des Jeux,11,18,2002
AG2R Pr\xe9voyance,12,18,2002
Team Telekom,13,18,2002
Euskaltel - Euskadi,14,18,2002
Alessio,15,18,2002
Cr\xe9dit Agricole,16,18,2002
Mapei - Quickstep,17,18,2002
Lotto - Adecco,18,18,2002
Bonjour,19,18,2002
Tacconi Sport,20,18,2002
Lampre - Daikin,21,18,2002
O.N.C.E. - Eroski,1,19,2002
US Postal Service,2,19,2002
CSC ProTeam - Tiscali,3,19,2002
Ibanesto.com,4,19,2002
Cofidis,5,19,2002
Rabobank ProTeam,6,19,2002
Jean Delatour,7,19,2002
Kelme - Costa Blanca,8,19,2002
Domo - Farm Frites,9,19,2002
Fassa Bortolo,10,19,2002
La Fran\xe7aise des Jeux,11,19,2002
AG2R Pr\xe9voyance,12,19,2002
Team Telekom,13,19,2002
Euskaltel - Euskadi,14,19,2002
Alessio,15,19,2002
Mapei - Quickstep,16,19,2002
Cr\xe9dit Agricole,17,19,2002
Bonjour,18,19,2002
Lotto - Adecco,19,19,2002
Lampre - Daikin,20,19,2002
Tacconi Sport,21,19,2002
O.N.C.E. - Eroski,1,20,2002
US Postal Service,2,20,2002
CSC ProTeam - Tiscali,3,20,2002
Ibanesto.com,4,20,2002
Cofidis,5,20,2002
Rabobank ProTeam,6,20,2002
Jean Delatour,7,20,2002
Kelme - Costa Blanca,8,20,2002
Domo - Farm Frites,9,20,2002
Fassa Bortolo,10,20,2002
La Fran\xe7aise des Jeux,11,20,2002
AG2R Pr\xe9voyance,12,20,2002
Team Telekom,13,20,2002
Euskaltel - Euskadi,14,20,2002
Alessio,15,20,2002
Mapei - Quickstep,16,20,2002
Cr\xe9dit Agricole,17,20,2002
Bonjour,18,20,2002
Lotto - Adecco,19,20,2002
Lampre - Daikin,20,20,2002
Tacconi Sport,21,20,2002
US Postal Service,1,0,2003
Team Bianchi,2,0,2003
Fdjeux.com,3,0,2003
Euskaltel - Euskadi,4,0,2003
AG2R Pr\xe9voyance,5,0,2003
O.N.C.E. - Eroski,6,0,2003
Gerolsteiner,7,0,2003
Rabobank ProTeam,8,0,2003
Quickstep - Davitamon,9,0,2003
CSC ProTeam,10,0,2003
Cofidis,11,0,2003
Kelme - Costa Blanca,12,0,2003
Cr\xe9dit Agricole,13,0,2003
Ibanesto.com,14,0,2003
Team Telekom,15,0,2003
Vini Calderola - So.di,16,0,2003
Jean Delatour,17,0,2003
Saeco,18,0,2003
Fassa Bortolo,19,0,2003
Lotto - Domo,20,0,2003
Brioches La Boulang\xe8re,21,0,2003
Alessio,22,0,2003
US Postal Service,1,1,2003
Team Bianchi,2,1,2003
Fdjeux.com,3,1,2003
Euskaltel - Euskadi,4,1,2003
AG2R Pr\xe9voyance,5,1,2003
O.N.C.E. - Eroski,6,1,2003
Rabobank ProTeam,7,1,2003
Gerolsteiner,8,1,2003
Quickstep - Davitamon,9,1,2003
CSC ProTeam,10,1,2003
Cofidis,11,1,2003
Kelme - Costa Blanca,12,1,2003
Cr\xe9dit Agricole,13,1,2003
Ibanesto.com,14,1,2003
Team Telekom,15,1,2003
Vini Calderola - So.di,16,1,2003
Jean Delatour,17,1,2003
Saeco,18,1,2003
Fassa Bortolo,19,1,2003
Lotto - Domo,20,1,2003
Brioches La Boulang\xe8re,21,1,2003
Alessio,22,1,2003
Fdjeux.com,1,2,2003
Brioches La Boulang\xe8re,2,2,2003
Jean Delatour,3,2,2003
Cr\xe9dit Agricole,4,2,2003
AG2R Pr\xe9voyance,5,2,2003
US Postal Service,1,3,2003
Team Bianchi,2,3,2003
Fdjeux.com,3,3,2003
Euskaltel - Euskadi,4,3,2003
AG2R Pr\xe9voyance,5,3,2003
O.N.C.E. - Eroski,6,3,2003
Rabobank ProTeam,7,3,2003
Gerolsteiner,8,3,2003
Quickstep - Davitamon,9,3,2003
CSC ProTeam,10,3,2003
Cofidis,11,3,2003
Kelme - Costa Blanca,12,3,2003
Cr\xe9dit Agricole,13,3,2003
Ibanesto.com,14,3,2003
Team Telekom,15,3,2003
Vini Calderola - So.di,16,3,2003
Jean Delatour,17,3,2003
Saeco,18,3,2003
Fassa Bortolo,19,3,2003
Lotto - Domo,20,3,2003
Brioches La Boulang\xe8re,21,3,2003
Alessio,22,3,2003
US Postal Service,1,4,2003
O.N.C.E. - Eroski,2,4,2003
Team Bianchi,3,4,2003
Ibanesto.com,4,4,2003
Quickstep - Davitamon,5,4,2003
Team Telekom,6,4,2003
Cr\xe9dit Agricole,7,4,2003
AG2R Pr\xe9voyance,8,4,2003
Vini Calderola - So.di,9,4,2003
CSC ProTeam,10,4,2003
Gerolsteiner,11,4,2003
Fassa Bortolo,12,4,2003
Cofidis,13,4,2003
Alessio,14,4,2003
Rabobank ProTeam,15,4,2003
Brioches La Boulang\xe8re,16,4,2003
Saeco,17,4,2003
Euskaltel - Euskadi,18,4,2003
Fdjeux.com,19,4,2003
Jean Delatour,20,4,2003
Kelme - Costa Blanca,21,4,2003
Lotto - Domo,22,4,2003
US Postal Service,1,5,2003
O.N.C.E. - Eroski,2,5,2003
Team Bianchi,3,5,2003
Ibanesto.com,4,5,2003
Quickstep - Davitamon,5,5,2003
AG2R Pr\xe9voyance,6,5,2003
Cr\xe9dit Agricole,7,5,2003
Team Telekom,8,5,2003
CSC ProTeam,9,5,2003
Gerolsteiner,10,5,2003
Vini Calderola - So.di,11,5,2003
Cofidis,12,5,2003
Fassa Bortolo,13,5,2003
Rabobank ProTeam,14,5,2003
Alessio,15,5,2003
Brioches La Boulang\xe8re,16,5,2003
Euskaltel - Euskadi,17,5,2003
Fdjeux.com,18,5,2003
