Rider,year,stage_scores_giro,nr_stages_giro,Giro_max_total
Bisolti Alessandro,2015,0.0,20,0.0
Bisolti Alessandro,2016,0.0,21,0.0
Bizhigitov Zhandos,2017,0.0,21,0.0
Blanco David,2011,6.0,19,6.0
Blanco Santiago,1999,42.0,17,42.0
Blanco Santiago,2000,69.0,22,69.0
Blaudzun Michael,2005,11.0,21,11.0
Blaudzun Michael,2006,0.0,21,11.0
Blaudzun Michael,2007,0.0,6,11.0
Blaudzun Michael,2008,34.0,20,34.0
Blijlevens Jeroen,1998,17.0,7,17.0
Blijlevens Jeroen,1999,235.0,18,235.0
Blijlevens Jeroen,2000,131.0,22,235.0
Blijlevens Jeroen,2001,63.0,21,235.0
Blot Guillaume,2010,0.0,14,0.0
Blythe Adam,2010,32.0,10,32.0
Blythe Adam,2011,0.0,8,32.0
Blythe Adam,2013,32.0,20,32.0
Boaro Manuele,2012,0.0,1,0.0
Boaro Manuele,2013,30.0,20,30.0
Boaro Manuele,2015,0.0,20,30.0
Boaro Manuele,2016,26.0,21,30.0
Boaro Manuele,2017,0.0,21,30.0
Boasson Hagen Edvald,2009,159.0,20,159.0
Boasson Hagen Edvald,2014,27.0,15,159.0
Bobridge Jack,2010,0.0,12,0.0
Bobridge Jack,2013,0.0,14,0.0
Bobridge Jack,2016,0.0,21,0.0
Bobrik Vladislav,1998,22.0,23,22.0
Bodnar Maciej,2010,6.0,20,6.0
Bodnar Maciej,2012,18.0,1,18.0
Bodrogi Laszlo,2007,37.0,20,37.0
Boem Nicola,2013,0.0,20,0.0
Boem Nicola,2014,15.0,20,15.0
Boem Nicola,2015,35.0,20,35.0
Boem Nicola,2016,0.0,21,35.0
Boem Nicola,2017,0.0,21,35.0
Boerman Coen,2000,0.0,14,0.0
Bol Jetse,2014,15.0,20,15.0
Bole Grega,2013,38.0,19,38.0
Bole Grega,2015,92.0,20,92.0
Bole Grega,2016,0.0,21,92.0
Bondarenko Denis,2002,0.0,21,0.0
Bondariew Bogdan,2003,22.0,18,22.0
Bongiorno Francesco Manuel,2013,8.0,20,8.0
Bongiorno Francesco Manuel,2014,32.0,20,32.0
Bongiorno Francesco Manuel,2015,30.0,20,32.0
Bongiorno Francesco Manuel,2016,0.0,21,32.0
Bongiorno Guillermo Ruben,2003,15.0,6,15.0
Bonnafond Guillaume,2009,0.0,20,0.0
Bonnafond Guillaume,2010,0.0,5,0.0
Bonnafond Guillaume,2012,0.0,1,0.0
Bonnafond Guillaume,2013,11.0,20,11.0
Bonnafond Guillaume,2016,0.0,21,11.0
Bonnaire Olivier,2005,0.0,21,0.0
Bonnaire Olivier,2006,0.0,20,0.0
Bonnaire Olivier,2007,10.0,20,10.0
Bonnet William,2006,41.0,20,41.0
Bonnet William,2010,77.0,19,77.0
Bonnet William,2017,0.0,16,77.0
Bono Matteo,2007,0.0,20,0.0
Bono Matteo,2009,0.0,20,0.0
Bono Matteo,2010,0.0,20,0.0
Bono Matteo,2012,0.0,1,0.0
Bono Matteo,2014,7.0,20,7.0
Boogerd Michael,2002,106.0,21,106.0
Bookwalter Brent,2010,30.0,20,30.0
Bookwalter Brent,2014,22.0,20,30.0
Bookwalter Brent,2015,0.0,20,30.0
Boonen Tom,2015,16.0,13,16.0
Borgheresi Simone,1999,0.0,20,0.0
Borgheresi Simone,2000,14.0,22,14.0
Borgheresi Simone,2001,14.0,21,14.0
Borghi Ruggero,2000,0.0,6,0.0
Borghi Ruggero,2001,0.0,21,0.0
Borghi Ruggero,2002,0.0,3,0.0
Borghi Ruggero,2004,6.0,21,6.0
Borrajo Alejandro Alberto,2004,138.0,21,138.0
Bortolami Gianluca,2000,31.0,22,31.0
Boscardin Bruno,1998,31.0,18,31.0
Bosisio Gabriele,2004,0.0,21,0.0
Bosisio Gabriele,2008,85.0,20,85.0
Bosisio Gabriele,2009,47.0,20,85.0
Bossoni Paolo,2001,55.0,21,55.0
Bossoni Paolo,2008,12.0,15,55.0
Boswell Ian,2016,11.0,21,11.0
Botcharov Alexandre,2006,51.0,20,51.0
Botero Santiago,1998,0.0,23,0.0
Bouet Maxime,2014,8.0,20,8.0
Bouet Maxime,2015,0.0,20,8.0
Bouhanni Nacer,2013,91.0,13,91.0
Bouhanni Nacer,2014,205.0,20,205.0
Bouyer Franck,2001,0.0,14,0.0
Boven Jan,2002,7.0,21,7.0
Bozic Borut,2011,37.0,9,37.0
Bozic Borut,2014,33.0,20,37.0
Br\xe4ndle Matthias,2010,7.0,20,7.0
Br\xe4ndle Matthias,2012,0.0,1,7.0
Br\xe4ndle Matthias,2016,47.0,14,47.0
Braikia Tayeb,2000,72.0,22,72.0
Brajkovi\u010d Janez,2009,57.0,20,57.0
Brajkovi\u010d Janez,2014,0.0,5,57.0
Bramati Davide,1998,0.0,23,0.0
Bramati Davide,2000,75.0,22,75.0
Bramati Davide,2001,19.0,21,75.0
Bramati Davide,2002,0.0,21,75.0
Bramati Davide,2005,0.0,21,75.0
Bramati Davide,2006,0.0,20,75.0
Brambilla Gianluca,2011,45.0,19,45.0
Brambilla Gianluca,2012,0.0,1,45.0
Brambilla Gianluca,2013,15.0,20,45.0
Brambilla Gianluca,2014,51.0,20,51.0
Brambilla Gianluca,2016,112.0,21,112.0
Brandt Christophe,2001,15.0,21,15.0
Brandt Christophe,2004,75.0,21,75.0
Brandt Christophe,2005,69.0,21,75.0
Brandt Christophe,2006,0.0,4,75.0
