,Age,BIB,Rider,year,gc_extra_scores,gc_stage_scores,green_extra_scores,green_stage_scores,polka_extra_scores,polka_stage_scores,stage_scores,youth_extra_scores,youth_stage_scores,score
3901,35,83.0,Curvers Roy,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902,35,86.0,Peschel Uwe,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903,35,91.0,Sastre Carlos,2010,14.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,60.0
3904,35,94.0,Ferrari Roberto,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3905,35,94.0,Tchmil Andrei,1998,0.0,2.0,0.0,2.0,0.0,0.0,83.0,0.0,0.0,87.0
3906,35,95.0,Durand Jacky,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3907,35,99.0,Farazijn Peter,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3908,35,99.0,Scirea Mario,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3909,35,101.0,Gerrans Simon,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3910,35,102.0,Aerts Mario,2010,0.0,0.0,0.0,0.0,0.0,8.0,35.0,0.0,0.0,43.0
3911,35,104.0,Cummings Stephen,2016,0.0,0.0,0.0,0.0,0.0,3.0,62.0,0.0,0.0,65.0
3912,35,104.0,Gilbert Philippe,2017,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0
3913,35,105.0,Dufaux Laurent,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3914,35,105.0,Eisel Bernhard,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3915,35,107.0,Richeze Ariel Maximiliano,2018,16.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,25.0
3916,35,109.0,Kirsipuu Jaan,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3917,35,109.0,Vasseur C\xe9dric,2006,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0
3918,35,109.0,Zanini Stefano,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3919,35,113.0,Bramati Davide,2003,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0
3920,35,113.0,Burghardt Marcus,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3921,35,113.0,Grabsch Bert,2010,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0
3922,35,116.0,Henderson Gregory,2012,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,55.0
3923,35,118.0,Serpa Jose Rodolfo,2014,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0
3924,35,118.0,ten Dam Laurens,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3925,35,126.0,Jalabert Nicolas,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3926,35,131.0,Greipel Andr\xe9,2017,0.0,0.0,9.0,61.0,0.0,0.0,30.0,0.0,0.0,100.0
3927,35,133.0,Bruseghin Marzio,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3928,35,135.0,Garmendia Aitor,2003,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
3929,35,135.0,Renshaw Mark,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930,35,136.0,Huzarski Bartosz,2016,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0
