Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
28,147,3,25.0,McCabe Travis,31,UnitedHealthcare Pro Cycling Team,\u25bc6,4,2017
28,105,3,27.0,Kump Marko,32,UAE Team Emirates,\u25bc5,4,2017
22,3,2,28.0,Mas Enric,33,Quick-Step Floors,\u25bc5,4,2017
28,131,2,29.0,King Benjamin,34,Team Dimension Data,\u25bc5,4,2017
26,38,2,31.0,Wippert Wouter,35,Cannondale-Drapac Pro Cycling Team,\u25bc4,4,2017
28,153,2,30.0,Lozano David,36,Team Novo Nordisk,\u25bc6,4,2017
28,31,1,32.0,Talansky Andrew,37,Cannondale-Drapac Pro Cycling Team,\u25bc5,4,2017
25,148,1,33.0,Putt Tanner,38,UnitedHealthcare Pro Cycling Team,\u25bc5,4,2017
23,156,1,35.0,Planet Charles,39,Team Novo Nordisk,\u25bc4,4,2017
24,118,1,34.0,Teunissen Mike,40,Team Sunweb,\u25bc6,4,2017
23,168,1,36.0,Wolfe Ben,41,Jelly Belly p/b Maxxis,\u25bc5,4,2017
27,21,37,1.0,Sagan Peter,1,BORA - hansgrohe,-,5,2017
27,25,28,4.0,Majka Rafa\u0142,2,BORA - hansgrohe,\u25b22,5,2017
27,62,24,5.0,Bennett George,3,Team LottoNL-Jumbo,\u25b22,5,2017
29,1,18,2.0,Kittel Marcel,4,Quick-Step Floors,\u25bc2,5,2017
27,84,17,3.0,Huffman Evan,5,Rally Cycling,\u25bc2,5,2017
28,31,16,37.0,Talansky Andrew,6,Cannondale-Drapac Pro Cycling Team,\u25b231,5,2017
26,92,16,14.0,Boswell Ian,7,Team Sky,\u25b27,5,2017
32,81,14,6.0,Britton Rob,8,Rally Cycling,\u25bc2,5,2017
22,115,13,7.0,Hofstede Lennard,9,Team Sunweb,\u25bc2,5,2017
25,136,13,15.0,Morton Lachlan,10,Team Dimension Data,\u25b25,5,2017
23,48,12,8.0,Zabel Rick,11,Team Katusha - Alpecin,\u25bc3,5,2017
30,13,12,9.0,Drucker Jean-Pierre,12,BMC Racing Team,\u25bc3,5,2017
22,74,11,10.0,Le Turnier Mathias,13,"Cofidis, Solutions Cr\xe9dits",\u25bc3,5,2017
33,11,11,23.0,Bookwalter Brent,14,BMC Racing Team,\u25b29,5,2017
28,51,11,11.0,Degenkolb John,15,Trek - Segafredo,\u25bc4,5,2017
28,135,10,12.0,Janse van Rensburg Reinardt,16,Team Dimension Data,\u25bc4,5,2017
22,102,10,13.0,Consonni Simone,17,UAE Team Emirates,\u25bc4,5,2017
29,41,9,16.0,Kristoff Alexander,18,Team Katusha - Alpecin,\u25bc2,5,2017
28,91,9,17.0,Viviani Elia,19,Team Sky,\u25bc2,5,2017
21,116,8,29.0,Oomen Sam,20,Team Sunweb,\u25b29,5,2017
30,61,8,19.0,Gesink Robert,21,Team LottoNL-Jumbo,\u25bc2,5,2017
22,95,7,24.0,Geoghegan Hart Tao,22,Team Sky,\u25b22,5,2017
23,108,6,18.0,Zurlo Federico,23,UAE Team Emirates,\u25bc5,5,2017
25,146,6,20.0,Mannion Gavin,24,UnitedHealthcare Pro Cycling Team,\u25bc4,5,2017
32,143,5,22.0,Clarke Jonathan,25,UnitedHealthcare Pro Cycling Team,\u25bc3,5,2017
